CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	0	-7.45913095e-05	-106.0462512	-148.5090925	1.201180906	YY	11.15200697	0.2160462618	self-energy/D	sharp_wc_2_b_35	1.44255475	2	1.269161628	-3.552269135	1.963444648	-17.76799835	1.991428863	17.63192527	0.001806135815	-5.906852776	1.807433767	6.179763785	0.1596493756	6.196830421	0.03897771383	6.282516787	0.4095222488	0.9938568057	0.0009127758997	a248bdd	2x2_2C_8b_C2v_L	10.72437303	1.209757149	2	1.665929617	0.9999999999237952	0.9999999999999997	0.008004476516	-0.01240788018	-0.02465098271	0.0138432051	0.4211363521	-0.1359336554	0.01540543978	-0.01089545511	-1.863749369	1.431988462	0.8905747716	-0.6828164538	2.690188731	-2.666776756	0.0003036921104	-0.0007566003634	run_optim.py	R0:S0:1	uncorrelated	0.9671323924	-0.5157557541	1.443223307	-0.2503377758	-0.210900291	0.08209257901	-1.98874945	1.566909859	-0.1314943176	0.1022641979	-0.2759228541	0.2134329348	-9.902738269e-05	0.000502477489	0.1300545021	-0.09449460739	2024-10-18@02:30	2.400086599	-0.5544005727	1	-3.046633574e-16	-0.1545066543	0.8912274417	-1.813836034e-17	0.06134745968	v2.7.1	
1	Broyden	0	-5.870818607e-05	-106.008814	-148.5090925	1.217925641	YY	11.20200697	0.214406235	self-energy/D	sharp_wc_2_b_35	1.44255475	2	1.269613881	-3.552188879	1.96352721	-17.76799158	1.991392215	17.63192461	0.001801855598	-5.906697733	1.809017357	6.179628106	0.1585866462	6.196802277	0.03873234325	6.282427115	0.4061668868	0.9939220357	0.0009037829749	a248bdd	2x2_2C_8b_C2v_L	10.72437303	1.208189856	2	1.66591726	0.999999999937204	0.9999999999999997	0.007978714965	-0.01234813478	-0.02463058634	0.0138017721	0.4212082129	-0.135845695	0.0154660617	-0.01108108809	-1.864924638	1.428776657	0.8911391236	-0.6813062701	2.691000132	-2.655766924	0.0002984331461	-0.0007335362314	run_optim.py	R0:S0:1	uncorrelated	0.9676602616	-0.5171500974	1.44337356	-0.2518295615	-0.2108591807	0.08199263466	-1.989786284	1.561588901	-0.1313105329	0.1018599124	-0.2757114388	0.2130153017	-9.139862204e-05	0.0005090637198	0.1289908457	-0.09392877618	2024-10-18@02:33	2.400086599	-0.552676614	1	-3.046633574e-16	-0.1533282605	0.8912274417	-1.813836034e-17	0.06091337852	v2.7.1	
2	Broyden	0	-7.197742706e-05	-106.0627457	-148.1890925	1.271473262	YY	11.15200697	0.2163617885	self-energy/D	sharp_wc_2_b_35	1.46255475	2	1.268990969	-3.551953006	1.963425083	-17.76797857	1.991443137	17.63192349	0.001806374813	-5.906317007	1.807104655	6.179371943	0.1598070144	6.196740878	0.03901288972	6.281587936	0.4101904031	0.9938532141	0.0009139955638	a248bdd	2x2_2C_8b_C2v_L	10.72437303	1.210054376	2	1.665935675	0.9999999999064264	0.9999999999999998	0.007976019302	-0.0123913606	-0.02462601011	0.01383518494	0.4212719822	-0.1359354554	0.01539785889	-0.01091388964	-1.865916217	1.432332478	0.8916003799	-0.6829526299	2.693519682	-2.669051789	0.000304223597	-0.0007587782416	run_optim.py	R0:S0:1	uncorrelated	0.9690265341	-0.5154619192	1.443649832	-0.2499211039	-0.2108586691	0.08209251972	-1.991251722	1.568138007	-0.1314107032	0.1022796884	-0.275784825	0.2135376863	-7.238238191e-05	0.0004725449576	0.130094627	-0.09451618036	2024-10-18@02:38	2.400086599	-0.5549884912	1	-8.533434248e-17	-0.1549366363	0.8912274417	-1.293839262e-16	0.06150251354	v2.7.1	
3	Broyden	0	-7.078329685e-05	-106.1576223	-148.5090925	1.144983245	YY	11.15200697	0.2181097836	self-energy/D	sharp_wc_2_b_35	1.44255475	2	1.268551528	-3.550359019	1.963270273	-17.76785216	1.991509753	17.63191374	0.001806493201	-5.903673223	1.805632984	6.177195591	0.1611090898	6.196270477	0.03928552969	6.277495527	0.4136536064	0.9938645798	0.0008946082086	a248bdd	2x2_2C_8b_C2v_L	10.72437303	1.211713322	2	1.665921023	0.9999999999203475	0.9999999999999997	0.007878101411	-0.01231635521	-0.02455597939	0.0138520548	0.4222465073	-0.1357985359	0.01528323502	-0.01087328356	-1.879403589	1.437008828	0.8980182886	-0.6850289259	2.711558847	-2.680755488	0.0003054903299	-0.0007558160587	run_optim.py	R0:S0:1	uncorrelated	0.9800178004	-0.5143245572	1.446632	-0.2478651945	-0.2104221439	0.0821239437	-2.005933495	1.572387744	-0.1306569786	0.1020996992	-0.2742813091	0.2132067556	-7.535173383e-05	0.0004727409264	0.1283470638	-0.09326675246	2024-10-18@02:42	2.420086599	-0.5568102962	1	-3.046633574e-16	-0.1560140149	0.8912274417	-1.813836034e-17	0.06199225683	v2.7.1	
3	Broyden	0	-6.538436391e-05	-106.5443695	-148.5090925	1.205406112	YY	11.15200697	0.2157253997	self-energy/D	sharp_wc_2_b_35	1.44255475	2	1.26922715	-3.559004621	1.963244069	-18.02386448	1.991587958	17.63193245	0.001784016002	-5.892798086	1.807196777	6.164443223	0.1601770665	6.22893485	0.03835486995	6.336331936	0.4079501408	0.9917634506	0.001031195983	a248bdd	2x2_2C_8b_C2v_L	10.72437303	1.20940624	2	1.665927936	0.9999999998761093	1.0000000000000002	0.007888415338	-0.01219747757	-0.02463447484	0.01367003829	0.4164590658	-0.1344186026	0.01543574546	-0.01098244861	-1.862893196	1.434329769	0.8865973778	-0.677384238	2.700499762	-2.663142473	0.0003115368799	-0.0007753212092	run_optim.py	R0:S0:1	uncorrelated	0.9700240187	-0.5172387196	1.446622679	-0.2480991319	-0.2136862447	0.08315832701	-1.986071398	1.567727715	-0.1292900841	0.1005460336	-0.2744075482	0.2116346176	-8.303772936e-05	0.0004762970306	0.1380723966	-0.1002002238	2024-10-18@02:46	2.400086599	-0.5541270196	1	-2.191315258e-16	-0.1543125562	0.9012274417	-3.284855351e-16	0.06118075347	v2.7.1	
2	Broyden	0	-7.261162798e-05	-106.1621587	-148.9890925	1.200709761	YY	11.15200697	0.2165102199	self-energy/D	sharp_wc_2_b_35	1.44255475	2	1.269154872	-3.552705337	1.963380996	-17.76803699	1.99142106	17.63192799	0.001807739199	-5.907575554	1.806908267	6.180389468	0.1600023522	6.19696104	0.03906024697	6.283854361	0.4103874994	0.9938586576	0.0009111856067	a248bdd	2x2_2C_8b_C2v_L	10.75437303	1.210233566	2	1.665933285	0.999999999904519	0.9999999999999998	0.008015013387	-0.01239840591	-0.02464635921	0.01382415066	0.4208235591	-0.1359817836	0.01544878608	-0.01092013476	-1.859740046	1.43303946	0.8886566976	-0.6833537103	2.684472728	-2.668886398	0.0002978501025	-0.0007501871187	run_optim.py	R0:S0:1	uncorrelated	0.9638626963	-0.5159880522	1.442271409	-0.2503464357	-0.2110583721	0.08209934497	-1.984415231	1.568655117	-0.1317430177	0.1022681008	-0.2764451653	0.2134908478	-7.223720417e-05	0.0004731850475	0.130447086	-0.09456991649	2024-10-18@02:50	2.400086599	-0.554455338	1	-1.52174602e-19	-0.1545312264	0.8912274417	2.300356147e-16	0.06135723389	v2.7.1	
1	Broyden	0	-7.065862761e-05	-106.3815046	-148.5730925	1.191580631	YY	11.10200697	0.2187316844	self-energy/D	sharp_wc_2_b_35	1.45055475	2	1.268417293	-3.554255439	1.963175514	-17.87030237	1.991567114	17.63192443	0.001801939654	-5.900084111	1.80469755	6.172737276	0.161777937	6.209462685	0.03915912221	6.302057078	0.4145847226	0.9929397605	0.0009683364521	a248bdd	2x2_2C_8b_C2v_L	10.73637303	1.212309364	2	1.66595295	0.9999999998702698	0.9999999999999999	0.007911806808	-0.01230639167	-0.02460441286	0.01380476534	0.41953241	-0.1353401073	0.0153727103	-0.01090062256	-1.867905486	1.439010619	0.8911129146	-0.6834461591	2.701248806	-2.683838274	0.0003036519501	-0.0007662128092	run_optim.py	R0:S0:1	uncorrelated	0.9724647456	-0.5143156826	1.445497584	-0.2467423874	-0.2119462537	0.0826532051	-1.992811915	1.575716817	-0.1305462358	0.10183312	-0.275212563	0.2132671937	-7.688593789e-05	0.0004640341095	0.1343512657	-0.09726908768	2024-10-18@02:52	2.408086599	-0.5572279242	1	2.392812025e-16	-0.1564038876	0.8952274417	4.363094222e-16	0.06204210929	v2.7.1	
1	Broyden	0	-7.226807815e-05	-105.7798534	-148.5986925	1.198441141	YY	11.13200697	0.2185979522	self-energy/D	sharp_wc_2_b_35	1.45375475	2	1.268481153	-3.545549848	1.963438129	-17.55300741	1.991359591	17.63191347	0.001827575192	-5.916873213	1.805534303	6.191267808	0.1607729517	6.169549191	0.03986347518	6.234617076	0.4154666992	0.9955468943	0.0008223348647	a248bdd	2x2_2C_8b_C2v_L	10.74117303	1.212237579	2	1.665940521	0.9999999998818914	0.9999999999999999	0.00802185371	-0.01252120538	-0.02459116086	0.01399563443	0.4254967925	-0.1371492227	0.01535372361	-0.01089472392	-1.87177727	1.435123064	0.8973775803	-0.6897555963	2.692002759	-2.684770142	0.0002906576835	-0.0007286036969	run_optim.py	R0:S0:1	uncorrelated	0.9709058593	-0.5130336525	1.441736387	-0.249953567	-0.2084330196	0.08128303707	-1.999134503	1.572866766	-0.1331138939	0.103752261	-0.2768015455	0.215282039	-8.546370565e-05	0.0004921018162	0.1237623929	-0.08982223316	2024-10-18@02:55	2.411286599	-0.557034801	1	-2.164468022e-16	-0.1562501294	0.8828274417	-6.005334182e-17	0.06211922884	v2.7.1	
1	Broyden	0	-7.630338316e-05	-105.701854	-148.5449325	1.215026062	YY	11.19400697	0.2155337651	self-energy/D	sharp_wc_2_b_35	1.44703475	2	1.26931411	-3.546819374	1.963610033	-17.57965037	1.991298413	17.63191698	0.001820217732	-5.916321835	1.808203298	6.190427691	0.158678168	6.173066551	0.03929722402	6.241883382	0.4091300305	0.9954431336	0.0008184936124	a248bdd	2x2_2C_8b_C2v_L	10.73109303	1.209301392	2	1.665908058	0.9999999999161584	0.9999999999999999	0.008037593827	-0.01249680185	-0.02460680292	0.01392556095	0.4248256704	-0.1370217982	0.01537098065	-0.01086830633	-1.868159732	1.428101954	0.8952858682	-0.6857369598	2.687522115	-2.664357021	0.0002923027757	-0.0007226664347	run_optim.py	R0:S0:1	uncorrelated	0.9678773619	-0.5154515353	1.441381956	-0.2526087424	-0.2087608381	0.08121530636	-1.995022028	1.564686368	-0.1328933018	0.1033445106	-0.2766147445	0.2145015804	-7.837456261e-05	0.0004939266076	0.1229460274	-0.08952409102	2024-10-18@02:58	2.404566599	-0.5538628174	1	9.792973364e-17	-0.1541036004	0.8838674417	7.768137903e-17	0.06128825435	v2.7.1	
1	Broyden	0	-8.023713228e-05	-105.3624023	-148.5308525	1.226649246	YY	11.24000697	0.2139511607	self-energy/D	sharp_wc_2_b_35	1.44527475	2	1.269757742	-3.543092198	1.963831421	-17.43432532	1.991161665	17.63191321	0.001829750413	-5.924415258	1.809854698	6.199292376	0.1570941378	6.154873677	0.03934980856	6.211849094	0.406415985	0.9966976108	0.0007459221015	a248bdd	2x2_2C_8b_C2v_L	10.72845303	1.207811749	2	1.665885162	0.9999999999263824	0.9999999999999998	0.008099113244	-0.01259324409	-0.02460161823	0.01398232529	0.4274681459	-0.1378898487	0.01536251569	-0.01083467166	-1.868178196	1.422237233	0.8973135806	-0.6866318906	2.680701429	-2.654624827	0.0002862646002	-0.0007013080041	run_optim.py	R0:S0:1	uncorrelated	0.9655454016	-0.5159446134	1.439294187	-0.2555673625	-0.2071740029	0.08048674233	-1.996157724	1.559662889	-0.1340780754	0.1041387404	-0.2773056052	0.2151668917	-7.28717988e-05	0.000500256362	0.1171016421	-0.08550990635	2024-10-18@03:00	2.402806599	-0.5521847641	1	-9.733387554e-17	-0.1529664915	0.8781874417	1.938599248e-16	0.06091406263	v2.7.1	
