CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
3	Broyden	0	-0.04224890295	-25.66007825	-1.501291974	Y	7	0.2405210843	self-energy	sharp_wc_2_b_35	-0.2148347298	1.984356383	0.3777619136	0.1045019634	0.6046152589	0.4238921373	-0.1244544695	1.356812469	-0.6048318895	1.576269819	0.1243460814	0.6442953654	37.24740186	0.0155482369	0.7893074119	0.01096298668	a248bdd	2x2_2C_8b_C2v_L	5	1.186657105	1.235344031	0.9999999995704778	0.000321397709	-0.00254245654	-0.0003052476064	0.0002079891291	0.01329857806	0.252071262	0.04595111455	-1.046445626	0.4490099205	-2.583566679	0.228747123	-1.310025299	-1.898986745	0.6596160973	-0.0003565043884	0.003191520197	boucle_1bande.py	R0:S0:1	1	-0.7471465446	-1.234971528	0.1570370701	-0.1844665992	-0.2102533178	1.394775321	0.4489665874	-2.583884652	0.228799293	-1.30913189	0.01324248712	0.2521008822	0.04592704102	-1.046458797	0.002915227163	-0.000108149513	-0.6764935279	0.1782121278	2025-02-07@10:53	-0.5	0.1919496145	0.532640891	v2.7.1	
2	Broyden	0	-0.04392460931	-25.39131101	-1.492694885	Y	7	0.2342494889	self-energy	sharp_wc_2_b_35	-0.2150676013	1.984755542	0.3829119126	0.1042840638	0.610739942	0.4120825176	-0.1191663423	1.28925635	-0.6112019758	1.588398062	0.1185476114	0.7174787529	37.24284298	0.01476436654	0.7813798266	0.01100327844	a248bdd	2x2_2C_8b_C2v_L	4.95	1.179602044	1.228721858	0.9999999995079214	2.653485444e-06	2.863975336e-05	7.502701377e-05	-1.102352304e-05	0.01346627393	0.2466090135	0.04860370639	-1.070380156	0.4487889853	-2.540455752	0.2253417601	-1.386651185	-1.852586404	0.6422668098	0.000105637023	-0.001864633401	boucle_1bande.py	R0:S0:1	1	-0.7429152785	-1.229867967	0.1559265262	-0.1841305516	-0.2103397186	1.391482597	0.4486318567	-2.541476135	0.2255286611	-1.38110609	0.01326070327	0.2470941419	0.04799422364	-1.066868673	0.001169640028	-0.0001596531446	-0.6712326073	0.1809179749	2025-02-07@10:58	-0.5	0.1863669174	0.525653837	v2.7.1	
1	Broyden	0	-0.04501748941	-25.11394465	-1.484043773	Y	7	0.22819975	self-energy	sharp_wc_2_b_35	-0.2145091931	1.985092514	0.3871118784	0.1043985606	0.6167628913	0.4026131114	-0.1129106973	1.220879655	-0.6170312169	1.59742586	0.1130738135	0.7771033707	37.24068896	0.01384117348	0.7703270274	0.01105279371	a248bdd	2x2_2C_8b_C2v_L	4.9	1.172818684	1.221974251	0.9999999994532832	-0.0002875571433	0.002118136151	0.0002085447674	-0.000312325329	0.01328614703	0.2386719257	0.04999788596	-1.078618682	0.4487026094	-2.50499266	0.2217564788	-1.447061487	-1.795763705	0.6213762139	-0.0004411315192	0.004340463585	boucle_1bande.py	R0:S0:1	1	-0.7386559272	-1.224785854	0.1547017464	-0.1840459502	-0.2103776849	1.389701844	0.4486803194	-2.505038117	0.2217288662	-1.448724124	0.01331379427	0.238463752	0.05029540286	-1.080577708	0.00261172469	-4.508245077e-05	-0.6647398076	0.1835407997	2025-02-07@11:01	-0.5	0.1811040047	0.5185158368	v2.7.1	
2	Broyden	0	-0.04579995089	-24.84100771	-1.475277687	Y	7	0.2223864203	self-energy	sharp_wc_2_b_35	-0.217863344	1.985543801	0.3954890528	0.1046432476	0.6177597383	0.3968993568	-0.1059425781	1.148773549	-0.6224329542	1.603094742	0.1089490539	0.812012186	37.22085353	0.01289221558	0.758153472	0.01310614732	a248bdd	2x2_2C_8b_C2v_L	4.85	1.166332093	1.215039039	0.9999999994076637	-0.001982762748	0.01263669871	0.0007379483341	-0.003637856848	0.01244930366	0.2332204861	0.04865787882	-1.061934124	0.4483802941	-2.477409369	0.2181390898	-1.482874787	-1.734446578	0.5990136917	-0.01370203334	0.1225962664	boucle_1bande.py	R0:S0:1	1	-0.7340954168	-1.219736416	0.1542793023	-0.1835728865	-0.2110807339	1.389763748	0.4479749435	-2.476518019	0.2175295498	-1.516051545	0.01330293147	0.2288184636	0.05364457256	-1.098735791	0.1079994373	-0.0039355924	-0.6574205289	0.189531074	2025-02-07@11:05	-0.5	0.1759056136	0.5110825421	v2.7.1	
2	Broyden	0	-0.04654379637	-24.56599811	-1.466663606	Y	7	0.2168242868	self-energy	sharp_wc_2_b_35	-0.2175765764	1.985896175	0.4010659124	0.1050404826	0.625115733	0.3930133985	-0.1026204528	1.13137398	-0.625186467	1.607129956	0.1024047695	0.87192939	37.23226616	0.01199997378	0.7483561714	0.01121654954	a248bdd	2x2_2C_8b_C2v_L	4.8	1.160092027	1.208063951	0.9999999995125638	-0.0002051884346	0.001460240513	0.0002557290767	-0.0003823519243	0.01278765322	0.2222270687	0.0529574295	-1.085659515	0.4483370891	-2.454023746	0.2138029611	-1.537012813	-1.675760719	0.5776722941	-0.0006392936607	0.005016478707	boucle_1bande.py	R0:S0:1	1	-0.7301759503	-1.214866658	0.1531259818	-0.1834184984	-0.2113086831	1.389758893	0.4482860943	-2.454398213	0.2138462304	-1.534195153	0.01272600882	0.2220971692	0.05273507838	-1.083714184	0.007155512376	-0.0003569794649	-0.6515223658	0.1889862147	2025-02-07@11:10	-0.5	0.1714173231	0.5035938962	v2.7.1	
4	Broyden	0	-0.04725000291	-24.29196195	-1.457747329	Y	7	0.2113778022	self-energy	sharp_wc_2_b_35	-0.2200151607	1.986176064	0.4060027332	0.1057131241	0.6285487217	0.3911857291	-0.09792842096	1.095406394	-0.6285254064	1.60861121	0.09821276305	0.9002647599	37.17206668	0.01104916902	0.7359812184	0.01134673512	a248bdd	2x2_2C_8b_C2v_L	4.75	1.154019958	1.20095219	0.9999999994126483	0.0001691492101	-0.001241066036	-0.0003020690015	0.000364307408	0.01239377753	0.2152456362	0.05335580446	-1.080364084	0.4483193147	-2.436552513	0.2099102012	-1.562570259	-1.607564864	0.5538732605	0.0002512410871	-0.001539882551	boucle_1bande.py	R0:S0:1	1	-0.7258713184	-1.20982492	0.1525181736	-0.1837040653	-0.2115052449	1.390926849	0.4483452588	-2.436050803	0.2098398716	-1.56612795	0.01239930556	0.2156285116	0.05366630465	-1.083222075	-0.004460739532	0.0002651827817	-0.6445505376	0.1918827201	2025-02-07@11:15	-0.5	0.1668805946	0.495844819	v2.7.1	
4	Broyden	0	-0.04840277201	-24.01828243	-1.448844044	Y	7	0.2061923102	self-energy	sharp_wc_2_b_35	-0.2183088786	1.986534729	0.4146795304	0.1061953963	0.6339654494	0.3908540574	-0.09531124342	1.089266538	-0.6338961778	1.609289699	0.09493940036	0.9159471978	37.26256218	0.01002989147	0.7232559728	0.01152275241	a248bdd	2x2_2C_8b_C2v_L	4.7	1.148243117	1.193658705	0.9999999994245418	-0.0002551930802	0.00180100161	0.0003743691488	-0.0005680296533	0.0124485205	0.2107422637	0.0554945531	-1.092927968	0.4487545683	-2.421072029	0.2060662147	-1.578722257	-1.536896553	0.5273070693	-0.0008960927263	0.00680210947	boucle_1bande.py	R0:S0:1	1	-0.7217308477	-1.204929898	0.1511767255	-0.1832354126	-0.2120579709	1.391661509	0.4487316705	-2.421446878	0.2061656216	-1.574480563	0.01233112967	0.210565125	0.05509462354	-1.089091083	0.01132716514	-0.0005883311579	-0.6374716529	0.1948050302	2025-02-07@11:20	-0.5	0.1625888507	0.4878282904	v2.7.1	
3	Broyden	0	-0.0501862963	-23.76089805	-1.439585457	Y	7	0.2010545762	self-energy	sharp_wc_2_b_35	-0.2231296168	1.986843202	0.4238603082	0.1067366686	0.6397311531	0.3906406493	-0.09380267854	1.092250216	-0.6395830457	1.609238542	0.09396457197	0.9053984057	37.02551465	0.009086631532	0.7101522284	0.01174443838	a248bdd	2x2_2C_8b_C2v_L	4.65	1.142531715	1.18629802	0.9999999994320496	0.0007372596442	-0.005677608374	-0.0007684124949	0.0008632577846	0.01261357137	0.2091291316	0.05761468413	-1.108829999	0.4490029146	-2.406039119	0.2030085985	-1.576832942	-1.456061431	0.5014903024	0.0004368628676	-0.003304228592	boucle_1bande.py	R0:S0:1	1	-0.717462349	-1.199786629	0.1511618863	-0.1833521138	-0.2126695273	1.392489796	0.4490443896	-2.405749071	0.2029729684	-1.578835264	0.01267274933	0.2091716856	0.05779589117	-1.110534615	-0.005761032385	0.0003017691836	-0.6302248195	0.1979692843	2025-02-07@11:25	-0.5	0.1583381585	0.4795976559	v2.7.1	
5	Broyden	0	-0.05229883956	-23.4951297	-1.42986807	Y	7	0.1958586452	self-energy	sharp_wc_2_b_35	-0.222174298	1.987110409	0.4322383602	0.1070009702	0.6482994544	0.389011524	-0.09326644933	1.101665067	-0.648278594	1.610959917	0.09313225144	0.8991398959	37.48738284	0.007856644488	0.6936508226	0.0119789748	a248bdd	2x2_2C_8b_C2v_L	4.6	1.136785554	1.17890829	0.9999999992874599	0.0001648295592	-0.001290020244	-0.0001790652578	0.0001867602709	0.0130681039	0.207974529	0.06030579799	-1.131143945	0.4497239955	-2.385807675	0.200289122	-1.581560222	-1.371120746	0.4659567655	7.363601736e-05	-0.000492919839	boucle_1bande.py	R0:S0:1	1	-0.7132264653	-1.194243611	0.1501119502	-0.1832345698	-0.2129456542	1.390922158	0.4497172425	-2.385692785	0.2003544346	-1.581017781	0.01288257471	0.2085004372	0.06019368804	-1.130003849	-0.001353254828	7.532297216e-05	-0.6215504547	0.2009981052	2025-02-07@11:31	-0.5	0.1540655936	0.4712489178	v2.7.1	
4	Broyden	0	-0.05443359431	-23.2446766	-1.420025915	Y	7	0.1907553459	self-energy	sharp_wc_2_b_35	-0.223106838	1.987375266	0.4412691705	0.1071461316	0.6587996367	0.3855378712	-0.09221463709	1.104920615	-0.6587549019	1.614513259	0.09225591033	0.8956662479	36.45014153	0.007097237207	0.682077139	0.01223927693	a248bdd	2x2_2C_8b_C2v_L	4.55	1.131089532	1.171621652	0.9999999993462894	0.0004143125125	-0.00308453686	-0.0004105927315	0.0006258808752	0.01310651082	0.2069396342	0.06292603192	-1.151300841	0.4504542289	-2.36048873	0.1977951819	-1.590765753	-1.271539666	0.442461647	0.0006199008632	-0.005212936128	boucle_1bande.py	R0:S0:1	1	-0.7089488802	-1.188563796	0.1495048951	-0.1831832271	-0.2133049143	1.38873644	0.4504391968	-2.360667889	0.1977340223	-1.590149765	0.01332668463	0.2062106329	0.0629078854	-1.151222629	-0.006205171711	0.0002906483043	-0.6147643784	0.2043290418	2025-02-07@11:36	-0.5	0.149671752	0.4629242378	v2.7.1	
