CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	M	M_ave	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tbA1down_1	tbA1down_1_ave	tbA1up_1	tbA1up_1_ave	tbA2down_1	tbA2down_1_ave	tbA2up_1	tbA2up_1_ave	tbA3down_1	tbA3down_1_ave	tbA3up_1	tbA3up_1_ave	tbA4down_1	tbA4down_1_ave	tbA4up_1	tbA4up_1_ave	tbA5down_1	tbA5down_1_ave	tbA5up_1	tbA5up_1_ave	tbA6down_1	tbA6down_1_ave	tbA6up_1	tbA6up_1_ave	tbA7down_1	tbA7down_1_ave	tbA7up_1	tbA7up_1_ave	tbA8down_1	tbA8down_1_ave	tbA8up_1	tbA8up_1_ave	tbB1down_1	tbB1down_1_ave	tbB1up_1	tbB1up_1_ave	tbB2down_1	tbB2down_1_ave	tbB2up_1	tbB2up_1_ave	tbB3down_1	tbB3down_1_ave	tbB3up_1	tbB3up_1_ave	tbB4down_1	tbB4down_1_ave	tbB4up_1	tbB4up_1_ave	tbB5down_1	tbB5down_1_ave	tbB5up_1	tbB5up_1_ave	tbB6down_1	tbB6down_1_ave	tbB6up_1	tbB6up_1_ave	tbB7down_1	tbB7down_1_ave	tbB7up_1	tbB7up_1_ave	tbB8down_1	tbB8down_1_ave	tbB8up_1	tbB8up_1_ave	time	tp	tp_1_ave	tp_ave	trb1_1	trb1_1_ave	trb2_1	trb2_1_ave	trb3_1	trb3_1_ave	trb4_1	trb4_1_ave	trb5_1	trb5_1_ave	trb6_1	trb6_1_ave	trb7_1	trb7_1_ave	trb8_1	trb8_1_ave	version	
1	Broyden	0	-0.1982435498	-12.89784172	-1.298287261	Y	0	0.002567325967	4.840593742	0.1208953053	self-energy	sharp_wc_2_b_35	0.6373969178	0.06339298706	0.634661942	0.06298633678	0.2340652591	0.1727437039	0.2350432509	0.1724987583	0.3828505298	0.6265244998	0.6923060887	0.07640139787	0.6920741856	0.07640241669	0.3827721577	0.6265375999	a248bdd	2x2_2C_8b_C2v_L	2.420296871	1.000339447	1.000418083	1.0000003317380093	0.06475514324	-0.06681971769	0.3958656644	-0.409798847	-0.2140632583	1.514528403	0.06025132957	-0.4258587146	0.2328268275	-1.932928807	-0.2155988761	0.6544051469	-0.2154884793	0.653989145	0.23285906	-1.933124669	boucle_1bande_AF.py	R0:S0:1	1	-0.7226263449	-1.298282812	0.3988770727	-0.1027766682	0.3977437248	-0.1027007142	-0.06296660633	0.01629242912	-0.06700172029	0.01736358465	0.05694933822	-0.1011259481	0.06326474663	-0.1118977407	0.2140313473	-0.3798276631	0.2140121484	-0.3779697222	-0.2318928799	0.4819623537	-0.2321394763	0.4839713807	-0.2167086607	0.1656155252	-0.2179702345	0.1684527491	0.2190175848	-0.1683111625	0.2192318022	-0.1698633048	0.2331258768	-0.4839658782	0.2331389958	-0.4855166023	-0.3985013307	0.102987286	-0.3982901266	0.1027210252	0.0628838818	-0.01628845852	0.06708538013	-0.01734834126	0.05732345569	-0.1014098732	0.06282278754	-0.1115827652	0.2155976982	-0.3808906163	0.2122923989	-0.3768511591	0.2336625595	-0.486097775	0.2327180542	-0.4834850594	0.2191401819	-0.1695385442	0.2190305108	-0.1684110806	0.2172153512	-0.1675169992	0.2175110293	-0.1667373965	0.232111257	-0.4838198957	0.2317974618	-0.4820175554	2025-01-14@15:33	-0.002272954803	0.000394046396	0.001957413013	-0.002053893293	0.002121904185	0.0003284460351	-0.0003371947677	-0.0008350868533	0.005905711189	-0.002966223511	0.02095890166	-0.000171156607	0.0005845001054	-0.0002927176423	0.001727933173	-0.0001299349426	0.0007694058365	-8.153871551e-05	0.0002589619674	v2.7.1	
4	Broyden	0	-0.1982182596	-12.92483994	-1.295174338	Y	0	0.002523847323	4.860593742	0.120266377	self-energy	sharp_wc_2_b_35	0.6390654847	0.06255027198	0.635998071	0.0621318508	0.2352656895	0.1710504034	0.2368264611	0.1707823732	0.3831593049	0.6215550866	0.6935023228	0.07559004673	0.6933234328	0.07559306975	0.3831189279	0.6215620012	a248bdd	2x2_2C_8b_C2v_L	2.430296871	1.000336498	1.000403861	1.0000017205106526	0.06471447766	-0.06636863632	0.3955803443	-0.4072333498	-0.2139918883	1.508316752	0.0602456299	-0.423950931	0.2329803357	-1.925658071	-0.2147804167	0.648488078	-0.2147065535	0.6482290393	0.2330057081	-1.9258461	boucle_1bande_AF.py	R0:S0:1	1	-0.7218607761	-1.295169962	0.3984246861	-0.1018865941	0.3976833769	-0.1023323054	-0.06283785127	0.016139809	-0.0669842722	0.01730882107	0.05688473932	-0.1005840084	0.0631918598	-0.1114176632	0.2143579547	-0.3784225052	0.2137981398	-0.3763318773	-0.2316776813	0.4798236925	-0.2318662533	0.4817340726	-0.2167274111	0.1653216695	-0.2179963792	0.1681220369	0.2187754287	-0.1676821328	0.2190836244	-0.1693132874	0.2327753308	-0.481575853	0.2327213024	-0.483040838	-0.3984454959	0.1026135659	-0.3978286152	0.1018285936	0.06282941237	-0.01623484589	0.06699748727	-0.01720440531	0.05716390491	-0.1008140921	0.06284210507	-0.1111487234	0.2154119977	-0.3792856428	0.2125982674	-0.3754180159	0.2332222684	-0.4836063798	0.2323627167	-0.4811114557	0.2189779692	-0.169000945	0.2188199446	-0.1678469936	0.2172560205	-0.1671756837	0.2175136523	-0.1663940822	0.2318645209	-0.4816023208	0.2315790298	-0.4798558252	2025-01-14@15:39	-0.002272954803	0.000394786259	0.001925548192	-0.002073607154	0.002131830663	0.0003322021648	-0.0003396971837	-0.0008485085206	0.005974303579	-0.003010576306	0.02118108163	-0.0001694548848	0.0005645853095	-0.0002824614245	0.001660859173	-0.0001466037854	0.0008561652536	-7.936893991e-05	0.0002726043044	v2.7.1
3	Broyden	0	-0.1982091895	-12.92515016	-1.295180065	Y	0	-0.001387659701	4.860593742	0.1202688156	self-energy	sharp_wc_2_b_35	0.6394422976	0.06252718164	0.6363637262	0.06210768668	0.2353872093	0.1710410048	0.2370234681	0.1707813407	0.3832175841	0.6215390817	0.6939438173	0.07559196051	0.6937870571	0.07559623037	0.3831806807	0.6215474329	a248bdd	2x2_2C_8b_C2v_L	2.430296871	1.000334448	1.000410202	1.0000015861117018	0.06472080795	-0.06635497509	0.3956752025	-0.4072282675	-0.2140389051	1.508499929	0.06023312288	-0.423789971	0.2330386158	-1.92583536	-0.2147920217	0.648226384	-0.2147270861	0.6480016263	0.2330608545	-1.926005825	boucle_1bande_AF.py	R0:S0:1	1	-0.7218439355	-1.295175648	0.3988610637	-0.102881372	0.3974360071	-0.1013318017	-0.0628816016	0.01629075294	-0.06694182056	0.01714113609	0.0569747259	-0.1006491649	0.06305961966	-0.1112581586	0.214933496	-0.3790529753	0.2133955122	-0.3758449001	-0.2319346195	0.4812869497	-0.2316187753	0.480276778	-0.2171490612	0.1666446129	-0.2179208078	0.1670862693	0.2190698018	-0.1688607767	0.2189191633	-0.1681742722	0.2329686172	-0.4829373184	0.2324051431	-0.4814761612	-0.3982020013	0.1016139523	-0.39825855	0.1028169328	0.06276718317	-0.01607242305	0.06706798875	-0.01737091817	0.05699884172	-0.1005885143	0.06299364283	-0.1113117953	0.2150211756	-0.3788199585	0.2131550966	-0.3760185346	0.2328972797	-0.4820265952	0.2325539038	-0.48247316	0.2188063348	-0.1678592263	0.2191279128	-0.1690466989	0.2171869959	-0.1661447583	0.2179246549	-0.1677034228	0.2316300963	-0.4801592206	0.2318319923	-0.481313314	2025-01-14@15:50	-0.002272954803	0.00039834938	0.00194337177	-0.002085418557	0.002144073007	0.000332700873	-0.000337729952	-0.0008515182028	0.006000660808	-0.003035478163	0.0213511343	-0.0001654888723	0.0005495321805	-0.0002773937376	0.001632024487	-0.0001521546539	0.0008890801508	-8.37757221e-05	0.000287601241	v2.7.1	
3	Broyden	0	-0.1982091895	-12.92515016	-1.295180065	Y	0	-0.001387659559	4.860593742	0.1202688156	self-energy	sharp_wc_2_b_35	0.6394422976	0.06252718164	0.6363637262	0.06210768668	0.2353872093	0.1710410048	0.2370234681	0.1707813407	0.3832175841	0.6215390817	0.6939438173	0.07559196051	0.6937870571	0.07559623037	0.3831806807	0.6215474329	a248bdd	2x2_2C_8b_C2v_L	2.430296871	1.000334448	1.000410202	1.000001586111408	0.06472080795	-0.06635497509	0.3956752025	-0.4072282675	-0.2140389051	1.508499929	0.06023312288	-0.423789971	0.2330386158	-1.92583536	-0.2147920217	0.648226384	-0.2147270861	0.6480016263	0.2330608545	-1.926005825	boucle_1bande_AF.py	R0:S0:1	1	-0.7218439355	-1.295175648	0.3988610637	-0.1028813719	0.3974360071	-0.1013318017	-0.06288160159	0.01629075293	-0.06694182056	0.0171411361	0.05697472589	-0.1006491649	0.06305961966	-0.1112581586	0.214933496	-0.3790529753	0.2133955122	-0.3758449002	-0.2319346195	0.4812869497	-0.2316187754	0.480276778	-0.2171490612	0.1666446129	-0.2179208078	0.1670862693	0.2190698018	-0.1688607767	0.2189191633	-0.1681742722	0.2329686172	-0.4829373184	0.2324051432	-0.4814761612	-0.3982020013	0.1016139524	-0.39825855	0.1028169328	0.06276718317	-0.01607242305	0.06706798875	-0.01737091816	0.05699884172	-0.1005885143	0.06299364282	-0.1113117953	0.2150211756	-0.3788199586	0.2131550966	-0.3760185346	0.2328972797	-0.4820265952	0.2325539038	-0.4824731599	0.2188063348	-0.1678592263	0.2191279128	-0.1690466989	0.2171869959	-0.1661447583	0.2179246549	-0.1677034227	0.2316300963	-0.4801592207	0.2318319923	-0.4813133139	2025-01-14@15:51	-0.002272954803	0.0003983493799	0.001943371772	-0.002085418558	0.002144073008	0.0003327008729	-0.0003377299512	-0.0008515182018	0.006000660803	-0.003035478164	0.02135113431	-0.0001654888727	0.000549532181	-0.0002773937377	0.001632024487	-0.0001521546543	0.0008890801531	-8.377572197e-05	0.0002876012409	v2.7.1	
5	Broyden	0	-0.1982992797	-12.89914237	-1.298332915	Y	0	-2.045209211e-05	4.840593742	0.1209122746	self-energy	sharp_wc_2_b_35	0.6389665269	0.06330523383	0.6358258726	0.06286989092	0.2343113334	0.1727334288	0.2360054962	0.1724560222	0.3832050145	0.6264069481	0.6938897861	0.07635335989	0.6937643681	0.07635638997	0.3831725027	0.6264139545	a248bdd	2x2_2C_8b_C2v_L	2.420296871	1.000337822	1.000426434	1.0000016886569325	0.06478135242	-0.06672716317	0.3961480876	-0.4096677775	-0.2142260352	1.515316436	0.06023097573	-0.4252942782	0.2332072515	-1.93419312	-0.2154015966	0.6520085864	-0.2153476965	0.6518247031	0.2332255903	-1.934341493	boucle_1bande_AF.py	R0:S0:1	1	-0.7225740552	-1.29832839	0.3990756437	-0.1028983939	0.398258842	-0.1025557188	-0.06287268249	0.01628457549	-0.06707796113	0.01734893175	0.05692133531	-0.1008902764	0.0631102325	-0.111771302	0.215132245	-0.3806440246	0.2136308452	-0.3776756578	-0.2320451527	0.4829622519	-0.2319862874	0.482995413	-0.2178030721	0.1673333031	-0.2185324087	0.1683376764	0.2195104417	-0.1693020232	0.2193907817	-0.1692746975	0.2329744333	-0.4844452882	0.2326638054	-0.4840352688	-0.3990306175	0.1028384967	-0.3984674905	0.102834731	0.06285515964	-0.0162571227	0.06710109269	-0.01737576737	0.05696185284	-0.1009059955	0.0630257456	-0.1117399845	0.2152775306	-0.3806987375	0.2133345529	-0.3775639915	0.2331419571	-0.4845708393	0.2325607285	-0.4839851057	0.2192622809	-0.1689461487	0.219592744	-0.1695236888	0.2178055274	-0.1673922483	0.2185622381	-0.1683705695	0.232014431	-0.4828988814	0.2319384665	-0.482979882	2025-01-14@15:54	-0.002272954803	0.0004021976373	0.00199083558	-0.002107380541	0.002176770432	0.0003375175517	-0.000347009843	-0.0008654993225	0.006116392781	-0.003077704953	0.02172708386	-0.0001621661792	0.0005388141948	-0.0002695958724	0.001589771234	-0.0001648195617	0.0009650868469	-9.022688896e-05	0.0003117679081	v2.7.1	
2	Broyden	0	-0.1983895768	-12.87126682	-1.301314587	Y	0	-0.0001870171762	4.820593742	0.1215123166	self-energy	sharp_wc_2_b_35	0.6372661379	0.06416065115	0.634057885	0.06372060248	0.2322486383	0.1743437389	0.2341204456	0.1740543953	0.3831631145	0.6307208912	0.6931061776	0.07703779057	0.6930173112	0.07704003668	0.3831351169	0.6307270634	a248bdd	2x2_2C_8b_C2v_L	2.410296871	1.00034443	1.000434767	1.0000018537189659	0.06477846534	-0.06708428256	0.3963010271	-0.4120769328	-0.2140620751	1.520860799	0.06011249385	-0.4262409631	0.2333921555	-1.942120605	-0.2156703547	0.6544983262	-0.2156281405	0.6543551366	0.2334064498	-1.94224608	boucle_1bande_AF.py	R0:S0:1	1	-0.7233906183	-1.301309998	0.399198146	-0.1035256753	0.3983776366	-0.1031370932	-0.06282134926	0.01636766274	-0.06709300485	0.01744681342	0.05672381551	-0.1009741466	0.06299835622	-0.1121098844	0.2150870597	-0.3821176718	0.2133881625	-0.3789786011	-0.232200364	0.4850124591	-0.2320485959	0.4848677058	-0.2184080455	0.1684750078	-0.219183568	0.1694537488	0.2198030989	-0.170084234	0.219829537	-0.1701581412	0.2329629927	-0.4862309992	0.2325601049	-0.4856601135	-0.3991591654	0.1034222635	-0.3985784218	0.1034577567	0.06280322761	-0.01633163929	0.06711659717	-0.01748272158	0.05672272781	-0.1009645012	0.06296050449	-0.1121066757	0.2150695168	-0.3820760516	0.2132555378	-0.3789628018	0.2330213279	-0.4861726944	0.2325536585	-0.4857812052	0.2196737443	-0.1698025129	0.2199202106	-0.1703557046	0.2184732212	-0.1685142154	0.2191438409	-0.1694846821	0.2321025319	-0.4848031648	0.2320803962	-0.4850105676	2025-01-14@15:57	-0.002272954803	0.0004067948248	0.002019101391	-0.002142210308	0.00222469051	0.0003428260047	-0.000354414276	-0.0008831856143	0.006267878809	-0.003145368431	0.0222963457	-0.0001569072734	0.000521271354	-0.0002603065203	0.001539791975	-0.0001803732237	0.001060031623	-9.949184932e-05	0.0003440330774	v2.7.1	
4	Broyden	0	-0.1978099297	-12.95290778	-1.292103331	Y	0	0.01677747812	4.880593742	0.1196493202	self-energy	sharp_wc_2_b_35	0.6409930308	0.06173621468	0.6381981683	0.06129906219	0.236805553	0.1694069826	0.2386330577	0.1691492045	0.3834717572	0.6167194945	0.6963418401	0.07486343887	0.6962538529	0.07485967775	0.3834445304	0.6167187085	a248bdd	2x2_2C_8b_C2v_L	2.440296871	1.000320043	1.00040047	1.0000017218887267	0.06463462601	-0.06592021777	0.3955296286	-0.4048969349	-0.2140652318	1.502750587	0.06011038284	-0.4211843961	0.2331524496	-1.918368914	-0.2142491498	0.6433075393	-0.2142092766	0.6431746677	0.2331653229	-1.918485714	boucle_1bande_AF.py	R0:S0:1	1	-0.7210375448	-1.292098966	0.396379109	-0.09675658634	0.3994814328	-0.1062905947	-0.06239251105	0.01529815703	-0.06728944978	0.0179742662	0.05637534656	-0.09925002803	0.06342787623	-0.111412087	0.2136704	-0.3754670415	0.2148100686	-0.3765971114	-0.2307698163	0.4725875543	-0.2325544027	0.4848698018	-0.2161697507	0.1609376946	-0.2193534412	0.1723447226	0.2175572555	-0.1624985786	0.22000867	-0.173063175	0.2315314718	-0.4737737534	0.2330666417	-0.4856618405	-0.4002655091	0.1065830939	-0.3957663753	0.09670110936	0.06299247866	-0.01682739938	0.06665342395	-0.01633947076	0.0571222881	-0.100360935	0.06255635434	-0.1101633757	0.216497626	-0.3796669966	0.2118538616	-0.3723758009	0.2335242725	-0.4861758637	0.2311271845	-0.4733404735	0.2198589339	-0.172717458	0.2176719508	-0.1627617639	0.2186399186	-0.1714002711	0.216899516	-0.1619138304	0.2326073425	-0.484808397	0.2306556582	-0.4725919979	2025-01-14@15:57	-0.002272954803	0.0003954798673	0.001920181823	-0.00213391138	0.002182397665	0.0003415258133	-0.0003482169934	-0.0008808980292	0.006178273648	-0.003137220234	0.02197698459	-0.0001535654044	0.0005124936546	-0.000257010666	0.0014966769	-0.0001809220816	0.001056503861	-9.895838593e-05	0.0003330799631	v2.7.1	
3	Broyden	0	-0.1979750901	-12.84372506	-1.30434794	Y	0	0.01874922802	4.800593742	0.1221252864	self-energy	sharp_wc_2_b_35	0.6350426613	0.06505755689	0.631764425	0.06462987357	0.2306407617	0.1759917163	0.2323797727	0.1757007115	0.382799852	0.6353057876	0.6911585177	0.07792414786	0.6910960145	0.07791980029	0.3827744276	0.6353047825	a248bdd	2x2_2C_8b_C2v_L	2.400296871	1.000348058	1.000415308	1.0000044206074268	0.0647479835	-0.0674439247	0.3963732164	-0.4146821432	-0.2140500022	1.526812053	0.05990793078	-0.4265982658	0.2335062174	-1.9498299	-0.2158603685	0.6574813997	-0.2158251712	0.6573589789	0.2335183629	-1.949944713	boucle_1bande_AF.py	R0:S0:1	1	-0.7241834115	-1.304343451	0.3972869087	-0.09887642189	0.400431208	-0.1090590028	-0.06241804036	0.01561585006	-0.06743255115	0.01844783965	0.05598735137	-0.1002569568	0.06345377553	-0.1131496488	0.2132311419	-0.3811747632	0.2150408567	-0.3828098378	-0.231277938	0.4800057171	-0.2331233456	0.4938387049	-0.2175936149	0.163819037	-0.2212860805	0.1769525302	0.2186127957	-0.1649838333	0.2216820148	-0.1773934906	0.2318311345	-0.4808755619	0.2334366906	-0.4943362119	-0.4012345438	0.1093574695	-0.3966511347	0.09881390028	0.06302398174	-0.01724261872	0.06678831794	-0.01670497271	0.05693015042	-0.1015381233	0.06236429573	-0.1117079291	0.2167934841	-0.3860367749	0.2113601688	-0.3779325952	0.233886747	-0.4948385206	0.2314311508	-0.4804548996	0.2214882944	-0.1769902772	0.218769807	-0.1653069591	0.2206001853	-0.1760143176	0.2182962005	-0.1647797595	0.2332101619	-0.4938162803	0.2311334904	-0.4799752528	2025-01-14@16:00	-0.002272954803	0.0004099347974	0.001975120727	-0.00218972865	0.002289593551	0.0003503296547	-0.0003589115901	-0.0009104153934	0.006481554827	-0.00324090966	0.02307297271	-0.0001511645753	0.0005084387958	-0.0002521417999	0.001489926073	-0.000199111149	0.00117300781	-0.0001044253518	0.0003673286309	v2.7.1	
4	Broyden	0	-0.198309021	-12.8157146	-1.307351457	Y	0	0.000119650042	4.780593742	0.1227431257	self-energy	sharp_wc_2_b_35	0.6316110996	0.06614134286	0.6289834848	0.06565610252	0.2279301651	0.1778902839	0.22984195	0.1775604614	0.3824906504	0.6401954721	0.6891983754	0.07872041141	0.6891418785	0.07872169258	0.3824652288	0.6402007745	a248bdd	2x2_2C_8b_C2v_L	2.390296871	1.000363031	1.000430366	1.000001558283872	0.06470343835	-0.06789024826	0.3963318939	-0.4174612271	-0.2136685031	1.532128921	0.05982648345	-0.4281327351	0.2335302033	-1.95762374	-0.2162945206	0.6614564229	-0.216257315	0.6613218146	0.2335441091	-1.957745732	boucle_1bande_AF.py	R0:S0:1	1	-0.7250118702	-1.307346876	0.3991980321	-0.1049487546	0.3982190926	-0.104447488	-0.06272870939	0.01656728555	-0.0670735622	0.0176653544	0.05629914667	-0.1012058793	0.06286876245	-0.1128612064	0.2145426051	-0.3849106472	0.2131401177	-0.3818452401	-0.2323466476	0.4889444989	-0.2322661102	0.489038275	-0.2194362702	0.1707540727	-0.2201305145	0.1717907975	0.2204207359	-0.1719028238	0.2204890557	-0.1721818012	0.2328707767	-0.4897898027	0.2325610573	-0.4895015698	-0.3990133322	0.1047366564	-0.3985607878	0.1048722884	0.06268349924	-0.01650867606	0.06712381159	-0.01772158294	0.05638517419	-0.1012459132	0.06273190374	-0.1128006547	0.2148764189	-0.3850640509	0.2126648757	-0.3816375144	0.2330029658	-0.4899875497	0.2324761734	-0.4893639353	0.2202843705	-0.1717695571	0.2205846924	-0.1722375535	0.2194539668	-0.1708735474	0.2201392407	-0.1717331654	0.2323511385	-0.4890143579	0.2322002017	-0.4889050124	2025-01-14@16:04	-0.002272954803	0.0004256707017	0.002015615665	-0.002190157346	0.002305641114	0.0003504757489	-0.0003684626311	-0.0009083864256	0.006507865299	-0.003246053278	0.02322386977	-0.0001542467592	0.0005142403114	-0.0002537245365	0.001513694644	-0.0001941193937	0.001152325573	-0.0001090432834	0.0003774763251	v2.7.1	
7	Broyden	0	-0.1981954908	-12.98167269	-1.28889489	Y	0	-0.000247589176	4.900593742	0.1190227766	self-energy	sharp_wc_2_b_35	0.6453742873	0.06051348475	0.6419978816	0.06012220248	0.2402883051	0.1672737841	0.2418268649	0.1670304594	0.3849206092	0.6107814609	0.7017936557	0.07377918882	0.7017397394	0.07378027338	0.3848968821	0.610785838	a248bdd	2x2_2C_8b_C2v_L	2.450296871	1.000323585	1.000403695	1.000001850558649	0.06456902049	-0.06527370665	0.3957042836	-0.4015377691	-0.2146189356	1.497425061	0.05987885267	-0.4171404767	0.2333599475	-1.909891501	-0.2141549483	0.6383550581	-0.2141226696	0.638242964	0.2333708296	-1.909989977	boucle_1bande_AF.py	R0:S0:1	1	-0.720290418	-1.288890508	0.3986356331	-0.1008498082	0.3978283499	-0.1005006714	-0.06250611576	0.01588248832	-0.06699685342	0.0169951631	0.05632359864	-0.09842703315	0.06301259478	-0.1101351083	0.2156644724	-0.3763148129	0.2137288676	-0.3729725471	-0.2320830832	0.4769168481	-0.2318356253	0.476640025	-0.2177161585	0.1653899864	-0.2184746378	0.166284621	0.2183717615	-0.1661356227	0.2186369676	-0.1664641565	0.2324296726	-0.4774547241	0.2319553129	-0.4768334827	-0.3986435823	0.1007896215	-0.3979835619	0.1007770059	0.06249552631	-0.01585380368	0.06701322107	-0.01702446899	0.05628341091	-0.09839966752	0.0630118614	-0.1101479899	0.2155240638	-0.3762155042	0.2137174465	-0.3730163214	0.2323642125	-0.4772657477	0.2320607883	-0.4770706929	0.218407728	-0.1660389534	0.218567536	-0.1664961414	0.2178314688	-0.1654297209	0.2183790562	-0.1662954301	0.2319403602	-0.4766495021	0.2319245051	-0.4768554869	2025-01-14@16:06	-0.002272954803	0.0003816565433	0.001927801745	-0.002246704806	0.002276687899	0.0003593945041	-0.000362835096	-0.0009405338027	0.006556903836	-0.003369330166	0.02346698583	-0.0001398641165	0.0004568139142	-0.0002349207667	0.001361955179	-0.000209460731	0.001209195845	-0.0001149890364	0.0003912355857	v2.7.1	
