model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.84377792	0	12.707713	0.97304792	-0.1665063	1.262819	0.21886687	1.2628712	0.21885545	0.73415313	0.33318499	2.9152119	-0.57049903	0.17102692	-0.43093755	0.15041959	-0.43094438	0.15042364	0.19167514	2.6091883e-06	1	-4.3003255e-06	5.8832797e-06	-0.024413725	-0.14068707	0.024419049	0.14068291	-9.354562e-07	0.12381267	0.44591635	0.028212103	0.92035442	-0.7505243	-0.20912806	0.01997054	0.028610845	1.9280288	0.083495118	0.31033087	0.08349164	0.31033765	0.03340233	0.0042477603	0.92222465	0.30635603	-0.909171	0.84478842	-1.0934636	0.84477968	-1.0934869	-0.58612587	-1.2190157e-05	-0.4668212	1.5279005e-05	-6.4027256e-06	-0.22559152	1.1433868	0.22556898	-1.1433761	-3.8931764e-07	-0.14405042	-0.052479031	-13.44844	R0:S0:1	0.92222465	b8cfe21	v2.4.3	Y	fixed_point	2	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-08@10:01
2x2_2C_8b_C2v_L	-0.85870215	0	12.707713	0.9601775	-0.16098322	1.2406766	0.21191355	1.2405627	0.21189082	0.71272271	0.32204707	2.9052119	-0.56979069	0.17617174	-0.43054715	0.14995831	-0.43053331	0.14995004	0.19200725	2.5626041e-05	1	-2.470425e-06	2.3987122e-06	-0.025003178	-0.14413053	0.024995312	0.14412417	-2.2698615e-05	0.12588962	0.44591635	0.02484798	0.91511733	-0.76192628	-0.21702698	0.019955619	0.031235287	1.9206317	0.090124548	0.32969294	0.090132879	0.32969024	0.036490543	0.0044768533	0.91712281	0.31498904	-0.94762801	0.88434225	-1.1453694	0.88436815	-1.1453578	-0.61597784	-0.00011294124	-0.46966014	9.0485978e-06	-2.9950032e-06	-0.2256921	1.162642	0.22571994	-1.1626326	2.144401e-05	-0.1469033	-0.055532297	-13.421513	R0:S0:1	0.91712281	b8cfe21	v2.4.3	Y	fixed_point	10	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-08@10:17
2x2_2C_8b_C2v_L	-0.87271117	0	12.707713	0.94718823	-0.15553631	1.2184236	0.20531312	1.2182635	0.20527326	0.69164375	0.31203286	2.8952119	-0.56897115	0.18069358	-0.43004619	0.1494696	-0.43003865	0.14944164	0.19228045	-7.5961442e-05	1	1.8186043e-06	7.7715178e-07	-0.025582423	-0.14712558	0.025563934	0.14711773	7.1813643e-05	0.12768055	0.44591635	0.02159674	0.91018868	-0.77261306	-0.22447731	0.019939427	0.033931711	1.913216	0.096700557	0.34810086	0.096720823	0.34808179	0.03960163	0.0046956932	0.91231742	0.32367275	-0.983487	0.92261721	-1.1927614	0.92269294	-1.1926911	-0.64507531	0.00034711848	-0.47227126	-8.9626059e-06	-1.2572434e-06	-0.22498244	1.1791538	0.22505166	-1.179139	-7.1341493e-05	-0.14948752	-0.058387323	-13.393624	R0:S0:1	0.91231742	b8cfe21	v2.4.3	Y	fixed_point	10	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-08@10:32
2x2_2C_8b_C2v_L	-0.88584072	0	12.707713	0.9342147	-0.15013998	1.1959038	0.19893693	1.1957415	0.19892564	0.67164612	0.30303684	2.8852119	-0.56807625	0.18464411	-0.42946451	0.14886376	-0.42944536	0.14885464	0.19255325	-1.828044e-05	1	1.1307977e-06	-5.5649248e-07	-0.026108755	-0.14970574	0.02609908	0.14970572	1.5460156e-05	0.12925543	0.44591635	0.018494848	0.9055542	-0.78261667	-0.23148749	0.019921674	0.036698848	1.9058051	0.10327343	0.3655456	0.10328643	0.36554678	0.04270598	0.004907878	0.90779555	0.33240062	-1.0169341	0.95985002	-1.2356076	0.95988452	-1.2355822	-0.67328718	8.876718e-05	-0.47467069	-3.9962647e-06	1.1634076e-06	-0.22373088	1.1933042	0.22377232	-1.1933337	-1.3808439e-05	-0.15187888	-0.061053294	-13.364697	R0:S0:1	0.90779555	b8cfe21	v2.4.3	Y	fixed_point	10	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-08@10:48
2x2_2C_8b_C2v_L	-0.89815568	0	12.707713	0.92126248	-0.14486978	1.1731843	0.19283919	1.1731834	0.19284353	0.65203987	0.29474033	2.8752119	-0.5671086	0.18809143	-0.42878536	0.14818513	-0.42878568	0.14818331	0.19274397	-6.3725955e-05	1	-2.280278e-06	1.7003484e-06	-0.02660552	-0.15193267	0.026603195	0.1519372	6.7446211e-05	0.13060279	0.44591635	0.015562523	0.90119303	-0.7919897	-0.23808496	0.01990193	0.039532361	1.8984149	0.10984047	0.38211825	0.10984053	0.38212533	0.045806938	0.0051142118	0.9035344	0.34114908	-1.0481672	0.99607006	-1.2743009	0.99606678	-1.2742939	-0.70061895	0.00031648245	-0.47687895	6.8037441e-06	-1.8785847e-06	-0.2219871	1.2054771	0.22199485	-1.2055125	-6.6365071e-05	-0.15408797	-0.063549581	-13.334917	R0:S0:1	0.9035344	b8cfe21	v2.4.3	Y	fixed_point	10	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-08@11:03
2x2_2C_8b_C2v_L	-0.90972138	0	12.707713	0.90835962	-0.13963479	1.150421	0.18696637	1.1504633	0.18697913	0.6333836	0.2872531	2.8652119	-0.56607825	0.19104467	-0.42804676	0.14740845	-0.42805325	0.14741199	0.19292214	-1.5831089e-05	1	4.8204928e-06	-7.3931054e-06	-0.027078659	-0.15384506	0.027083613	0.15384749	1.4816378e-05	0.13177269	0.44591635	0.012809677	0.89708107	-0.80078403	-0.24429997	0.019880273	0.042433636	1.8910652	0.11642118	0.3979053	0.11641785	0.39789902	0.048888512	0.0053160291	0.89951266	0.34990308	-1.0772733	1.0314242	-1.3090823	1.0314175	-1.3090845	-0.72706564	8.1933949e-05	-0.47891885	-1.6534935e-05	1.2320754e-05	-0.21979907	1.2159902	0.21978581	-1.215973	-1.4226472e-05	-0.15615072	-0.065895353	-13.304128	R0:S0:1	0.89951266	b8cfe21	v2.4.3	Y	fixed_point	11	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-08@11:20
2x2_2C_8b_C2v_L	-0.92055943	0	12.707713	0.89553872	-0.13452459	1.1279051	0.18139157	1.1280079	0.18140945	0.61544699	0.28020216	2.8552119	-0.56498613	0.19355197	-0.42728118	0.14654442	-0.42728318	0.14656426	0.19305346	3.0694963e-05	1	-6.6256526e-06	6.7643258e-06	-0.027529313	-0.15548687	0.027539116	0.1554876	-2.6462986e-05	0.13276261	0.44591635	0.010254001	0.89321244	-0.80901837	-0.25013897	0.019856777	0.045389494	1.883796	0.12298786	0.41282327	0.12296997	0.41283452	0.051935737	0.0055150712	0.89572416	0.35861243	-1.1043225	1.0658423	-1.3400004	1.0657793	-1.3400692	-0.75252926	-0.00016354174	-0.48080575	2.4528209e-05	-1.1251944e-05	-0.21728777	1.2250023	0.21724311	-1.2249902	2.5631037e-05	-0.15808522	-0.068097692	-13.272513	R0:S0:1	0.89572416	b8cfe21	v2.4.3	Y	fixed_point	10	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-08@11:36
2x2_2C_8b_C2v_L	-0.93074998	0	12.707713	0.88281571	-0.12946705	1.1055707	0.17602064	1.1056223	0.17602402	0.59847571	0.27384343	2.8452119	-0.56384421	0.19564302	-0.4264731	0.145599	-0.42647083	0.14560507	0.19316862	-1.5762068e-05	1	7.8876931e-07	6.5030204e-07	-0.027967132	-0.15688044	0.027966519	0.15687586	1.5588218e-05	0.13362848	0.44591635	0.0078837383	0.88955804	-0.81675458	-0.25564301	0.019831209	0.048409363	1.8765952	0.1295646	0.42706645	0.12955562	0.42705792	0.054939127	0.0057124213	0.89214137	0.36729853	-1.1295069	1.0994701	-1.3675324	1.0994422	-1.3675561	-0.7770439	8.4973662e-05	-0.48255901	-4.7618837e-06	-2.2504253e-06	-0.21441469	1.2327777	0.214405	-1.2327391	-1.6514537e-05	-0.1599237	-0.070175005	-13.239994	R0:S0:1	0.89214137	b8cfe21	v2.4.3	Y	fixed_point	10	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-08@11:51
2x2_2C_8b_C2v_L	-0.94033515	0	12.707713	0.87028923	-0.12450825	1.0834363	0.17084961	1.0833949	0.17084615	0.58242303	0.2678112	2.8352119	-0.56267123	0.19735476	-0.42564113	0.14454345	-0.42563839	0.14453891	0.19326501	9.523987e-07	1	5.6006225e-06	-6.1064938e-06	-0.028358158	-0.15805433	0.028359242	0.15805907	-4.1276956e-06	0.13435401	0.44591635	0.0056985348	0.88610507	-0.82402663	-0.26083036	0.019803771	0.051482187	1.8694895	0.13617606	0.44057635	0.13618012	0.44059442	0.057886805	0.0059084259	0.88875039	0.37592635	-1.1529153	1.1324503	-1.3916957	1.132456	-1.391684	-0.80058167	-3.5278901e-06	-0.48419725	-1.9878952e-05	1.1611278e-05	-0.21137401	1.2394115	0.21137877	-1.2394741	5.7594325e-06	-0.1616631	-0.072138904	-13.206709	R0:S0:1	0.88875039	b8cfe21	v2.4.3	Y	fixed_point	10	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-08@12:07
2x2_2C_8b_C2v_L	-0.94936045	0	12.707713	0.85792802	-0.11962985	1.0614063	0.16586395	1.0614585	0.165848	0.56729736	0.26222197	2.8252119	-0.56146158	0.19871655	-0.42478812	0.14336553	-0.42479236	0.14336057	0.19334129	8.6589887e-06	1	4.5521976e-06	-3.815596e-06	-0.028716903	-0.15905238	0.028703132	0.15904021	-1.6151079e-06	0.13498044	0.44591635	0.0036949893	0.88283423	-0.83086927	-0.26572512	0.019774351	0.054610962	1.8624797	0.14284442	0.45345921	0.14284252	0.45342966	0.060765591	0.0061043962	0.88553822	0.3844959	-1.174669	1.1648632	-1.4126273	1.1648705	-1.4126113	-0.823109	-5.4717582e-05	-0.48573261	-2.1084596e-05	4.140951e-06	-0.20819468	1.2452483	0.20821839	-1.2451652	-3.3658137e-06	-0.16333018	-0.073997026	-13.172646	R0:S0:1	0.88553822	b8cfe21	v2.4.3	Y	fixed_point	10	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-08@12:23
