model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.68719518	0	12.707713	1.414372	-0.27047098	1.377866	0.26859467	1.3777498	0.26854348	0.78018738	0.48852655	2.9152119	-0.54351164	-8.5482191e-06	-0.41587941	0.15039152	-0.41587696	0.15037134	-0.18773988	0.00018648095	1	6.1460646e-06	0.19410025	-0.017847449	-0.091972122	0.017835377	0.091963843	0.00012584696	0.098989106	0.39591635	0.047956863	0.97013615	-0.63952094	-0.12041492	0.019762029	0.0051016454	1.9988813	0.03183203	0.13385635	0.031837116	0.1338527	0.012310822	0.0024117549	0.97237941	0.20353473	4.3785491e-05	0.49578337	-0.54761955	0.49580702	-0.54760038	0.34255377	-0.00038793818	-0.43681132	-1.6410273e-05	-0.082326912	-0.17403927	0.8358378	0.17408448	-0.83581712	-0.00013179967	-0.11590463	-0.025235442	-13.411472	R0:S0:1	0.97237941	b8cfe21	v2.4.3	Y	fixed_point	2	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-07@16:02
2x2_2C_8b_C2v_L	-0.68742876	0	12.697713	1.41417	-0.27051927	1.3775797	0.26872874	1.3775236	0.26874771	0.78033411	0.4895888	2.9152119	-0.54350505	-1.0373209e-06	-0.41584089	0.15038724	-0.41583631	0.15038228	-0.18773985	0.00010879534	1	5.6983983e-09	0.19406782	-0.017841712	-0.091944046	0.017841212	0.091953086	7.5510394e-05	0.09904949	0.39591635	0.047957069	0.97019266	-0.63975588	-0.1204115	0.019790083	0.0051065746	1.9988814	0.031809144	0.13364688	0.031809833	0.13364825	0.012296598	0.0024103745	0.97243475	0.20360797	5.4029088e-06	0.4957717	-0.54710719	0.49576818	-0.54709445	0.34258196	-0.00022536102	-0.4370234	1.2756076e-06	-0.082345189	-0.17398861	0.83542334	0.17399707	-0.83546437	-8.0340462e-05	-0.11587951	-0.025199282	-13.412263	R0:S0:1	0.97243475	b8cfe21	v2.4.3	Y	fixed_point	7	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-07@16:14
2x2_2C_8b_C2v_L	-0.68769488	0	12.687713	1.4140015	-0.2705813	1.3774817	0.26889323	1.3776164	0.26893481	0.78014242	0.49050123	2.9152119	-0.54350331	2.2297623e-05	-0.41581455	0.15040371	-0.4158145	0.15042325	-0.18771917	0.00012866244	1	-1.7631939e-05	0.19403653	-0.01784454	-0.091935509	0.01785491	0.091941231	7.9729829e-05	0.099101936	0.39591635	0.047957773	0.97023833	-0.64001762	-0.12042256	0.019818257	0.0051115568	1.9988815	0.031790129	0.13349301	0.031784118	0.13349688	0.012288919	0.0024090668	0.97247923	0.2036807	-0.00011869709	0.49580536	-0.54677657	0.49577691	-0.54679631	0.34266248	-0.00026829344	-0.43724335	5.0074224e-05	-0.082363398	-0.17393696	0.83516479	0.17389296	-0.83517978	-8.2535772e-05	-0.11585196	-0.025172328	-13.413117	R0:S0:1	0.97247923	b8cfe21	v2.4.3	Y	fixed_point	8	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-07@16:29
2x2_2C_8b_C2v_L	-0.68792408	0	12.677713	1.4140009	-0.27065898	1.3774403	0.26913813	1.3773286	0.26908269	0.78011529	0.49120218	2.9152119	-0.54350767	7.7978886e-06	-0.4157756	0.15044259	-0.41577378	0.15042323	-0.18769211	3.3510107e-05	1	-9.1423679e-06	0.19403058	-0.017858971	-0.091920634	0.01785345	0.091915124	1.9237075e-05	0.099121747	0.39591635	0.04795828	0.97029704	-0.64024919	-0.12041658	0.019846394	0.0051162468	1.9988813	0.031754791	0.13328316	0.031758732	0.13328759	0.012273501	0.0024068439	0.97253625	0.2037527	-4.0042801e-05	0.49572972	-0.54628396	0.49574639	-0.54627509	0.34265887	-6.9769727e-05	-0.43745499	2.7697644e-05	-0.082391839	-0.17380308	0.83476951	0.17383074	-0.83478091	-2.0046756e-05	-0.11579737	-0.025134891	-13.413961	R0:S0:1	0.97253625	b8cfe21	v2.4.3	Y	fixed_point	13	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-07@16:50
2x2_2C_8b_C2v_L	-0.68816928	0	12.667713	1.4136559	-0.27061731	1.3772851	0.26928424	1.3772564	0.26925357	0.78002715	0.49211656	2.9152119	-0.5435135	1.1079136e-05	-0.41574437	0.15045002	-0.41575222	0.15043743	-0.18767264	2.2853205e-05	1	-6.1191108e-06	0.19395052	-0.01785979	-0.091898953	0.017857139	0.091896145	1.7454086e-05	0.099171983	0.39591635	0.047958611	0.97035032	-0.64049402	-0.12041749	0.019874646	0.0051216345	1.9988818	0.031731	0.13309937	0.03173346	0.13309951	0.012261957	0.002405462	0.9725882	0.20383268	-5.8754653e-05	0.49572254	-0.54584671	0.49573821	-0.54583726	0.34269935	-4.8368077e-05	-0.43767031	1.6666343e-05	-0.082390893	-0.17373413	0.83442418	0.17374915	-0.83442303	-1.706273e-05	-0.11576787	-0.025101561	-13.414582	R0:S0:1	0.9725882	b8cfe21	v2.4.3	Y	fixed_point	13	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-07@17:10
2x2_2C_8b_C2v_L	-0.68841271	0	12.657713	1.4138947	-0.27087251	1.3770582	0.26943204	1.3770257	0.26939258	0.77984888	0.49283107	2.9152119	-0.54349967	-3.5043098e-05	-0.41571355	0.15044623	-0.41571354	0.15043803	-0.18764574	1.0144976e-05	1	2.7538215e-05	0.19402774	-0.017857191	-0.091883394	0.017851155	0.091877173	3.3660389e-06	0.099204446	0.39591635	0.04795707	0.97040397	-0.64073701	-0.12041862	0.019902839	0.0051258074	1.9988807	0.031709893	0.13290728	0.03171166	0.13291076	0.01225074	0.0024038461	0.97264039	0.20389402	0.00018244463	0.49572888	-0.54538145	0.4957372	-0.54538221	0.34273674	-2.0183941e-05	-0.43788485	-7.9783449e-05	-0.082453385	-0.1736786	0.83407	0.17369654	-0.83406712	-4.2852575e-06	-0.11572773	-0.025068288	-13.415798	R0:S0:1	0.97264039	b8cfe21	v2.4.3	Y	fixed_point	10	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-07@17:27
2x2_2C_8b_C2v_L	-0.68865453	0	12.647713	1.4132933	-0.2707206	1.3769124	0.2695826	1.3770621	0.26964244	0.77987738	0.49372293	2.9152119	-0.54351367	-2.5916357e-05	-0.41568534	0.1504532	-0.41568542	0.1504831	-0.18762436	0.00016462431	1	1.5754184e-05	0.19387708	-0.017852022	-0.091859801	0.017872406	0.09186549	0.00010422846	0.09924377	0.39591635	0.047958057	0.97045927	-0.64097953	-0.12041684	0.019931251	0.0051315987	1.998882	0.031685209	0.13271352	0.031677808	0.13271587	0.012236405	0.002401965	0.97269391	0.20398074	0.00013541126	0.49571607	-0.54491741	0.49568352	-0.54494758	0.34275246	-0.00034029813	-0.43810118	-4.281936e-05	-0.082422885	-0.17362658	0.83370714	0.17355403	-0.83370541	-0.00011056437	-0.11568536	-0.025033485	-13.416198	R0:S0:1	0.97269391	b8cfe21	v2.4.3	Y	fixed_point	10	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-07@17:41
2x2_2C_8b_C2v_L	-0.68887797	0	12.637713	1.4135321	-0.27096868	1.3766811	0.26974169	1.3768753	0.26983324	0.77984103	0.49489368	2.9152119	-0.54349171	4.2893035e-05	-0.41564892	0.15045797	-0.41564181	0.15049608	-0.18761111	0.00017936154	1	-2.6323215e-05	0.19395984	-0.017852605	-0.091826484	0.017884063	0.091841543	0.00010979124	0.099299837	0.39591635	0.047957912	0.97052024	-0.64120641	-0.12040814	0.019959624	0.0051355292	1.9988811	0.031656657	0.13249169	0.03164464	0.13250131	0.012222297	0.0024001092	0.97275386	0.20404028	-0.00023067512	0.49566916	-0.54436331	0.49560764	-0.54440246	0.34276651	-0.00037430614	-0.43831063	7.0174616e-05	-0.082487429	-0.17353876	0.83324999	0.17343064	-0.83329932	-0.00011179821	-0.11565103	-0.024993679	-13.417379	R0:S0:1	0.97275386	b8cfe21	v2.4.3	Y	fixed_point	7	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-07@17:52
2x2_2C_8b_C2v_L	-0.68915337	0	12.627713	1.41279	-0.27073948	1.3767035	0.26995035	1.3766594	0.26995279	0.77974665	0.4956066	2.9152119	-0.54350778	-2.5046543e-05	-0.41561875	0.15049602	-0.41562608	0.15048749	-0.18759278	0.00018261522	1	1.6204293e-05	0.19377329	-0.017877942	-0.091834105	0.017871023	0.091835958	0.00011844581	0.099344372	0.39591635	0.047956305	0.97056357	-0.6414762	-0.12042233	0.019988121	0.0051417901	1.9988825	0.031632032	0.1323533	0.031635467	0.13234566	0.01221397	0.0023990135	0.97279578	0.20412988	0.00013040518	0.49568428	-0.54408383	0.4957045	-0.54406226	0.34285032	-0.00037751517	-0.43853586	-4.4652038e-05	-0.082443266	-0.17340498	0.83304688	0.17343251	-0.83303184	-0.0001250943	-0.11562235	-0.02496863	-13.417666	R0:S0:1	0.97279578	b8cfe21	v2.4.3	Y	fixed_point	8	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-07@18:03
2x2_2C_8b_C2v_L	-0.68938011	0	12.617713	1.4133744	-0.27114224	1.3762207	0.27003814	1.3765321	0.27010709	0.77983919	0.49682082	2.9152119	-0.543487	-9.1618715e-06	-0.41558172	0.15046421	-0.4155877	0.15049792	-0.18757946	0.00014055289	1	8.637624e-06	0.19393897	-0.017849675	-0.091790946	0.017875854	0.091806937	9.4234347e-05	0.099405713	0.39591635	0.047955575	0.97062412	-0.6417061	-0.12041436	0.020016566	0.0051452953	1.9988808	0.031617244	0.1321251	0.031603725	0.13214481	0.01219857	0.0023972944	0.97285458	0.20418371	4.6254646e-05	0.49570467	-0.54350766	0.4956386	-0.54355467	0.34285595	-0.00029044356	-0.43874593	-2.4981196e-05	-0.082541552	-0.17343102	0.83255381	0.17332771	-0.83264231	-9.9397032e-05	-0.1155925	-0.024929597	-13.419158	R0:S0:1	0.97285458	b8cfe21	v2.4.3	Y	fixed_point	8	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-05-07@18:15
