CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	tpp	tpp_ave	version	
0	Broyden	0	0.05907881362	-14.25207814	-0.828594671	Y	11.095834	0.02637674896	self-energy/D	sharp_wc_2_b_50	1.616708997	0.01320951686	0.2674526843	0.002872158547	0.2571089688	0.144201404	1.60187724	0.04216989902	1.601563384	0.04219896755	0.2569150015	0.1441591965	-0.3285434942	1.996840217	0.7663527609	0.01671942489	c61843e	2x2_2C_8b_C2v_L	3.0385852	0.971975022	0.9658243017	0.9999999998859812	0.7795464478	-0.317095027	0.246009741	-0.1198720375	0.138896626	-0.6265041345	0.4710330694	-0.6156982325	0.4710437885	-0.6158374822	0.1388196512	-0.6263886002	0.07804128934	-0.1168644482	-0.1726678546	0.4089814853	boucle_1bande.py	R0:S0:1	1	-0.467572507	-0.6813740219	1.554095891e-05	-7.09866416e-05	-7.649019916e-06	1.165771174e-05	-0.07525201136	0.8676911839	0.0131876093	0.2367575415	-0.01309821792	-0.237031513	0.07521022991	-0.8675052652	-7.232886395e-06	1.638499188e-05	7.118170297e-05	-9.320264818e-05	2024-06-18@16:09	0.67456547	-0.03412908521	-0.2007072675	0.26414835	-0.04478716938	v2.6.0	
22	Broyden	0	0.05901301686	-14.24482582	-0.83232671	Y	11.095834	0.02637671655	self-energy/D	sharp_wc_2_b_50	1.611384628	0.01325332602	0.2662252316	0.002907090725	0.255684799	0.1486339477	1.599078236	0.04339524703	1.599391769	0.04338207978	0.2556872641	0.1486406586	-0.32547016	1.996743089	0.7651074793	0.01720227522	c61843e	2x2_2C_8b_C2v_L	3.0375852	0.9708076794	0.9645188114	0.9999999998609563	0.7791399398	-0.3169083058	0.2455045968	-0.1197377999	0.1387522562	-0.6417329557	0.4713512784	-0.624325447	0.4713437934	-0.6242678111	0.1387797057	-0.6417942179	0.07894557042	-0.1184560893	-0.1727115481	0.4144075025	boucle_1bande.py	R0:S0:1	1	-0.468352126	-0.6839980266	2.772344053e-05	-6.068719977e-05	-5.089715347e-05	0.0002876517045	-0.07636311663	0.8781757584	0.01332854965	0.2395351562	-0.01333349453	-0.2394743144	0.07634701792	-0.8781298237	8.665938076e-05	-0.0002701764447	-4.30724458e-05	5.852138542e-05	2024-06-18@16:26	0.67456547	-0.03523471099	-0.2025308152	0.26414835	-0.04432505002	v2.6.0	
17	Broyden	0	0.05895370453	-14.24203996	-0.8356613133	Y	11.095834	0.02637630159	self-energy/D	sharp_wc_2_b_50	1.608548804	0.01328494834	0.2657820847	0.002945189439	0.2548190061	0.1525929046	1.596898543	0.04444694561	1.596909268	0.04445981549	0.2545758291	0.1525721972	-0.3248141211	1.996657183	0.766262802	0.01760721345	c61843e	2x2_2C_8b_C2v_L	3.0365852	0.9697710281	0.9633527806	0.9999999998513849	0.7788058244	-0.3166880501	0.2455884076	-0.1198553302	0.1388403599	-0.6555840119	0.4715117091	-0.6317412802	0.4715049205	-0.6318129577	0.1387868815	-0.6555446701	0.07989040134	-0.1199121826	-0.1729126825	0.4191888178	boucle_1bande.py	R0:S0:1	1	-0.4690433317	-0.686346544	-5.04507416e-05	0.0001556326188	3.632637546e-05	-0.0001766029815	-0.07728922706	0.8871634837	0.01352594091	0.2418174794	-0.01344154226	-0.2420101451	0.07722573629	-0.8869375325	-0.0001207936799	0.0004020372054	8.329817216e-05	-8.419525023e-05	2024-06-18@16:40	0.67456547	-0.03621338688	-0.204156444	0.26414835	-0.04390669744	v2.6.0	
8	Broyden	0	0.05879919771	-14.23067709	-0.8392911731	Y	11.095834	0.02637427011	self-energy/D	sharp_wc_2_b_50	1.602697209	0.01332704059	0.2644721058	0.002979288159	0.253291114	0.1568627236	1.59337213	0.04567125408	1.593726577	0.04565062407	0.2535550711	0.1568830181	-0.3197495194	1.996562681	0.7634682582	0.01808150187	c61843e	2x2_2C_8b_C2v_L	3.0355852	0.9686329481	0.9620754021	0.9999999998123297	0.7783195871	-0.3164821944	0.2449703496	-0.1196664828	0.1386360643	-0.670197761	0.4717223103	-0.6402508527	0.4717384806	-0.6401413143	0.1387168436	-0.6702579914	0.08055557093	-0.1213202529	-0.1727640191	0.4243250721	boucle_1bande.py	R0:S0:1	1	-0.4698095407	-0.6888868611	-3.547510125e-05	5.936937369e-05	7.264339329e-05	-0.0004334090847	-0.07834698704	0.8967418624	0.01364232259	0.2443590255	-0.01368002997	-0.24422582	0.07840329816	-0.8969377155	-7.906624543e-07	-1.876149413e-05	1.0617995e-05	-3.741745991e-05	2024-06-18@16:47	0.67456547	-0.0372902393	-0.2059536584	0.26414835	-0.04344182209	v2.6.0	
7	Broyden	0	0.05867303558	-14.22238092	-0.8426916676	Y	11.095834	0.02637382016	self-energy/D	sharp_wc_2_b_50	1.596538637	0.01336765903	0.2624593069	0.002996615227	0.2526985509	0.1608651234	1.593260246	0.04668521705	1.591212476	0.04676838559	0.2521216137	0.1609147981	-0.3163821822	1.996487995	0.7616938242	0.01853846233	c61843e	2x2_2C_8b_C2v_L	3.0345852	0.967582588	0.9608857189	0.9999999997989213	0.77803422	-0.3163472605	0.2439669107	-0.1192637799	0.1389019863	-0.6844539262	0.4720030167	-0.647597516	0.4719319257	-0.6478788709	0.1386491995	-0.6842290916	0.08111446804	-0.1224317235	-0.1727713908	0.4293286265	boucle_1bande.py	R0:S0:1	1	-0.470524284	-0.6912786472	-1.519942298e-05	2.032091676e-05	3.470988545e-05	-0.0002051358937	-0.07922615141	0.9051039961	0.01386147427	0.2462424372	-0.0137636952	-0.2467593781	0.07919860726	-0.9054155723	-0.0001957124825	0.0006468808134	0.0001397810398	-0.0001793945566	2024-06-18@16:54	0.67456547	-0.03828778172	-0.2076217908	0.26414835	-0.04300056973	v2.6.0	
7	Broyden	0	0.05849991174	-14.21701517	-0.8461452236	Y	11.095834	0.02637188417	self-energy/D	sharp_wc_2_b_50	1.592643208	0.01340204235	0.2617139835	0.003031323767	0.250716576	0.1648949414	1.586837294	0.04798920153	1.589013249	0.04787188785	0.2514674393	0.1648849499	-0.3144474995	1.996400765	0.7614691605	0.01897451212	c61843e	2x2_2C_8b_C2v_L	3.0335852	0.9665095872	0.9596726164	0.9999999998583865	0.7776534618	-0.3161259973	0.2437671651	-0.1192476375	0.1384511982	-0.6980068	0.4720428303	-0.6561011051	0.4720618875	-0.6556611962	0.1388286486	-0.6984363928	0.08191967396	-0.1237929068	-0.1728553658	0.4342812192	boucle_1bande.py	R0:S0:1	1	-0.4712445319	-0.6936980927	1.760620446e-05	-4.35679938e-09	-6.200965809e-05	0.0003905776773	-0.080069856	0.9137594111	0.01379143133	0.2495390859	-0.01398450694	-0.2487184928	0.0801053764	-0.9134408196	2.273761574e-05	-5.185506367e-05	-4.07688521e-05	7.920555626e-05	2024-06-18@17:00	0.67456547	-0.03930204065	-0.2093319499	0.26414835	-0.04254815803	v2.6.0	
8	Broyden	0	0.05825266874	-14.20741074	-0.8495514348	Y	11.095834	0.02637042855	self-energy/D	sharp_wc_2_b_50	1.587474284	0.01344570356	0.2606078505	0.003067123433	0.2497296644	0.1688866627	1.585201041	0.0490781505	1.584633964	0.04909869595	0.2495845148	0.1689764303	-0.3103187637	1.996301641	0.7604489405	0.01941190037	c61843e	2x2_2C_8b_C2v_L	3.0325852	0.9654451943	0.958469394	0.9999999998481761	0.7772425104	-0.3159575724	0.2432679266	-0.1191210342	0.1384941575	-0.7119227295	0.4722628786	-0.6638393963	0.4722520979	-0.6638639183	0.1384534918	-0.7119501528	0.08264002941	-0.1252380266	-0.1728729329	0.4391700255	boucle_1bande.py	R0:S0:1	1	-0.4719560732	-0.6960665237	-1.42407956e-06	-3.027263816e-05	2.177921499e-05	-0.0001446771891	-0.08103237226	0.9218057281	0.01402442642	0.2510809364	-0.01398788477	-0.2512450467	0.0810532951	-0.9222004792	-0.0002278485341	0.0007759425356	0.0001947369419	-0.0002510781716	2024-06-18@17:07	0.67456547	-0.04030874583	-0.2110475381	0.26414835	-0.04209577462	v2.6.0	
10	Broyden	0	0.05797379757	-14.20465394	-0.8531460854	Y	11.095834	0.02637102373	self-energy/D	sharp_wc_2_b_50	1.582771997	0.01348777907	0.2595165965	0.00310117541	0.2478508649	0.1731092333	1.581546573	0.05037441532	1.581628387	0.05034492972	0.2481632831	0.1731896656	-0.3094968809	1.996205817	0.759636104	0.01988317103	c61843e	2x2_2C_8b_C2v_L	3.0315852	0.9643249729	0.9572044293	0.9999999997815583	0.7768504048	-0.3157678874	0.2428754649	-0.119032518	0.1381795744	-0.7261856191	0.4726085349	-0.6726335113	0.4725899775	-0.6724227073	0.1382264481	-0.7262127622	0.08358952781	-0.1267406018	-0.1729519924	0.4444467746	boucle_1bande.py	R0:S0:1	1	-0.4727041814	-0.6985675514	0.000149886502	-0.0003028441727	-0.0002707930419	0.001607190311	-0.08193719205	0.9302303532	0.01407346193	0.2534773677	-0.01414210384	-0.2533210731	0.08205400474	-0.9308748658	-2.332357203e-05	0.0001116504388	-1.478442611e-06	2.94021373e-05	2024-06-18@17:16	0.67456547	-0.04137040685	-0.2128570465	0.26414835	-0.0416149501	v2.6.0	
4	Broyden	0	0.05786061992	-14.20157983	-0.8554340852	Y	11.095834	0.02636896748	self-energy/D	sharp_wc_2_b_50	1.58059492	0.01350593989	0.2585899976	0.003118263175	0.2481590992	0.1758252306	1.583233597	0.05093356506	1.577918073	0.05120044429	0.2467662465	0.1757226278	-0.3092422822	1.9961629	0.7598068432	0.02017043188	c61843e	2x2_2C_8b_C2v_L	3.0305852	0.9636330998	0.9563995207	0.9999999998442262	0.7767641852	-0.3156345013	0.2426800899	-0.1189614546	0.1387441244	-0.7361700941	0.4727324727	-0.6769335665	0.472530948	-0.6779078899	0.1380159292	-0.735235577	0.08400535695	-0.1273934136	-0.1730321633	0.447683116	boucle_1bande.py	R0:S0:1	1	-0.4731719349	-0.7001772104	-0.0003564743285	0.000733861505	0.0006000487756	-0.003594503387	-0.0824188293	0.935073601	0.01435954248	0.2540824837	-0.01403542874	-0.255662598	0.08229259475	-0.9352359033	0.0002490488121	-0.001019639863	-8.568618659e-05	-3.566527012e-05	2024-06-18@17:20	0.67456547	-0.04202443315	-0.2139833731	0.26414835	-0.04130663753	v2.6.0	
5	Broyden	0	0.05743694921	-14.19582834	-0.8597129963	Y	11.095834	0.02636864408	self-energy/D	sharp_wc_2_b_50	1.574830923	0.01355836932	0.2574795016	0.003161623276	0.2459019977	0.1808719847	1.576734867	0.05255177002	1.575785325	0.05261736491	0.2453979139	0.180860676	-0.306629735	1.99603705	0.7585043688	0.02074198226	c61843e	2x2_2C_8b_C2v_L	3.0295852	0.9622913599	0.9548895214	0.999999999830181	0.7762059801	-0.3153957528	0.2422287014	-0.1188800533	0.1382717153	-0.7530067142	0.4728844614	-0.6875701501	0.4728914765	-0.6878594931	0.1380638116	-0.7528086618	0.08509733627	-0.129262189	-0.1731095034	0.4540369587	boucle_1bande.py	R0:S0:1	1	-0.4740654066	-0.703138725	5.232637736e-05	-0.0001143737335	-8.503278245e-05	0.0004913015395	-0.08356200988	0.945019605	0.01438503076	0.2570255084	-0.01429283398	-0.2574068793	0.08349852899	-0.9449685724	0.0002793800195	-0.001002006032	-0.0002138398718	0.0002682227866	2024-06-18@17:25	0.67456547	-0.04329749974	-0.2161673482	0.26414835	-0.0407166745	v2.6.0	
0	Broyden	0	0.05907881362	-14.25207814	-0.828594671	Y	11.095834	0.02637674896	self-energy/D	sharp_wc_2_b_50	1.616708997	0.01320951686	0.2674526843	0.002872158547	0.2571089688	0.144201404	1.60187724	0.04216989902	1.601563384	0.04219896755	0.2569150015	0.1441591965	-0.3285434942	1.996840217	0.7663527609	0.01671942489	c61843e	2x2_2C_8b_C2v_L	3.0385852	0.971975022	0.9658243017	0.9999999998859761	0.7795464478	-0.317095027	0.246009741	-0.1198720375	0.138896626	-0.6265041345	0.4710330694	-0.6156982325	0.4710437885	-0.6158374822	0.1388196512	-0.6263886002	0.07804128934	-0.1168644482	-0.1726678546	0.4089814853	boucle_1bande.py	R0:S0:1	1	-0.467572507	-0.6813740219	1.554095891e-05	-7.09866416e-05	-7.649019916e-06	1.165771173e-05	-0.07525201136	0.8676911839	0.0131876093	0.2367575415	-0.01309821792	-0.237031513	0.07521022991	-0.8675052652	-7.232886395e-06	1.638499188e-05	7.118170297e-05	-9.320264818e-05	2024-06-18@16:09	0.67456547	-0.03412908521	-0.2007072675	0.26414835	-0.04478716938	v2.6.0	
5	Broyden	0	0.05906520492	-14.26115323	-0.8252922796	Y	11.095834	0.02637867466	self-energy/D	sharp_wc_2_b_50	1.620494801	0.01317478694	0.2681965451	0.002837439303	0.2585941775	0.1403250665	1.606526477	0.04103959463	1.604498394	0.04112492684	0.2582435278	0.1402110608	-0.3322268726	1.996923301	0.7657631153	0.01631705833	c61843e	2x2_2C_8b_C2v_L	3.0395852	0.97300168	0.9669773754	0.9999999998888295	0.779844328	-0.3172768885	0.2462131468	-0.1198874808	0.1391012853	-0.6130602907	0.4709940171	-0.6080000036	0.470899549	-0.6083335128	0.1388548992	-0.6126462698	0.07732710329	-0.1155114575	-0.1725435944	0.4043018247	boucle_1bande.py	R0:S0:1	1	-0.4668883987	-0.6790396983	-8.685276553e-05	0.0001856397704	0.0001643248688	-0.0009580236093	-0.07440265915	0.8585694069	0.01314666236	0.2336320705	-0.01299223162	-0.2342755691	0.07435726278	-0.8583257292	0.000605015869	-0.001896692869	-0.0004364506347	0.000476249457	2024-06-18@16:14	0.67456547	-0.03315958753	-0.1991147614	0.26414835	-0.04518914736	v2.6.0	
23	Broyden	0	0.05906655979	-14.26735178	-0.8213333044	Y	11.095834	0.0263802683	self-energy/D	sharp_wc_2_b_50	1.626405701	0.01313300302	0.2693841998	0.002801328447	0.2600391143	0.1355713228	1.609387921	0.03978510863	1.608842459	0.03980803599	0.2599535606	0.1354566763	-0.3348199245	1.997022926	0.7674438421	0.01580423313	c61843e	2x2_2C_8b_C2v_L	3.0405852	0.9742460798	0.9683640009	0.999999999888757	0.780422964	-0.3175264003	0.2467142601	-0.1200182359	0.1391936727	-0.5966884835	0.4707397938	-0.5990268704	0.4706536347	-0.5991364189	0.1391551695	-0.5965631141	0.07629709405	-0.1137993199	-0.1725227331	0.3985439574	boucle_1bande.py	R0:S0:1	1	-0.4660551201	-0.6762503119	-5.220143734e-05	0.0001226468203	7.52707064e-05	-0.0004382522738	-0.07314222102	0.8467643254	0.01291108336	0.2308198841	-0.01285616516	-0.2309969308	0.07306231797	-0.8461985034	0.000406799268	-0.001236378279	-0.0002523029913	0.0002897122044	2024-06-18@16:32	0.67456547	-0.03198216037	-0.1971932883	0.26414835	-0.04566831229	v2.6.0	
