model	E_kin	D	M	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	4.6565093	0	0	10.999094	2.5000884	-6.452748	-4.8543658	-5.8904798	0.45017736	-0.41915623	-5.2148429	-7.1097586	-0.41958033	12.070208	-0.30431686	0.0036584442	-0.00022296747	-6.4128077e-06	-0.25816478	-3.8903016e-06	1.529041e-05	0.0014990594	1.2798319	0.04085555	0.44252039	2.6285199	2.4064911	0.4070986	-0.4723749	-0.18607519	1.3944646e-05	1.0556362e-05	2.2591307	-0.0068830005	0.00096001295	2.9899812	-1.5928781e-05	1.1025585e-05	-0.23607154	0.018292425	2.2134338	1.1706953	1.6858627	2.3638404	-0.1737977	-0.48418519	2.140093e-05	7.9229723e-06	0.00098948559	2.2592942	-2.9883681	0.0071558659	2.2315922e-05	-5.4848938e-06	2.1000006	1.3	0.20106456	0.30549181	-0.0027618075	-0.00015523134	3.5060607e-05	-0.0014280563	1.2333343e-06	2.6762866e-06	0.25831395	-1.1846428e-06	-0.21433228	1.2479274	1.6688803	-0.6184786	-0.22132224	0.093329941	0.2662674	1.9955497	1.5254745	1.8444603	0.02324811	1.9874766	1.9894102	1.5640966	1.9874583	1.2566821	0.1486833	-0.0019791084	0.00019587486	9.3516223e-06	0.39982211	-1.6013347e-06	-1.3199827e-05	-0.00078946398	-0.020975395	-0.014755753	-0.21892859	-1.2013078	-0.20849947	-0.32855517	0.25177632	-0.053211425	5.9063374e-07	1.4097063e-05	-0.03020069	0.0034693589	-1.9959879e-05	-1.1490562	1.7699076e-06	-2.9366656e-05	-0.014983759	-0.0034743144	-0.95826424	-0.28314433	-0.78458815	-0.10563481	-0.057407474	0.25498275	-8.8646584e-05	1.9415993e-06	-0.00049038404	-0.030249896	1.1478072	-9.5670659e-05	-5.2925876e-05	-4.0585363e-06	-0.1492335	0.0016343145	0.00013206216	-4.4302544e-05	0.00059222869	1.403292e-06	-2.5791581e-05	-0.4001028	2	2	0	0	-118.71813	R0:S0:1	1.2566821	-76.560957	uncorrelated	2	817c5bc	v2.2.6	YY	29	sharp_wc_2.0_b_50	self-energy/D/M	boucle_AF.py	2023-11-21@11:13
2x2_2C_8b_C2v_L	4.6580819	0	0	10.999094	2.5000884	-6.4477062	-4.8548021	-5.8848718	0.44872944	-0.41836459	-5.2123106	-7.1101824	-0.41789457	12.071208	-0.30742422	0.0027007311	-0.00018924999	-1.3068652e-05	-0.25819405	-2.8319593e-05	4.0045358e-05	0.001512036	1.340282	0.030043524	0.4284284	2.6286741	2.3787583	0.4052667	-0.47193181	-0.18593607	2.2928518e-06	1.8421565e-05	2.2583173	0.0024755109	0.0048798552	2.9898448	-1.2629561e-06	2.7487912e-05	-0.20482089	0.013187243	2.1978239	1.1718168	1.7145768	2.3617079	-0.17342484	-0.48390036	1.8086216e-05	-8.3620547e-06	0.0046690305	2.2585145	-2.9881556	-0.0026210182	2.2562706e-05	-5.3156867e-06	2.1000006	1.3	0.20106456	0.30820491	-0.0020607732	-0.00012495073	2.5232312e-05	-0.0014933055	3.557149e-06	-3.5984561e-06	0.25802495	3.5810481e-07	-0.21420788	1.2479513	1.6690356	-0.61825509	-0.22131905	0.093284852	0.26626376	1.9952446	1.5282961	1.8419299	0.023218389	1.9874681	1.9894138	1.5640768	1.9874896	1.2566747	0.15014962	-0.0014624979	0.00016299803	2.0381868e-05	0.39993128	1.4661224e-05	-2.8461475e-05	-0.00073715881	-0.025051763	-0.010840175	-0.21698514	-1.2015725	-0.21004878	-0.32802091	0.25160787	-0.053170942	2.3398134e-06	-4.2211124e-05	-0.03018515	-0.001254543	-6.1413608e-05	-1.1491011	-2.5148841e-06	-6.7459896e-05	-0.029630136	-0.0025484924	-0.95056086	-0.2831713	-0.79331442	-0.10547816	-0.057482481	0.25481677	-5.2445732e-05	4.0202383e-06	-0.0023561211	-0.030235776	1.1478163	2.947407e-05	-7.5586776e-05	-2.215291e-06	-0.15050944	0.0012142277	0.00010523427	-3.1259526e-05	0.00068267884	-5.9317498e-07	1.7028299e-05	-0.39960304	2	2	0	0	-118.69481	R0:S0:1	1.2566747	-76.568957	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D/M	boucle_AF.py	2023-11-21@11:26
2x2_2C_8b_C2v_L	4.6597891	0	0	10.999094	2.5000884	-6.4543053	-4.8560229	-5.8907195	0.44812295	-0.41696439	-5.2109636	-7.1117907	-0.41731049	12.072208	-0.30469052	0.0037958322	-0.00020754127	-6.3939723e-06	-0.25799015	-8.6577621e-05	0.0001098453	0.0014942899	1.2800506	0.042245833	0.44209959	2.6284705	2.4061758	0.40681648	-0.47217291	-0.18596515	-2.6132708e-05	1.4951598e-05	2.2578437	-0.0057699465	0.00069294626	2.9899419	-1.8278251e-05	3.7796669e-05	-0.23709308	0.019052647	2.2125763	1.170788	1.6869737	2.3633589	-0.17366966	-0.48398984	3.6696943e-05	-1.903214e-05	0.00071964035	2.258016	-2.9882955	0.0060078159	4.7174539e-05	3.9269267e-06	2.1000006	1.3	0.20106456	0.30591766	-0.0028759536	-0.00015198967	3.7812293e-05	-0.0014311936	-2.1135478e-06	9.8587167e-07	0.25811119	-4.7473194e-06	-0.21407235	1.2479784	1.6691988	-0.61801638	-0.22131131	0.093235263	0.2662742	1.9955425	1.5256009	1.8443094	0.023232524	1.9874892	1.9894125	1.5641153	1.987474	1.2566926	0.1488375	-0.0020508816	0.00018141335	5.6983327e-06	0.39957941	5.4749721e-05	-6.2703789e-05	-0.00077642907	-0.020897953	-0.015268934	-0.21881316	-1.2013502	-0.20858239	-0.32848665	0.25168705	-0.053198892	9.3256605e-06	6.8346814e-05	-0.030183866	0.0029101242	-1.4364345e-05	-1.1490535	3.2693433e-06	-0.00019540217	-0.014655106	-0.0035964261	-0.95789157	-0.28312755	-0.78511087	-0.10559669	-0.057399454	0.25489931	-0.00021167004	3.8003725e-06	-0.00035712154	-0.030234375	1.1477969	-8.135973e-05	-7.1394665e-05	-1.0807269e-05	-0.14941182	0.0016979806	0.00012902494	-5.0826304e-05	0.00060699788	-3.7859556e-06	-0.00012120389	-0.39980994	2	2	0	0	-118.72031	R0:S0:1	1.2566926	-76.576957	uncorrelated	2	817c5bc	v2.2.6	YY	4	sharp_wc_2.0_b_50	self-energy/D/M	boucle_AF.py	2023-11-21@11:33
2x2_2C_8b_C2v_L	4.6613816	0	0	10.999094	2.5000884	-6.4386926	-4.8567427	-5.8864264	0.44667026	-0.41622702	-5.210085	-7.1127782	-0.41578185	12.073208	-0.30737157	0.0028465554	-0.00013188263	2.0299365e-06	-0.25804971	-7.0310199e-05	9.0406283e-05	0.0015099181	1.340185	0.031354786	0.42866926	2.6287761	2.3780945	0.40451704	-0.47174049	-0.18584335	-1.3056833e-05	1.8055552e-05	2.2574206	0.0019134362	0.0046431346	2.9899505	1.5507174e-07	3.4656428e-05	-0.2044631	0.014309926	2.1977567	1.1723379	1.7147795	2.3612673	-0.17333217	-0.48373846	2.2221986e-05	-1.950547e-05	0.0044344139	2.2576096	-2.9882406	-0.0020362447	4.9118914e-05	6.0928673e-07	2.1000006	1.3	0.20106456	0.30830288	-0.0021807577	-0.00011518009	3.0197701e-05	-0.0014827803	3.5531752e-06	4.0016571e-06	0.25789523	9.2716373e-07	-0.21394602	1.2480023	1.669356	-0.61778948	-0.22130865	0.093190016	0.2662614	1.9952337	1.5282621	1.8419648	0.023203537	1.9874805	1.989416	1.5641122	1.9874997	1.2566753	0.15019603	-0.0015375072	0.00011438566	-1.24199e-05	0.39970327	4.2413171e-05	-5.4290079e-05	-0.00073667499	-0.025097898	-0.011369338	-0.21696662	-1.2016688	-0.21002061	-0.32772975	0.25151299	-0.053159802	3.2822024e-06	-7.0263715e-05	-0.030171334	-0.0009703623	-6.0227469e-05	-1.1490794	-3.9833403e-06	-7.169357e-05	-0.029776801	-0.0026795823	-0.95054828	-0.28317345	-0.7933621	-0.105388	-0.057463733	0.25474461	-4.8336494e-05	8.4907041e-06	-0.002237516	-0.030221412	1.1477909	2.2965914e-05	-0.00019334581	-4.0367169e-06	-0.15062949	0.0012822869	0.00010031012	-4.3917391e-05	0.00066622387	4.1559174e-06	3.7283965e-05	-0.39940972	2	2	0	0	-118.68394	R0:S0:1	1.2566753	-76.584957	uncorrelated	2	817c5bc	v2.2.6	YY	4	sharp_wc_2.0_b_50	self-energy/D/M	boucle_AF.py	2023-11-21@11:40
2x2_2C_8b_C2v_L	4.6627187	0	0	10.999094	2.5000884	-6.4525827	-4.8582504	-5.8861562	0.44604405	-0.41495184	-5.2084005	-7.1132189	-0.41517208	12.074208	-0.30459739	0.0034661687	-0.00021849378	-1.214492e-05	-0.2578273	-6.2273683e-05	7.9955034e-05	0.001460996	1.280111	0.038733048	0.44024482	2.6288627	2.4048795	0.40459281	-0.47185521	-0.18582649	-2.1133329e-05	8.2886659e-06	2.2568411	-0.0019760661	-0.0014361688	2.9897702	-3.4681651e-06	4.5918066e-05	-0.23889904	0.017209557	2.210346	1.1722822	1.6893759	2.3610577	-0.17354836	-0.48363247	3.0561777e-05	-8.0713112e-06	-0.0013568514	2.2570322	-2.9881066	0.0020664223	4.3118365e-05	5.6219802e-06	2.1000006	1.3	0.20106456	0.30569961	-0.0026221111	-0.00014897503	2.8123973e-05	-0.0014577886	-5.090141e-06	-5.826312e-06	0.25790482	-5.1253716e-06	-0.21385184	1.2480248	1.6694767	-0.61760792	-0.22129621	0.093150964	0.26628329	1.9955567	1.5259363	1.8439546	0.023201092	1.9875011	1.9894192	1.5641142	1.9874912	1.2567093	0.14880116	-0.0018720238	0.00018980353	1.8292482e-05	0.39935516	3.6700747e-05	-5.1230738e-05	-0.00069563801	-0.020756675	-0.013987401	-0.21848375	-1.2015929	-0.20884522	-0.32779594	0.25152431	-0.053168147	9.9456829e-06	0.00011244277	-0.030159684	0.00099978914	1.7340949e-05	-1.1490723	2.8517427e-06	-0.00024538492	-0.014055601	-0.0032906347	-0.95676624	-0.28313934	-0.78656501	-0.1053956	-0.057370535	0.25471902	-0.00021580416	1.1847708e-06	0.00068634324	-0.030210653	1.147812	-2.5702708e-05	-2.6894188e-05	-1.1126467e-05	-0.14931695	0.0015495562	0.00012503191	-3.1286747e-05	0.00068317729	-4.6980364e-06	-0.00014414051	-0.39950587	2	2	0	0	-118.70892	R0:S0:1	1.2567093	-76.592957	uncorrelated	2	817c5bc	v2.2.6	YY	4	sharp_wc_2.0_b_50	self-energy/D/M	boucle_AF.py	2023-11-21@11:47
2x2_2C_8b_C2v_L	4.6644738	0	0	10.999094	2.5000884	-6.4300746	-4.8579488	-5.8854709	0.44443661	-0.41360511	-5.2059023	-7.1148323	-0.41394865	12.075208	-0.30861439	0.0016981209	1.1362029e-05	2.5638662e-05	-0.25769541	2.9562607e-05	-3.2670631e-05	0.0014850213	1.3568103	0.018201579	0.42520737	2.6292054	2.3694046	0.40027027	-0.47132282	-0.18563003	-3.3404747e-07	-2.160598e-05	2.256055	-0.0002076844	-0.0044947559	2.9899006	-9.5268215e-06	-8.9005253e-06	-0.20347882	0.0091746369	2.1894261	1.1753117	1.7277432	2.3587344	-0.17306679	-0.4834111	2.029502e-06	1.890411e-05	-0.0042984578	2.2562472	-2.9881532	0.00026291003	-2.7577332e-05	5.8952325e-06	2.1000006	1.3	0.20106456	0.309317	-0.0012809773	-3.6495787e-05	2.830295e-05	-0.0015275475	-9.5641539e-06	-7.9066652e-06	0.25781461	-9.4275722e-06	-0.21370859	1.2480507	1.6696525	-0.61735584	-0.22129554	0.093101635	0.26626118	1.9951665	1.529375	1.8408991	0.023171209	1.9875147	1.9894202	1.5641348	1.9875005	1.2566786	0.15082658	-0.00090908692	-4.335742e-06	-4.9161181e-05	0.39912381	-1.7746054e-05	2.5907842e-05	-0.00063697989	-0.025684409	-0.0066717164	-0.21607012	-1.2022285	-0.21079565	-0.32611735	0.25132659	-0.05313299	7.2325059e-06	0.00029782767	-0.030148533	0.00010882338	6.0624595e-05	-1.1490806	1.3119934e-05	-0.00018654329	-0.031336521	-0.0015829295	-0.94690033	-0.28328033	-0.79759683	-0.10496593	-0.05748648	0.2545833	-0.00023425674	-1.2928906e-05	0.002168744	-0.030197792	1.1477769	-1.519082e-09	0.00029960494	-9.2575642e-06	-0.15115818	0.00075634692	3.5005042e-05	-5.6628954e-05	0.00074865664	-1.6312272e-05	-0.00028465782	-0.39934278	2	2	0	0	-118.66259	R0:S0:1	1.2566786	-76.600957	uncorrelated	2	817c5bc	v2.2.6	YY	6	sharp_wc_2.0_b_50	self-energy/D/M	boucle_AF.py	2023-11-21@11:58
2x2_2C_8b_C2v_L	4.666031	0	0	10.999094	2.5000884	-6.4378354	-4.8589569	-5.8890755	0.44397402	-0.41266668	-5.2054164	-7.1154098	-0.41289445	12.076208	-0.30452458	0.0036415015	-0.00019778111	-2.6138037e-06	-0.25764944	-1.3108018e-05	3.2792834e-05	0.001464755	1.2799223	0.040453918	0.43887759	2.6285991	2.4047008	0.40412407	-0.47166291	-0.1856872	-6.882755e-06	1.2656879e-05	2.255761	-0.0017836359	-0.00045077876	2.9897686	-2.3144764e-05	3.1149791e-05	-0.23569078	0.018269803	2.2100452	1.1724659	1.6901322	2.3610124	-0.17346736	-0.48348009	4.4045254e-05	8.1722821e-06	-0.00040517168	2.2559453	-2.988083	0.0018778422	2.1152497e-05	-3.4474278e-06	2.1000006	1.3	0.20106456	0.30572516	-0.0027654519	-0.00014943115	3.6426556e-05	-0.0014519711	-4.2012448e-06	-7.2455238e-06	0.25772158	-1.08807e-05	-0.21358507	1.248076	1.6697997	-0.61714006	-0.22128655	0.0930566	0.26629496	1.9955361	1.525902	1.8439531	0.023191953	1.987513	1.9894205	1.5641361	1.9875052	1.2567236	0.14889397	-0.0019675219	0.00017265284	-2.4186015e-06	0.39912555	9.9211776e-07	-2.5947573e-05	-0.00070053396	-0.02102094	-0.014661634	-0.21844651	-1.2017037	-0.20885881	-0.3275634	0.25144715	-0.053161139	1.3535474e-05	0.00022221362	-0.030146952	0.00090056493	5.2800521e-06	-1.1490623	1.0129038e-05	-0.00031699575	-0.015132642	-0.0034527934	-0.95667794	-0.28315601	-0.78669024	-0.10532413	-0.057347309	0.25467315	-0.00037571149	-6.2663891e-06	0.0002054836	-0.030196524	1.1477976	-2.6002056e-05	0.00016246142	-1.5896707e-05	-0.14945827	0.0016309205	0.00012736888	-5.0900042e-05	0.00066590601	-2.0131362e-05	-0.00030453827	-0.39924565	2	2	0	0	-118.68378	R0:S0:1	1.2567236	-76.608957	uncorrelated	2	817c5bc	v2.2.6	YY	5	sharp_wc_2.0_b_50	self-energy/D/M	boucle_AF.py	2023-11-21@12:08
2x2_2C_8b_C2v_L	4.667564	0	0	10.999094	2.5000884	-6.4218243	-4.8596422	-5.8823944	0.44252702	-0.41151491	-5.2025653	-7.116291	-0.41176593	12.077208	-0.30785529	0.001952469	-8.5983952e-05	5.1772176e-06	-0.25751904	-2.2524683e-05	3.6478843e-05	0.0014929242	1.3576223	0.021401771	0.42309071	2.6290946	2.36754	0.4005363	-0.47115096	-0.18553345	-6.1978786e-06	1.2758702e-05	2.2548892	-0.0014866182	-0.0023926442	2.9897247	1.9623799e-06	1.3941444e-05	-0.19937856	0.0098482115	2.1890576	1.1749203	1.7275979	2.3578856	-0.17307263	-0.48317991	8.4132954e-06	-9.2200434e-06	-0.0022757802	2.255086	-2.9879809	0.0015729915	3.1277633e-05	-9.1007484e-06	2.1000006	1.3	0.20106456	0.30847804	-0.0015046223	-7.1499304e-05	2.1165129e-05	-0.0015041447	-6.4761376e-09	4.0169065e-06	0.25760972	5.9314201e-06	-0.21347107	1.2480993	1.6699482	-0.6169238	-0.22128109	0.093013526	0.26627293	1.9951523	1.5295252	1.8407565	0.023153327	1.9875277	1.9894244	1.5641338	1.9875163	1.2566973	0.15054365	-0.0010520436	7.5144281e-05	-1.6074164e-05	0.39888023	1.1365954e-05	-2.4178098e-05	-0.00067407812	-0.026019837	-0.0077873612	-0.21594381	-1.2021887	-0.210825	-0.32636114	0.25122842	-0.053111205	-3.9636456e-06	-0.00015941591	-0.030128348	0.00075375948	3.0895991e-05	-1.149092	-7.5117649e-06	9.3532536e-05	-0.032781093	-0.001835682	-0.94660929	-0.28322133	-0.79796489	-0.10499684	-0.057436974	0.25447279	9.5242841e-05	9.7707291e-06	0.001150711	-0.030176443	1.1477943	-1.9199575e-05	-0.00023234235	3.2381241e-06	-0.15083298	0.00088176182	6.053275e-05	-3.2345777e-05	0.00070040974	1.8994069e-05	0.00017135866	-0.39905398	2	2	0	0	-118.63795	R0:S0:1	1.2566973	-76.616957	uncorrelated	2	817c5bc	v2.2.6	YY	5	sharp_wc_2.0_b_50	self-energy/D/M	boucle_AF.py	2023-11-21@12:17
2x2_2C_8b_C2v_L	4.6690132	0	0	10.999094	2.5000884	-6.4414091	-4.8614958	-5.8831672	0.44198281	-0.41087732	-5.2015609	-7.1196134	-0.41081883	12.078208	-0.30444792	0.0033025003	-0.00015651076	3.3219541e-06	-0.25753346	-3.2954738e-06	1.4329753e-05	0.001460832	1.2847292	0.036593321	0.43638431	2.6292071	2.4011887	0.40071102	-0.47139205	-0.1855408	-1.5715354e-05	-3.5827316e-06	2.2544952	-0.00023186738	0.00064764142	2.9901976	-1.4308812e-05	2.1714882e-05	-0.23317893	0.016749419	2.2080577	1.1748535	1.6925643	2.3579318	-0.1733634	-0.48313499	3.572102e-05	6.5763913e-06	0.0006199813	2.254686	-2.9884887	0.00022990802	1.2503341e-05	7.2427669e-06	2.1000006	1.3	0.20106456	0.30550561	-0.0025207438	-0.00011820451	3.6282216e-05	-0.0014505908	-7.4859049e-06	-8.235932e-06	0.25751604	-1.3905186e-05	-0.21337046	1.2481233	1.6700787	-0.61672641	-0.22126805	0.092971886	0.26627792	1.9955334	1.5261813	1.8436716	0.02315904	1.9875238	1.9894266	1.564247	1.9875255	1.2567143	0.14882007	-0.0017816724	0.00013786629	-1.3049246e-05	0.39890151	-2.7594242e-06	-1.2849834e-05	-0.00069584829	-0.02131401	-0.013276491	-0.21808768	-1.2020739	-0.20907079	-0.32643928	0.25129208	-0.053127814	1.5261943e-05	0.00034072907	-0.030119332	0.00011722808	-8.89926e-06	-1.14898	1.4420102e-05	-0.0003595527	-0.016277482	-0.003128249	-0.95555745	-0.28317854	-0.78813024	-0.10500885	-0.05731089	0.25447935	-0.00042258003	-1.0592457e-05	-0.00031305684	-0.03016873	1.1477139	-3.0698021e-06	0.00025903893	-1.8684723e-05	-0.14931514	0.0014812898	9.9028559e-05	-5.4040978e-05	0.00066988434	-2.4569483e-05	-0.00039796887	-0.39887517	2	2	0	0	-118.68456	R0:S0:1	1.2567143	-76.624957	uncorrelated	2	817c5bc	v2.2.6	YY	9	sharp_wc_2.0_b_50	self-energy/D/M	boucle_AF.py	2023-11-21@12:33
2x2_2C_8b_C2v_L	4.6707661	0	0	10.999094	2.5000884	-6.4108636	-4.8617443	-5.8810403	0.4404631	-0.40953732	-5.2003297	-7.1204124	-0.40973264	12.079208	-0.30765845	0.0025884769	-0.00016145728	-3.3008569e-07	-0.2573982	6.7361469e-05	-6.2693185e-05	0.0014961958	1.3620865	0.028520344	0.42131235	2.6292675	2.3641343	0.39910224	-0.4708786	-0.18540845	2.9354798e-05	1.562284e-05	2.253988	-0.0013373127	-0.0011426654	2.9901483	3.9053935e-06	-1.3794679e-05	-0.19455433	0.01274057	2.1879877	1.1758816	1.729393	2.3565567	-0.17296054	-0.48292415	5.3594738e-07	7.9080996e-06	-0.0010703063	2.2541833	-2.9883823	0.0014086878	1.2836933e-06	-1.2064082e-05	2.1000006	1.3	0.20106456	0.30846429	-0.0019689087	-0.00011803448	2.5198155e-05	-0.001497021	4.8068706e-06	2.6634797e-07	0.25746435	1.2223366e-05	-0.21322911	1.2481493	1.6702528	-0.61647566	-0.2212661	0.092923153	0.26625569	1.9951002	1.5297132	1.840614	0.023128003	1.9875391	1.9894292	1.5642344	1.9875313	1.2566846	0.1505445	-0.0014012168	0.00014142254	1.8872373e-08	0.39866086	-5.078119e-05	2.7204966e-05	-0.00068707906	-0.026525949	-0.010366519	-0.21573663	-1.2023336	-0.21089362	-0.32588085	0.25108054	-0.053086014	-1.515744e-05	-0.00029719098	-0.03010717	0.00067725811	1.5281891e-05	-1.1490146	-1.2110012e-05	0.00033300734	-0.03474136	-0.002438376	-0.94598017	-0.28320888	-0.79868892	-0.10484661	-0.057400827	0.25433844	0.00026107384	1.156274e-05	0.00054113831	-0.030155283	1.1477139	-1.8436247e-05	-0.00026158885	1.2392229e-05	-0.15091956	0.001162397	0.00010097402	-3.4761443e-05	0.00068469884	3.1131888e-05	0.00036144184	-0.39877951	2	2	0	0	-118.62111	R0:S0:1	1.2566846	-76.632957	uncorrelated	2	817c5bc	v2.2.6	YY	6	sharp_wc_2.0_b_50	self-energy/D/M	boucle_AF.py	2023-11-21@12:44
