model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.8286166	0	11.095834	1.6167536	0.26739054	0.25703431	1.6022951	1.6021563	0.25697377	-0.32843063	0.76615592	3.0385852	0.77957206	0.2460023	0.13888792	0.4710877	0.4710843	0.13886589	0.078020523	-0.17266059	1	7.2737822e-06	-9.6199088e-06	-0.075227148	0.013140949	-0.013132901	0.075222583	-1.7260363e-05	8.7866694e-06	0.67456547	0.26414835	0.059080758	0.96581838	-0.68139004	-0.20071729	-0.044783949	0.026377255	0.013209738	0.0028720756	0.1442107	0.042178968	0.042184386	0.14421664	1.996841	0.016726424	0.97196862	-0.31709948	-0.11986749	-0.6266007	-0.61578142	-0.6158017	-0.6265874	-0.11684533	0.40903674	-0.46757627	-1.7174179e-05	5.5239386e-05	0.86762918	0.2368836	-0.23692154	-0.86765005	5.5512948e-05	-8.9011503e-06	-0.034136213	-14.251891	R0:S0:1	0.97196862	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-05@12:09
2x2_2C_8b_C2v_L	-0.77748409	0	11.095834	1.6839019	0.28174374	0.27073975	1.6349255	1.6353019	0.2710188	-0.40846145	0.7943315	3.0385852	0.78245578	0.25182768	0.13936634	0.46613156	0.46612552	0.13946372	0.064874241	-0.17207829	1	8.926486e-06	-1.1860065e-05	-0.058402042	0.010285166	-0.010317565	0.058422215	-0.00012784169	6.8950019e-05	0.66456547	0.26414835	0.055128108	0.98255307	-0.64819705	-0.17390513	-0.051924226	0.026328546	0.01249309	0.0023448041	0.08591317	0.027089879	0.027077944	0.085899021	1.9981479	0.010322296	0.98713475	-0.31766874	-0.12069163	-0.4234105	-0.50604065	-0.50598511	-0.42347437	-0.092411931	0.33654485	-0.45778271	-2.2744034e-05	6.604496e-05	0.69552075	0.18930977	-0.18917859	-0.69547088	0.00029898476	-7.932487e-05	-0.019599184	-14.373829	R0:S0:1	0.98713475	b8cfe21	v2.4.3	Y	Broyden	38	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-05@13:08
2x2_2C_8b_C2v_L	-0.72770725	0	11.095834	1.7586056	0.29520204	0.27734505	1.6613198	1.661717	0.27751379	-0.6857218	0.8299466	3.0385852	0.78645086	0.25781138	0.13873942	0.4613465	0.46137981	0.13879409	0.052289561	-0.17146786	1	-3.7995719e-05	4.5207773e-05	-0.031503132	0.0052496305	-0.0052902027	0.031546055	0.011981972	-0.0040306765	0.65456547	0.26414835	0.035643367	0.99876828	-0.61392555	-0.15120252	-0.056066037	0.026299181	0.011917362	0.0019041349	0.02657341	0.013712993	0.013708887	0.026600734	1.9991902	0.0046811906	1.0022754	-0.31880705	-0.12193676	-0.21597018	-0.40344878	-0.40342337	-0.216053	-0.064623778	0.26844089	-0.44779266	9.4770369e-05	-0.00027905803	0.39357119	0.10837495	-0.10824743	-0.39385026	-0.019350862	0.0046697477	-0.0053198762	-14.892735	R0:S0:1	1.0022754	b8cfe21	v2.4.3	Y	Broyden	86	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-05@18:33
2x2_2C_8b_C2v_L	-0.70574041	0	11.095834	1.7926254	0.30571763	0.2799456	1.6669229	1.6668411	0.27993717	-1.0385366	0.86141016	3.0385852	0.7863644	0.25970611	0.13692261	0.45825107	0.45824303	0.13691677	0.047327973	-0.17128738	1	2.7080895e-05	-3.3560251e-05	-0.00022235054	4.6920953e-05	-2.1817455e-05	0.00018600917	0.015800932	-0.0039278108	0.64456547	0.26414835	0.00022601134	1.005434	-0.59949699	-0.14139877	-0.057174906	0.026259049	0.011644178	0.0017501209	0.001025254	0.0083992814	0.0083990623	0.0010249764	1.9995497	0.002528921	1.008588	-0.31835798	-0.1221581	-0.12569128	-0.36125282	-0.36124698	-0.12568484	-0.050754025	0.24080842	-0.44371887	-6.9337488e-05	0.00020785284	0.0026307829	0.00062060678	-0.0006916788	-0.0023490275	-0.021742145	0.0045067322	0.00061737048	-15.58257	R0:S0:1	1.008588	b8cfe21	v2.4.3	Y	Broyden	35	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-05@20:19
2x2_2C_8b_C2v_L	-0.70344267	0	11.095834	1.7926795	0.31343674	0.28431046	1.6624309	1.6626946	0.28439774	-1.0773483	0.8917762	3.0385852	0.78272848	0.25854955	0.13568695	0.45585751	0.45586407	0.13572275	0.048159668	-0.1720753	1	2.1223814e-05	-2.7163574e-05	3.8844191e-05	-2.1898376e-06	2.1396626e-05	-6.6643573e-05	0.011355836	-0.0028538019	0.63456547	0.26414835	-4.8169732e-05	1.0053897	-0.60012241	-0.13886664	-0.057544516	0.026201024	0.011508325	0.0017244293	0.0010072723	0.0083380378	0.0083379378	0.0010078287	1.9995646	0.0025267243	1.0085081	-0.31645554	-0.12131904	-0.12465676	-0.35995146	-0.35995085	-0.1246898	-0.050771042	0.24082178	-0.44401548	-5.3668274e-05	0.00016266907	-0.00048507914	-0.00015718741	0.00010329118	0.00069453044	-0.015540901	0.0032229614	0.00062262391	-15.656998	R0:S0:1	1.0085081	b8cfe21	v2.4.3	Y	Broyden	31	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-05@21:39
2x2_2C_8b_C2v_L	-0.70119226	0	11.095834	1.7923249	0.32039232	0.28822918	1.6580365	1.6581391	0.28830775	-1.1128139	0.91915285	3.0385852	0.77908689	0.25731552	0.13458865	0.4534477	0.45344568	0.1346104	0.048858617	-0.1727948	1	2.5078339e-06	-2.4668273e-06	-3.9734254e-05	1.0418503e-05	-8.6862815e-06	3.6477747e-05	0.0010249744	-0.00025953176	0.62456547	0.26414835	2.990153e-05	1.005347	-0.60074176	-0.13633821	-0.057915776	0.026143674	0.011374072	0.0016985487	0.00099258716	0.0082763458	0.0082761211	0.00099288975	1.9995803	0.0025244089	1.0084288	-0.31456522	-0.12045713	-0.12375813	-0.35863454	-0.35863003	-0.12377726	-0.050720518	0.24082831	-0.44431181	-6.8276031e-06	1.4095052e-05	0.00041039993	7.3809816e-05	-7.8869314e-05	-0.00038691075	-0.0013957502	0.0002888102	0.00062780045	-15.724738	R0:S0:1	1.0084288	b8cfe21	v2.4.3	Y	Broyden	44	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-05@23:32
2x2_2C_8b_C2v_L	-0.69899658	0	11.095834	1.7917394	0.32679833	0.29188933	1.6535822	1.6530865	0.29170552	-0.95046509	0.93054077	3.0385852	0.77544659	0.25600026	0.13358819	0.45101254	0.4509991	0.13351803	0.035464101	-0.1343993	1	2.0339208e-05	-3.1897457e-05	-3.8288174e-05	1.2418582e-05	2.5225206e-06	1.6251428e-05	0.10818868	-0.028229171	0.61456547	0.26414835	2.0715283e-05	1.0053071	-0.60136237	-0.13381398	-0.058288295	0.026084498	0.011247255	0.0016821158	0.00097980434	0.0082144158	0.0082145462	0.00097877979	1.9987643	0.0016853697	1.0083491	-0.31267366	-0.11960031	-0.12295567	-0.35729959	-0.35729948	-0.12289105	-0.038862985	0.18690796	-0.4446244	-4.5165682e-05	0.0001836556	0.00035734858	3.88553e-05	-7.9863535e-05	-0.00019734407	-0.15009418	0.031169357	0.00063404567	-15.39661	R0:S0:1	1.0083491	b8cfe21	v2.4.3	Y	Broyden	45	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-06@01:26
2x2_2C_8b_C2v_L	-0.69683322	0	11.095834	1.7907215	0.33249519	0.29472465	1.6478817	1.6479711	0.29481297	-1.1580203	0.96264221	3.0385852	0.77173365	0.25479626	0.13263902	0.44850141	0.44849643	0.13266455	0.049263076	-0.173032	1	-1.7299035e-05	2.3814492e-05	1.9498841e-05	-1.0946503e-05	-3.9406159e-06	3.5149729e-06	-0.0087282114	0.002237289	0.60456547	0.26414835	-3.9260093e-06	1.0052662	-0.60196202	-0.13129336	-0.058663152	0.026030655	0.011108396	0.0016489004	0.00096741759	0.0081506913	0.0081503701	0.00096776761	1.9995909	0.0024964192	1.0082727	-0.31078689	-0.11874414	-0.12220195	-0.35593251	-0.35592569	-0.12222431	-0.050070281	0.23950569	-0.44490536	4.2047207e-05	-0.00013516831	-0.00015240035	1.6707117e-05	2.43367e-05	-9.2156219e-06	0.011803347	-0.0024341386	0.00063772073	-15.808741	R0:S0:1	1.0082727	b8cfe21	v2.4.3	Y	Broyden	42	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-06@03:09
2x2_2C_8b_C2v_L	-0.8286166	0	11.095834	1.6167536	0.26739054	0.25703431	1.6022951	1.6021563	0.25697377	-0.32843063	0.76615592	3.0385852	0.77957206	0.2460023	0.13888792	0.4710877	0.4710843	0.13886589	0.078020523	-0.17266059	1	7.2737822e-06	-9.6199088e-06	-0.075227148	0.013140949	-0.013132901	0.075222583	-1.7260363e-05	8.7866694e-06	0.67456547	0.26414835	0.059080758	0.96581838	-0.68139004	-0.20071729	-0.044783949	0.026377255	0.013209738	0.0028720756	0.1442107	0.042178968	0.042184386	0.14421664	1.996841	0.016726424	0.97196862	-0.31709948	-0.11986749	-0.6266007	-0.61578142	-0.6158017	-0.6265874	-0.11684533	0.40903674	-0.46757627	-1.717418e-05	5.5239383e-05	0.86762918	0.2368836	-0.23692154	-0.86765005	5.5512946e-05	-8.9011512e-06	-0.034136213	-14.251891	R0:S0:1	0.97196862	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-05@12:08
model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
