model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.0790301	0	10.015295	-0.27718828	0.39847705	0.61028354	-0.2460047	0.24604628	0.61035403	0.62639755	-0.19551794	2.011062	4.6192759e-05	-3.8344275e-05	0.081232152	-0.13428411	0.22822088	0.08122992	-2.4065305e-05	-5.1901633e-05	1	-0.12546862	0.20052058	-0.40943388	0.22822834	-0.13431237	0.40943357	-0.55124514	-0.24497639	-0.76201266	0.10020614	0.0097957431	0.88671179	-0.76931972	0.36439724	-0.31969199	0.023955177	1.983722	0.27737348	0.17406614	1.5537841	0.4461492	0.17405673	0.085091925	1.8640529	0.88628708	-0.00056844825	1.3538552e-05	0.014248152	0.99213665	-1.2917112	0.01428082	5.6369797e-05	9.7227861e-05	-0.45184862	0.27743475	-1.771564	1.2863434	-1.2918322	0.99223715	-1.2863178	0.61673241	0.99785375	0.044638735	-11.805396	R0:S0:1	0.88628708	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-13@19:20
2x2_2C_8b_C2v_L	-1.0876656	0	10.015295	-0.2752999	0.4013784	0.60614873	-0.24390613	0.24393629	0.60629649	0.62332451	-0.18905558	2.011062	9.1511266e-05	-7.0188453e-05	0.081169755	-0.13429647	0.23018758	0.081170669	-1.788016e-05	-4.8275095e-05	1	-0.1256612	0.20443077	-0.41243028	0.23019457	-0.1343292	0.41244481	-0.5504887	-0.24198439	-0.76201266	0.11020614	0.010175384	0.88478539	-0.7705179	0.36820588	-0.33183374	0.024131715	1.9834892	0.28610884	0.17900163	1.5378215	0.46211551	0.17894914	0.085815292	1.8623064	0.88469793	-0.0011063466	4.4939936e-05	0.018893656	1.0061658	-1.3172738	0.018881852	2.7227297e-05	0.00010267105	-0.45160022	0.28095751	-1.7970888	1.3030775	-1.3173379	1.0061972	-1.3029011	0.61463592	1.0022514	0.046299956	-11.804727	R0:S0:1	0.88469793	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-13@19:29
2x2_2C_8b_C2v_L	-1.0965382	0	10.015295	-0.27222587	0.40392678	0.60216526	-0.24208593	0.24210439	0.60190959	0.62028853	-0.18238445	2.011062	-0.00013234957	9.9007252e-05	0.081098695	-0.13433621	0.23231066	0.0811908	2.7764698e-05	8.9970173e-05	1	-0.12579597	0.2083301	-0.41546039	0.23225201	-0.13435916	0.41541512	-0.54966349	-0.23899968	-0.76201266	0.12020614	0.0105494	0.88289263	-0.77177592	0.3719398	-0.34390426	0.02431917	1.9832204	0.29515887	0.18406627	1.522129	0.47810209	0.18415699	0.086558938	1.8605322	0.883116	0.0017130408	5.211331e-05	0.023555596	1.0197426	-1.3425067	0.023278308	-1.2082514e-05	-0.00021354413	-0.4513889	0.28470891	-1.8231339	1.3199146	-1.3423544	1.0201134	-1.3202983	0.61240949	1.006583	0.047967109	-11.802423	R0:S0:1	0.883116	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-13@19:36
2x2_2C_8b_C2v_L	-1.1056433	0	10.015295	-0.26716031	0.40599326	0.5975771	-0.24041255	0.24041408	0.59784169	0.61724891	-0.17544805	2.011062	0.00040139888	-0.00030388965	0.081098909	-0.13425087	0.23445835	0.081111533	-5.5138983e-05	-0.00012204264	1	-0.12575316	0.21218884	-0.41843873	0.23448316	-0.13433604	0.41844366	-0.54873875	-0.23599862	-0.76201266	0.13020614	0.010905443	0.88103816	-0.77308024	0.3756178	-0.35587853	0.024515152	1.982905	0.30453316	0.18965655	1.5062306	0.49363144	0.18938243	0.087330032	1.8587044	0.88154455	-0.0048910938	0.00026455373	0.028046187	1.0331967	-1.3671758	0.027834748	6.6042431e-05	0.00030003923	-0.45119978	0.28868854	-1.8495811	1.3383615	-1.3670894	1.0328878	-1.3372741	0.61006162	1.0108403	0.049650971	-11.796316	R0:S0:1	0.88154455	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-13@19:43
2x2_2C_8b_C2v_L	-1.1149549	0	10.015295	-0.26046095	0.40770066	0.59314363	-0.23892521	0.23894118	0.59325889	0.61422415	-0.16840439	2.011062	8.0789188e-05	-6.2653771e-05	0.081039232	-0.13414178	0.23676376	0.081035335	-2.172225e-05	-4.6041482e-05	1	-0.12558415	0.21602374	-0.4214329	0.23677871	-0.13416774	0.42144052	-0.54771725	-0.23302302	-0.76201266	0.14020614	0.011248596	0.87923029	-0.77443545	0.37920765	-0.36773302	0.024720014	1.9825531	0.31415027	0.19522553	1.4909077	0.5090291	0.19518542	0.088110292	1.8568834	0.87999274	-0.0010135251	4.1520076e-05	0.032531265	1.0453407	-1.3911604	0.032539767	4.6243081e-05	9.7789242e-05	-0.45105231	0.29287434	-1.876345	1.3561555	-1.3912433	1.0453925	-1.3560292	0.607559	1.0149363	0.051329178	-11.787517	R0:S0:1	0.87999274	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-13@19:49
2x2_2C_8b_C2v_L	-1.12446	0	10.015295	-0.25185669	0.40908895	0.58879953	-0.23772275	0.23768046	0.58871008	0.61119202	-0.16132094	2.011062	-5.7707576e-05	4.2992939e-05	0.081040033	-0.13408117	0.23917442	0.081037649	2.4856055e-05	5.2183481e-05	1	-0.12524303	0.21982876	-0.42441598	0.23917402	-0.1340433	0.42441646	-0.54659399	-0.23009823	-0.76201266	0.15020614	0.011585053	0.87746113	-0.77583171	0.38270939	-0.37947088	0.024933982	1.9821567	0.3239656	0.20100529	1.4758927	0.5241853	0.20106176	0.088895536	1.8550737	0.87846088	0.00077947967	1.683467e-05	0.036854285	1.0574298	-1.4146642	0.036859357	-5.2928951e-05	-0.0001128174	-0.45094979	0.29724147	-1.9033148	1.3744648	-1.4146091	1.0573887	-1.3746659	0.60489468	1.0188934	0.052995996	-11.775887	R0:S0:1	0.87846088	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-13@19:57
2x2_2C_8b_C2v_L	-1.1341812	0	10.015295	-0.24148105	0.40993325	0.58417207	-0.23667019	0.23670299	0.5842408	0.60819367	-0.15428458	2.011062	-1.9479992e-05	2.2913457e-05	0.081005565	-0.13389358	0.24170337	0.081078326	5.4737074e-07	1.0446002e-05	1	-0.12473483	0.22356496	-0.42737174	0.24168122	-0.13394996	0.42736873	-0.5453777	-0.22724769	-0.76201266	0.16020614	0.011908138	0.87574703	-0.7772916	0.38612833	-0.39108907	0.025155479	1.9817089	0.33408599	0.20712371	1.4612024	0.53889009	0.2070553	0.089678978	1.8532813	0.87694627	0.0002513062	-3.0669832e-05	0.041310383	1.0687167	-1.4374618	0.041028513	2.3626482e-06	-2.3349841e-05	-0.45087346	0.3018629	-1.9306051	1.3935412	-1.4373596	1.0688998	-1.3933545	0.60206763	1.0227701	0.054666632	-11.761522	R0:S0:1	0.87694627	b8cfe21	v2.4.3	Y	Broyden	9	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-13@20:05
2x2_2C_8b_C2v_L	-1.1440316	0	10.015295	-0.22888555	0.41066824	0.5796402	-0.23583534	0.23588039	0.57972471	0.6052483	-0.1472789	2.011062	4.9537857e-05	-3.7437317e-05	0.080967701	-0.13366642	0.24431487	0.081012766	-1.5115554e-05	-3.6756136e-05	1	-0.12395668	0.22729435	-0.43036726	0.24431868	-0.13374044	0.43035297	-0.54408562	-0.2244439	-0.76201266	0.17020614	0.012225929	0.87407417	-0.77876264	0.38943432	-0.40254157	0.025384605	1.9812282	0.34419443	0.21336901	1.4470045	0.55297403	0.21334583	0.090450109	1.8515555	0.87546494	-0.00066978314	2.7922e-05	0.045732773	1.0791063	-1.4593326	0.045596297	3.6645729e-05	7.5986821e-05	-0.45085831	0.30649573	-1.9577349	1.4127119	-1.4594907	1.0794762	-1.4126927	0.59906951	1.0263337	0.056298264	-11.743634	R0:S0:1	0.87546495	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-13@20:12
2x2_2C_8b_C2v_L	-1.1540667	0	10.015295	-0.21374495	0.41077993	0.57522697	-0.23524262	0.23524842	0.57516271	0.60234076	-0.14059907	2.011062	-4.4458616e-05	2.9908588e-05	0.081028461	-0.13355201	0.24703326	0.08100755	1.4569767e-05	3.2842347e-05	1	-0.12281703	0.23091926	-0.43330229	0.247026	-0.13350962	0.43330925	-0.54270885	-0.22180874	-0.76201266	0.18020614	0.012537355	0.87244499	-0.78026443	0.39267094	-0.41387082	0.025619882	1.9807011	0.35458306	0.21973171	1.4332302	0.56676158	0.21977989	0.091181374	1.8499002	0.87400322	0.00064282737	-5.015998e-06	0.049795844	1.0895828	-1.4806795	0.049909917	-2.7447221e-05	-7.6515892e-05	-0.45086376	0.31121404	-1.9850663	1.4320157	-1.4806518	1.0894431	-1.4321509	0.59586317	1.0298951	0.057930777	-11.722188	R0:S0:1	0.87400322	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-13@20:19
2x2_2C_8b_C2v_L	-1.1642278	0	10.015295	-0.19555202	0.41044267	0.57060928	-0.23477237	0.23481152	0.57071506	0.59942008	-0.13428756	2.011062	5.1509643e-06	-1.0155189e-05	0.080997207	-0.13323516	0.2498427	0.081039574	-2.4693649e-05	-4.8409948e-05	1	-0.12115501	0.23444902	-0.43624377	0.24983963	-0.13331486	0.43623263	-0.54123999	-0.21935054	-0.76201266	0.19020614	0.012863736	0.8708563	-0.78174391	0.39584332	-0.42504563	0.025859723	1.9801458	0.36502936	0.22635964	1.4200092	0.58002049	0.2263444	0.091860419	1.8483378	0.872573	-2.4931333e-05	6.383007e-05	0.054173737	1.098607	-1.501092	0.054026757	8.5474559e-05	8.5002773e-05	-0.45090625	0.31573785	-2.012224	1.4517098	-1.5012198	1.0990614	-1.4517641	0.59244867	1.0333747	0.059536222	-11.695884	R0:S0:1	0.872573	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2024-06-13@20:26
