model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-4.017387	0	10.537218	0.2899801	-0.22221592	-4.7829699	-5.8786339	-0.21508059	-5.8782697	-0.21500577	0.31839485	-5.6519055	11.787919	-0.0015193443	0.00068792568	0.021575733	-0.17599505	0.021554887	-0.17596716	0.00018134996	-6.1533463e-05	-0.14517207	-1.2306856	1.9743447	0.11165625	-1.974325	-0.11159567	0.27222168	-2.5794518	2.5688778	1	-0.29009221	0.052642098	1.2595937	1.6966392	-0.57911583	-0.19144673	0.087081169	0.36123738	1.9912989	1.9658393	1.7915499	1.5999486	1.7916163	1.6000885	0.0065235643	1.4046976	1.3515569	0.0096710745	-0.00089866085	0.27833541	1.4921129	0.27836516	1.491988	-0.0020419835	-0.00038688502	0.15723368	0.37371461	-1.4375059	-1.1551685	1.4370757	1.1544849	-0.21058837	3.185387	2	2	0	0	-103.23922	R0:S0:1	1.3515569	-183.96702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@18:14
2x2_2C_8b_C2v_L	-4.0103238	0	10.537218	0.2899801	-0.22141425	-4.7805965	-5.8599334	-0.21174433	-5.8622782	-0.21175376	0.31386935	-5.637152	11.797919	-1.6014048e-05	2.9805484e-05	0.021613939	-0.17538121	0.021653812	-0.17539145	-1.4955509e-05	1.9085851e-05	-0.14631012	-1.2297674	1.970441	0.11162604	-1.9708302	-0.11163746	0.27127417	-2.5748384	2.5688778	1	-0.29009221	0.052548296	1.2597105	1.697517	-0.57822008	-0.19144876	0.087007133	0.36359785	1.9911421	1.9660271	1.7921909	1.59157	1.7922485	1.5915434	0.0065696905	1.4032549	1.3539606	9.8398041e-05	-4.910818e-05	0.27689873	1.5149345	0.27679058	1.5150428	0.00011236654	-8.9604354e-06	0.15809868	0.37124902	-1.4309422	-1.1593273	1.4307803	1.15939	-0.21056603	3.188758	2	2	0	0	-103.16621	R0:S0:1	1.3539606	-184.12702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@18:25
2x2_2C_8b_C2v_L	-4.0032283	0	10.537218	0.2899801	-0.22049009	-4.7806047	-5.8450039	-0.20884151	-5.8450954	-0.20883691	0.3099122	-5.6253368	11.807919	-6.8190961e-05	2.830715e-05	0.0216792	-0.17488282	0.021674028	-0.17487761	-5.5818434e-06	2.3880036e-06	-0.14722898	-1.2291844	1.9671404	0.11158944	-1.9671545	-0.11159219	0.27053008	-2.5709082	2.5688778	1	-0.29009221	0.052450899	1.2598276	1.6983921	-0.57732134	-0.19144821	0.08693159	0.36591933	1.9909998	1.9662227	1.7928919	1.5835427	1.792895	1.583541	0.0066103603	1.4019513	1.3563237	0.00043961016	-3.894572e-05	0.27555907	1.5373887	0.27556362	1.5373712	1.9194103e-05	-1.2766187e-05	0.15873115	0.36875509	-1.4243132	-1.1632385	1.4243008	1.1632588	-0.21056373	3.1919571	2	2	0	0	-103.11085	R0:S0:1	1.3563237	-184.28702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@18:37
2x2_2C_8b_C2v_L	-3.9959788	0	10.537218	0.2899801	-0.21949433	-4.7781231	-5.8276789	-0.20567162	-5.8276244	-0.20570749	0.30576809	-5.6125388	11.817919	-0.00014148541	6.7266157e-05	0.02170879	-0.1743073	0.021704767	-0.17431026	-4.6320689e-06	2.7329229e-06	-0.1481365	-1.2283158	1.9634703	0.11146219	-1.9634589	-0.1114707	0.26970027	-2.5667568	2.5688778	1	-0.29009221	0.052288493	1.2599472	1.6992738	-0.57640512	-0.19144315	0.086851938	0.36825895	1.9908543	1.9664088	1.7935198	1.5754293	1.7935297	1.5754614	0.0066523883	1.4005979	1.3587065	0.00092359442	-9.6763685e-05	0.2739041	1.5596537	0.27391596	1.559605	-1.819859e-05	-2.8550385e-05	0.15935795	0.3663034	-1.4179129	-1.1666249	1.4178529	1.1665708	-0.21054813	3.1952088	2	2	0	0	-103.04189	R0:S0:1	1.3587065	-184.44702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@18:51
2x2_2C_8b_C2v_L	-3.988632	0	10.537218	0.2899801	-0.21854062	-4.7759384	-5.810178	-0.20265506	-5.8106573	-0.20268151	0.30170751	-5.6002525	11.827919	-1.3308074e-05	9.893179e-06	0.021734705	-0.17376377	0.021742816	-0.17377784	2.223226e-06	-1.3347936e-07	-0.14900925	-1.2274881	1.9597847	0.11130433	-1.9598667	-0.11130711	0.26888315	-2.5627284	2.5688778	1	-0.29009221	0.052093306	1.2600683	1.7001584	-0.57547806	-0.19143475	0.086769556	0.37059451	1.9907144	1.9665983	1.7941534	1.5675246	1.7941693	1.5675351	0.0066921473	1.399265	1.3610854	8.8783137e-05	-1.4634933e-05	0.27217506	1.5815615	0.27215183	1.5815948	-2.3565454e-05	-2.2982284e-06	0.1599203	0.3638327	-1.4114622	-1.1694673	1.4114068	1.1694179	-0.21051856	3.1984379	2	2	0	0	-102.976	R0:S0:1	1.3610854	-184.60702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@19:04
2x2_2C_8b_C2v_L	-3.9812183	0	10.537218	0.2899801	-0.21763123	-4.7744536	-5.7943726	-0.19972768	-5.7932196	-0.19964892	0.29754022	-5.586882	11.837919	5.1709873e-05	-1.794526e-05	0.021771346	-0.1732573	0.021767112	-0.17323151	4.7397507e-05	-1.2521753e-05	-0.14985019	-1.226752	1.9563929	0.11111775	-1.9562046	-0.11108737	0.26799422	-2.5584307	2.5688778	1	-0.29009221	0.051859001	1.2601907	1.7010422	-0.57454437	-0.19142228	0.086684365	0.37292963	1.990579	1.9667902	1.7948238	1.5597346	1.7947932	1.5597358	0.006727776	1.3978785	1.3634655	-0.00032240652	3.9695162e-05	0.27022576	1.6032767	0.27026172	1.6032512	-0.00040671872	-3.3371147e-05	0.16042933	0.36135232	-1.4049316	-1.1718348	1.4050193	1.1717755	-0.21044794	3.2017259	2	2	0	0	-102.91194	R0:S0:1	1.3634655	-184.76702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@19:15
2x2_2C_8b_C2v_L	-3.9736776	0	10.537218	0.2899801	-0.21656421	-4.770796	-5.7762679	-0.19666321	-5.7759442	-0.19667645	0.29363782	-5.5754575	11.847919	-1.0293158e-05	5.2006682e-06	0.021771143	-0.17269201	0.021766177	-0.17269678	-1.628637e-06	-4.779198e-07	-0.15056434	-1.2258034	1.9526438	0.11081815	-1.9525931	-0.11081564	0.26719926	-2.5546015	2.5688778	1	-0.29009221	0.051583057	1.260315	1.7019305	-0.57359631	-0.19140575	0.086596208	0.37525591	1.9904546	1.9669731	1.7954289	1.5520806	1.7954226	1.5520947	0.0067634854	1.3965869	1.3658361	6.726872e-05	-1.0007374e-05	0.26822001	1.624602	0.26823656	1.6245938	1.2042537e-05	1.3517661e-06	0.16081508	0.35891739	-1.3985784	-1.1735572	1.3985907	1.1735083	-0.21040163	3.2048882	2	2	0	0	-102.84295	R0:S0:1	1.3658361	-184.92702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@19:27
2x2_2C_8b_C2v_L	-3.9661033	0	10.537218	0.2899801	-0.21560798	-4.7676063	-5.759455	-0.19377548	-5.7582126	-0.19371501	0.28962052	-5.562887	11.857919	5.5726062e-05	-2.2356651e-05	0.021782632	-0.17218081	0.021764271	-0.17215928	1.1634499e-06	5.4081546e-06	-0.15126888	-1.2249073	1.9491181	0.11050934	-1.9489133	-0.11048181	0.26633028	-2.5504931	2.5688778	1	-0.29009221	0.051273347	1.2604399	1.7028163	-0.57264544	-0.19138607	0.086506032	0.37758767	1.9903347	1.9671598	1.7960684	1.5445954	1.7960356	1.5446032	0.0067947803	1.3952346	1.3682137	-0.0003796668	3.1437127e-05	0.26605459	1.6456789	0.26610933	1.6456497	4.803865e-06	-4.1772715e-06	0.16115513	0.35646077	-1.3921315	-1.1748168	1.3922244	1.1747442	-0.21031315	3.2081295	2	2	0	0	-102.77475	R0:S0:1	1.3682137	-185.08702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@19:36
2x2_2C_8b_C2v_L	-3.9584374	0	10.537218	0.2899801	-0.21463663	-4.7649873	-5.7407965	-0.19082874	-5.741801	-0.19089854	0.28567539	-5.5509672	11.867919	7.7300017e-06	-3.4094715e-06	0.021762003	-0.17163409	0.02177997	-0.17166587	2.2714231e-05	-6.9167689e-06	-0.15194935	-1.2240804	1.9452966	0.11012573	-1.9454719	-0.11013943	0.2654859	-2.5465402	2.5688778	1	-0.29009221	0.050926558	1.2605663	1.7037039	-0.57168471	-0.19136232	0.086413319	0.37991394	1.9902166	1.9673496	1.7966573	1.5372693	1.7966847	1.537289	0.0068261481	1.3939137	1.3705861	-4.2933711e-05	1.2178567e-05	0.26384047	1.6663619	0.26380153	1.6664142	-0.00021521227	-2.1197312e-05	0.16146179	0.35399019	-1.3858259	-1.1755524	1.385746	1.1755069	-0.21022579	3.2113272	2	2	0	0	-102.70825	R0:S0:1	1.3705861	-185.24702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@19:44
2x2_2C_8b_C2v_L	-3.9506679	0	10.537218	0.2899801	-0.21358674	-4.7610566	-5.7241895	-0.18799692	-5.7240306	-0.18798343	0.28185748	-5.5396147	11.877919	-1.6528277e-05	1.0607117e-05	0.021759953	-0.17113014	0.021763303	-0.17112933	1.356188e-05	-2.0799148e-06	-0.15254016	-1.2231325	1.9418374	0.1097252	-1.9418138	-0.10971467	0.26466892	-2.5427259	2.5688778	1	-0.29009221	0.050541624	1.2606944	1.7045941	-0.57071266	-0.19133434	0.086317909	0.38223415	1.9901082	1.9675343	1.7972982	1.5300743	1.7972977	1.5300832	0.0068552474	1.3926196	1.3729526	0.00012489592	-8.5616515e-06	0.2614029	1.6868738	0.26139948	1.686886	-0.00013925954	-1.9532513e-05	0.16166998	0.35154534	-1.3793706	-1.1758016	1.3793608	1.1757305	-0.21013615	3.2144832	2	2	0	0	-102.6417	R0:S0:1	1.3729526	-185.40702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@19:53
