model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	8.4167872	0	13.8	3.3038	0.00067861483	-3.0535267	-3.6787695	-0.11058767	-3.6787377	-0.11057869	0.14911909	-3.2550395	9.86	0.0032468858	1.6364446e-05	0.010873298	-0.1722847	0.01087713	-0.17229311	7.3803864e-06	-1.5281858e-06	-0.11337589	-1.046292	1.635081	0.050911374	-1.6350797	-0.0509134	0.23768153	-2.1563827	1.9469	1	0.292	0.014663284	1.2542222	1.6191286	-0.59694517	-0.19940962	0.080475085	0.14071903	0.24588111	1.9388837	1.7992047	1.5701385	1.7992157	1.5700327	0.01682117	1.5417089	1.1157905	-0.032910393	1.5566188e-05	0.1100331	1.1530735	0.11000334	1.1533856	-0.0001004831	-3.3448382e-05	1.166849	0.73761833	-1.5739913	-0.60011894	1.5738953	0.60009213	-0.29284863	2.5588146	2	2	0	0	-72.854808	R0:S0:1	1.1157905	-104.8992	uncorrelated	2	817c5bc	v2.2.6	YY	12	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@16:22
model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	8.4167769	0	13.8	3.3038	0.00067968084	-3.0534657	-3.67877	-0.11060005	-3.6787096	-0.110587	0.14909713	-3.2549799	9.86	0.004449517	2.4086266e-05	0.010872331	-0.17228871	0.010879032	-0.17229622	1.1812602e-05	-7.6108664e-07	-0.11333877	-1.0462898	1.6350844	0.050915371	-1.6350723	-0.050917583	0.23767069	-2.1563618	1.9469	1	0.292	0.014663674	1.2542219	1.6191284	-0.59694608	-0.19941048	0.080475394	0.14071905	0.24692682	1.9388818	1.7992008	1.570176	1.7992169	1.5700368	0.016820005	1.5417038	1.1157902	-0.045099458	1.8033568e-05	0.11004558	1.1530121	0.11000576	1.1534288	-0.00014868359	-4.8533699e-05	1.1664734	0.73762747	-1.5740169	-0.60013698	1.5738787	0.60010443	-0.29283744	2.5588219	2	2	0	0	-72.854533	R0:S0:1	1.1157902	-104.8992	uncorrelated	2	817c5bc	v2.2.6	YY	14	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@16:26
2x2_2C_8b_C2v_L	8.3987929	0	13.8	3.3038	0.0015026155	-3.0455499	-3.671651	-0.11198135	-3.6712754	-0.11193039	0.15062929	-3.2482799	9.85	0.003888981	4.8284227e-05	0.010771026	-0.17367777	0.010771819	-0.17368146	1.7312894e-05	-1.1071046e-06	-0.11365597	-1.0456172	1.634678	0.049848298	-1.6346062	-0.049833699	0.23936785	-2.1561686	1.9469	1	0.292	0.014608853	1.2537409	1.6184073	-0.59867191	-0.20058298	0.080909771	0.14057103	0.24971617	1.9385029	1.7980209	1.5669446	1.7980451	1.5666456	0.01708537	1.539233	1.115305	-0.038850971	2.7480244e-05	0.11110301	1.1607823	0.11103952	1.1616171	-0.00024628925	-8.5104863e-05	1.1732743	0.73929688	-1.5779319	-0.59851913	1.5776711	0.59837643	-0.29478954	2.5641275	2	2	0	0	-72.762535	R0:S0:1	1.115305	-104.7392	uncorrelated	2	817c5bc	v2.2.6	YY	14	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@16:48
2x2_2C_8b_C2v_L	8.4348627	0	13.8	3.3038	-0.00019475336	-3.061512	-3.685894	-0.10922365	-3.6862164	-0.10924699	0.14750803	-3.2615591	9.87	0.013439422	-2.5563233e-05	0.010972422	-0.17088238	0.01096673	-0.17088773	-1.2794201e-05	2.0980283e-06	-0.11232752	-1.0469714	1.635495	0.05196863	-1.6355597	-0.051970444	0.23593398	-2.1565183	1.9469	1	0.292	0.014707215	1.2547048	1.6198531	-0.59520965	-0.19823083	0.080040203	0.14086606	0.26304255	1.939257	1.8003872	1.5734672	1.8003825	1.5735812	0.016555238	1.5441742	1.1162751	-0.13850945	-5.5511543e-06	0.10895894	1.1451996	0.10898618	1.1449021	0.00014496941	4.1189948e-05	1.1524505	0.73597891	-1.5700397	-0.60157648	1.5701394	0.601594	-0.29084497	2.5535014	2	2	0	0	-72.946706	R0:S0:1	1.1162751	-105.0592	uncorrelated	2	817c5bc	v2.2.6	YY	13	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@16:51
2x2_2C_8b_C2v_L	8.3808046	0	13.8	3.3038	0.0023073464	-3.03776	-3.664071	-0.11331028	-3.6641111	-0.11330962	0.15214172	-3.2416248	9.84	0.00011732781	3.4022979e-06	0.010658671	-0.17504614	0.010658735	-0.17504518	1.2659321e-06	-2.0709423e-07	-0.11402423	-1.0449709	1.6341761	0.048751751	-1.6341838	-0.048748871	0.24104265	-2.15599	1.9469	1	0.292	0.01454272	1.2532594	1.6176837	-0.60039874	-0.20175302	0.081343646	0.14042232	0.25158538	1.9381176	1.7968536	1.5635258	1.7968548	1.5635179	0.017351836	1.5367635	1.1148189	-0.0011563297	-3.3543497e-06	0.11210726	1.1690288	0.11210624	1.1690475	-1.2453086e-05	-2.6958335e-06	1.1804896	0.74100127	-1.5816558	-0.59663774	1.5816515	0.59662951	-0.2967153	2.5694297	2	2	0	0	-72.670468	R0:S0:1	1.1148189	-104.5792	uncorrelated	2	817c5bc	v2.2.6	YY	15	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@17:17
2x2_2C_8b_C2v_L	8.4529009	0	13.8	3.3038	-0.0011043037	-3.0697639	-3.6931641	-0.10782492	-3.693624	-0.1078811	0.14586823	-3.2680708	9.88	0.0053431113	-4.6404954e-05	0.011045416	-0.16945691	0.011047056	-0.1694601	-2.5477484e-05	4.0328677e-06	-0.11270572	-1.0476728	1.6359419	0.05296569	-1.6360302	-0.052985673	0.2341619	-2.1566519	1.9469	1	0.292	0.014738144	1.2551859	1.6205723	-0.59347844	-0.19705106	0.079604856	0.1410114	0.24182301	1.9396244	1.8015699	1.5767618	1.8015498	1.5770519	0.016294909	1.546636	1.1167578	-0.056118362	-4.11096e-05	0.10787834	1.1372216	0.10793526	1.136429	0.00031490785	0.00010020085	1.1528064	0.73438326	-1.566099	-0.60272307	1.566351	0.60284716	-0.28883098	2.548182	2	2	0	0	-73.039137	R0:S0:1	1.1167578	-105.2192	uncorrelated	2	817c5bc	v2.2.6	YY	15	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@17:19
2x2_2C_8b_C2v_L	8.3628715	0	13.8	3.3038	0.0030645876	-3.030113	-3.6568054	-0.11467976	-3.6567573	-0.11467516	0.15360835	-3.2349125	9.83	0.00060429309	1.3827896e-05	0.010529456	-0.17639551	0.010538305	-0.17640293	8.757287e-06	-9.0195635e-07	-0.114325	-1.0443376	1.6337453	0.047627425	-1.6337348	-0.04762898	0.24268179	-2.1557942	1.9469	1	0.292	0.014462854	1.2527789	1.6169598	-0.60212065	-0.20291675	0.081775529	0.14027303	0.25514451	1.9377293	1.7956707	1.5604557	1.7956834	1.5603627	0.017618869	1.5343031	1.1143335	-0.0058907555	1.2928588e-05	0.11314788	1.176508	0.11311702	1.176809	-9.5766043e-05	-2.7991036e-05	1.1870001	0.74271936	-1.5855487	-0.59455923	1.5854466	0.59452413	-0.29860223	2.574702	2	2	0	0	-72.578899	R0:S0:1	1.1143335	-104.4192	uncorrelated	2	817c5bc	v2.2.6	YY	13	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@17:42
2x2_2C_8b_C2v_L	8.4709417	0	13.8	3.3038	-0.0020582731	-3.0781249	-3.7006705	-0.10648613	-3.7008743	-0.10650868	0.14417674	-3.2746004	9.89	0.0025318148	-3.6302793e-05	0.011125319	-0.1680274	0.011119061	-0.16801699	-1.8854469e-05	2.8591362e-06	-0.11251518	-1.0483919	1.6364364	0.053984628	-1.6364684	-0.053990648	0.23235532	-2.1567927	1.9469	1	0.292	0.014760714	1.2556665	1.6212908	-0.59174667	-0.19586956	0.079169153	0.14115636	0.23589825	1.9399846	1.8027447	1.5802733	1.8027226	1.5805126	0.016034055	1.5490933	1.1172394	-0.0271701	-4.9334904e-05	0.10681118	1.1287727	0.1068694	1.1280733	0.00026923263	9.5523449e-05	1.1473388	0.73282353	-1.5622469	-0.60387648	1.5624706	0.60394211	-0.28677401	2.5428728	2	2	0	0	-73.132151	R0:S0:1	1.1172394	-105.3792	uncorrelated	2	817c5bc	v2.2.6	YY	13	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@17:44
2x2_2C_8b_C2v_L	8.3449182	0	13.8	3.3038	0.0037883541	-3.0223517	-3.6495915	-0.11604792	-3.6494467	-0.11603287	0.1550159	-3.2281156	9.82	-0.00017828726	-3.4082073e-06	0.010401052	-0.17774398	0.010401772	-0.17772986	-4.4716987e-06	-5.6624638e-07	-0.11462794	-1.0436836	1.6333296	0.04649032	-1.6332935	-0.046489257	0.24427812	-2.1555726	1.9469	1	0.292	0.014370489	1.2522973	1.6162334	-0.60384473	-0.20407976	0.082208044	0.14012285	0.25873234	1.9373326	1.7945012	1.5572934	1.794492	1.55732	0.01788755	1.5318301	1.1138462	0.0017207534	-7.3674703e-06	0.11414211	1.1842603	0.11414813	1.1841119	4.460352e-05	1.4778098e-05	1.1935419	0.74447775	-1.5893254	-0.59229891	1.5893702	0.59232567	-0.30045166	2.5799907	2	2	0	0	-72.487099	R0:S0:1	1.1138462	-104.2592	uncorrelated	2	817c5bc	v2.2.6	YY	14	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@18:08
