model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-4.1114475	0	10.515289	0.0054111742	-0.18382285	-5.7348495	-7.411168	-0.20121506	-7.4109334	-0.20118012	0.27972211	-7.9457239	11.544432	-0.000380223	0.00014765268	0.015182415	-0.15137951	0.015173836	-0.15136256	3.418694e-05	-8.2458629e-06	-0.11204279	-1.31409	2.0415794	0.078790838	-2.0415583	-0.078773303	0.18783229	-2.7177397	2.5089323	1	1.181568	0.049972182	1.2763416	1.6937732	-0.5177038	-0.14358481	0.055079013	0.28443346	1.9907574	1.9532238	1.8346353	1.6828348	1.8346575	1.6829062	0.0044291971	1.5942537	1.2773365	0.0023278394	-0.00012321658	0.24377382	1.2031371	0.24377696	1.2030033	-0.00047882584	-8.9290263e-05	0.20054275	0.53117562	-1.3497204	-1.040317	1.349556	1.0400238	-0.14624364	2.6939453	2	2	0	0	-113.22591	R0:S0:1	1.2773365	-184.62433	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-17@08:55
model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-4.1114475	0	10.515289	0.0054111742	-0.18382285	-5.7348495	-7.411168	-0.20121506	-7.4109334	-0.20118012	0.27972211	-7.9457239	11.544432	-0.000380223	0.00014765268	0.015182415	-0.15137951	0.015173836	-0.15136256	3.418694e-05	-8.2458629e-06	-0.11204279	-1.31409	2.0415794	0.078790838	-2.0415583	-0.078773303	0.18783229	-2.7177397	2.5089323	1	1.181568	0.049972182	1.2763416	1.6937732	-0.5177038	-0.14358481	0.055079013	0.28443346	1.9907574	1.9532238	1.8346353	1.6828348	1.8346575	1.6829062	0.0044291971	1.5942537	1.2773365	0.0023278394	-0.00012321658	0.24377382	1.2031371	0.24377696	1.2030033	-0.00047882584	-8.9290263e-05	0.20054275	0.53117562	-1.3497204	-1.040317	1.349556	1.0400238	-0.14624364	2.6939453	2	2	0	0	-113.22591	R0:S0:1	1.2773365	-184.62433	uncorrelated	2	817c5bc	v2.2.6	YY	3	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-17@08:56
2x2_2C_8b_C2v_L	-4.1151855	0	10.515289	0.0054111742	-0.18333283	-5.7359121	-7.4281584	-0.20393334	-7.4296006	-0.20394972	0.28249245	-7.960864	11.539432	-0.00045666388	0.0001678682	0.015080318	-0.15202261	0.015085471	-0.15201694	3.1888402e-05	-1.018452e-05	-0.11083195	-1.3145987	2.044416	0.078183975	-2.044628	-0.078185119	0.18838975	-2.7208527	2.5089323	1	1.181568	0.049976357	1.2762823	1.6931578	-0.51821227	-0.14356397	0.055086781	0.28268121	1.9909548	1.9530567	1.8342648	1.6894351	1.8343214	1.6895239	0.0043856531	1.5949864	1.275562	0.0027585706	-0.00013711145	0.2445229	1.1846333	0.2444814	1.1844835	-0.00048851509	-0.00010011494	0.19875826	0.53337433	-1.353903	-1.0343981	1.3535937	1.0341096	-0.14624071	2.6913526	2	2	0	0	-113.31711	R0:S0:1	1.275562	-184.54433	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-17@09:12
2x2_2C_8b_C2v_L	-4.1076868	0	10.515289	0.0054111742	-0.1843388	-5.7348275	-7.3937623	-0.19856142	-7.3939676	-0.19856122	0.27692104	-7.9299794	11.549432	-7.2962859e-05	3.1701461e-05	0.015272214	-0.15075068	0.015271964	-0.15074247	-1.9491276e-06	2.663282e-06	-0.11322786	-1.3136944	2.0387048	0.079358552	-2.0387313	-0.079358697	0.18726399	-2.7145138	2.5089323	1	1.181568	0.049949066	1.2764013	1.6943842	-0.517193	-0.14360306	0.055070479	0.28615822	1.9905627	1.9533933	1.8349895	1.6764302	1.8350006	1.6764562	0.0044712781	1.5935024	1.2790836	0.00045023105	-2.9393125e-05	0.24298308	1.2210943	0.24297947	1.2210471	-1.7130434e-05	-1.6769752e-05	0.20227825	0.52898372	-1.3456317	-1.0458066	1.3455672	1.0457469	-0.14623328	2.6965648	2	2	0	0	-113.13866	R0:S0:1	1.2790836	-184.70433	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-17@09:16
2x2_2C_8b_C2v_L	-4.1038653	0	10.515289	0.0054111742	-0.1845755	-5.7323361	-7.376541	-0.19592311	-7.3758135	-0.19590421	0.27429295	-7.9165259	11.554432	-1.9357204e-06	2.3759997e-06	0.015351265	-0.15013454	0.015345384	-0.15012484	-1.2898092e-07	-1.4475975e-07	-0.11431431	-1.3130577	2.0358611	0.079904215	-2.0357528	-0.079900961	0.1867506	-2.7116995	2.5089323	1	1.181568	0.049905464	1.2764617	1.6950021	-0.51667405	-0.14362124	0.055061737	0.28788568	1.9903755	1.9535512	1.8353442	1.6699789	1.8353344	1.6699822	0.0045137367	1.5928153	1.2808321	1.1786088e-05	-3.5088838e-06	0.24212819	1.239159	0.24214481	1.2391355	1.3911481e-06	6.2145237e-07	0.20386953	0.52684574	-1.3415351	-1.051128	1.3415652	1.0511198	-0.14624662	2.6990417	2	2	0	0	-113.04865	R0:S0:1	1.2808321	-184.78433	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-17@09:37
2x2_2C_8b_C2v_L	-4.115674	0	10.515289	0.0054111742	-0.1818847	-5.7124341	-7.4310952	-0.20409546	-7.4209716	-0.20192209	0.28076993	-7.9581956	11.534432	-0.02652239	0.0094545642	0.015270468	-0.15238769	0.014729395	-0.15104885	0.0017426608	-0.00056199293	-0.10686828	-1.3149202	2.044943	0.078422147	-2.0442376	-0.077531833	0.18788266	-2.7209792	2.5089323	1	1.181568	0.049735553	1.2762713	1.693013	-0.51827926	-0.14354858	0.055078242	0.28213328	1.9879986	1.9525386	1.8334564	1.6876694	1.8349413	1.6920935	0.0043117608	1.5951693	1.2749975	0.15859081	-0.0080576098	0.24328378	1.1862409	0.24345342	1.1770822	-0.026694795	-0.0054149185	0.19564747	0.5373155	-1.3599948	-1.0394744	1.3493016	1.0225569	-0.145395	2.6902879	2	2	0	0	-113.22595	R0:S0:1	1.2749975	-184.46433	uncorrelated	2	817c5bc	v2.2.6	YY	16	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-17@09:40
2x2_2C_8b_C2v_L	-4.100052	0	10.515289	0.0054111742	-0.18493686	-5.7323871	-7.357885	-0.19328349	-7.3580874	-0.19327918	0.27164665	-7.902521	11.559432	-2.9882762e-05	1.3363151e-05	0.015419036	-0.149483	0.015419663	-0.14948742	7.0503038e-06	-1.5499738e-06	-0.11539989	-1.3126876	2.0327991	0.080414314	-2.0328364	-0.080414159	0.18621833	-2.7087813	2.5089323	1	1.181568	0.049833789	1.276522	1.6956071	-0.51615748	-0.14363492	0.055051945	0.28956403	1.9901879	1.9537151	1.8356507	1.6637978	1.8356492	1.6637796	0.0045547891	1.5921156	1.2825323	0.00018819811	-1.3207879e-05	0.24118334	1.2562758	0.2411819	1.2562967	-7.7674607e-05	-7.9137607e-06	0.20546187	0.52471972	-1.3377089	-1.056103	1.3377278	1.0561377	-0.14624286	2.7015155	2	2	0	0	-112.96075	R0:S0:1	1.2825323	-184.86433	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-17@09:57
2x2_2C_8b_C2v_L	-4.0961989	0	10.515289	0.0054111742	-0.18510202	-5.7295105	-7.3429567	-0.19079856	-7.3424803	-0.19078907	0.26886077	-7.8872345	11.564432	4.4284601e-06	1.8379215e-06	0.015505019	-0.14890703	0.015501241	-0.14890344	-7.2471447e-06	6.1605373e-06	-0.11640337	-1.31202	2.0302842	0.080933437	-2.0302156	-0.080929363	0.18564829	-2.7056366	2.5089323	1	1.181568	0.049752858	1.2765829	1.6962169	-0.51563549	-0.14364874	0.05504198	0.29124971	1.9900091	1.9538675	1.836015	1.6575898	1.8360077	1.6575927	0.0045935886	1.5913704	1.2842395	-3.152321e-05	-4.5613491e-06	0.24015499	1.2735835	0.24016707	1.2735761	6.8298398e-05	-1.2950034e-06	0.20691112	0.52263491	-1.3336858	-1.0610208	1.3337106	1.061003	-0.14621116	2.7040992	2	2	0	0	-112.87649	R0:S0:1	1.2842395	-184.94433	uncorrelated	2	817c5bc	v2.2.6	YY	9	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-17@10:16
2x2_2C_8b_C2v_L	-4.0923303	0	10.515289	0.0054111742	-0.18513401	-5.7272575	-7.325636	-0.18824758	-7.3255361	-0.18824661	0.26622102	-7.8735225	11.569432	-6.7088505e-06	3.4948445e-07	0.015571085	-0.14828784	0.015571442	-0.1482825	-3.0872636e-06	4.064662e-06	-0.11734997	-1.3114322	2.0274219	0.081407226	-2.0274082	-0.081405039	0.18512051	-2.7027667	2.5089323	1	1.181568	0.049643883	1.2766439	1.6968215	-0.51511228	-0.14365967	0.055031349	0.29290485	1.989833	1.9540176	1.8363277	1.6515332	1.8363284	1.6515473	0.0046333688	1.5906755	1.285916	4.5260749e-05	3.6279375e-06	0.2390529	1.2902713	0.23905602	1.2902491	1.9690173e-05	-9.7979933e-06	0.2083033	0.52059228	-1.329889	-1.0655977	1.329878	1.0655667	-0.1462002	2.7065474	2	2	0	0	-112.78859	R0:S0:1	1.285916	-185.02433	uncorrelated	2	817c5bc	v2.2.6	YY	9	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-17@10:35
