model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.6887304	0	7.8166925	0.36889304	0.421413	0.88746747	0.30077498	0.30078456	0.88748159	0.9591092	0.17176219	1.3374075	-0.0014039178	-0.34577592	0.066982864	0.27084661	-0.27084838	-0.066975371	2.880005e-06	-0.2299311	1.371862	-0.33386917	0.0014530261	0.50042109	-0.14031194	-0.14030155	0.50043106	0.65251162	8.9668921e-06	-0.24314454	-0.029943363	0.8241256	-1.2530195	-0.12436839	0.04673076	0.34735787	0.085852143	0.21484415	0.65099874	0.65097857	0.2148485	0.059135694	0.10791349	0.80697323	0.0026482568	0.60962605	0.18372225	-2.1647345	2.1647367	-0.18377833	-9.636819e-06	1.1021659	-0.6703878	2.2438772	-0.0092730151	-1.4441327	1.3221374	1.3220872	-1.4441468	-0.35035855	-1.5208907e-05	-0.059973894	-9.8701497	R0:S0:1	0.80697323	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2023-12-10@09:48
model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.6887304	0	7.8166925	0.36889304	0.421413	0.88746747	0.30077498	0.30078456	0.88748159	0.9591092	0.17176219	1.3374075	-0.0014039178	-0.34577592	0.066982864	0.27084661	-0.27084838	-0.066975371	2.880005e-06	-0.2299311	1.371862	-0.33386917	0.0014530261	0.50042109	-0.14031194	-0.14030155	0.50043106	0.65251162	8.9668921e-06	-0.24314454	-0.029943363	0.8241256	-1.2530195	-0.12436839	0.04673076	0.34735787	0.085852143	0.21484415	0.65099874	0.65097857	0.2148485	0.059135694	0.10791349	0.80697323	0.0026482568	0.60962605	0.18372225	-2.1647345	2.1647367	-0.18377833	-9.636819e-06	1.1021659	-0.6703878	2.2438772	-0.0092730151	-1.4441327	1.3221374	1.3220872	-1.4441468	-0.35035855	-1.5208907e-05	-0.059973894	-9.8701497	R0:S0:1	0.80697323	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2023-12-10@09:53
2x2_2C_8b_C2v_L	-1.6883762	0	7.8166925	0.36914325	0.42076188	0.8885153	0.30025374	0.30028206	0.88853388	0.95970933	0.17180046	1.3374075	-2.5509005e-05	-0.3451904	0.066876184	0.27043148	-0.2704442	-0.066877432	-5.713578e-06	-0.22990517	1.371862	-0.33382942	3.7979163e-05	0.50077245	-0.14044525	-0.14043496	0.50078161	0.65295297	1.3877321e-06	-0.24414454	-0.029946327	0.82432528	-1.2526782	-0.12339188	0.046742508	0.34724734	0.085634683	0.21514124	0.65037173	0.65034775	0.21512287	0.059117995	0.1077844	0.80718984	2.3822671e-05	0.60896616	0.18433403	-2.1613474	2.1614147	-0.18433288	2.1204624e-05	1.1013716	-0.67025935	2.244064	-0.00026604079	-1.4455715	1.3236702	1.3235364	-1.4454896	-0.35044526	-4.1185873e-06	-0.059712903	-9.8693582	R0:S0:1	0.80718984	817c5bc	v2.2.6	Y	5	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2023-12-10@10:01
2x2_2C_8b_C2v_L	-1.6890834	0	7.8166925	0.36855819	0.42207434	0.88650463	0.30132442	0.30134518	0.88653323	0.95848848	0.17175636	1.3374075	-0.0011062284	-0.34635765	0.067103866	0.27126116	-0.27127428	-0.067088238	4.5380731e-06	-0.22996701	1.371862	-0.33388696	0.0011423401	0.5000769	-0.1402102	-0.14019185	0.50009301	0.65206265	3.0812091e-06	-0.24214454	-0.029942626	0.82392351	-1.2533596	-0.12535045	0.046719182	0.34748879	0.086075273	0.2145348	0.651611	0.65157848	0.21452811	0.059151643	0.10804292	0.80675699	0.0020912669	0.61032473	0.18308955	-2.168041	2.1680997	-0.18316573	-1.854392e-05	1.1029741	-0.67051567	2.2437078	-0.0072795471	-1.4426806	1.3207918	1.3206417	-1.4426472	-0.35026868	-3.9002093e-06	-0.06023458	-9.8709618	R0:S0:1	0.80675699	817c5bc	v2.2.6	Y	5	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2023-12-10@10:07
2x2_2C_8b_C2v_L	-1.6880238	0	7.8166925	0.36941033	0.42010783	0.88947041	0.29973582	0.29968373	0.88939941	0.96033504	0.17183789	1.3374075	-0.0021874118	-0.34460301	0.066772119	0.27002566	-0.27001891	-0.066718626	4.4598968e-06	-0.22988293	1.371862	-0.33378164	0.0022631958	0.50112212	-0.1405497	-0.14049496	0.50112603	0.65341392	2.5987932e-06	-0.24514454	-0.02994474	0.82452424	-1.2523363	-0.12241244	0.04675379	0.3471241	0.085431785	0.21544533	0.64977372	0.64973431	0.21548145	0.05910514	0.10766411	0.80740378	0.0041293312	0.60829316	0.18490332	-2.1580793	2.1581058	-0.1851215	-2.3756735e-05	1.1006162	-0.6701289	2.2441783	-0.014466593	-1.4469993	1.3249961	1.3247515	-1.4471007	-0.35055098	-2.087166e-06	-0.059454999	-9.8685441	R0:S0:1	0.80740378	817c5bc	v2.2.6	Y	5	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2023-12-10@10:15
2x2_2C_8b_C2v_L	-1.6894472	0	7.8166925	0.36827556	0.42273875	0.8854361	0.30185606	0.30185527	0.8854423	0.9579094	0.17170953	1.3374075	-0.0013501733	-0.34694008	0.067180857	0.2716875	-0.27168075	-0.067185742	8.3117217e-06	-0.22998716	1.371862	-0.33392184	0.0013849672	0.49973857	-0.14004644	-0.14006278	0.49972918	0.65162348	-1.6374149e-06	-0.24114454	-0.029938521	0.82372766	-1.2537058	-0.12633139	0.046707151	0.34760402	0.086291213	0.21425212	0.65220443	0.65220831	0.21425141	0.059167719	0.10816995	0.80653793	0.0025722611	0.61098757	0.18262164	-2.1714788	2.1714286	-0.18261096	-3.5706748e-05	1.1037588	-0.67064555	2.2435317	-0.0087985042	-1.4412828	1.3190881	1.3192044	-1.4412891	-0.35017591	5.38801e-06	-0.060497504	-9.8717483	R0:S0:1	0.80653793	817c5bc	v2.2.6	Y	5	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2023-12-10@10:21
2x2_2C_8b_C2v_L	-1.6876746	0	7.8166925	0.3696824	0.41946968	0.89046433	0.29917728	0.2991606	0.89050542	0.96084582	0.1718332	1.3374075	0.00071009433	-0.34403071	0.066660885	0.26960838	-0.26961104	-0.0666399	7.1175197e-07	-0.22984476	1.371862	-0.3337573	-0.00072848249	0.50146131	-0.1406709	-0.14064412	0.50148202	0.65383323	1.766478e-06	-0.24614454	-0.029944812	0.82471841	-1.2519974	-0.12144494	0.046765544	0.34702607	0.085209914	0.21573869	0.64920072	0.64919076	0.21574331	0.059093951	0.10754235	0.80761546	-0.0013516969	0.60764744	0.1854615	-2.1548179	2.1548745	-0.18553072	-1.716999e-06	1.0998216	-0.67000036	2.2444194	0.0046498541	-1.4484011	1.3264347	1.3262897	-1.4484176	-0.35064506	-1.16593e-06	-0.059194594	-9.8677913	R0:S0:1	0.80761546	817c5bc	v2.2.6	Y	5	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2023-12-10@10:28
2x2_2C_8b_C2v_L	-1.6898193	0	7.8166925	0.36793606	0.42339523	0.8844434	0.30239007	0.30238775	0.88449942	0.95726236	0.17168163	1.3374075	-0.00059553839	-0.34751976	0.067312578	0.27209814	-0.27209974	-0.067303299	4.4862848e-06	-0.23001385	1.371862	-0.33394451	0.00060092174	0.49938499	-0.13994156	-0.1399492	0.49939026	0.65116744	-4.7960423e-06	-0.24014454	-0.02993478	0.82353825	-1.2540575	-0.12731723	0.046695209	0.34774037	0.086513538	0.21393494	0.65285882	0.65285769	0.21392946	0.059185737	0.108301	0.80631848	0.0011550793	0.61168964	0.18189046	-2.1748541	2.1748488	-0.18192007	-1.8540831e-05	1.1045588	-0.67077352	2.24338	-0.0037943285	-1.4397906	1.3176995	1.3177465	-1.4397882	-0.35008716	8.2799135e-06	-0.060759001	-9.8725525	R0:S0:1	0.80631848	817c5bc	v2.2.6	Y	5	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2023-12-10@10:34
2x2_2C_8b_C2v_L	-1.6873174	0	7.8166925	0.36999218	0.41883789	0.89146175	0.29863688	0.29857732	0.89148043	0.96141321	0.17184184	1.3374075	-3.2365887e-05	-0.34345629	0.066534092	0.269198	-0.26918208	-0.06652209	-8.09834e-06	-0.22981005	1.371862	-0.33373884	3.4539043e-05	0.50181834	-0.14076618	-0.14074881	0.50182221	0.6542721	-4.8378549e-06	-0.24714454	-0.029943345	0.82490512	-1.2516504	-0.12047288	0.046776864	0.34690937	0.084988421	0.21604109	0.64859848	0.64861996	0.21605258	0.059081572	0.10741945	0.80782744	6.5821344e-05	0.60696742	0.1860965	-2.1515765	2.1515855	-0.18610414	2.6791582e-05	1.0990347	-0.66987095	2.2446198	-0.00021653557	-1.4498286	1.3277166	1.3276887	-1.4498772	-0.3507425	5.3593657e-06	-0.058935313	-9.8670074	R0:S0:1	0.80782744	817c5bc	v2.2.6	Y	5	sharp_wc_2.0_b_50	self-energy/D	boucle_1bande.py	2023-12-10@10:42
