CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	0	0.06720225017	-116.5865548	-174.6213715	-0.8013804151	YY	10.74223647	0.3572487942	self-energy/D	sharp_wc_2_b_35	1.3251661	2	1.24632678	-3.596464707	1.960487619	0.07062847074	0.03071068116	2.322797751	0.477226337	42.41930255	0.04826688402	-23.00252367	1.922225992	1.648997437	0.4584811723	0.2873527965	0.004184844888	4.86166611	0.7318781497	a248bdd	2x2_2C_8b_C2v_L	12.23900182	1.338182319	2	1.70099561	0.9999999996724636	0.9999999999999999	0.0006406877781	0.0006933918299	0.002713658078	-0.004944458834	-0.7506761332	1.636267978	-5.784024975	0.7179340964	0.6862534323	-0.06193120002	0.5381077951	-1.59487583	0.0006837850767	-0.004152040133	-2.618568986	3.41045513	boucle2.py	R0:S0:1	uncorrelated	1.225037677	-0.3576530242	0.1108818012	-0.6567508524	-0.7651750314	2.011531146	1.395221917	-0.1873602259	-4.242719011	0.9180467161	-0.5911249531	1.932809265	-0.3082286824	0.2288199951	-0.0007475214267	0.007961107677	2024-12-24@08:53	2.7131637	-0.6107037747	1	-3.590954813e-16	-0.2287507981	-0.318924249	-2.526066424e-16	0.1035565404	v2.7.1	
5	Broyden	0	0.06669375605	-116.661182	-173.8213715	-0.6355824861	YY	10.74223647	0.3578041912	self-energy/D	sharp_wc_2_b_35	1.3751661	2	1.245709727	-3.594054803	1.960045071	0.0968185436	0.03301777056	2.300816221	0.484686971	42.41815949	0.04850167045	-22.99971532	1.921982061	1.633347742	0.4665529657	0.2950728947	0.004328982622	4.864496002	0.7338050117	a248bdd	2x2_2C_8b_C2v_L	12.23900182	1.3384833	2	1.700755302	0.9999999996138547	0.9999999999999998	0.001081201937	0.0008785030719	0.004133028446	-0.007209301901	-0.7571279558	1.643803001	-5.788095454	0.7182485916	0.6991450357	-0.074013539	0.5440159553	-1.605456627	0.001674170582	-0.01410118833	-2.628268317	3.414268093	boucle2.py	R0:S0:1	uncorrelated	1.230854806	-0.3595891145	0.1183231755	-0.6855628615	-0.7642062174	2.018581267	1.41835028	-0.1984370321	-4.246412171	0.9186722835	-0.5905789599	1.940600778	-0.312361231	0.2316049358	-0.000710432091	0.005790467843	2024-12-24@09:01	2.7131637	-0.6123027903	1	1.621684231e-16	-0.2303942214	-0.318924249	-1.625886937e-16	0.1042463537	v2.7.1	
5	Broyden	0	0.06663848048	-116.7156085	-173.0213715	-0.4753912469	YY	10.74223647	0.3572794724	self-energy/D	sharp_wc_2_b_35	1.4251661	2	1.245021916	-3.593146438	1.960174207	0.09090077465	0.03235529055	2.300534633	0.4841642678	42.41793498	0.04869724067	-22.99951508	1.921289889	1.631451968	0.4693792233	0.3019901935	0.004391658413	4.858256768	0.7359456848	a248bdd	2x2_2C_8b_C2v_L	12.23900182	1.337794527	2	1.699966372	0.9999999996824234	0.9999999999999997	0.0009922553841	0.001026175579	0.003679959361	-0.006729105166	-0.7610983671	1.645586061	-5.792087597	0.7201415702	0.707966486	-0.08018892658	0.5490302334	-1.616099422	0.001439188244	-0.01280871499	-2.635067215	3.417664969	boucle2.py	R0:S0:1	uncorrelated	1.233017815	-0.3584522052	0.1172457822	-0.6791095347	-0.7634331831	2.010242025	1.421145399	-0.2009241666	-4.252933761	0.9246238204	-0.5924533127	1.934395726	-0.315578643	0.2337269133	-0.0004837227077	0.004575240818	2024-12-24@09:09	2.7131637	-0.614553966	1	3.781121322e-16	-0.2319581432	-0.318924249	-2.873557927e-16	0.104987696	v2.7.1	
2	Broyden	0	0.06625503258	-116.7673976	-172.2213715	-0.3110978611	YY	10.74223647	0.3573239646	self-energy/D	sharp_wc_2_b_35	1.4751661	2	1.244389167	-3.59125946	1.959575195	0.123659069	0.03515504756	2.278509524	0.4905789801	42.41695384	0.04897909566	-22.99663723	1.921341362	1.617328397	0.472180289	0.3032025075	0.004469243038	4.864929364	0.737217517	a248bdd	2x2_2C_8b_C2v_L	12.23900182	1.337651859	2	1.699544086	0.9999999996770095	0.999999999999999	0.001662865176	3.393900366e-06	0.005414822162	-0.008561816742	-0.7670423864	1.657542106	-5.793010586	0.7219517671	0.71083943	-0.08653847354	0.5529834303	-1.620281437	0.001808035517	-0.01503280432	-2.644865749	3.420318077	boucle2.py	R0:S0:1	uncorrelated	1.238711102	-0.3618621009	0.1267754392	-0.7132741972	-0.7611979108	2.010341118	1.440341198	-0.2096616401	-4.251690433	0.9232232644	-0.5880275927	1.932105459	-0.3178996313	0.2351940935	-0.0006507223228	0.005602360353	2024-12-24@09:13	2.7131637	-0.6162983275	1	-3.881671802e-16	-0.2335575522	-0.318924249	2.508929564e-16	0.1056808918	v2.7.1	
3	Broyden	0	0.06620251571	-116.8418866	-171.4213715	-0.151037193	YY	10.74223647	0.3572820095	self-energy/D	sharp_wc_2_b_35	1.5251661	2	1.243684592	-3.585875284	1.959444604	0.1328793728	0.03590368018	2.278329496	0.4952110359	42.41620962	0.04947087929	-22.99806476	1.92089795	1.631498354	0.4711120484	0.3171134934	0.004570880762	4.842147275	0.7408888105	a248bdd	2x2_2C_8b_C2v_L	12.23900182	1.337362353	2	1.698928292	0.9999999997438522	1.0	0.00177850534	-0.001058240284	0.005326689982	-0.007266331595	-0.7724851331	1.669376912	-5.806237473	0.7267567213	0.7136402237	-0.08789773802	0.5562266245	-1.615399924	-0.0002923104622	0.004880228763	-2.647884268	3.425153138	boucle2.py	R0:S0:1	uncorrelated	1.241689183	-0.3618847475	0.129675492	-0.7230441056	-0.765273132	2.01156122	1.455878198	-0.2139340605	-4.264797374	0.9260602671	-0.5930863381	1.933362139	-0.3238972455	0.2396362811	5.041283718e-05	0.009335078369	2024-12-24@09:19	2.7131637	-0.6184558672	1	2.662855368e-16	-0.2352484022	-0.318924249	-3.308369886e-16	0.1064544287	v2.7.1	
2	Broyden	0	0.06576275453	-116.8490725	-170.6213715	0.01270526141	YY	10.74223647	0.3570281783	self-energy/D	sharp_wc_2_b_35	1.5751661	2	1.243060419	-3.589814592	1.958756582	0.1862410282	0.03903313851	2.245096725	0.4957643453	42.41578883	0.04916376533	-22.98898278	1.920934861	1.583862763	0.4780648013	0.3296741285	0.004704685391	4.868416649	0.7407673551	a248bdd	2x2_2C_8b_C2v_L	12.23900182	1.337061844	2	1.698338532	0.9999999997641763	0.9999999999999998	0.001679769812	-0.0005591938856	0.004864717408	-0.006289423499	-0.7759425308	1.671115037	-5.785510158	0.7227704648	0.7159261327	-0.09728797327	0.5595849743	-1.638082998	-6.130116765e-05	0.001086332763	-2.664499744	3.426601211	boucle2.py	R0:S0:1	uncorrelated	1.248827761	-0.3666106317	0.1432947568	-0.7635175343	-0.7519101495	1.99845539	1.455229158	-0.2197833469	-4.249545453	0.9261491687	-0.5790149996	1.91964357	-0.3298619117	0.2427285688	0.0002342357608	0.006861005708	2024-12-24@09:23	2.7131637	-0.6202629981	1	-1.846298228e-16	-0.2367541547	-0.318924249	1.607024394e-16	0.1071174115	v2.7.1	
2	Broyden	0	0.06606291896	-116.9893967	-169.8213715	0.1669209881	YY	10.74223647	0.3570621897	self-energy/D	sharp_wc_2_b_35	1.6251661	2	1.242239287	-3.574842684	1.959441744	0.1284229732	0.03603503465	2.295558912	0.497299682	42.41544942	0.05011410779	-23.00189503	1.91915575	1.660216576	0.476514409	0.3221554423	0.004752367868	4.791186898	0.7480912064	a248bdd	2x2_2C_8b_C2v_L	12.23900182	1.336648675	2	1.697588068	0.9999999997340745	1.0	0.0004667164014	0.002410788582	0.001783704792	-0.00334299792	-0.781814291	1.674682849	-5.832247306	0.7325646196	0.7369938499	-0.09842917008	0.5667929356	-1.623459679	0.002500566064	-0.0189201654	-2.650189368	3.434320383	boucle2.py	R0:S0:1	uncorrelated	1.246261328	-0.360322461	0.1301716125	-0.7258012793	-0.7727717884	2.01055601	1.469876859	-0.2181746081	-4.297509989	0.9394229283	-0.6098232883	1.940884735	-0.3279790369	0.2437468357	-0.001082180689	0.005419627213	2024-12-24@09:27	2.7131637	-0.622920503	1	2.840375592e-17	-0.2386653425	-0.318924249	-9.007939023e-17	0.1080325766	v2.7.1	
1	Broyden	0	0.06547504981	-116.8529207	-169.0213715	0.3301246004	YY	10.74223647	0.3563449132	self-energy/D	sharp_wc_2_b_35	1.6751661	2	1.241678592	-3.61710017	1.959120054	0.1725474627	0.0382045807	2.164880953	0.4977690602	42.41390182	0.0483918049	-22.95599641	1.918594753	1.502816479	0.482820922	0.3605233243	0.004997444285	4.84920019	0.7448717235	a248bdd	2x2_2C_8b_C2v_L	12.23900182	1.336404829	2	1.696529606	0.9999999997011386	0.9999999999999998	0.005423302549	-0.005957907846	0.01440965673	-0.01981677013	-0.7779006859	1.687300617	-5.736209304	0.7151499764	0.6886631463	-0.09405990133	0.5429083493	-1.649156362	0.002730033252	-0.02288845235	-2.678382268	3.432725542	boucle2.py	R0:S0:1	uncorrelated	1.258217916	-0.3643174527	0.1405724441	-0.7538888054	-0.7203305445	1.968167829	1.440866434	-0.2239978531	-4.270781805	0.9470092903	-0.5669316131	1.910459629	-0.3391836819	0.2485223391	-0.0009883095507	0.002864214814	2024-12-24@09:31	2.7131637	-0.6249247186	1	8.9093389e-16	-0.2398334135	-0.318924249	2.274987213e-16	0.1085520357	v2.7.1	
3	Broyden	0	0.06574913028	-117.3228597	-168.2213715	0.4891496377	YY	10.74223647	0.3566170184	self-energy/D	sharp_wc_2_b_35	1.7251661	2	1.24079946	-3.570270151	1.958704229	0.190705035	0.03984470384	2.370364562	0.5007611483	42.41546819	0.05168769177	-23.0331573	1.919779551	1.776582878	0.4802990978	0.3408567778	0.004968407367	4.827522013	0.7507919066	a248bdd	2x2_2C_8b_C2v_L	12.23900182	1.335293814	2	1.696783898	0.9999999997728454	0.9999999999999998	0.0005214815372	0.001825809142	0.002001283985	-0.002575114416	-0.8017959957	1.674826721	-5.896486439	0.745716346	0.8064335048	-0.1263805582	0.6161793059	-1.646811102	-3.929141835e-05	0.00470035261	-2.679081484	3.441302309	boucle2.py	R0:S0:1	uncorrelated	1.255834572	-0.3636817208	0.1468035174	-0.7735092187	-0.8053273656	2.020773581	1.520357352	-0.2309258248	-4.294239667	0.9315812201	-0.6323246511	1.929245941	-0.3397203642	0.2505301374	-0.0004409263845	0.01079296511	2024-12-24@09:36	2.7131637	-0.6266958755	1	2.174666493e-17	-0.2422348759	-0.318924249	2.638841244e-16	0.1096558514	v2.7.1	
2	Broyden	0	0.06502632534	-116.4988651	-167.4213715	0.6441295462	YY	10.74223647	0.3554313497	self-energy/D	sharp_wc_2_b_35	1.7751661	2	1.240290219	-3.649158642	1.958526177	0.210967278	0.03974943742	1.973081804	0.50039444	42.39264182	0.04814882267	-22.79942694	1.917693753	1.483639053	0.4766916537	0.3534866699	0.004833198631	4.707855807	0.7555641718	a248bdd	2x2_2C_8b_C2v_L	12.23900182	1.335902296	2	1.694230509	0.9999999997411878	0.9999999999999998	0.001039622956	0.00150322213	0.002710611324	-0.003894503364	-0.742843242	1.727253613	-5.690371693	0.7206859558	0.6829925958	-0.100473441	0.5480443184	-1.642604154	0.001705637585	-0.01283131481	-2.653704299	3.441213137	boucle2.py	R0:S0:1	uncorrelated	1.272358842	-0.3693199281	0.1507219364	-0.7819580486	-0.6613841894	1.914994193	1.337820841	-0.2059210694	-4.255250348	0.9539901473	-0.557698177	1.878127215	-0.3338383853	0.248494728	-0.0003432216458	0.003269842317	2024-12-24@09:40	2.7131637	-0.629981576	1	1.813877857e-17	-0.2427066772	-0.318924249	-2.314964155e-16	0.1099367076	v2.7.1	
