CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	0	0.0002580251414	-108.0970608	-174.6213715	-0.7170786715	YY	11.49223647	0.293805101	self-energy/D	sharp_wc_2_b_35	1.3251661	2	1.252376232	-15.37218191	1.984410671	2.573064411	0.03152531349	-4.476727217	1.73579865	35.0637018	0.006996233582	21.54053472	0.03165477631	-4.111072088	1.759979369	0.6841612181	0.002983643464	5.514088076	0.5854159473	a248bdd	2x2_2C_8b_C2v_L	12.23900182	1.284874494	2	1.667074245	0.9999999998709552	0.9999999999999999	-0.3928660625	0.268227956	-0.7414803162	0.3542866934	0.03266277862	-0.03953911139	1.773487459	-0.2830045585	2.223017876	-0.5784500309	-0.2196918554	0.1982690866	0.02132875183	-0.07289446003	-2.780749232	3.133212364	boucle.py	R0:S0:1	uncorrelated	-1.81241536	0.262284778	-0.1838206785	0.3730412023	1.775992859	-1.742046229	0.2208665054	-0.05586044804	-0.7651350786	0.2869929195	1.571860972	-1.657007613	-0.2381056922	0.1630591525	-0.004377715182	0.01980342431	2025-02-03@08:15	2.7131637	-0.6158088863	1	-3.590954813e-16	-0.1984182707	-0.318924249	-2.526066424e-16	0.0922606666	v2.7.1	
18	Broyden	0	0.0001086626254	-108.6762932	-175.4213715	-0.7099316366	YY	11.49223647	0.2918137612	self-energy/D	sharp_wc_2_b_35	1.3251661	2	1.252523378	-15.37201738	1.985354901	2.621279764	0.02870730458	-4.575181997	1.739781991	35.06275303	0.007321945416	21.53857963	0.03264555154	-4.208893059	1.765790383	0.7151770054	0.002906282593	5.604799536	0.5833862316	a248bdd	2x2_2C_8b_C2v_L	12.28900182	1.283080957	2	1.667157322	0.9999999998134234	0.9999999999999998	-0.322802886	0.2194045494	-0.7313349202	0.3498741493	0.03372176835	-0.03984613118	1.811482976	-0.2900174461	2.269805977	-0.5951255583	-0.2175034423	0.1938937358	0.01535247556	-0.05279458955	-2.795190076	3.129785997	boucle.py	R0:S0:1	uncorrelated	-1.806239858	0.2607779147	-0.1555897724	0.3097264581	1.780619429	-1.731435175	0.2208675711	-0.05545081304	-0.7198923182	0.2686954569	1.56295924	-1.644347927	-0.2505056234	0.1682708119	-0.003167985832	0.01672601511	2025-02-03@08:26	2.7131637	-0.6151812003	1	-1.225463814e-15	-0.1979947486	-0.318924249	2.842971868e-17	0.09206997728	v2.7.1	
4	Broyden	0	1.472510711e-05	-108.5270186	-176.2213715	-0.7154053989	YY	11.49223647	0.2966003755	self-energy/D	sharp_wc_2_b_35	1.3251661	2	1.252413594	-15.37238946	1.984478245	2.576764923	0.03142080835	-4.483707005	1.733005411	35.06370835	0.006997958471	21.54061947	0.03173244197	-4.118074401	1.756891901	0.6838187077	0.0030773397	5.522715622	0.5909226418	a248bdd	2x2_2C_8b_C2v_L	12.33900182	1.287719574	2	1.667475937	0.999999999882719	0.9999999999999997	-0.3898666237	0.2660234361	-0.7308889068	0.3525876203	0.03308835791	-0.0417165405	1.773235047	-0.2823855443	2.221646275	-0.5785112539	-0.2218591489	0.2005724087	0.01798392506	-0.06389523953	-2.764362194	3.143492416	boucle.py	R0:S0:1	uncorrelated	-1.808861489	0.2609574656	-0.1850215758	0.3706232957	1.761608739	-1.746996273	0.2210747179	-0.05570445446	-0.764017342	0.2861620048	1.557695907	-1.664673683	-0.2491292984	0.1699100724	-0.004181757762	0.02105398991	2025-02-03@08:29	2.7131637	-0.6156040294	1	1.742056354e-16	-0.1984624942	-0.318924249	-1.164254763e-16	0.09227113991	v2.7.1	
1	Broyden	0	-0.0001917680798	-109.4609505	-177.0213715	-0.7039195875	YY	11.49223647	0.2912035701	self-energy/D	sharp_wc_2_b_35	1.3251661	2	1.252649919	-15.3719848	1.986105692	2.669328493	0.0266405752	-4.675278187	1.741005103	35.06183537	0.00767095777	21.53676235	0.03360825832	-4.307105882	1.770896395	0.7456124469	0.003058605479	5.699453066	0.5838949897	a248bdd	2x2_2C_8b_C2v_L	12.38900182	1.282649203	2	1.667341855	0.9999999999036362	0.9999999999999998	-0.2548869512	0.1721987434	-0.7190197531	0.347079649	0.03517028866	-0.04152698715	1.848105391	-0.2974248724	2.311975212	-0.6092352405	-0.2160451448	0.1914906183	0.009989541441	-0.03525482484	-2.799356023	3.130467133	boucle.py	R0:S0:1	uncorrelated	-1.796215067	0.259075506	-0.1265792702	0.2455964918	1.777803209	-1.730232792	0.221159225	-0.05487349105	-0.6776937109	0.2518242022	1.545963773	-1.629500035	-0.270532329	0.1784361825	-0.002152089504	0.01443295581	2025-02-03@08:30	2.7131637	-0.6146384504	1	-9.066728252e-16	-0.1976779283	-0.318924249	3.413899732e-16	0.09192280138	v2.7.1	
4	Broyden	0	-0.0004632599186	-109.0212079	-177.8213715	-0.712249894	YY	11.49223647	0.2972094892	self-energy/D	sharp_wc_2_b_35	1.3251661	2	1.252471899	-15.37722978	1.984530131	2.570435394	0.03207212131	-4.483962561	1.72996642	35.06387005	0.00705504744	21.54188376	0.03279539684	-4.171570457	1.762520476	0.6257620795	0.003248909948	5.590654199	0.592901134	a248bdd	2x2_2C_8b_C2v_L	12.43900182	1.288404783	2	1.667715962	0.9999999998930853	0.9999999999999998	-0.3992674906	0.2718079554	-0.7267607588	0.3563413528	0.03280094665	-0.04449396835	1.778778965	-0.283523729	2.282301718	-0.5960990846	-0.2142639806	0.1954495475	0.01519450144	-0.0581664634	-2.758755801	3.146700478	boucle.py	R0:S0:1	uncorrelated	-1.790618861	0.2590093769	-0.1878205466	0.368900907	1.745009426	-1.755625429	0.2157594873	-0.05370042674	-0.6923222951	0.258831502	1.525657045	-1.648066263	-0.2571695999	0.1756976966	-0.004309559352	0.02297809477	2025-02-03@08:34	2.7131637	-0.6152714081	1	6.943098945e-16	-0.1984032527	-0.318924249	1.001423507e-16	0.092230773	v2.7.1	
3	Broyden	0	-0.0002648074517	-111.0852894	-178.6213715	-0.712454197	YY	11.49223647	0.2909948287	self-energy/D	sharp_wc_2_b_35	1.3251661	2	1.252422283	-15.37694525	1.990263114	2.843706971	0.02907379635	-5.003703567	1.747556284	35.06053993	0.008033390346	21.53721923	0.02953151741	-4.51861046	1.754954138	0.8937905033	0.004427078597	6.178628966	0.5738022071	a248bdd	2x2_2C_8b_C2v_L	12.48900182	1.281762763	2	1.667338043	0.9999999998614402	1.0000000000000002	0.1173992099	-0.08111826017	-0.8073571968	0.3757108113	0.04297577749	-0.04366068019	1.877469156	-0.303694037	2.105247258	-0.5549464971	-0.2292808716	0.1951693631	0.004019041229	-0.01208715001	-2.908534028	3.123811707	boucle.py	R0:S0:1	uncorrelated	-1.561902861	0.2201745512	0.048444661	-0.08659728455	1.814787882	-1.709810907	0.2622753129	-0.06438843211	-0.798636194	0.2911655139	1.63443145	-1.678544938	-0.3433308	0.2151609601	-0.001566486746	0.005022274496	2025-02-03@08:37	2.7131637	-0.6152830679	1	-2.416178438e-16	-0.1983730088	-0.318924249	2.892137588e-17	0.09223378651	v2.7.1	
4	Broyden	0	-0.0007936679848	-109.733464	-179.4213715	-0.7096229631	YY	11.49223647	0.2966369219	self-energy/D	sharp_wc_2_b_35	1.3251661	2	1.252477342	-15.39706662	1.985056588	2.652950934	0.0307051626	-4.617562721	1.732453931	35.06367518	0.007526477279	21.54479447	0.03392845792	-4.125094709	1.757341185	0.6998175551	0.003803538357	5.884284491	0.5869268356	a248bdd	2x2_2C_8b_C2v_L	12.53900182	1.287541355	2	1.668082648	0.999999999878834	0.9999999999999998	-0.3703431051	0.2500332142	-0.7216643462	0.3525649678	0.03242717072	-0.04617097605	1.836113095	-0.2934274661	2.302061781	-0.6022019523	-0.2339118199	0.2135913753	0.01028338016	-0.03990377702	-2.817589571	3.141639934	boucle.py	R0:S0:1	uncorrelated	-1.784045624	0.2566474793	-0.1796149354	0.341343222	1.74498151	-1.747473008	0.1978603163	-0.0489794546	-0.744653993	0.2776751308	1.501653297	-1.659328459	-0.2993975032	0.1961876092	-0.002585685496	0.02205989086	2025-02-03@08:40	2.7131637	-0.6149179208	1	-1.947964153e-16	-0.1984848592	-0.318924249	-2.942965829e-17	0.09225909199	v2.7.1	
5	Broyden	0	-0.001944603687	-115.1304199	-180.2213715	-0.739661731	YY	11.49223647	0.2940612315	self-energy/D	sharp_wc_2_b_35	1.3251661	2	1.251285527	-15.4561513	1.974418673	4.701305211	0.04731885503	-5.055317647	1.705665097	35.07051142	0.004879026037	21.49783242	0.03264084413	-5.482106365	1.726720099	1.014141849	0.006763196862	7.135755949	0.5549705708	a248bdd	2x2_2C_8b_C2v_L	12.58900182	1.279790419	2	1.668974736	0.9999999999092531	1.0	-0.9389206047	0.6063862166	-1.135009714	0.392034583	0.07880082931	-0.08915823188	0.9324093781	-0.1468434359	1.790089639	-0.4736828683	-0.3650735828	0.2773290108	0.01583425037	-0.05291008493	-3.135117653	3.102072695	boucle.py	R0:S0:1	uncorrelated	-1.697834951	0.2552105096	-0.4460273117	0.5985692996	1.942187496	-1.799237885	1.029465963	-0.2484014825	-1.520270441	0.5345744595	1.980434207	-1.737161734	-0.4614104647	0.2648149648	-0.007890048069	0.0336464365	2025-02-03@08:44	2.7131637	-0.6166145986	1	3.474539942e-16	-0.2018464512	-0.318924249	-9.58046816e-18	0.09372844728	v2.7.1	
5	Broyden	0	-0.007684253184	-127.9209795	-181.0213715	-0.7911886626	YY	11.49223647	0.2817700275	self-energy/D	sharp_wc_2_b_35	1.3251661	2	1.249183316	-15.44885205	1.988450737	4.566387306	0.04670243762	-5.870895262	1.682724868	35.07636414	0.01563797374	21.38441196	0.1941140697	-9.075234885	1.871692672	0.391808713	0.004763926778	5.915386841	0.6249897443	a248bdd	2x2_2C_8b_C2v_L	12.63900182	1.256454816	2	1.671544146	0.9999999998713716	0.9999999999999996	-0.8132829294	0.5155724053	-1.3207641	0.4615995159	0.03512642848	-0.05810096164	0.1720916344	-0.02198642937	5.532094869	-1.68361328	-2.613938997	1.30779181	0.002221226462	-0.01433083763	-2.797561507	3.201552531	boucle.py	R0:S0:1	uncorrelated	-0.6026187251	0.08465536138	-0.114562199	0.1495652417	2.275035951	-1.81348038	2.38113472	-0.5681752525	-0.1827198604	0.03779519027	0.1699303369	-0.1258751807	-0.3437608674	0.2348950715	-0.001096370338	0.008943437362	2025-02-03@08:48	2.7131637	-0.6194107363	1	3.51412742e-16	-0.2078136409	-0.318924249	1.63236698e-16	0.09635068735	v2.7.1	
1	Broyden	0	-0.006890219157	-127.9246564	-181.0213715	-0.7917274855	YY	11.49223647	0.2817494146	self-energy/D	sharp_wc_2_b_35	1.3251661	2	1.249174312	-15.44885338	1.988459429	4.566952063	0.04668668646	-5.871804775	1.682766867	35.07636634	0.01563921507	21.38428732	0.1942013362	-9.074847589	1.871717772	0.3921201779	0.004764223814	5.916545405	0.6249870936	a248bdd	2x2_2C_8b_C2v_L	12.63900182	1.256424663	2	1.6714961	0.9999999998925024	0.9999999999999998	-0.8129605326	0.5153460582	-1.320678433	0.4614876209	0.0345752885	-0.05306242523	0.1722604128	-0.02285184153	5.532861163	-1.684035381	-2.614694133	1.307711324	0.002177817634	-0.01420113688	-2.798006345	3.201626902	boucle.py	R0:S0:1	uncorrelated	-0.6028299536	0.08463446528	-0.1146511914	0.1498637756	2.275153171	-1.813396248	2.380935095	-0.5681778573	-0.1831216862	0.04122461563	0.1695575512	-0.1220108435	-0.3438804152	0.2349202042	-0.001050942489	0.008730373896	2025-02-03@09:24	2.7131637	-0.6194687244	1	-1.326369687e-15	-0.207822699	-0.318924249	4.532424088e-16	0.0963547236	v2.7.1	
