CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	0	0.05698824583	-132.6188157	-148.4477052	5.058316261	YY	10.97554486	0.3217307283	self-energy/D	sharp_wc_2_b_35	2.557070972	2	1.253491712	0.3214140091	0.0154949809	-4.706831007	1.963571475	-5.939672055	1.806411062	-0.2762709435	1.652175789	-5.749281582	1.799903396	0.2765367426	0.3471319449	-5.72675566	1.963340863	-13.61402987	1.556250141	a248bdd	2x2_2C_8b_C2v_L	11.83505255	1.302257007	2	1.695425988	0.999999999766504	0.9999999999999998	-0.143000208	0.1606678032	-0.02661177672	0.03783451296	0.0271344591	0.2995730901	-0.1949600203	1.40531225	0.02546103231	0.3087351514	0.1134056673	-1.125154663	-2.014015355	0.5819421391	0.005752550339	0.002458761247	boucle.py	R0:S0:1	uncorrelated	-0.0609424508	0.3157368762	-1.207271979	0.3888512205	1.923113899	-1.386806396	0.1146090357	-1.12027155	-1.892590714	1.41247147	-0.1940861179	1.400632717	-0.006460726022	0.01217535653	-4.842111274	2.928026895	2024-10-19@10:30	2.262812918	-0.5892613707	1	1.461448031e-16	-0.2082403994	0.2582625366	-6.822962306e-17	0.08699206423	v2.7.1	
3	Broyden	0	0.05527369289	-131.756841	-147.6477052	5.047409791	YY	10.97554486	0.3180620992	self-energy/D	sharp_wc_2_b_35	2.557070972	2	1.253188558	0.2348624123	0.03677834673	-4.641731315	1.957101809	-5.792053543	1.800794332	-0.2661645857	1.648393277	-5.652990838	1.799255338	0.2659290791	0.3450511712	-5.75183605	1.963227978	-13.55843404	1.55530012	a248bdd	2x2_2C_8b_C2v_L	11.78505255	1.298074938	2	1.694404496	0.9999999998546784	1.0	0.02835155347	-0.04194007378	0.01086931027	-0.01560902253	0.0246961025	0.2996906262	-0.1928172235	1.400376659	0.0235459151	0.3053362537	0.1083929801	-1.084522989	-2.024578057	0.5863660594	0.01389590372	-0.005993034645	boucle.py	R0:S0:1	uncorrelated	-0.128455095	0.6715248504	-1.250583029	0.4346207366	1.905679721	-1.412454945	0.1106994661	-1.107143196	-1.883950521	1.410866918	-0.1914775356	1.390427042	-0.01439115402	0.01476081165	-4.84915253	2.927340679	2024-10-19@10:34	2.262812918	-0.5903084738	1	1.297790876e-16	-0.2087770219	0.2582625366	1.004464206e-16	0.08716907956	v2.7.1	
2	Broyden	0	0.05461247813	-131.9590566	-146.8477052	5.012251073	YY	10.97554486	0.3069262805	self-energy/D	sharp_wc_2_b_35	2.557070972	2	1.25255074	0.2869619897	0.03304292879	-4.672184063	1.956542469	-5.872239773	1.797191819	-0.2900912083	1.695017438	-5.706812542	1.792791057	0.2783756614	0.3052070779	-5.735075634	1.962946592	-13.58221832	1.556480675	a248bdd	2x2_2C_8b_C2v_L	11.73505255	1.286490946	2	1.689962956	0.9999999998044606	1.0	-0.005365073195	0.007179418838	-0.002239431128	0.00353866098	0.02440082412	0.3002860768	-0.197851571	1.269855239	0.02189611817	0.307639543	0.1050645998	-1.058262968	-2.027721743	0.5896469876	0.009136661291	-0.002619100885	boucle.py	R0:S0:1	uncorrelated	-0.1374855124	0.6506456334	-1.259399375	0.4433517739	1.925935738	-1.445649944	0.1080386513	-1.060500438	-1.898856873	1.459281037	-0.193497183	1.262532949	-0.009667987344	0.01136326497	-4.868669188	2.920347785	2024-10-19@10:37	2.262812918	-0.5948293531	1	9.959268046e-17	-0.2087140725	0.2582625366	-1.399068347e-17	0.08747237518	v2.7.1	
12	Broyden	0	0.03722409167	-139.2872619	-146.0477052	4.935171515	YY	10.97554486	0.2730189261	self-energy/D	sharp_wc_2_b_35	2.557070972	2	1.251392765	-5.251132257	1.994396775	-4.342422404	1.955036256	-5.467989604	1.755514188	-0.4194020115	1.915244017	-5.413626088	1.753683235	0.3104937061	0.09829082441	-5.787823347	1.962694919	-13.09361661	1.555938356	a248bdd	2x2_2C_8b_C2v_L	11.68505255	1.252749275	2	1.675668485	0.999999999884382	0.9999999999999999	-0.2713419255	0.3608532155	-0.01951893163	0.0288320022	0.0118163591	0.2376321921	-0.2100480409	0.6305674567	0.009254120746	0.2352465356	0.06285173731	-0.6794200906	-1.985338047	0.5963727387	-0.08003232605	0.0260644133	boucle.py	R0:S0:1	uncorrelated	0.1019758857	-0.03413551855	-1.210152417	0.4631963141	1.875288225	-1.66497792	0.0637381188	-0.6154778541	-1.858725668	1.67204899	-0.1881265405	0.6204120574	0.08639226208	-0.0970130927	-4.739408548	2.900291916	2024-10-19@10:48	2.262812918	-0.606144595	1	-8.199750869e-17	-0.2057849006	0.2582625366	-3.035897877e-16	0.08725144393	v2.7.1	
5	Broyden	0	0.04832920673	-132.8924731	-145.2477052	4.946258097	YY	10.97554486	0.2792701922	self-energy/D	sharp_wc_2_b_35	2.557070972	2	1.251362105	0.4683263621	0.02178606039	-4.791977671	1.956113233	-6.126879039	1.785693712	-0.3774429164	1.818365857	-5.878334447	1.779864479	0.3513002065	0.1812997737	-5.694879056	1.962978134	-13.66918336	1.562093834	a248bdd	2x2_2C_8b_C2v_L	11.63505255	1.257981384	2	1.68008304	0.9999999997891955	0.9999999999999998	0.002045307195	-0.002855505692	0.0007834277937	-0.0004605098143	0.02346322916	0.2796352905	-0.216990479	0.921854801	0.01924621371	0.2893361452	0.08957453528	-0.8855321666	-2.013391165	0.5917983834	-0.002403844974	-0.0001403589476	boucle.py	R0:S0:1	uncorrelated	-0.1559428116	0.5630683391	-1.27987546	0.4586794584	1.985467795	-1.544557151	0.09438737227	-0.8914123545	-1.943929456	1.560691069	-0.209011052	0.9086676077	0.002801024319	-0.004019119007	-4.89560105	2.895901022	2024-10-19@10:54	2.262812918	-0.6036303937	1	-8.236751415e-16	-0.2078380973	0.2582625366	-1.270222822e-16	0.08778561638	v2.7.1	
4	Broyden	0	-8.278733151e-06	-158.9707933	-144.4477052	4.908020613	YY	10.97554486	0.2561713396	self-energy/D	sharp_wc_2_b_35	2.557070972	2	1.25116649	-16.39162883	1.997121484	-4.232720624	1.960347332	-5.548562037	1.749611728	-0.4472822371	1.988991058	-5.438923046	1.743292718	0.4892062973	0.01064077483	-5.939122191	1.961054023	-12.00929698	1.547655277	a248bdd	2x2_2C_8b_C2v_L	11.58505255	1.237198207	2	1.668015158	0.9999999998869504	0.9999999999999998	-0.142054416	0.08809059635	-0.03010327445	0.04143298123	0.001106202627	-0.002110172776	-0.2013374937	0.3731746049	-0.001211208476	0.002062625127	-0.001949507809	0.007389209633	-1.923525328	0.5975956219	-0.206059113	0.06576665829	boucle.py	R0:S0:1	uncorrelated	0.8342993073	-0.1166697344	-1.100810248	0.4459556692	1.899007558	-1.72495683	0.001679505624	-0.006015118406	-1.882777042	1.75137667	-0.2046105036	0.3674577793	0.2436963482	-0.2672558204	-4.485004047	2.896495077	2024-10-19@10:58	2.262812918	-0.6108323036	1	-2.820067172e-16	-0.2034574709	0.2582625366	-4.482145628e-16	0.08650908825	v2.7.1	
12	Broyden	0	0.0002267037685	-136.0692628	-143.6477052	4.867645651	YY	10.97554486	0.2548935745	self-energy/D	sharp_wc_2_b_35	2.557070972	2	1.249819342	17.46441478	0.02002064704	-5.543808088	1.951176686	-5.459558366	1.742132498	-0.4644997471	1.987899594	-5.232499035	1.735882701	0.3780537282	0.01025899848	-6.6648914	1.956108539	-14.47622101	1.564411062	a248bdd	2x2_2C_8b_C2v_L	11.53505255	1.230579031	2	1.668505221	0.9999999998970497	0.9999999999999999	0.2827446212	-0.03877026041	0.07666056216	-0.09116673081	-1.36342204e-05	0.0006436083912	-0.2118602144	0.391691817	0.0002268979346	0.002252223194	0.001262652805	-0.01064767718	-2.317385389	0.6394475358	-0.136740009	0.03465192089	boucle.py	R0:S0:1	uncorrelated	-1.249565012	0.7142090011	-1.506284468	0.4916431828	1.891755376	-1.746490457	-0.0002741648393	0.001874153723	-1.848135078	1.761594666	-0.1926581099	0.3600012998	0.1440409286	-0.1455574002	-5.192337021	2.878264916	2024-10-19@11:10	2.262812918	-0.6138162535	1	-1.740047371e-16	-0.2070911018	0.2582625366	-1.512469432e-16	0.08795019105	v2.7.1	
4	Broyden	0	-0.0005608991587	-226.0716514	-142.8477052	4.940876423	YY	10.97554486	0.2665910869	self-energy/D	sharp_wc_2_b_35	2.557070972	2	1.252395874	-55.84197915	1.996309168	-2.843349087	1.963697435	-5.367323002	1.751888563	-0.5767201994	1.989447528	-5.23955536	1.747985829	0.5012921578	0.009207282217	-6.611701055	1.930025746	-7.953885354	1.520300289	a248bdd	2x2_2C_8b_C2v_L	11.48505255	1.252857902	2	1.667470536	0.9999999995890365	1.0	-0.6086127423	0.1388950639	-0.1192144623	0.2155404403	-0.001421344581	-0.001421347176	-0.1860191149	0.3594830063	-0.002296464676	-0.002626246866	-0.008464598475	0.03850458708	-1.527643127	0.5484564747	-0.4855351142	0.1838388902	boucle.py	R0:S0:1	uncorrelated	2.700380294	-0.1302865515	-0.8008013257	0.4240273849	1.885389061	-1.724692248	-0.003766284999	0.01558936176	-1.860726433	1.736478813	-0.1694548703	0.3321830651	0.882665002	-0.8742912646	-3.309770077	2.868324733	2024-10-19@11:15	2.262812918	-0.6086831102	1	1.392348659e-16	-0.2001737672	0.2582625366	-9.537856679e-17	0.08519796862	v2.7.1	
CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	0	0.05698824587	-132.6188157	-148.4477052	5.058316261	YY	10.97554486	0.3217307281	self-energy/D	sharp_wc_2_b_35	2.557070972	2	1.253491712	0.3214140112	0.01549498106	-4.706831008	1.963571475	-5.939672057	1.806411058	-0.2762709442	1.652175783	-5.749281584	1.7999034	0.2765367455	0.3471319362	-5.72675566	1.963340863	-13.61402987	1.556250141	a248bdd	2x2_2C_8b_C2v_L	11.83505255	1.302257007	2	1.695425988	0.9999999997546217	0.9999999999999998	-0.1430002089	0.1606678034	-0.02661177696	0.03783451586	0.02713445823	0.2995730963	-0.1949600186	1.405312242	0.02546103317	0.3087351473	0.1134056646	-1.125154624	-2.014015355	0.5819421396	0.005752549784	0.002458763086	boucle_copy.py	R0:S0:1	uncorrelated	-0.06094245188	0.3157368788	-1.20727198	0.3888512211	1.923113901	-1.386806421	0.1146090383	-1.120271587	-1.892590713	1.412471447	-0.1940861203	1.400632718	-0.006460725683	0.01217535768	-4.842111274	2.928026894	2024-10-19@20:16	2.262812918	-0.5892613706	1	1.461448031e-16	-0.2082403994	0.2582625366	-6.822962306e-17	0.08699206422	v2.7.1	
