# (0, 0)	(0.015625, 0)	(0.03125, 0)	(0.046875, 0)	(0.0625, 0)	(0.078125, 0)	(0.09375, 0)	(0.10938, 0)	(0.125, 0)	(0.14062, 0)	(0.15625, 0)	(0.17188, 0)	(0.1875, 0)	(0.20312, 0)	(0.21875, 0)	(0.23438, 0)	(0.25, 0)	(0.26562, 0)	(0.28125, 0)	(0.29688, 0)	(0.3125, 0)	(0.32812, 0)	(0.34375, 0)	(0.35938, 0)	(0.375, 0)	(0.39062, 0)	(0.40625, 0)	(0.42188, 0)	(0.4375, 0)	(0.45312, 0)	(0.46875, 0)	(0.48438, 0)	(0.5, 0)	(0.5, 0.015625)	(0.5, 0.03125)	(0.5, 0.046875)	(0.5, 0.0625)	(0.5, 0.078125)	(0.5, 0.09375)	(0.5, 0.10938)	(0.5, 0.125)	(0.5, 0.14062)	(0.5, 0.15625)	(0.5, 0.17188)	(0.5, 0.1875)	(0.5, 0.20312)	(0.5, 0.21875)	(0.5, 0.23438)	(0.5, 0.25)	(0.5, 0.26562)	(0.5, 0.28125)	(0.5, 0.29688)	(0.5, 0.3125)	(0.5, 0.32812)	(0.5, 0.34375)	(0.5, 0.35938)	(0.5, 0.375)	(0.5, 0.39062)	(0.5, 0.40625)	(0.5, 0.42188)	(0.5, 0.4375)	(0.5, 0.45312)	(0.5, 0.46875)	(0.5, 0.48438)	(0.5, 0.5)	(0.48438, 0.48438)	(0.46875, 0.46875)	(0.45312, 0.45312)	(0.4375, 0.4375)	(0.42188, 0.42188)	(0.40625, 0.40625)	(0.39062, 0.39062)	(0.375, 0.375)	(0.35938, 0.35938)	(0.34375, 0.34375)	(0.32812, 0.32812)	(0.3125, 0.3125)	(0.29688, 0.29688)	(0.28125, 0.28125)	(0.26562, 0.26562)	(0.25, 0.25)	(0.23438, 0.23438)	(0.21875, 0.21875)	(0.20312, 0.20312)	(0.1875, 0.1875)	(0.17188, 0.17188)	(0.15625, 0.15625)	(0.14062, 0.14062)	(0.125, 0.125)	(0.10938, 0.10938)	(0.09375, 0.09375)	(0.078125, 0.078125)	(0.0625, 0.0625)	(0.046875, 0.046875)	(0.03125, 0.03125)	(0.015625, 0.015625)	(0, 0)	
# nfreq = 2401, wmin=-15+0.05j, wmax=15+0.05j
0.11975	0.120402	0.122394	0.125835	0.130919	0.137944	0.147349	0.159761	0.176073	0.197562	0.226064	0.264291	0.316479	0.389944	0.4974	0.652334	0.839939	0.980503	0.974432	0.830172	0.64638	0.489747	0.374368	0.293196	0.236411	0.196345	0.167773	0.147274	0.132624	0.12238	0.115618	0.111766	0.110515	0.112006	0.116432	0.123642	0.133366	0.145188	0.15849	0.172397	0.185708	0.196912	0.204539	0.208449	0.21299	0.231095	0.281444	0.369954	0.473493	0.551944	0.577223	0.555433	0.517944	0.490249	0.479574	0.482722	0.494341	0.510073	0.526967	0.54315	0.557448	0.56913	0.577741	0.583005	0.584775	0.581324	0.571135	0.554726	0.533035	0.507418	0.479605	0.452637	0.439261	0.521438	2.1965	1.64983	0.426938	0.376331	0.415687	0.457524	0.479161	0.476787	0.452216	0.406986	0.342146	0.262394	0.180607	0.115596	0.0802512	0.0723071	0.0798089	0.0918718	0.102815	0.110869	0.116049	0.118865	0.11975
0.1505	0.151335	0.153888	0.158298	0.164818	0.173836	0.185919	0.201879	0.222865	0.2505	0.287046	0.335609	0.400276	0.485981	0.597077	0.73025	0.855166	0.906689	0.843341	0.703385	0.553287	0.428494	0.334926	0.267249	0.218614	0.1835	0.157987	0.13941	0.12598	0.116509	0.110218	0.106621	0.10545	0.10732	0.112863	0.121871	0.13397	0.148579	0.164845	0.181553	0.197047	0.209252	0.216116	0.217126	0.216593	0.227004	0.265071	0.336099	0.423123	0.496888	0.535906	0.541045	0.531898	0.527503	0.535006	0.552833	0.576777	0.603037	0.628905	0.652613	0.673037	0.68947	0.701467	0.708762	0.711208	0.706193	0.691334	0.667228	0.634939	0.595952	0.55206	0.506521	0.472965	0.530127	1.94187	1.8461	0.411711	0.336569	0.362094	0.398098	0.418953	0.41693	0.391681	0.345713	0.283583	0.213199	0.146616	0.0974493	0.0742859	0.0752304	0.0903	0.109082	0.125449	0.137387	0.145042	0.149195	0.1505
0.191217	0.192288	0.195558	0.201208	0.209556	0.221096	0.236543	0.256908	0.283606	0.318573	0.364384	0.424231	0.501392	0.597367	0.707201	0.811474	0.872081	0.851759	0.753226	0.619331	0.491154	0.386621	0.307254	0.248608	0.20554	0.173846	0.150448	0.133191	0.12059	0.111635	0.105654	0.102222	0.101103	0.10348	0.110521	0.121938	0.13722	0.155564	0.17579	0.196214	0.214543	0.227926	0.233574	0.230686	0.224067	0.226725	0.254474	0.31219	0.387254	0.458484	0.509895	0.539759	0.559326	0.581445	0.611671	0.64886	0.689413	0.729914	0.767877	0.801669	0.830256	0.852988	0.869462	0.879433	0.88277	0.875713	0.854722	0.820411	0.773936	0.716938	0.65137	0.581035	0.521209	0.548888	1.74124	2.09246	0.403547	0.303022	0.311056	0.335272	0.349854	0.345786	0.321856	0.280902	0.228274	0.171521	0.120184	0.0844299	0.071468	0.0810838	0.105051	0.132543	0.156094	0.173048	0.18374	0.189445	0.191217
0.242404	0.243742	0.247828	0.254877	0.26527	0.279588	0.298658	0.323625	0.356023	0.397828	0.451396	0.519036	0.601698	0.695898	0.788577	0.853532	0.85997	0.796621	0.685038	0.56073	0.44865	0.357909	0.288129	0.235596	0.196286	0.16687	0.144847	0.128415	0.116307	0.107642	0.101826	0.098477	0.0973835	0.10043	0.10945	0.124064	0.143589	0.166942	0.192511	0.217968	0.240113	0.254976	0.258746	0.250422	0.236025	0.23019	0.248685	0.295982	0.36244	0.432949	0.496482	0.550976	0.602124	0.656673	0.716749	0.780062	0.842918	0.902175	0.955707	1.00221	1.04091	1.07134	1.09324	1.10643	1.11084	1.10141	1.07319	1.02647	0.96211	0.881631	0.787048	0.683118	0.588164	0.579671	1.58445	2.40212	0.402232	0.277626	0.268912	0.280576	0.287671	0.281286	0.259843	0.225733	0.18357	0.139429	0.100662	0.0755413	0.0713694	0.0902139	0.125379	0.164431	0.197173	0.21986	0.233448	0.240333	0.242404
0.298824	0.300386	0.305146	0.31333	0.32533	0.341728	0.363326	0.391167	0.42653	0.470829	0.525281	0.5901	0.662837	0.735804	0.793876	0.816778	0.789596	0.715115	0.613277	0.507348	0.412512	0.334436	0.272934	0.225496	0.189221	0.161573	0.140557	0.124685	0.112877	0.104365	0.0986219	0.0953036	0.0942183	0.0981019	0.109608	0.128278	0.153268	0.183207	0.215976	0.248409	0.276012	0.293095	0.294239	0.278257	0.253463	0.237594	0.247131	0.28595	0.346288	0.417732	0.494087	0.575123	0.663628	0.760098	0.860439	0.958585	1.04974	1.13125	1.20204	1.2618	1.31053	1.34833	1.37527	1.39141	1.39679	1.38555	1.35134	1.29314	1.21017	1.10254	0.971378	0.822588	0.680041	0.625521	1.46467	2.79383	0.407158	0.259974	0.236865	0.237658	0.23814	0.229825	0.210895	0.183023	0.149725	0.115636	0.0865596	0.0698581	0.0737786	0.103316	0.15319	0.207276	0.250221	0.277107	0.291102	0.297186	0.298824
0.344432	0.346034	0.350899	0.359213	0.371289	0.387566	0.408605	0.435047	0.467516	0.506394	0.551378	0.60071	0.650102	0.691834	0.715252	0.710191	0.672581	0.607825	0.528196	0.446567	0.371838	0.308097	0.255993	0.21443	0.181723	0.156196	0.136418	0.121253	0.109836	0.101531	0.0958917	0.0926199	0.0915475	0.096343	0.110591	0.133843	0.165233	0.203263	0.245433	0.287676	0.323738	0.345136	0.343471	0.316961	0.277892	0.249422	0.24956	0.281113	0.337213	0.411217	0.502037	0.613682	0.749049	0.901721	1.05608	1.19726	1.31818	1.41843	1.50029	1.56633	1.61851	1.65814	1.68601	1.70258	1.70808	1.69776	1.66517	1.60594	1.51453	1.38591	1.21664	1.0121	0.80573	0.691022	1.37778	3.29421	0.417803	0.248838	0.213583	0.20557	0.200757	0.190945	0.17408	0.151148	0.124685	0.098208	0.0765174	0.0667086	0.0787275	0.12153	0.190963	0.262718	0.312362	0.336149	0.343704	0.344659	0.344432
0.356896	0.358279	0.362464	0.369562	0.379746	0.39324	0.410284	0.431066	0.455601	0.483526	0.513775	0.544175	0.571071	0.589366	0.59344	0.579119	0.54582	0.497279	0.440076	0.381073	0.325473	0.276217	0.234351	0.199723	0.171598	0.149056	0.131203	0.117271	0.106635	0.0988168	0.0934667	0.0903477	0.0893229	0.0948369	0.111309	0.138494	0.175846	0.222243	0.275425	0.330973	0.380788	0.412017	0.410045	0.370328	0.31154	0.266503	0.255992	0.280904	0.334233	0.412507	0.520443	0.669367	0.866169	1.09523	1.31773	1.50028	1.6349	1.7307	1.79964	1.8505	1.88853	1.91654	1.93593	1.94738	1.95117	1.94724	1.93247	1.89795	1.82981	1.71123	1.52434	1.26426	0.977101	0.782863	1.32204	3.94124	0.433944	0.24305	0.197245	0.182093	0.173105	0.162115	0.146808	0.127592	0.106243	0.0854844	0.0695147	0.0656705	0.0865071	0.146556	0.241189	0.327871	0.370318	0.376444	0.368486	0.360132	0.356896
0.328525	0.329562	0.332689	0.337955	0.34543	0.35519	0.367279	0.381655	0.398102	0.416098	0.434652	0.452126	0.466159	0.473827	0.472217	0.45935	0.435087	0.401408	0.361807	0.320163	0.279737	0.242699	0.210144	0.182365	0.15917	0.140129	0.124746	0.112543	0.103105	0.0960971	0.0912665	0.0884369	0.0875051	0.0931875	0.110285	0.138932	0.179273	0.231254	0.294048	0.364663	0.434975	0.487358	0.495099	0.442919	0.35762	0.290128	0.266723	0.285081	0.336826	0.421275	0.550186	0.74647	1.02625	1.3571	1.64986	1.83936	1.93416	1.97375	1.98863	1.99437	1.99736	1.99965	2.00157	2.00289	2.00337	2.01014	2.02766	2.04635	2.04735	2.00017	1.85944	1.58051	1.20744	0.910435	1.29809	4.78916	0.455708	0.241778	0.186314	0.165159	0.152788	0.140815	0.126629	0.11017	0.0926452	0.0762358	0.0648466	0.0665322	0.0977058	0.180707	0.304208	0.389099	0.399773	0.37619	0.350733	0.334129	0.328525
0.27573	0.276471	0.278704	0.28245	0.287736	0.294584	0.302981	0.312845	0.32397	0.335949	0.348084	0.359308	0.368156	0.372871	0.371704	0.363391	0.347636	0.325347	0.298422	0.269213	0.239928	0.212244	0.187196	0.165264	0.146534	0.130863	0.117999	0.10766	0.0995805	0.0935337	0.0893412	0.0868761	0.0860628	0.0912619	0.107009	0.133769	0.172362	0.223978	0.289982	0.370957	0.463313	0.550372	0.590544	0.538295	0.420565	0.322212	0.282345	0.29369	0.344848	0.4377	0.592997	0.851437	1.24485	1.70017	2.02109	2.12211	2.0918	2.02441	1.96127	1.91281	1.87868	1.85594	1.84176	1.83407	1.83164	1.84695	1.89213	1.96358	2.05002	2.12354	2.1212	1.92462	1.50384	1.08582	1.30918	5.91464	0.483607	0.244546	0.179686	0.153193	0.137937	0.125077	0.111666	0.0972511	0.0826236	0.0696067	0.0620543	0.0692621	0.113286	0.226647	0.373123	0.421106	0.383467	0.335483	0.301172	0.281885	0.27573
0.220066	0.220613	0.22226	0.225021	0.228914	0.23395	0.240119	0.247364	0.255545	0.264393	0.273453	0.282031	0.289176	0.293728	0.294479	0.290453	0.281214	0.267078	0.249079	0.228702	0.207506	0.186818	0.167575	0.150326	0.135303	0.122527	0.111899	0.103267	0.0964638	0.0913401	0.0877713	0.0856668	0.0849714	0.0893146	0.102525	0.125186	0.1584	0.204015	0.26492	0.345175	0.448617	0.57049	0.670158	0.653379	0.505873	0.365555	0.303823	0.307054	0.358492	0.462465	0.651662	0.993717	1.54132	2.11333	2.32963	2.21262	2.01501	1.85036	1.73362	1.65484	1.60276	1.56907	1.54828	1.53702	1.53345	1.55114	1.60539	1.69925	1.83513	2.00712	2.17737	2.19305	1.84613	1.32119	1.36151	7.42215	0.518587	0.251207	0.176648	0.145095	0.127214	0.113486	0.100575	0.0876886	0.075303	0.0650241	0.0608649	0.0739984	0.134694	0.286059	0.427985	0.405294	0.331249	0.276184	0.242935	0.22549	0.220066
0.172828	0.173253	0.174532	0.176678	0.179708	0.183638	0.188472	0.194181	0.200687	0.207821	0.21529	0.222632	0.229198	0.234166	0.236636	0.235801	0.231163	0.222722	0.21101	0.196971	0.181719	0.166302	0.151544	0.137998	0.125969	0.115577	0.106823	0.0996397	0.0939353	0.0896136	0.0865909	0.0848036	0.0842122	0.0876686	0.0982018	0.116346	0.143146	0.180446	0.231425	0.301503	0.39938	0.534971	0.695588	0.767539	0.61844	0.424166	0.332607	0.325798	0.378295	0.496816	0.730369	1.18687	1.93283	2.52207	2.42659	2.05423	1.74976	1.55004	1.42375	1.3436	1.29239	1.25991	1.24007	1.22938	1.22601	1.24179	1.29102	1.37961	1.51788	1.71957	1.99219	2.25084	2.15417	1.61852	1.4643	9.43949	0.562134	0.261924	0.176801	0.140137	0.119706	0.105066	0.0924318	0.0806955	0.0700945	0.0621228	0.0611485	0.081059	0.163974	0.35589	0.441891	0.351119	0.268051	0.218752	0.191187	0.177147	0.172828
0.136246	0.136589	0.137622	0.139358	0.141817	0.145017	0.148975	0.153685	0.15911	0.16515	0.171617	0.178198	0.184435	0.189726	0.193372	0.194698	0.193203	0.188716	0.181469	0.172045	0.161233	0.14985	0.138601	0.128006	0.118401	0.109963	0.102759	0.096785	0.0920017	0.0883555	0.0857939	0.0842749	0.0837717	0.0864821	0.094745	0.108991	0.130072	0.159527	0.200113	0.256886	0.339324	0.464447	0.651136	0.837245	0.756753	0.503545	0.370826	0.350919	0.405187	0.542688	0.835257	1.44952	2.41398	2.76915	2.25099	1.73872	1.42431	1.24097	1.1314	1.06395	1.02162	0.995055	0.97895	0.970305	0.967582	0.980172	1.01973	1.0921	1.20883	1.39034	1.67045	2.06249	2.29346	1.94476	1.62764	12.0762	0.616458	0.277186	0.180013	0.137877	0.114809	0.0991579	0.0866094	0.0757462	0.0666192	0.0606946	0.0628882	0.0909714	0.203734	0.421813	0.406071	0.284615	0.211168	0.171749	0.150354	0.139558	0.136246
