# (0, 0)	(0.015625, 0)	(0.03125, 0)	(0.046875, 0)	(0.0625, 0)	(0.078125, 0)	(0.09375, 0)	(0.10938, 0)	(0.125, 0)	(0.14062, 0)	(0.15625, 0)	(0.17188, 0)	(0.1875, 0)	(0.20312, 0)	(0.21875, 0)	(0.23438, 0)	(0.25, 0)	(0.26562, 0)	(0.28125, 0)	(0.29688, 0)	(0.3125, 0)	(0.32812, 0)	(0.34375, 0)	(0.35938, 0)	(0.375, 0)	(0.39062, 0)	(0.40625, 0)	(0.42188, 0)	(0.4375, 0)	(0.45312, 0)	(0.46875, 0)	(0.48438, 0)	(0.5, 0)	(0.5, 0.015625)	(0.5, 0.03125)	(0.5, 0.046875)	(0.5, 0.0625)	(0.5, 0.078125)	(0.5, 0.09375)	(0.5, 0.10938)	(0.5, 0.125)	(0.5, 0.14062)	(0.5, 0.15625)	(0.5, 0.17188)	(0.5, 0.1875)	(0.5, 0.20312)	(0.5, 0.21875)	(0.5, 0.23438)	(0.5, 0.25)	(0.5, 0.26562)	(0.5, 0.28125)	(0.5, 0.29688)	(0.5, 0.3125)	(0.5, 0.32812)	(0.5, 0.34375)	(0.5, 0.35938)	(0.5, 0.375)	(0.5, 0.39062)	(0.5, 0.40625)	(0.5, 0.42188)	(0.5, 0.4375)	(0.5, 0.45312)	(0.5, 0.46875)	(0.5, 0.48438)	(0.5, 0.5)	(0.48438, 0.48438)	(0.46875, 0.46875)	(0.45312, 0.45312)	(0.4375, 0.4375)	(0.42188, 0.42188)	(0.40625, 0.40625)	(0.39062, 0.39062)	(0.375, 0.375)	(0.35938, 0.35938)	(0.34375, 0.34375)	(0.32812, 0.32812)	(0.3125, 0.3125)	(0.29688, 0.29688)	(0.28125, 0.28125)	(0.26562, 0.26562)	(0.25, 0.25)	(0.23438, 0.23438)	(0.21875, 0.21875)	(0.20312, 0.20312)	(0.1875, 0.1875)	(0.17188, 0.17188)	(0.15625, 0.15625)	(0.14062, 0.14062)	(0.125, 0.125)	(0.10938, 0.10938)	(0.09375, 0.09375)	(0.078125, 0.078125)	(0.0625, 0.0625)	(0.046875, 0.046875)	(0.03125, 0.03125)	(0.015625, 0.015625)	(0, 0)	
# nfreq = 2401, wmin=-15+0.05j, wmax=15+0.05j
0.0675879	0.0677296	0.0681199	0.0686685	0.069264	0.0698102	0.0702486	0.0705636	0.0707743	0.0709206	0.0710505	0.0712111	0.071443	0.0717783	0.0722397	0.0728408	0.0735862	0.0744714	0.0754812	0.0765891	0.0777541	0.0789195	0.0800108	0.0809371	0.0815967	0.0818899	0.0817414	0.0811307	0.080124	0.0788912	0.0776917	0.0768154	0.0764938	0.0768339	0.0778579	0.0795755	0.0820006	0.0851486	0.089032	0.0936572	0.0990206	0.105107	0.111887	0.119322	0.127363	0.13596	0.145061	0.154625	0.164624	0.175047	0.185902	0.197212	0.209009	0.22132	0.234148	0.247444	0.261089	0.274861	0.288429	0.301344	0.31307	0.323021	0.330626	0.335404	0.337035	0.333806	0.324672	0.311068	0.294819	0.277628	0.260773	0.245001	0.230574	0.217363	0.204965	0.192818	0.180336	0.167074	0.152916	0.138196	0.12366	0.110229	0.0986775	0.0894091	0.0824292	0.0774715	0.0741567	0.0721014	0.0709624	0.0704365	0.0702438	0.0701199	0.0698409	0.0692906	0.0685411	0.0678638	0.0675879
0.0602086	0.0603658	0.0608074	0.0614543	0.0622063	0.0629718	0.0636884	0.0643293	0.0648978	0.0654181	0.0659244	0.0664533	0.0670385	0.0677085	0.0684848	0.069382	0.0704073	0.0715599	0.0728303	0.0741987	0.0756329	0.0770868	0.0784987	0.0797926	0.0808816	0.0816791	0.0821148	0.082159	0.0818461	0.0812882	0.0806646	0.0801795	0.0799968	0.0802957	0.0811956	0.0827051	0.0848365	0.0876038	0.0910195	0.0950915	0.0998205	0.105198	0.111208	0.117825	0.125019	0.132761	0.141023	0.14979	0.159058	0.168841	0.17917	0.190088	0.201644	0.213875	0.226789	0.240338	0.254389	0.268702	0.282911	0.296523	0.308945	0.319529	0.327642	0.33275	0.334494	0.331038	0.321252	0.306658	0.289201	0.270715	0.252587	0.235642	0.220191	0.206149	0.193155	0.180708	0.168289	0.155508	0.142254	0.128778	0.115659	0.103608	0.0932161	0.0847832	0.0782964	0.0735283	0.0701593	0.0678644	0.0663488	0.0653511	0.064633	0.0639794	0.0632229	0.0623003	0.0613118	0.060517	0.0602086
0.0544976	0.0546629	0.0551328	0.0558384	0.05669	0.0576028	0.0585144	0.0593915	0.0602275	0.0610353	0.0618386	0.062666	0.0635453	0.0645016	0.0655552	0.0667212	0.0680088	0.0694207	0.0709518	0.0725883	0.0743053	0.0760655	0.0778176	0.0794965	0.0810262	0.0823272	0.08333	0.0839923	0.084318	0.0843682	0.0842554	0.0841133	0.0840518	0.0843145	0.0851053	0.0864319	0.0883058	0.0907401	0.0937476	0.0973381	0.101517	0.106282	0.111627	0.11754	0.124008	0.131019	0.138568	0.14666	0.155315	0.164568	0.174472	0.185089	0.196484	0.208707	0.221774	0.235638	0.250158	0.265074	0.279988	0.294361	0.307543	0.318817	0.327485	0.332952	0.334822	0.331118	0.320628	0.304982	0.286269	0.266468	0.247079	0.229003	0.212594	0.197795	0.184275	0.171567	0.159194	0.146794	0.134246	0.12173	0.10969	0.0986747	0.0891402	0.0813097	0.0751596	0.0704943	0.0670423	0.0645255	0.0626892	0.0613069	0.0601756	0.0591195	0.0580141	0.0568322	0.0556879	0.0548234	0.0544976
0.0500232	0.0501921	0.0506765	0.0514161	0.0523318	0.053346	0.0543984	0.0554528	0.0564961	0.0575332	0.0585801	0.0596587	0.0607923	0.062003	0.0633101	0.0647291	0.066271	0.0679414	0.0697395	0.0716566	0.0736744	0.0757632	0.0778799	0.0799678	0.0819584	0.0837758	0.085347	0.0866146	0.0875526	0.0881753	0.0885362	0.0887091	0.0887583	0.0889884	0.089681	0.0908432	0.0924858	0.0946217	0.0972644	0.100426	0.104115	0.108337	0.113095	0.118388	0.124218	0.13059	0.137517	0.145024	0.153151	0.161956	0.17151	0.181895	0.193194	0.20547	0.218749	0.232986	0.248036	0.26362	0.27931	0.294519	0.308533	0.320566	0.329843	0.335706	0.337713	0.333737	0.32248	0.3057	0.285658	0.26449	0.243819	0.224617	0.207279	0.191761	0.177749	0.164793	0.152437	0.14033	0.12833	0.116553	0.105332	0.0950927	0.0861857	0.0787795	0.0728445	0.0682121	0.0646503	0.0619192	0.0597979	0.0580895	0.0566206	0.0552474	0.0538779	0.0525098	0.0512622	0.0503574	0.0500232
0.0464793	0.0466493	0.0471402	0.0478996	0.0488578	0.0499448	0.0511036	0.0522972	0.0535086	0.0547368	0.0559922	0.0572915	0.0586542	0.0601002	0.061648	0.0633136	0.0651097	0.067045	0.0691226	0.0713388	0.0736813	0.0761268	0.0786396	0.0811694	0.0836524	0.0860134	0.0881726	0.0900555	0.091605	0.0927907	0.0936118	0.0940881	0.0942434	0.0944432	0.095045	0.0960553	0.0974847	0.099346	0.101654	0.104422	0.107664	0.111391	0.115615	0.120347	0.1256	0.131396	0.137764	0.144749	0.15241	0.160824	0.170082	0.180287	0.191538	0.203916	0.217458	0.232124	0.247765	0.264088	0.280631	0.296758	0.311688	0.324556	0.334505	0.340806	0.342964	0.338688	0.326588	0.308577	0.287108	0.264497	0.242495	0.222148	0.203879	0.187656	0.173163	0.159957	0.147584	0.135691	0.12411	0.112897	0.102294	0.0926277	0.0841695	0.077047	0.071229	0.0665702	0.0628715	0.0599256	0.0575396	0.0555422	0.053785	0.0521505	0.0505719	0.0490638	0.0477449	0.0468168	0.0464793
0.0436461	0.0438161	0.0443095	0.0450811	0.0460697	0.0472126	0.0484571	0.0497667	0.0511218	0.0525176	0.0539601	0.055462	0.0570401	0.0587125	0.0604973	0.0624113	0.0644694	0.0666831	0.0690596	0.0716002	0.0742984	0.0771371	0.0800868	0.0831024	0.0861228	0.0890709	0.0918576	0.0943883	0.0965731	0.0983368	0.0996256	0.100408	0.10067	0.100841	0.101356	0.102222	0.103449	0.10505	0.10704	0.109437	0.112257	0.115519	0.119242	0.123447	0.128161	0.13342	0.13927	0.145771	0.153003	0.161063	0.170061	0.180121	0.19136	0.203879	0.217726	0.232873	0.249167	0.266301	0.28378	0.300916	0.316856	0.330647	0.34134	0.348126	0.350453	0.345844	0.332813	0.313454	0.290441	0.266289	0.242886	0.221351	0.202134	0.185199	0.170224	0.156754	0.144329	0.132582	0.121313	0.110521	0.100376	0.0911218	0.0829688	0.076015	0.0702307	0.0654919	0.0616278	0.0584587	0.0558162	0.0535505	0.0515349	0.0496736	0.0479196	0.0462991	0.0449269	0.0439845	0.0436461
0.041364	0.0415336	0.0420281	0.0428087	0.0438222	0.0450127	0.0463319	0.0477447	0.0492302	0.0507811	0.0523999	0.0540966	0.0558857	0.0577844	0.0598107	0.061983	0.0643181	0.0668312	0.0695339	0.0724327	0.0755268	0.0788055	0.0822448	0.0858042	0.0894237	0.0930221	0.096498	0.0997337	0.102604	0.104985	0.10677	0.107876	0.10825	0.108393	0.108823	0.109546	0.110574	0.111919	0.113598	0.115631	0.11804	0.120848	0.124084	0.127777	0.131969	0.136707	0.142054	0.148089	0.154909	0.16263	0.171385	0.181317	0.192567	0.205253	0.219444	0.235118	0.252127	0.270148	0.288653	0.306898	0.323952	0.338764	0.350284	0.357609	0.360123	0.355143	0.341083	0.320241	0.295545	0.269733	0.24484	0.22206	0.201861	0.184197	0.168727	0.154975	0.142463	0.130801	0.119754	0.10927	0.0994504	0.0904757	0.0825079	0.0756243	0.0697994	0.0649292	0.0608679	0.05746	0.0545581	0.0520317	0.0497723	0.0477027	0.0457915	0.0440729	0.0426559	0.0417026	0.041364
0.0395152	0.0396846	0.0401807	0.0409705	0.0420078	0.0432436	0.0446339	0.0461453	0.0477568	0.049459	0.0512522	0.0531444	0.0551486	0.0572815	0.059562	0.0620101	0.0646457	0.0674879	0.0705532	0.073854	0.0773959	0.0811746	0.0851719	0.0893511	0.0936522	0.0979879	0.102242	0.106268	0.109903	0.112969	0.115302	0.116763	0.117261	0.117375	0.117718	0.118296	0.11912	0.120205	0.121568	0.123232	0.125223	0.127572	0.130313	0.13349	0.137152	0.141363	0.146202	0.151764	0.158165	0.165542	0.174051	0.183857	0.195125	0.207994	0.222554	0.238799	0.256581	0.275568	0.295195	0.31466	0.332943	0.348887	0.361327	0.369252	0.371976	0.366584	0.351379	0.3289	0.302362	0.274752	0.248264	0.224167	0.202941	0.184522	0.168538	0.154483	0.141852	0.130223	0.119323	0.109049	0.0994455	0.0906378	0.0827511	0.075849	0.0699132	0.0648589	0.0605637	0.0568934	0.0537194	0.0509279	0.0484268	0.0461542	0.044092	0.0422796	0.0408193	0.0398545	0.0395152
0.0380117	0.0381816	0.0386813	0.0394828	0.0405468	0.0418303	0.0432938	0.0449062	0.0466464	0.0485039	0.0504776	0.0525739	0.0548052	0.0571885	0.059744	0.0624943	0.065463	0.0686741	0.0721499	0.0759095	0.0799658	0.0843217	0.0889653	0.0938635	0.0989558	0.104147	0.1093	0.11424	0.118754	0.122607	0.125567	0.127433	0.128072	0.128155	0.128405	0.12883	0.129439	0.130248	0.131276	0.13255	0.1341	0.135964	0.138184	0.140814	0.143917	0.147571	0.151869	0.156926	0.162878	0.169883	0.178121	0.187781	0.199055	0.212109	0.227055	0.243904	0.262517	0.282548	0.303401	0.324205	0.343847	0.361048	0.374511	0.383108	0.386066	0.380213	0.363733	0.339441	0.310881	0.281315	0.253112	0.227614	0.205309	0.186104	0.169585	0.155208	0.142428	0.130788	0.119971	0.109824	0.100341	0.0916003	0.0836994	0.076694	0.0705764	0.0652814	0.0607084	0.0567432	0.053274	0.0502021	0.0474496	0.0449684	0.0427511	0.0408411	0.0393333	0.0383532	0.0380117
0.0367872	0.0369587	0.037465	0.0382829	0.0393794	0.0407174	0.0422617	0.0439834	0.045862	0.0478863	0.0500541	0.0523712	0.05485	0.0575086	0.0603693	0.0634583	0.066804	0.0704362	0.0743846	0.0786762	0.0833328	0.0883657	0.0937703	0.0995178	0.105546	0.11175	0.11797	0.123991	0.129546	0.134328	0.138028	0.140374	0.141178	0.141228	0.141377	0.141632	0.142004	0.142509	0.14317	0.144015	0.14508	0.146409	0.148056	0.150084	0.152569	0.155604	0.1593	0.163791	0.169234	0.17581	0.183724	0.193195	0.204442	0.217663	0.232995	0.250473	0.269967	0.291123	0.313308	0.335582	0.356725	0.375323	0.389929	0.399277	0.402496	0.396127	0.378226	0.351922	0.321136	0.289438	0.259385	0.232394	0.208952	0.188927	0.171852	0.157134	0.144182	0.132493	0.121705	0.111614	0.102165	0.0933987	0.0853912	0.078197	0.0718218	0.0662216	0.0613176	0.0570142	0.0532154	0.0498359	0.0468109	0.0441043	0.0417184	0.0396994	0.0381348	0.0371333	0.0367872
