CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
5	Broyden	0	-2.77130289e-12	-45.52798841	-159.984	-3.485126115	YY	9	0.6704081749	self-energy/D	sharp_wc_2_b_50	0.001	2	1.265294627	4.341069518	0.0007615865263	4.341069518	0.0007615865263	3.498918214	0.007069550042	3.498918214	0.007069550042	3.498918298	0.007069550018	3.498918298	0.007069550012	2.868115158	0.3235712245	2.868115157	0.3235712322	a248bdd	2x2_2C_8b_C2v_L	10	1.669236118	2	1.725548688	0.999999999991767	1.0000000000000004	0.5426425045	-0.01768177033	0.5426425045	-0.01768177033	0.7469755804	-0.09158392369	0.7469755804	-0.09158392369	0.7469755886	-0.09158392397	0.7469755883	-0.09158392393	0.9356782887	-2.437822802	0.9356782903	-2.437822829	sol_cdmft_3bandes_grille_patch_gen.py	R0:S0:1	uncorrelated	0.0003361227006	-0.0012198243	0.0003361227006	-0.0012198243	0.0001159835292	0.0003725168343	0.0001159835251	0.0003725168475	0.0001159835075	0.0003725178131	0.0001159835075	0.0003725178132	0.0005003540019	-0.002346253307	0.0005102956169	-0.002354026712	2024-10-26@08:51	1.5	-0.5562827433	1	-2.128012266e-16	-0.1882927895	-1.5	1.119934734e-16	0.09350473018	v2.7.1	
4	Broyden	0	-5.206487422e-12	-44.49057351	-159.984	-2.940914059	YY	10.25	0.1815328391	self-energy/D	sharp_wc_2_b_50	0.001	2	1.280690648	4.456022952	0.01520915585	4.456022952	0.01520915585	4.867088123	0.07215395217	4.867088123	0.07215395217	4.867087714	0.07215395579	4.867087714	0.07215395577	3.699084091	0.1974244091	3.699093799	0.1974092103	a248bdd	2x2_2C_8b_C2v_L	10	1.178466923	2	1.666949668	0.9999999999726699	1.0000000000000004	0.5333287314	-0.3609447715	0.5333287314	-0.3609447715	0.8761181778	-0.9912768776	0.8761181778	-0.9912768776	0.8761181416	-0.9912769009	0.8761181415	-0.9912769007	1.087631918	-1.80979003	1.087592176	-1.809720367	sol_cdmft_3bandes_grille_patch_gen.py	R0:S0:1	uncorrelated	-3.757574114e-06	7.099364973e-06	-3.757574114e-06	7.099365076e-06	-2.50897633e-06	1.301837311e-06	-2.508980431e-06	1.3018406e-06	-2.508939507e-06	1.301753694e-06	-2.508939507e-06	1.301753749e-06	0.0007178881088	-0.0004501016343	-0.0007124530294	0.0004350685923	2024-10-26@08:54	1.5	-0.4967953891	1	-2.128012266e-16	-0.1334646087	-1.5	1.119934734e-16	0.06861845646	v2.7.1	
2	Broyden	0	1.266900581e-13	-43.99360303	-159.984	-2.519457795	YY	11.5	0.1301414611	self-energy/D	sharp_wc_2_b_50	0.001	2	1.292878309	4.871468464	0.01329457825	4.871468464	0.01329457825	5.58458157	0.05176968313	5.58458157	0.05176968314	5.584581766	0.05176968116	5.584581767	0.05176968425	4.082881298	0.1390640013	4.082757209	0.1391546577	a248bdd	2x2_2C_8b_C2v_L	10	1.127968641	2	1.666038428	0.9999999999316534	1.0000000000000004	0.5625419889	-0.369034759	0.5625419889	-0.369034759	0.9523006978	-0.8603283819	0.9523006978	-0.8603283819	0.9523006997	-0.8603283678	0.9523007282	-0.8603283934	1.172109888	-1.531261822	1.172469301	-1.531760861	sol_cdmft_3bandes_grille_patch_gen.py	R0:S0:1	uncorrelated	-4.17499713e-06	5.415679716e-06	-4.17499713e-06	5.41567973e-06	-2.394372084e-06	1.201766387e-06	-2.394376185e-06	1.201769588e-06	-2.394380585e-06	1.201778003e-06	-2.394380585e-06	1.201777838e-06	-0.01137457719	0.006475356283	0.01137242703	-0.006478537302	2024-10-26@08:55	1.5	-0.4416014179	1	-2.128012266e-16	-0.100916638	-1.5	1.119934734e-16	0.05186225222	v2.7.1	
2	Broyden	0	-9.08245696e-11	-43.52940696	-159.984	-2.185442057	YY	12.75	0.1003490465	self-energy/D	sharp_wc_2_b_50	0.001	2	1.301670684	4.904253393	0.01160628233	4.904253393	0.01160628233	5.5970059	0.04106580863	5.5970059	0.04106580863	5.597006077	0.04106580699	5.597006078	0.04106580938	4.194503197	0.1039593061	4.194453081	0.1040246863	a248bdd	2x2_2C_8b_C2v_L	10	1.09886474	2	1.665930593	0.999999999947486	1.0000000000000004	0.5684840627	-0.364177213	0.5684840627	-0.364177213	0.963050942	-0.7757254451	0.963050942	-0.7757254451	0.9630509402	-0.7757254304	0.9630509683	-0.7757254529	1.206464443	-1.324080024	1.206835822	-1.324496281	sol_cdmft_3bandes_grille_patch_gen.py	R0:S0:1	uncorrelated	-2.50568846e-06	-3.98382645e-06	-2.50568846e-06	-3.98382661e-06	-2.788594654e-06	9.675733577e-07	-2.788598755e-06	9.675758491e-07	-2.787394704e-06	9.660126738e-07	-2.787394704e-06	9.660126929e-07	0.002998117067	-0.001678384793	-0.003040285508	0.001715107933	2024-10-26@08:57	1.5	-0.394850472	1	-2.128012266e-16	-0.07764345523	-1.5	1.119934734e-16	0.03990879541	v2.7.1	
2	Broyden	0	1.273821064e-11	-43.1857513	-159.984	-1.914757984	YY	14	0.0785003577	self-energy/D	sharp_wc_2_b_50	0.001	2	1.308156253	5.689806519	0.009963501121	5.689806519	0.009963501121	5.990593277	0.03272352645	5.990593277	0.03272352645	5.990593146	0.03272352584	5.990593117	0.03272352681	4.193563586	0.08109552695	4.198729639	0.07820730994	a248bdd	2x2_2C_8b_C2v_L	10	1.077530986	2	1.666195337	0.9999999999732211	1.0000000000000004	0.6132564083	-0.3511137942	0.6132564083	-0.3511137942	1.001219183	-0.6990335134	1.001219183	-0.6990335134	1.001219165	-0.6990335051	1.001219177	-0.6990335155	1.229607852	-1.165634194	1.208219035	-1.144689007	sol_cdmft_3bandes_grille_patch_gen.py	R0:S0:1	uncorrelated	-2.560312667e-06	7.05737093e-06	-2.560312667e-06	7.057371065e-06	-2.389498822e-06	1.575649965e-06	-2.389502923e-06	1.575652459e-06	-2.389712721e-06	1.575885959e-06	-2.389712721e-06	1.575885983e-06	-0.0001336642557	7.065408981e-05	0.0001729393062	-0.0001025348827	2024-10-26@08:59	1.5	-0.3547181008	1	-2.128012266e-16	-0.06068424505	-1.5	1.119934734e-16	0.03119961424	v2.7.1	
2	Broyden	0	-1.260433417e-12	-47.38351251	-176.784	-1.914720715	YY	14	0.07908379538	self-energy/D	sharp_wc_2_b_50	0.001	2	1.308153984	6.13566267	0.0105094399	6.13566267	0.0105094399	6.927900909	0.03290505422	6.927900909	0.03290505422	6.927900947	0.03290505555	6.927900953	0.03290505279	5.268711083	0.07999599419	5.229435664	0.0797847101	a248bdd	2x2_2C_8b_C2v_L	11.05	1.078104619	2	1.666265112	0.9999999999474042	1.0	0.59527787	-0.3603359957	0.59527787	-0.3603359957	0.9931966318	-0.7008194851	0.9931966318	-0.7008194851	0.993196655	-0.7008194994	0.9931966139	-0.70081947	1.225214972	-1.157466146	1.218174008	-1.155936383	sol_cdmft_3bandes_grille_patch_gen.py	R0:S0:1	uncorrelated	-2.93091788e-06	4.369807458e-06	-2.93091788e-06	4.369807484e-06	-2.532043719e-06	1.094416643e-06	-2.532047819e-06	1.094418767e-06	-2.532025072e-06	1.094397834e-06	-2.532006387e-06	1.094387431e-06	0.004484896779	-0.002179666995	-0.004467422668	0.00216954667	2024-10-26@09:01	1.5	-0.3547012164	1	3.407428607e-16	-0.0606890847	-1.5	-6.745151966e-18	0.03120498875	v2.7.1	
2	Broyden	0	3.802848133e-12	-47.76913277	-176.784	-2.180274667	YY	12.75	0.09970755529	self-energy/D	sharp_wc_2_b_50	0.001	2	1.301767902	6.136269915	0.01209705761	6.136269915	0.01209705761	6.928134456	0.04040769917	6.928134456	0.04040769917	6.928134494	0.04040770079	6.9281345	0.04040769736	5.268753187	0.10368243	5.229462006	0.1035455333	a248bdd	2x2_2C_8b_C2v_L	11.05	1.098262865	2	1.666265548	0.9999999999971056	1.0	0.5914415335	-0.3724096261	0.5914415335	-0.3724096261	0.9855773246	-0.7701046293	0.9855773246	-0.7701046293	0.985577348	-0.7701046449	0.9855773069	-0.7701046122	1.211739358	-1.320724626	1.204773719	-1.319851913	sol_cdmft_3bandes_grille_patch_gen.py	R0:S0:1	uncorrelated	-2.465347204e-06	1.832862393e-06	-2.465347204e-06	1.832862331e-06	-2.420875343e-06	8.967808826e-07	-2.420879444e-06	8.967831733e-07	-2.420931279e-06	8.968393711e-07	-2.420912593e-06	8.968286861e-07	0.004658975933	-0.002247492212	-0.004659857069	0.002251690982	2024-10-26@09:03	1.5	-0.3940202247	1	3.407428607e-16	-0.07737045405	-1.5	-6.745151966e-18	0.03977279944	v2.7.1	
2	Broyden	0	9.464319673e-11	-48.18846914	-176.784	-2.515366907	YY	11.5	0.1324104961	self-energy/D	sharp_wc_2_b_50	0.001	2	1.292984185	6.152386053	0.0136516036	6.152386053	0.0136516036	6.841619057	0.0506403138	6.841619057	0.0506403138	6.841619071	0.05064031746	6.841619081	0.05064030955	4.702023815	0.1405961214	4.654094678	0.1514047491	a248bdd	2x2_2C_8b_C2v_L	11.05	1.130366386	2	1.666404046	0.9999999999571794	1.0	0.5859729721	-0.3733202265	0.5859729721	-0.3733202265	0.9661177586	-0.8521083617	0.9661177586	-0.8521083617	0.9661177964	-0.8521083918	0.9661177221	-0.8521083252	1.106110672	-1.530073952	1.138756883	-1.587866713	sol_cdmft_3bandes_grille_patch_gen.py	R0:S0:1	uncorrelated	-1.916297202e-06	-1.333796302e-06	-1.916297202e-06	-1.333796309e-06	-1.635349193e-06	-2.543680535e-06	-1.635353294e-06	-2.54367816e-06	-1.635888487e-06	-2.542625312e-06	-1.636043892e-06	-2.542532448e-06	0.07540160167	-0.03874764363	-0.07261325204	0.0374140808	2024-10-26@09:05	1.5	-0.441069755	1	3.407428607e-16	-0.1005804766	-1.5	-6.745151966e-18	0.05170900714	v2.7.1	
2	Broyden	0	5.924477223e-11	-49.40200938	-176.784	-3.105843365	YY	10.25	0.6290436097	self-energy/D	sharp_wc_2_b_50	0.001	2	1.278704361	6.140293565	0.0005924352548	6.140293565	0.0005924352548	6.793388448	0.005768075675	6.793388448	0.005768075675	6.793388449	0.005768075925	6.793388489	0.005768075337	4.50617776	0.2376072376	4.440268522	0.2655955573	a248bdd	2x2_2C_8b_C2v_L	11.05	1.627529837	2	1.720814342	0.9999999999542182	1.0	0.5999890355	-0.01602985207	0.5999890355	-0.01602985207	0.957151376	-0.09643550471	0.957151376	-0.09643550471	0.9571513988	-0.09643550662	0.9571513549	-0.09643550171	1.123372998	-2.147073764	1.174206241	-2.273441068	sol_cdmft_3bandes_grille_patch_gen.py	R0:S0:1	uncorrelated	-1.718691002e-06	2.91490583e-05	-1.718691002e-06	2.914905789e-05	-2.236894366e-06	1.502011425e-06	-2.236898467e-06	1.502013785e-06	-2.236672894e-06	1.499337667e-06	-2.2368283e-06	1.499623462e-06	0.4714950047	-0.2234509126	-0.445247942	0.2128046657	2024-10-26@09:09	1.5	-0.5166350566	1	3.407428607e-16	-0.1501852164	-1.5	-6.745151966e-18	0.07428134986	v2.7.1	
2	Broyden	0	-3.718683719e-12	-52.96641841	-176.784	-1.990880998	NY	9	0.9731971587	self-energy/D	sharp_wc_2_b_50	0.001	2	1.295369826	5.545393922	4.762613929e-07	5.545393922	4.762613929e-07	3.684461148	1.446744839e-06	3.684461148	1.446744837e-06	3.684460761	1.446659922e-06	3.684461583	1.446789589e-06	3.765582516	0.07293950476	3.729153413	0.06812274915	a248bdd	2x2_2C_8b_C2v_L	11.05	1.973139099	2	1.878423506	0.9999999999290077	1.0	0.6017369181	-2.256181036e-05	0.6017369181	-2.256181036e-05	0.7456168766	-3.856903129e-05	0.7456168766	-3.856903128e-05	0.7456177174	-3.856853826e-05	0.745616079	-3.856917824e-05	1.039350953	-0.106521103	1.137065972	-0.1329848771	sol_cdmft_3bandes_grille_patch_gen.py	R0:S0:1	uncorrelated	9.317093043e-05	-0.001159657071	9.317093043e-05	-0.001159657071	0.0001151134972	-0.003353012551	0.0001151134931	-0.003353012542	0.0001150119311	-0.00335266596	0.0001151926467	-0.003353214887	0.4362371254	-1.304175434	-0.3954239604	1.230313374	2024-10-26@09:12	1.5	-0.295968921	1	3.407428607e-16	-0.1310387423	-1.5	-6.745151966e-18	0.05995349686	v2.7.1	
