CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	0	0.02293465194	-92.21171086	-114.4304	10.82794951	YY	14	0.1839350972	self-energy	sharp_wc_5_b_50	4.0781	2	1.252957904	0.2184857847	0.0114940062	-5.148842063	1.961106025	-5.103078274	1.800380087	-0.2008565598	1.723489243	-5.103223634	1.800391123	-0.2007560059	1.723378384	0.2954820267	0.0149372264	-4.007370148	1.545436175	a248bdd	2x2_2C_8b_C2v_L	11.23	1.167100455	2	1.638560619	0.9999999997275988	0.9999999999999997	-0.2253597597	0.2119780666	9.248231657e-06	7.885797341e-05	0.01958953463	0.1527107478	-0.164335091	0.912518464	0.01958856872	0.1526698724	-0.1643157982	0.9127119987	0.000288568405	-0.0008942763976	-6.466359204e-05	-6.113137796e-05	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	6.101722008e-05	-0.0007791690635	-1.372795547	0.566913711	2.017251623	-1.615094575	0.1741509367	-0.8487348567	-2.017284312	1.61499776	-0.17414866	0.8488729453	0.2633037952	-0.2636471869	-2.529683462	2.661937799	2024-11-27@16:30	2.1719	-0.6051404176	1	-4.376431873e-16	-0.1995658161	0.1609	-8.053070284e-17	0.0838978488	v2.7.1	
1	Broyden	0	0.05715307888	-131.3976165	-171.0704	11.82601029	YY	14	0.2816782158	self-energy	sharp_wc_5_b_50	4.0781	2	1.274878632	0.2714305809	0.03825658636	-7.558551508	1.963697462	-8.440905871	1.87068831	-0.2798008851	1.653761175	-8.422974599	1.874574625	0.2734005976	0.3299868261	0.3722428792	0.004689421954	-7.443278615	1.609460302	a248bdd	2x2_2C_8b_C2v_L	14.77	1.277444819	2	1.699328116	0.9999999997494072	0.9999999999999998	0.08877977251	-0.1969076933	0.01664357337	0.001400488449	0.01272153936	0.2776204639	-0.1833162342	1.391657593	0.01191808407	0.2711125724	0.07724885065	-0.9913070823	0.005304225236	-0.08973261965	-0.001080144728	-0.02770507286	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.09246212875	0.5255626011	-1.362593266	0.4952890955	2.053102037	-1.192474759	0.0788908424	-1.049103893	-2.051981498	1.163217491	-0.1792856341	1.352526885	0.2536270607	-0.1590238884	-2.560386509	2.605289994	2024-11-27@16:35	2.1719	-0.5145257037	1	4.532230957e-17	-0.149955908	0.1609	1.82735031e-17	0.06448206041	v2.7.1	
1	Broyden	0	0.02284674973	-92.25235218	-114.5904	10.84445675	YY	14	0.1841249502	self-energy	sharp_wc_5_b_50	4.0781	2	1.253350241	0.218534389	0.01133170106	-5.14908546	1.961099689	-5.103031786	1.801106788	-0.2007829805	1.726484113	-5.103180595	1.801117609	-0.2007214795	1.726389606	0.2959394846	0.01461636241	-4.009978785	1.546670637	a248bdd	2x2_2C_8b_C2v_L	11.24	1.167537131	2	1.639143098	0.9999999996592173	0.9999999999999998	-0.2250981895	0.2113311351	1.389692336e-05	5.770483479e-05	0.01928582463	0.1527077359	-0.1622845694	0.9045282961	0.01928896284	0.1526710952	-0.1622776542	0.9047067528	0.000226927141	-0.0007068001504	-5.102522894e-05	-5.467111438e-05	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	6.027824693e-05	-0.0007199935673	-1.372560151	0.567081956	2.015949224	-1.612105892	0.1749661322	-0.844726049	-2.01598244	1.612018188	-0.174969524	0.8448392256	0.2608904888	-0.2610421323	-2.52857654	2.65956103	2024-11-27@16:40	2.1719	-0.6037616646	1	5.160576712e-16	-0.1985996629	0.1609	1.497456814e-16	0.08353587311	v2.7.1	
1	Broyden	0	0.02265682474	-92.31355428	-114.7504	10.86386686	YY	14	0.1842848412	self-energy	sharp_wc_5_b_50	4.0781	2	1.25380696	0.2192555517	0.01124089978	-5.150354404	1.961086684	-5.103714392	1.80199356	-0.1993130826	1.729678234	-5.10388872	1.801997413	-0.1993488777	1.729654905	0.2947628822	0.01441449143	-4.022009578	1.548589925	a248bdd	2x2_2C_8b_C2v_L	11.25	1.167984423	2	1.639820478	0.9999999997370632	0.9999999999999999	-0.2249092515	0.2109652635	8.797941057e-06	1.851979804e-05	0.01897132811	0.151772226	-0.1597264257	0.8949722144	0.01898116382	0.1517492764	-0.1597354296	0.8950012834	8.803041095e-05	-0.0002757437131	-2.134371919e-05	-2.248898603e-05	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	3.071207582e-05	-0.0003349619967	-1.372395517	0.567312199	2.014991501	-1.60842731	0.1753591899	-0.8388148195	-2.015024546	1.60840767	-0.175381874	0.8388777456	0.2587229157	-0.2589164263	-2.529848117	2.655987485	2024-11-27@16:45	2.1719	-0.6021304898	1	6.829323083e-17	-0.1974660279	0.1609	3.272347543e-16	0.08310770882	v2.7.1	
1	Broyden	0	0.02251604853	-92.36154212	-114.9104	10.88053295	YY	14	0.1844504217	self-energy	sharp_wc_5_b_50	4.0781	2	1.254201826	0.2204772714	0.01113595789	-5.151254228	1.96107246	-5.105072843	1.802768342	-0.1984253886	1.732235346	-5.105267183	1.802769432	-0.1984625043	1.732235028	0.2935648618	0.0141828285	-4.026385739	1.549985509	a248bdd	2x2_2C_8b_C2v_L	11.26	1.168401961	2	1.640396074	0.9999999997416488	1.0000000000000002	-0.2248282793	0.2106484894	-4.809639897e-06	1.697261867e-05	0.0187245879	0.1511336776	-0.157514816	0.88674703	0.01873111341	0.1511184704	-0.1575224363	0.8867283866	7.290598862e-05	-0.0002103815957	-1.984699634e-05	1.112510859e-06	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	9.304182856e-07	-4.48345561e-05	-1.372049382	0.5675741222	2.013970002	-1.605262588	0.1759804693	-0.8346455635	-2.014006407	1.605268284	-0.1760020069	0.834686325	0.2564814556	-0.2567289514	-2.52899918	2.65320438	2024-11-27@16:50	2.1719	-0.6007392202	1	1.041895251e-16	-0.1964825414	0.1609	-2.697698451e-16	0.08273401573	v2.7.1	
1	Broyden	0	0.02234861409	-92.45333932	-115.0704	10.89943751	YY	14	0.1845847841	self-energy	sharp_wc_5_b_50	4.0781	2	1.254645085	0.2250546641	0.01106040896	-5.156219729	1.961104593	-5.113082276	1.803801658	-0.1968640708	1.734896397	-5.11335376	1.8038013	-0.1969177624	1.734909971	0.2891897345	0.01390790032	-4.035641575	1.551717777	a248bdd	2x2_2C_8b_C2v_L	11.27	1.168820331	2	1.641054809	0.9999999996696871	0.9999999999999997	-0.2258389094	0.2109015129	-8.78950687e-06	1.597515333e-06	0.01830691088	0.1504239116	-0.1546323879	0.8766999704	0.01831351317	0.150406915	-0.1546428901	0.8766402828	4.933109913e-05	-0.0001289516842	-3.62106132e-05	3.678852455e-05	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-7.835542042e-06	6.87568826e-05	-1.371814929	0.5675255677	2.014014423	-1.601169544	0.1767359493	-0.8303014122	-2.014061779	1.601197348	-0.1767644413	0.8303374242	0.2529435349	-0.2535577849	-2.52962607	2.649934837	2024-11-27@16:54	2.1719	-0.5991455399	1	-1.408103966e-16	-0.1953824054	0.1609	2.471377711e-16	0.08231399547	v2.7.1	
2	Broyden	0	-0.05599402212	-130.4796841	-171.2304	11.81070803	YY	14	0.2723515242	self-energy	sharp_wc_5_b_50	4.0781	2	1.274693973	0.1663068717	0.01914016109	-7.662111436	1.964072792	-8.149297632	1.865541881	-0.2603794106	1.696798253	-8.192410542	1.863058226	0.2638208927	0.3157783646	0.3952539389	0.005484601841	-7.42160951	1.609626368	a248bdd	2x2_2C_8b_C2v_L	14.78	1.26819801	2	1.695853881	0.999999999868074	1.0	-0.1023490095	0.2291859681	0.007785865108	0.003197540638	-0.009214119928	-0.2753421706	-0.1738496091	1.227184614	-0.009969153703	-0.2778936089	-0.07098250247	1.025775241	0.00334457917	-0.05398340441	-0.0004085550057	-0.01756345506	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.03673982647	-0.2377083849	-1.360189675	0.4970172088	2.019765388	-1.221566146	-0.06915522834	0.98271259	-2.023963823	1.241472137	-0.1767750948	1.254684715	0.2557055481	-0.165502448	-2.556065543	2.597867544	2024-11-27@17:02	2.1719	-0.5168290679	1	9.160850582e-17	-0.1492960006	0.1609	-7.246136325e-18	0.06445144941	v2.7.1	
2	Broyden	0	0.02222798558	-92.50790163	-115.2304	10.91611383	YY	14	0.1847507391	self-energy	sharp_wc_5_b_50	4.0781	2	1.255040791	0.2261065516	0.01093187537	-5.157373059	1.961098984	-5.115098562	1.804623889	-0.1969181976	1.738006091	-5.11538206	1.80462384	-0.1969737765	1.738022653	0.2884993216	0.01365093157	-4.039941829	1.553130591	a248bdd	2x2_2C_8b_C2v_L	11.28	1.169239916	2	1.641626519	0.9999999997316429	1.0	-0.2256438489	0.2104150737	-9.308353288e-06	1.131122892e-05	0.01810470291	0.1500477449	-0.1524926869	0.8680720721	0.01811175222	0.1500335065	-0.1525017029	0.8680110713	5.014553831e-05	-0.0001343353505	-1.601577428e-05	1.308751924e-05	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-1.143419586e-05	8.399283675e-05	-1.371484197	0.5677043946	2.012957226	-1.597852142	0.1777239318	-0.8258076087	-2.013006106	1.597876751	-0.1777519439	0.8258436037	0.2507213868	-0.251249409	-2.528713934	2.647165262	2024-11-27@17:09	2.1719	-0.5977585669	1	1.245575716e-16	-0.1943889075	0.1609	1.086075237e-16	0.0819359811	v2.7.1	
1	Broyden	0	0.02205851472	-92.60726944	-115.3904	10.93605593	YY	14	0.1848949441	self-energy	sharp_wc_5_b_50	4.0781	2	1.255507118	0.2288553909	0.01079722139	-5.161274786	1.961126546	-5.122495785	1.80568677	-0.1961121924	1.741585647	-5.122813156	1.805686652	-0.1961704547	1.741606916	0.2857270624	0.01333162914	-4.053008421	1.555058082	a248bdd	2x2_2C_8b_C2v_L	11.29	1.169678803	2	1.642324475	0.9999999997223024	0.9999999999999998	-0.2259998061	0.2100450277	-1.567985624e-05	1.548101494e-05	0.01770859608	0.1494814134	-0.149628768	0.8572151248	0.01771566362	0.1494672177	-0.1496380835	0.8571444749	4.760893575e-05	-0.0001207308577	-1.558212426e-05	1.895248714e-05	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-2.199877409e-05	0.0001753917736	-1.371518535	0.5676320036	2.013000374	-1.593626519	0.1786531539	-0.8200047073	-2.013054114	1.593655752	-0.1786833121	0.8200388375	0.2473051296	-0.2478866263	-2.530437498	2.643711727	2024-11-27@17:13	2.1719	-0.596077336	1	-1.891570644e-16	-0.1932232569	0.1609	-2.495542334e-16	0.08149175331	v2.7.1	
1	Broyden	0	0.02193866922	-92.66062563	-115.5504	10.9527157	YY	14	0.1850619607	self-energy	sharp_wc_5_b_50	4.0781	2	1.255902287	0.2302829165	0.01064461344	-5.162520061	1.96112733	-5.125029957	1.806516857	-0.1963790422	1.744973387	-5.125354801	1.806517042	-0.1964402267	1.744991616	0.2853666374	0.01302344704	-4.055433903	1.556416124	a248bdd	2x2_2C_8b_C2v_L	11.3	1.17010293	2	1.642891069	0.9999999996849525	0.9999999999999993	-0.225946759	0.2095421964	-1.040437565e-05	1.244628796e-05	0.01745566941	0.1492601992	-0.1474011022	0.8482371821	0.01746329643	0.1492446382	-0.1474104404	0.8481710691	5.150413348e-05	-0.0001359546988	-1.535703607e-05	1.348919284e-05	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-1.356914569e-05	9.945418617e-05	-1.37117092	0.5677798476	2.012047517	-1.590296808	0.1796707908	-0.8150014168	-2.012102047	1.59032307	-0.1797018832	0.8150406409	0.2447237556	-0.2451777071	-2.528995199	2.641006555	2024-11-27@17:18	2.1719	-0.5946935333	1	-2.481200981e-16	-0.1922259087	0.1609	2.47234987e-16	0.08111192585	v2.7.1	
1	Broyden	0	0.02198939349	-92.99557322	-115.7104	10.9736655	YY	14	0.1850932298	self-energy	sharp_wc_5_b_50	4.0781	2	1.256383991	0.243306943	0.0104993172	-5.190436643	1.96132486	-5.172781847	1.808510337	-0.2022238899	1.749800786	-5.173230842	1.808515163	-0.202301716	1.749808502	0.2841128127	0.01251561592	-4.065101715	1.558173017	a248bdd	2x2_2C_8b_C2v_L	11.31	1.170412788	2	1.643653953	0.9999999996197109	1.0	-0.2298510505	0.2110022274	-1.109081767e-05	2.284071028e-05	0.01768975938	0.1496888282	-0.1453997608	0.8373248817	0.01770037673	0.1496653556	-0.1454137993	0.8372881394	0.0001054871169	-0.0002902702585	-2.540622513e-05	7.995771481e-06	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-1.0882575e-05	4.643436546e-05	-1.372303848	0.5664962573	2.017792826	-1.583156734	0.1843668944	-0.8135451557	-2.017864774	1.583158427	-0.1844088398	0.8136068098	0.2408768267	-0.240864944	-2.529806482	2.637827933	2024-11-27@17:22	2.1719	-0.5929006691	1	-3.678530584e-16	-0.1910273142	0.1609	-1.131663223e-16	0.0806539839	v2.7.1	
3	Broyden	0	0.05585989711	-130.6477614	-171.3904	11.82993496	YY	14	0.2825521044	self-energy	sharp_wc_5_b_50	4.0781	2	1.274958969	0.01092441597	0.3909206846	-7.866295539	1.964403066	-8.095285347	1.869875368	-0.2663470077	1.672363393	-8.094917563	1.865542199	0.2598429612	0.3505156604	0.4123186637	0.004119008933	-7.418785754	1.607898594	a248bdd	2x2_2C_8b_C2v_L	14.79	1.278412241	2	1.699582124	0.9999999997610921	1.0	-0.0701001786	0.3446672892	-0.0007873588738	-0.01191330648	0.01001558321	0.2756302109	-0.1763074177	1.343306232	0.01025650066	0.2802199988	0.07143277039	-1.026012056	-0.003131985335	0.05655394454	0.0008376977523	0.02042735867	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.0316070329	0.3870863963	-1.387572311	0.4902881141	2.01381593	-1.182841418	0.07073700868	-0.9662727884	-2.012597395	1.214320407	-0.1773409111	1.386381889	0.2602667579	-0.1589321445	-2.554391046	2.61069102	2024-11-27@17:34	2.1719	-0.5141768912	1	-2.242987979e-16	-0.1497191908	0.1609	5.110797181e-17	0.06439689222	v2.7.1	
1	Broyden	0	0.02184001214	-93.04038306	-115.8704	10.99016577	YY	14	0.1852769528	self-energy	sharp_wc_5_b_50	4.0781	2	1.256775718	0.2432954817	0.01033738248	-5.191352935	1.961321865	-5.173456851	1.809275578	-0.2021748247	1.753361373	-5.173905636	1.809280517	-0.2022531804	1.753366589	0.2840109139	0.01221904771	-4.067609802	1.559466444	a248bdd	2x2_2C_8b_C2v_L	11.32	1.170851889	2	1.644210781	0.9999999997024227	1.0	-0.2293094906	0.210170954	-8.318739312e-06	2.178534001e-05	0.01742934583	0.1492064434	-0.1432144726	0.8284283696	0.01744041611	0.1491818374	-0.1432283356	0.8283951124	0.00010882709	-0.0003008671179	-2.579345151e-05	4.982942912e-06	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-5.242864471e-06	-1.518888813e-06	-1.372075412	0.5666286485	2.01661673	-1.580035957	0.1850354311	-0.8073577249	-2.016688336	1.580035819	-0.1850779703	0.8074231859	0.2383656851	-0.2381545594	-2.528687475	2.635367824	2024-11-27@17:39	2.1719	-0.5915360071	1	2.284255265e-16	-0.1900276602	0.1609	-3.010618531e-17	0.08027500016	v2.7.1	
1	Broyden	0	0.0216289781	-93.12944425	-116.0304	11.01025738	YY	14	0.1854015881	self-energy	sharp_wc_5_b_50	4.0781	2	1.257245667	0.2440449197	0.01021866893	-5.19658376	1.961320698	-5.178262952	1.810297725	-0.201301606	1.757239178	-5.178710316	1.810305008	-0.201380505	1.757233281	0.2809615435	0.01196897305	-4.080393652	1.561512804	a248bdd	2x2_2C_8b_C2v_L	11.33	1.171278375	2	1.644891203	0.9999999997288295	1.0	-0.2289188815	0.2095135389	-5.747774078e-06	2.729996115e-05	0.01702378497	0.1483832918	-0.1402768307	0.8170447675	0.01703581708	0.148355651	-0.1402927075	0.8170432546	0.0001475044053	-0.0004127347187	-3.258067212e-05	-2.130736234e-06	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	2.583411235e-06	-8.486244586e-05	-1.372412978	0.5668192817	2.01615989	-1.575914322	0.1858404956	-0.8001761892	-2.016231148	1.575894926	-0.1858848839	0.80025177	0.2352563234	-0.2351550518	-2.529878583	2.631489091	2024-11-27@17:44	2.1719	-0.5898522534	1	-5.773167733e-16	-0.1888307054	0.1609	4.345653805e-16	0.07982010933	v2.7.1	
1	Broyden	0	0.02149754088	-93.18188493	-116.1904	11.02638039	YY	14	0.1855911842	self-energy	sharp_wc_5_b_50	4.0781	2	1.257626995	0.2451116319	0.01004583399	-5.19808969	1.961334803	-5.18022058	1.811085222	-0.2013768515	1.760511868	-5.180667387	1.811093556	-0.2014552014	1.760500857	0.280484949	0.01163818826	-4.083130649	1.562705119	a248bdd	2x2_2C_8b_C2v_L	11.34	1.171716762	2	1.645445402	0.9999999996859659	0.9999999999999998	-0.2286809676	0.2087639981	-4.900598747e-06	3.054573704e-05	0.01667735379	0.1482861854	-0.1376396946	0.807492153	0.01668951991	0.1482573581	-0.1376560338	0.8075049171	0.0001728510487	-0.0004826723471	-3.695281387e-05	-4.856535589e-06	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	5.749271819e-06	-0.0001208955308	-1.372148026	0.5668030066	2.015056987	-1.572710803	0.1869067532	-0.7951472388	-2.015128011	1.572682284	-0.1869518809	0.7952280438	0.2323703737	-0.2320593423	-2.529054057	2.629338213	2024-11-27@17:48	2.1719	-0.5885115442	1	5.53903445e-16	-0.187863981	0.1609	4.308551957e-17	0.07945112654	v2.7.1	
1	Broyden	0	0.02137777377	-93.55185503	-116.3504	11.0482172	YY	14	0.1855762916	self-energy	sharp_wc_5_b_50	4.0781	2	1.258129821	0.2576347088	0.01022738964	-5.2821323	1.961596259	-5.214337703	1.812347095	-0.2057105397	1.767701456	-5.209757727	1.813108887	-0.2036219311	1.7636071	0.2763072305	0.01159313489	-4.093330337	1.564924817	a248bdd	2x2_2C_8b_C2v_L	11.35	1.172014304	2	1.6461859	0.9999999996983634	0.9999999999999996	-0.233490816	0.2118807204	0.0006645215534	0.002035964328	0.01660618408	0.148007679	-0.1352764437	0.7906097703	0.01674522738	0.1471796739	-0.1356320856	0.8015241017	0.01342507783	-0.03860862772	-0.002427600544	-0.002182011126	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.002394726613	-0.02539176616	-1.378780342	0.5654143976	2.018811532	-1.569844078	0.1897835932	-0.7872524304	-2.018288675	1.563323507	-0.1896948424	0.7903608012	0.2282021234	-0.2283162097	-2.529245228	2.624615719	2024-11-27@17:53	2.1719	-0.586662662	1	-3.38385858e-17	-0.1865721838	0.1609	-2.436137994e-17	0.07895998465	v2.7.1	
1	Broyden	0	0.02290042573	-92.14801204	-114.4304	10.82762912	YY	14	0.1839638195	self-energy	sharp_wc_5_b_50	4.0781	2	1.252952271	0.2173187462	0.01146412211	-5.131879282	1.961055264	-5.096641521	1.800213526	-0.1997584078	1.723305978	-5.097356612	1.800216001	-0.199832603	1.723350664	0.2953066508	0.01494551582	-4.007494029	1.54542397	a248bdd	2x2_2C_8b_C2v_L	11.23	1.167130049	2	1.638545075	0.9999999996943021	0.9999999999999997	-0.2246663193	0.2114767507	-2.565731064e-05	1.551352824e-05	0.01944891584	0.1525985482	-0.1641790084	0.9127853276	0.01945754137	0.1525748878	-0.1641851468	0.9126213634	5.805712296e-05	-0.0001352007876	-2.088501098e-05	4.06350494e-05	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-4.217059865e-05	0.0003849427763	-1.371243986	0.5672119291	2.016381927	-1.615553642	0.1734890629	-0.847766982	-2.016495467	1.615606375	-0.1735384922	0.8478354393	0.2632852116	-0.2637146898	-2.529684793	2.66202397	2024-11-27@17:58	2.1719	-0.6051733391	1	-4.376431873e-16	-0.1995790408	0.1609	-8.053070284e-17	0.08390344387	v2.7.1	
