model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.6887291	0	7.8166925	0.3688246	0.42139516	0.88753457	0.30079802	0.30080112	0.88752167	0.9590817	0.17175482	1.3374075	-0.0011913948	-0.3457666	0.066976658	0.27085897	-0.27084937	-0.066990474	1.2428168e-06	-0.22992852	1.371862	-0.33384906	0.0012210664	0.50045063	-0.14029243	-0.14032765	0.5004296	0.65250266	-7.3645234e-06	-0.24314454	-0.029943218	0.82412569	-1.2530183	-0.12436695	0.046730805	0.3473729	0.08586196	0.21483784	0.65096992	0.65098283	0.21483977	0.059136402	0.10791464	0.80697396	0.0022705628	0.60965964	0.18376612	-2.164783	2.16468	-0.18372856	-9.1073916e-06	1.1021599	-0.67038751	2.2438715	-0.0077706685	-1.4441107	1.3219966	1.3222351	-1.4441349	-0.35035818	1.088018e-05	-0.059972697	-9.8701459	R0:S0:1	0.80697396	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:00
2x2_2C_8b_C2v_L	-1.6887326	0	7.8166925	0.36885403	0.42140446	0.88749993	0.30081234	0.3008211	0.8874648	0.95909931	0.17175897	1.3374075	-0.00096288548	-0.34576804	0.066987661	0.2708541	-0.27086825	-0.066968243	-7.2261742e-06	-0.22993041	1.371862	-0.33385787	0.0010075357	0.50042154	-0.14033015	-0.14028828	0.50044088	0.6525084	-1.5215055e-07	-0.24314454	-0.029943791	0.8241269	-1.2530205	-0.12436487	0.0467309	0.3473612	0.085853886	0.2148376	0.6509709	0.65093714	0.21484882	0.059135838	0.1079144	0.80697323	0.0017965449	0.60963463	0.18374769	-2.1646855	2.1647681	-0.18384748	2.3180642e-05	1.1021655	-0.67038958	2.2438728	-0.006449147	-1.4441224	1.3222352	1.321969	-1.4441369	-0.35035721	-2.4468607e-06	-0.059975389	-9.870158	R0:S0:1	0.80697323	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:05
2x2_2C_8b_C2v_L	-1.688731	0	7.8166925	0.36888536	0.4214175	0.88749373	0.30078054	0.30077979	0.88739708	0.95909766	0.17175723	1.3374075	-0.0010548246	-0.34577654	0.06696878	0.27084715	-0.27084927	-0.066970403	1.1826924e-05	-0.22992828	1.371862	-0.33386762	0.0010878954	0.50043298	-0.1403002	-0.14029648	0.50041572	0.65250496	1.5977431e-05	-0.24314454	-0.029943427	0.82412638	-1.2530197	-0.12436671	0.046730687	0.34735885	0.085850742	0.21485138	0.65097468	0.65097157	0.21486074	0.059134956	0.10791177	0.80697329	0.0019994398	0.60962772	0.18380323	-2.1647272	2.1647217	-0.18380592	-4.1831737e-05	1.1021546	-0.67038879	2.2438813	-0.006933436	-1.4441626	1.3220933	1.3220623	-1.4441747	-0.35035441	-2.1522385e-05	-0.059973995	-9.8701323	R0:S0:1	0.80697329	817c5bc	v2.2.6	Y	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:11
2x2_2C_8b_C2v_L	-1.6887324	0	7.8166925	0.36885389	0.42141407	0.88750524	0.30078813	0.30076761	0.8874415	0.95909492	0.17175718	1.3374075	-0.0010095897	-0.34577303	0.066981998	0.27085414	-0.27084904	-0.066956463	-8.9203937e-07	-0.2299306	1.371862	-0.33385848	0.001042209	0.50043743	-0.14030265	-0.14028006	0.50043106	0.65250862	9.8473431e-07	-0.24314454	-0.02994197	0.82412699	-1.2530202	-0.12436399	0.046730629	0.34736605	0.085855426	0.21484303	0.6509999	0.65097587	0.21486426	0.059137196	0.10791664	0.8069726	0.0019107254	0.60964381	0.18373786	-2.1647742	2.1647624	-0.18385316	1.4740063e-06	1.1021733	-0.67038742	2.2438781	-0.0066452685	-1.4441341	1.3220853	1.3219937	-1.4441917	-0.35036218	-2.765421e-06	-0.059974333	-9.8701404	R0:S0:1	0.8069726	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:16
2x2_2C_8b_C2v_L	-1.6887284	0	7.8166925	0.36885864	0.42140917	0.88749673	0.30079119	0.30079893	0.8875434	0.95910066	0.17174001	1.3374075	-0.00085966838	-0.34577212	0.066962915	0.27085296	-0.27085013	-0.067006206	-8.4843897e-07	-0.22992422	1.371862	-0.33385812	0.00089007254	0.50043412	-0.14029616	-0.14033207	0.50043363	0.65250769	5.6952998e-06	-0.24314454	-0.029943755	0.82412539	-1.2530181	-0.1243682	0.046730788	0.34736312	0.085853868	0.21484259	0.65095509	0.65100288	0.21482996	0.05913655	0.10791372	0.80697416	0.0016266936	0.60963901	0.18382419	-2.164746	2.164706	-0.18364954	3.4171726e-06	1.1021522	-0.67038852	2.2438742	-0.0056754564	-1.4441195	1.3220272	1.322245	-1.4441065	-0.35035858	-1.0767862e-05	-0.059973495	-9.8701416	R0:S0:1	0.80697416	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:20
2x2_2C_8b_C2v_L	-1.6887288	0	7.8166925	0.36881864	0.42139236	0.88749399	0.30079338	0.30081129	0.88750394	0.95914518	0.17177864	1.3374075	-0.00094146118	-0.3457666	0.066976393	0.27085102	-0.27085426	-0.066997483	-5.4159017e-06	-0.22993741	1.371862	-0.33384819	0.00097753943	0.50043033	-0.14030858	-0.14032719	0.50042627	0.65251972	-2.8080224e-06	-0.24314454	-0.029943681	0.82412576	-1.2530181	-0.12436702	0.046730688	0.34737536	0.085862066	0.21484335	0.65096939	0.65097806	0.21483146	0.05913369	0.10791334	0.806974	0.0017715993	0.60966376	0.18377388	-2.1647193	2.1647051	-0.18369859	1.6560911e-05	1.1021787	-0.6703864	2.243875	-0.0062429507	-1.4441318	1.3221107	1.3221943	-1.4440963	-0.35035751	1.8111448e-06	-0.059973321	-9.8701412	R0:S0:1	0.806974	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:25
2x2_2C_8b_C2v_L	-1.6887328	0	7.8166925	0.36882359	0.42140181	0.88749349	0.30079514	0.30079783	0.88747272	0.95910971	0.17178279	1.3374075	-0.00070212353	-0.34576727	0.066989577	0.27085661	-0.27085518	-0.066974677	3.8616582e-06	-0.22994034	1.371862	-0.33384793	0.00071890414	0.50043536	-0.14030291	-0.14030956	0.5004231	0.65251384	-4.3532122e-06	-0.24314454	-0.02994211	0.82412716	-1.2530204	-0.12436339	0.046730651	0.3473702	0.08585856	0.21483921	0.65099806	0.65097706	0.21484307	0.059136278	0.107918	0.80697262	0.0013364381	0.60965443	0.18371035	-2.1647847	2.1647423	-0.18378332	-1.7167517e-05	1.1021952	-0.67038735	2.2438702	-0.0045766234	-1.4441159	1.3220715	1.3221153	-1.4441266	-0.35036384	7.9655348e-06	-0.059975806	-9.8701417	R0:S0:1	0.80697262	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:30
2x2_2C_8b_C2v_L	-1.6887309	0	7.8166925	0.36884755	0.42141357	0.88748532	0.30078576	0.30081039	0.88753931	0.95911953	0.17174471	1.3374075	-0.001090693	-0.34577123	0.066962598	0.27085588	-0.27085685	-0.066988663	5.8666638e-06	-0.22992549	1.371862	-0.333854	0.0011326724	0.50043818	-0.14029063	-0.14032084	0.50043597	0.65251105	1.2117976e-05	-0.24314454	-0.029943465	0.82412625	-1.2530195	-0.12436607	0.046730786	0.34736356	0.085856011	0.21485138	0.65096825	0.65097753	0.21483077	0.059135303	0.10791295	0.80697346	0.0020498874	0.60964109	0.18383114	-2.1647636	2.1647318	-0.18373736	-1.9959681e-05	1.1021554	-0.67038883	2.2438678	-0.0072359865	-1.4441547	1.3220194	1.3221694	-1.4440992	-0.35035594	-1.835104e-05	-0.059974172	-9.8701488	R0:S0:1	0.80697346	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:35
2x2_2C_8b_C2v_L	-1.68873	0	7.8166925	0.36885273	0.42142361	0.88746558	0.30077625	0.30078542	0.88750759	0.95912948	0.17177143	1.3374075	-0.00093173793	-0.34577626	0.066960549	0.27084976	-0.27085151	-0.066987438	-2.8336142e-06	-0.22993543	1.371862	-0.33385602	0.00096087676	0.50043375	-0.14029001	-0.14031067	0.50043308	0.65251766	-3.0253131e-06	-0.24314454	-0.02994291	0.82412559	-1.2530191	-0.12436755	0.046730702	0.34736615	0.085855331	0.2148586	0.65097555	0.65099969	0.21483822	0.059135376	0.107915	0.80697329	0.001768673	0.60964513	0.18383602	-2.1647484	2.1647569	-0.18371492	6.5654565e-06	1.1021796	-0.67038687	2.243876	-0.0061214725	-1.4441774	1.3220351	1.3221245	-1.4441177	-0.35036108	3.2845159e-06	-0.059974164	-9.8701466	R0:S0:1	0.80697329	817c5bc	v2.2.6	Y	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:41
2x2_2C_8b_C2v_L	-1.6887337	0	7.8166925	0.36887974	0.42139419	0.88745443	0.30076118	0.30078746	0.88744327	0.95908208	0.17176058	1.3374075	-0.00098417469	-0.34577179	0.066949703	0.27085097	-0.27085326	-0.066960156	1.3415708e-05	-0.22992576	1.371862	-0.33386819	0.0010032833	0.50044378	-0.14025949	-0.14029408	0.50042867	0.65250679	-1.5924068e-06	-0.24314454	-0.029941882	0.82412799	-1.2530207	-0.12436157	0.046730617	0.34736205	0.085852697	0.21486698	0.65096931	0.65097142	0.21486593	0.059136146	0.10791273	0.80697249	0.0018823843	0.60963549	0.18387618	-2.1648041	2.1647234	-0.18386285	-5.2283827e-05	1.1021519	-0.67038872	2.2438835	-0.0063779881	-1.4441972	1.3218807	1.3220783	-1.4442085	-0.35035658	6.8359897e-06	-0.059974137	-9.8701381	R0:S0:1	0.80697249	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:46
