model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.98241337	0	10	-0.22715514	0.31060857	0.68405583	-0.2548091	0.25477809	0.68389657	0.66729728	-0.26969375	2	-0.00024183582	0.00018773737	0.087644799	-0.15360363	0.19602409	0.087666592	-2.6959246e-07	1.4089758e-05	1	-0.11094292	0.16393192	-0.36602106	0.19600248	-0.1536028	0.36600922	-0.54033009	-0.27337007	-0.7	1e-09	0.0061718479	0.90748884	-0.77976609	0.28949611	-0.19433542	0.022540271	1.9861927	0.21554078	0.11635008	1.6717749	0.32835355	0.11643704	0.068124558	1.8854893	0.90139795	0.0028600157	-0.00020832314	-0.043310526	0.96871603	-1.0404149	-0.043341459	4.0923539e-05	-5.9748627e-05	-0.46195718	0.23191641	-1.5720141	1.0791466	-1.040393	0.96911102	-1.0796393	0.59434802	0.95204425	0.024194913	-11.623627	R0:S0:1	0.90139795	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:05
2x2_2C_8b_C2v_L	-0.98236884	0	10.001	-0.22717386	0.31061586	0.68397099	-0.2548288	0.25481647	0.68387232	0.66727987	-0.2697021	2	-5.6711086e-05	4.5002366e-05	0.087663317	-0.15360424	0.19601604	0.087668283	3.3032058e-06	5.4091294e-06	1	-0.11094115	0.16393157	-0.36601531	0.19602577	-0.15360829	0.36598954	-0.54032286	-0.27337877	-0.7	1e-09	0.0061685845	0.9074809	-0.77973038	0.28948351	-0.19431849	0.022535688	1.9861951	0.21553473	0.11639395	1.6717525	0.32825187	0.11639204	0.068126033	1.885487	0.90139353	0.00064456975	-8.0058923e-05	-0.043351909	0.96884506	-1.0403118	-0.043374789	-1.083411e-05	-6.666913e-06	-0.46193256	0.23190047	-1.5719842	1.0793874	-1.0403269	0.96885172	-1.0793445	0.59437365	0.9520305	0.02419208	-11.623621	R0:S0:1	0.90139353	b8cfe21	v2.4.3	Y	Broyden	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:08
2x2_2C_8b_C2v_L	-0.98234362	0	10	-0.22657508	0.31013166	0.6839001	-0.25484875	0.25486329	0.6839952	0.66725289	-0.26974234	2.001	8.7564033e-05	-7.6222023e-05	0.087697003	-0.15366826	0.19602997	0.087710113	-6.9264773e-06	-9.606839e-06	1	-0.11088933	0.16383941	-0.36590086	0.19604208	-0.15368766	0.36590471	-0.54023949	-0.27341947	-0.7	1e-09	0.0061661302	0.90757811	-0.77972894	0.28944955	-0.19421032	0.022546556	1.9861758	0.21555018	0.1162845	1.6717991	0.32820721	0.11628353	0.068082611	1.8854939	0.90147352	-0.00098922831	0.00014416951	-0.043451663	0.96889957	-1.0401405	-0.04348052	2.2767892e-05	1.1142119e-05	-0.46195438	0.23195067	-1.5716711	1.0788801	-1.0402034	0.96903688	-1.0789088	0.59421059	0.95200996	0.024192373	-11.626112	R0:S0:1	0.90147352	b8cfe21	v2.4.3	Y	Broyden	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:11
2x2_2C_8b_C2v_L	-0.98203207	0	10	-0.22503623	0.30943634	0.68435742	-0.25462832	0.25460098	0.68433828	0.66723789	-0.26997395	2	6.2231796e-05	-4.7314159e-05	0.087679515	-0.15378141	0.19582997	0.087628829	-3.6393455e-06	-7.3100512e-06	1	-0.11063248	0.16387611	-0.3657918	0.19584397	-0.15373502	0.36580679	-0.53999537	-0.27334187	-0.699	1e-09	0.006163949	0.90754035	-0.78009187	0.28889871	-0.1941626	0.022537226	1.9861631	0.21578825	0.11619727	1.6716042	0.32831106	0.11617687	0.06797192	1.885579	0.90141199	-0.00076073376	2.6560253e-05	-0.043366258	0.97003338	-1.0401297	-0.043231383	-8.7865761e-06	2.8327022e-05	-0.46205028	0.23187016	-1.5724581	1.0787034	-1.0401137	0.96965983	-1.0785384	0.59375933	0.95193643	0.024114384	-11.618859	R0:S0:1	0.90141199	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:19
2x2_2C_8b_C2v_L	-0.98299335	0	10	-0.22670918	0.31075844	0.68370585	-0.2547673	0.25480303	0.68402821	0.66708952	-0.26948598	2	0.00048561346	-0.00037649527	0.087703695	-0.15374001	0.19611591	0.087700181	4.968157e-06	-1.7792837e-05	1	-0.11092248	0.16426199	-0.36627178	0.19615486	-0.15377295	0.36628494	-0.54029465	-0.27317853	-0.7	0.001000001	0.0062171659	0.90733237	-0.77995215	0.28977966	-0.19543015	0.022548388	1.9861639	0.21628481	0.11666908	1.6706745	0.32916967	0.11652999	0.068141644	1.885429	0.90126014	-0.0056862635	0.00048697916	-0.043079222	0.97058944	-1.0421823	-0.043130535	-7.5926497e-05	8.7625256e-05	-0.46193231	0.23224396	-1.5744716	1.0806673	-1.0422473	0.97018782	-1.0799244	0.59416391	0.95244172	0.024311423	-11.623715	R0:S0:1	0.90126014	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:27
2x2_2C_8b_C2v_L	-0.98302104	0	10.0005	-0.22867427	0.31168835	0.68346478	-0.25498221	0.2550117	0.68356237	0.66719453	-0.26933916	2.0005	3.6182386e-05	-3.7056296e-05	0.087678495	-0.15353093	0.19626147	0.08774416	5.5915835e-06	8.9679877e-06	1	-0.11120657	0.16412547	-0.36630686	0.19625218	-0.15359354	0.36628799	-0.54059471	-0.27332297	-0.701	0.000500001	0.0061972453	0.90740012	-0.7794934	0.29019994	-0.19497635	0.022548189	1.9862034	0.21564514	0.11665421	1.6714119	0.32867204	0.11663507	0.068265298	1.8853811	0.90135255	-0.00036665224	0.00011677554	-0.04325323	0.96852733	-1.0414013	-0.043460825	-9.3293391e-07	-2.510913e-05	-0.4618417	0.23212399	-1.572599	1.0803553	-1.0413869	0.96885497	-1.080322	0.59478528	0.95228178	0.024328422	-11.629445	R0:S0:1	0.90135255	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:29
2x2_2C_8b_C2v_L	-0.98306715	0	10.00075	-0.22810484	0.31162474	0.68369322	-0.25485413	0.25483506	0.68365721	0.66715573	-0.2693234	1.99925	-0.00010802541	8.5852529e-05	0.08766491	-0.15359748	0.19617208	0.087663696	3.1560361e-06	6.1040319e-06	1	-0.11108889	0.16427265	-0.36640138	0.19618646	-0.1536008	0.36638771	-0.54053943	-0.27319259	-0.7005	0.000750001	0.0062151236	0.90727068	-0.77974523	0.29004343	-0.19533058	0.022539549	1.9862003	0.21599859	0.11672578	1.6709514	0.32907006	0.11674337	0.068253721	1.885381	0.90122318	0.0012440456	-0.00013344436	-0.043090736	0.96949343	-1.0420542	-0.043085635	-2.352842e-06	-1.5651284e-05	-0.46187036	0.23215611	-1.5739224	1.0807689	-1.0421024	0.96961194	-1.0808613	0.59464696	0.95242984	0.024327689	-11.623693	R0:S0:1	0.90122318	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:34
2x2_2C_8b_C2v_L	-0.98337705	0	9.999625	-0.22816114	0.3117205	0.68352799	-0.25485369	0.2549058	0.68362301	0.66706991	-0.26919474	1.999875	4.5102673e-05	-4.2198039e-05	0.087686351	-0.15363907	0.19626747	0.087709589	-6.1558535e-06	-1.2915296e-05	1	-0.11113058	0.16436479	-0.3665009	0.1962671	-0.15367857	0.36649217	-0.54056871	-0.27313939	-0.70075	0.001125001	0.0062337084	0.90726171	-0.77974441	0.2902782	-0.19572137	0.022552413	1.9861896	0.21620418	0.11681291	1.6706212	0.32937703	0.11678723	0.068272127	1.885351	0.90122181	-0.00051856107	6.8857617e-05	-0.043027301	0.96989408	-1.0427209	-0.043098336	1.6956876e-05	1.8973007e-05	-0.46186636	0.23230201	-1.5745227	1.0811361	-1.0427532	0.97000259	-1.0810295	0.59461886	0.95255473	0.024390074	-11.626569	R0:S0:1	0.90122181	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:36
2x2_2C_8b_C2v_L	-0.98389423	0	9.9989375	-0.22867003	0.31215731	0.68343442	-0.25491976	0.25496706	0.68354831	0.66703357	-0.26895668	1.9998125	0.00014721103	-0.00010524834	0.08770232	-0.15366144	0.19640531	0.087752517	-1.9865828e-05	-1.931226e-05	1	-0.11122204	0.16457135	-0.36675218	0.19639569	-0.15371944	0.36674499	-0.54069179	-0.27303106	-0.701125	0.001687501	0.0062649845	0.90715637	-0.77975898	0.2906811	-0.19642387	0.022560818	1.9861835	0.2165966	0.1170046	1.6700772	0.32994177	0.11697955	0.06833871	1.8852761	0.90113457	-0.0016909246	0.00016282038	-0.042865748	0.97040651	-1.0439252	-0.043012492	4.7831063e-05	3.3696981e-05	-0.46182792	0.23252579	-1.5759201	1.081949	-1.043962	0.97062405	-1.081868	0.59472058	0.95285988	0.024495728	-11.628226	R0:S0:1	0.90113457	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:36
2x2_2C_8b_C2v_L	-0.98408879	0	10.000094	-0.22891511	0.31242587	0.68309568	-0.25491506	0.25498853	0.68344006	0.66687158	-0.26881071	1.9997812	0.00048309946	-0.00037153447	0.087739185	-0.15366459	0.19644812	0.08774513	-8.0140419e-06	-3.2317231e-05	1	-0.11126748	0.16467044	-0.36684405	0.19648688	-0.15371921	0.36685215	-0.54072009	-0.27296992	-0.7013125	0.001968751	0.0062777707	0.90708887	-0.77970857	0.29087298	-0.19675651	0.022557856	1.9861786	0.21676421	0.11717119	1.6697036	0.33013233	0.1170359	0.068382476	1.8852301	0.90108234	-0.0056506519	0.00046770674	-0.042870102	0.97085465	-1.0444358	-0.042930907	-3.9760356e-05	0.00010723055	-0.4617706	0.23262559	-1.5764855	1.0826873	-1.0445605	0.97056674	-1.0819792	0.59482591	0.95297732	0.024546557	-11.628715	R0:S0:1	0.90108234	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:39
