model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.1047414	0	6.5	-0.22262154	0.32150527	1.0243352	0.26269122	1.0244472	-0.26273055	0.26819816	0.9472236	1.9	0.00020432942	0.00021988297	0.052126563	0.19307199	-0.052162636	0.15066622	-0.23307657	1.2068063e-05	1	0.17893478	0.19117419	0.40212896	-0.15064245	0.40213772	-0.19308498	-2.1050779e-05	-0.54813834	-0.4	1e-09	-0.013565271	0.93945143	-1.0454658	0.14818885	-0.19169835	0.053648885	1.9718146	0.16196562	0.11307883	0.33467042	0.11305988	1.6653091	0.081545972	0.042130058	0.93028641	-0.0019398515	-0.00029849201	0.12290385	-1.317909	-0.12278583	-1.1860784	1.0043964	-3.3636387e-05	-0.62689156	-0.29739181	-1.5685218	-1.1579027	1.1860089	-1.1578215	1.3179444	2.9946443e-05	0.39784515	-0.0067931427	-11.20504	R0:S0:1	0.93028641	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@18:48
2x2_2C_8b_C2v_L	-1.1046347	0	6.501	-0.22268912	0.32145765	1.0242128	0.26266665	1.0243962	-0.26277368	0.2682535	0.94724705	1.9	0.00016954472	0.00018975524	0.052110459	0.19308594	-0.052179408	0.15066269	-0.23309682	9.678458e-06	1	0.17896567	0.1911533	0.40210051	-0.1505931	0.40208652	-0.19310387	-1.1853479e-05	-0.54809456	-0.4	1e-09	-0.013548083	0.93943856	-1.0453658	0.14817226	-0.19164806	0.053629074	1.9718097	0.16195628	0.11306619	0.3345543	0.11301909	1.6654085	0.081531208	0.042120997	0.93027387	-0.0015986217	-0.00026780814	0.12290368	-1.3176897	-0.12266567	-1.1858354	1.004291	-3.1949903e-05	-0.62684556	-0.29741256	-1.5683998	-1.1578176	1.1856162	-1.1575977	1.3177083	1.4466494e-05	0.39784345	-0.0068023425	-11.204929	R0:S0:1	0.93027387	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@18:51
2x2_2C_8b_C2v_L	-1.1046561	0	6.5	-0.22278533	0.32175188	1.0247058	0.262906	1.0248252	-0.26293052	0.26841378	0.94761447	1.901	0.00019539483	0.00022114197	0.052144323	0.19317015	-0.052185253	0.15068928	-0.23315761	7.7943283e-06	1	0.17902472	0.1911096	0.40210639	-0.15063184	0.40208019	-0.19316413	-1.8158209e-05	-0.54812363	-0.4	1e-09	-0.013535344	0.9395443	-1.0453724	0.14820912	-0.19154701	0.053664482	1.9718507	0.16168549	0.11296643	0.3343479	0.11293226	1.6656168	0.081499966	0.042097737	0.93038467	-0.0018351422	-0.00031761837	0.12279275	-1.3175799	-0.12261995	-1.1856077	1.0043314	-2.2225971e-05	-0.62693901	-0.29714306	-1.5673456	-1.1574117	1.1853653	-1.1572551	1.3175384	2.4771008e-05	0.3977505	-0.0068099336	-11.209339	R0:S0:1	0.93038467	b8cfe21	v2.4.3	Y	Broyden	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@18:54
2x2_2C_8b_C2v_L	-1.104533	0	6.5	-0.2234015	0.32140402	1.0239806	0.26303461	1.0240721	-0.26303909	0.26835736	0.94714058	1.9	-0.00021639441	-0.00024349111	0.052245431	0.19324908	-0.052244883	0.15065637	-0.23306721	-1.4351236e-05	1	0.17940318	0.19119664	0.40180765	-0.15066118	0.40182787	-0.19325252	1.8569383e-05	-0.5477375	-0.399	1e-09	-0.013514109	0.93941375	-1.0456355	0.14761272	-0.19128304	0.053639686	1.9717422	0.16187528	0.11292106	0.33451444	0.11292182	1.6654858	0.08149765	0.042069898	0.93026765	0.0020329092	0.000346882	0.12246538	-1.3180909	-0.12247167	-1.1857987	1.0043624	4.6145661e-05	-0.62698973	-0.29770999	-1.5680114	-1.1571047	1.1858105	-1.157126	1.3180998	-2.3144879e-05	0.39752109	-0.0068986273	-11.206809	R0:S0:1	0.93026765	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:00
2x2_2C_8b_C2v_L	-1.1054917	0	6.5	-0.22279601	0.31985466	1.0225568	0.26211456	1.0225237	-0.26208528	0.26760825	0.94494886	1.9	4.520744e-05	4.7495442e-05	0.052130453	0.19285039	-0.052130606	0.15085979	-0.23274976	-3.5577764e-06	1	0.17906916	0.19145287	0.40238437	-0.15086168	0.40237636	-0.19284547	2.7296323e-06	-0.5478403	-0.4	0.001000001	-0.013729075	0.93929601	-1.045843	0.14863885	-0.19323342	0.053685042	1.9715301	0.16330325	0.11358955	0.33624741	0.11358811	1.6637457	0.081710127	0.042213915	0.93013257	-0.00042824244	-6.5326509e-05	0.12347036	-1.3199749	-0.12345762	-1.189191	1.0047847	1.4002021e-05	-0.62672811	-0.29909324	-1.573257	-1.1602278	1.1891903	-1.1602127	1.3199851	-4.158583e-07	0.39791389	-0.0065719343	-11.205825	R0:S0:1	0.93013257	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:06
2x2_2C_8b_C2v_L	-1.1052341	0	6.5005	-0.22206008	0.32085377	1.0239461	0.26217377	1.0240456	-0.26222393	0.26785649	0.94636456	1.9005	0.00050853716	0.00056927415	0.052035343	0.19284292	-0.052083705	0.15077635	-0.23296902	2.0303037e-05	1	0.17859673	0.1912428	0.40254716	-0.15072999	0.40252732	-0.1928518	-2.4329206e-05	-0.54836526	-0.401	0.000500001	-0.013676083	0.93944997	-1.0453914	0.14899324	-0.19278546	0.053674665	1.9717565	0.16258659	0.11342165	0.33542688	0.11338273	1.6645397	0.081650524	0.042214106	0.93026997	-0.0047921439	-0.00081367014	0.12348591	-1.3185011	-0.12330306	-1.1875433	1.0045509	-6.8101945e-05	-0.62671071	-0.29782243	-1.5707636	-1.1595409	1.1874075	-1.1593425	1.3185467	3.1034855e-05	0.39816506	-0.0065890642	-11.205822	R0:S0:1	0.93026997	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:07
2x2_2C_8b_C2v_L	-1.1054038	0	6.50075	-0.22232103	0.32014221	1.0228208	0.261988	1.0227852	-0.26197461	0.26759775	0.94529814	1.89925	0.00012286129	0.00013762178	0.052073247	0.19278548	-0.052069628	0.15078877	-0.23281204	5.0444348e-06	1	0.17876703	0.19140505	0.40247996	-0.15079199	0.40247063	-0.19278291	-1.0311561e-05	-0.54810769	-0.4005	0.000750001	-0.013724529	0.939274	-1.0456686	0.14878994	-0.1931434	0.053655893	1.9716098	0.16320903	0.11360913	0.33611037	0.11360607	1.6638889	0.081724441	0.042242945	0.93009639	-0.0011587091	-0.00019579901	0.12357753	-1.3195512	-0.12358033	-1.1887323	1.0047424	-1.4489975e-05	-0.62665107	-0.29870172	-1.5731078	-1.1603158	1.1887579	-1.1602856	1.3195715	1.4463322e-05	0.39814159	-0.0065718478	-11.201565	R0:S0:1	0.93009639	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:09
2x2_2C_8b_C2v_L	-1.1057963	0	6.499625	-0.22225751	0.31993412	1.0228059	0.26184585	1.0228374	-0.26180552	0.26737331	0.94476047	1.899875	0.00026567936	0.00030721264	0.052049595	0.19271264	-0.052058062	0.15088806	-0.23270729	-7.8734233e-06	1	0.1787386	0.19152214	0.40271786	-0.15089272	0.4027143	-0.19270487	1.1014764e-05	-0.54813503	-0.40075	0.001125001	-0.013794246	0.93929774	-1.0458154	0.1491276	-0.1937747	0.053704043	1.9715628	0.16353738	0.11378613	0.33660051	0.11377549	1.6633791	0.081772278	0.042274886	0.93012159	-0.0024792914	-0.00046117961	0.12390303	-1.3202477	-0.12385361	-1.1898795	1.0049069	1.8675938e-05	-0.62665335	-0.2990297	-1.574399	-1.1612085	1.189883	-1.161149	1.3203	-1.4018361e-05	0.39816832	-0.0064634891	-11.204521	R0:S0:1	0.93012159	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:12
2x2_2C_8b_C2v_L	-1.1063876	0	6.4989375	-0.22203616	0.31897565	1.0218446	0.26134991	1.0217967	-0.26134958	0.26694858	0.94352691	1.8998125	0.00023912594	0.00026767995	0.051998777	0.19250719	-0.051990303	0.15100166	-0.23251976	-5.2614523e-06	1	0.1786231	0.1916658	0.40299426	-0.15101672	0.40300025	-0.19250794	1.0875129e-05	-0.54816589	-0.401125	0.001687501	-0.01391787	0.93923022	-1.0460441	0.14961594	-0.19484521	0.053741557	1.9714211	0.16437098	0.11417107	0.33766365	0.11418258	1.6623469	0.08190401	0.042355247	0.93004426	-0.0022500886	-0.00038806247	0.12446701	-1.3215802	-0.12451187	-1.1919503	1.0052649	1.1056446e-05	-0.62654827	-0.29991639	-1.5774205	-1.162987	1.1920077	-1.1630403	1.3215812	-1.3371705e-05	0.39834986	-0.0062899206	-11.204307	R0:S0:1	0.93004426	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:13
2x2_2C_8b_C2v_L	-1.1065264	0	6.5000938	-0.22196821	0.31849286	1.0212764	0.26112759	1.021198	-0.26110566	0.26676463	0.94284968	1.8997812	0.00012847564	0.00014308675	0.05199884	0.19241859	-0.051976647	0.1510552	-0.23244364	-3.2055099e-07	1	0.17858503	0.19173077	0.40306729	-0.15107025	0.40306387	-0.19241191	-2.6114572e-06	-0.54810531	-0.4013125	0.001968751	-0.013959369	0.93917443	-1.0460122	0.14983277	-0.19530924	0.053730732	1.9713511	0.1647741	0.11431174	0.3380779	0.11432594	1.6619371	0.081952734	0.042385296	0.92998454	-0.0012121344	-0.00020506831	0.1245756	-1.3219209	-0.12465208	-1.1927029	1.0052873	8.9320915e-07	-0.62642648	-0.30035459	-1.5788032	-1.1635935	1.1927488	-1.1636555	1.3218943	4.724313e-06	0.39844381	-0.0062153888	-11.203764	R0:S0:1	0.92998454	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:16
