CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
7	Broyden	0	0.004969840084	-11.30389525	-0.9796214705	Y	10	0.02234241199	self-energy/D	sharp_wc_2_b_35	-0.1543802611	1.985422235	0.3102739252	0.2097440711	0.635989704	0.129461986	-0.2354943172	1.684545264	0.2354634843	0.3153857508	0.6360503938	0.1293790889	0.6312421234	0.07078280593	-0.2193737639	1.882228559	c61843e	2x2_2C_8b_C2v_L	2	0.9027168324	0.9084400161	0.9999999997075297	3.208631612e-05	-0.0005552391867	-2.393116308e-05	-5.320144357e-05	0.07501456887	-0.01288983536	-0.1324579965	0.8898629105	0.1952643305	-1.029914653	0.07500406442	-0.01292258158	-6.199047782e-05	0.0001332979308	-9.246288002e-05	0.0001729497062	run_optim.py	R0:S0:1	1	-0.462446365	-0.7774653103	-0.1020119503	0.2308308996	0.1619157765	-1.54483828	-0.3663794902	1.123620923	0.195315872	-1.030006057	-0.1324831939	0.8897255782	0.3663478071	-1.123160879	-0.5282372788	0.5971904821	-0.2569983184	0.9305475831	2024-07-07@18:44	-0.7	0.02400322993	0.2887945145	v2.6.0	
7	Broyden	0	0.004973761143	-11.29652396	-0.9793319794	Y	10.01	0.02228326744	self-energy/D	sharp_wc_2_b_35	-0.1533562548	1.985336425	0.3081141668	0.2106939398	0.6339404265	0.1298979295	-0.2348341177	1.684208246	0.2348455622	0.3156532795	0.6340306039	0.1298182795	0.6295768368	0.0709621223	-0.2183382899	1.881881793	c61843e	2x2_2C_8b_C2v_L	2	0.9026124227	0.9083648606	0.999999999709068	4.858330071e-05	-0.0008277169732	-4.157308496e-05	-5.997883786e-05	0.07482825936	-0.01252557131	-0.1320858831	0.8888206381	0.1950943628	-1.029694368	0.07478911556	-0.01244084036	-4.962206219e-05	9.300624391e-05	-8.665300532e-05	0.0001723768294	run_optim.py	R0:S0:1	1	-0.4620201233	-0.7770829657	-0.1017473951	0.231316527	0.1615316909	-1.545480344	-0.3662078364	1.124831644	0.1951372687	-1.029796748	-0.1320840703	0.8884905756	0.3662022885	-1.124368204	-0.5278596426	0.5977960963	-0.2565762042	0.9305656738	2024-07-07@18:52	-0.7	0.02416465766	0.2889271625	v2.6.0	
3	Broyden	0	0.004931352374	-11.34966984	-0.978869225	Y	10	0.02241537575	self-energy/D	sharp_wc_2_b_35	-0.1529887735	1.985248006	0.3049655101	0.2099459962	0.636995993	0.1276899346	-0.2373373435	1.685892565	0.2373689108	0.3140264404	0.6371210137	0.1275942323	0.6316093237	0.07003704548	-0.2240259079	1.882913	c61843e	2x2_2C_8b_C2v_L	2.01	0.9034947209	0.9093390448	0.9999999997457846	4.584896656e-05	-0.0007646437237	-3.592840904e-05	-5.133960338e-05	0.07611581621	-0.01622231129	-0.1342451294	0.8933275074	0.1955002485	-1.026192035	0.07612674448	-0.01630343743	-5.971931906e-05	0.0001258388157	-9.158630818e-05	0.0001721664075	run_optim.py	R0:S0:1	1	-0.4625150243	-0.7771698956	-0.1019824568	0.2312721645	0.1608912782	-1.542179239	-0.3650454871	1.116451339	0.1955413801	-1.026308049	-0.1342993806	0.8932707029	0.3650147144	-1.115949571	-0.5275674058	0.5951078851	-0.2586985467	0.9306141324	2024-07-07@18:56	-0.7	0.02389639538	0.2881418992	v2.6.0	
4	Broyden	0	0.00494187045	-11.29705631	-0.9756459507	Y	10	0.02235347011	self-energy/D	sharp_wc_2_b_35	-0.1418214418	1.98527301	0.3023235174	0.2103693934	0.643620541	0.1255857518	-0.2365460766	1.683928748	0.2365380508	0.3160003602	0.6436423454	0.1255185633	0.634495527	0.06861641857	-0.229467098	1.884264966	c61843e	2x2_2C_8b_C2v_L	2	0.9029258286	0.9088512276	0.9999999997056681	3.417011361e-05	-0.0005826284177	-2.926101912e-05	-3.123304093e-05	0.07657011729	-0.01678792264	-0.1364904411	0.9068528246	0.1939262523	-1.026699774	0.07655842601	-0.01679750751	-6.065128062e-05	0.0001372015559	-8.594822183e-05	0.0001539261774	run_optim.py	R0:S0:1	1	-0.4637547905	-0.7807655309	-0.1001252042	0.2295176276	0.1616830463	-1.547161625	-0.3639148736	1.110100607	0.1939622072	-1.026762577	-0.1365066123	0.9066856908	0.363886139	-1.109706496	-0.5259360235	0.5901608795	-0.2593976339	0.9309297284	2024-07-07@19:01	-0.69	0.02277231738	0.282435391	v2.6.0	
2	Broyden	0	0.004993121417	-11.25904071	-0.9774121492	Y	10.00666667	0.02224750605	self-energy/D	sharp_wc_2_b_35	-0.1465807097	1.985459755	0.3084851885	0.210509423	0.6392924945	0.1285904305	-0.2351610406	1.683644508	0.235175704	0.316269013	0.6394053772	0.1284892695	0.6332937436	0.06989879647	-0.2244709107	1.883345337	c61843e	2x2_2C_8b_C2v_L	1.99	0.9020518049	0.9077767055	0.9999999996605454	5.494557185e-05	-0.0009245410612	-4.099362525e-05	-5.532088237e-05	0.07515972117	-0.01277271712	-0.1338477503	0.8982929757	0.1940758559	-1.029553511	0.075176855	-0.01287064114	-6.078762617e-05	0.000125448292	-8.677152268e-05	0.0001686596111	run_optim.py	R0:S0:1	1	-0.4630950486	-0.7797959725	-0.1005696642	0.2296260486	0.1624524201	-1.549904092	-0.3657898553	1.121313519	0.1941282206	-1.029682072	-0.1338959399	0.8982065918	0.3657565649	-1.120773413	-0.5275675151	0.59440174	-0.2576593164	0.9307700432	2024-07-07@19:04	-0.6933333333	0.02327250816	0.2850233318	v2.6.0	
2	Broyden	0	0.005096857538	-11.21878425	-0.9769954046	Y	10.01	0.02215919744	self-energy/D	sharp_wc_2_b_35	-0.1470681117	1.985493514	0.3090195979	0.2119353778	0.6413888778	0.1288808528	-0.2339142123	1.681007844	0.2339142213	0.3189116007	0.6414357012	0.1288033701	0.6334071959	0.07007351469	-0.2232212248	1.883028988	c61843e	2x2_2C_8b_C2v_L	1.98	0.9011821753	0.9069347844	0.9999999997383386	4.243648635e-05	-0.0007123207739	-3.709204462e-05	-3.203405703e-05	0.07506490917	-0.01211689602	-0.1340776635	0.9035773886	0.1932599523	-1.032900863	0.07505652606	-0.0121367764	-5.402980918e-05	0.0001138094903	-8.675999645e-05	0.0001625933275	run_optim.py	R0:S0:1	1	-0.4631786972	-0.7811900497	-0.100435423	0.2297917342	0.1632106846	-1.556024599	-0.3663027724	1.123400922	0.1932985908	-1.032977782	-0.13409947	0.9034080069	0.3662755003	-1.122961111	-0.5276039695	0.5946723367	-0.2567265528	0.9318287226	2024-07-07@19:08	-0.69	0.02316289609	0.2837758766	v2.6.0	
3	Broyden	0	0.005096792666	-11.25567785	-0.9820211879	Y	10.01333333	0.02217719275	self-energy/D	sharp_wc_2_b_35	-0.1603049605	1.985341987	0.3129963557	0.2125084713	0.6320090933	0.1328442663	-0.2347075738	1.682461565	0.2347146469	0.3174025103	0.6321014217	0.1327193532	0.6296204744	0.07259503882	-0.2132029838	1.880275184	c61843e	2x2_2C_8b_C2v_L	1.986666667	0.9013378318	0.9070046877	0.9999999997382303	5.68154345e-05	-0.0009526289662	-4.847708628e-05	-6.181617034e-05	0.07410476253	-0.01000233353	-0.1301216669	0.8840051794	0.1955872217	-1.035539348	0.07408434135	-0.01000756167	-6.144744204e-05	0.0001196000642	-9.435296581e-05	0.0001923973956	run_optim.py	R0:S0:1	1	-0.4611972371	-0.7765194735	-0.1026977801	0.23322803	0.1622271488	-1.552473384	-0.3684577846	1.13620201	0.1956385636	-1.035628847	-0.1301444364	0.8836671916	0.3684317758	-1.13551155	-0.5302507993	0.6030278374	-0.2549089633	0.9328378377	2024-07-07@19:12	-0.7033333333	0.02490256027	0.2921825322	v2.6.0	
6	Broyden	0	0.005060283698	-11.19061681	-0.9788171717	Y	10.02222222	0.02207161916	self-energy/D	sharp_wc_2_b_35	-0.1457264502	1.98556081	0.3128281222	0.2116814976	0.6337271489	0.1320689589	-0.2324353325	1.681505551	0.2324422762	0.318316604	0.6339344764	0.1319245229	0.6296612188	0.07148924768	-0.2163469594	1.881520184	c61843e	2x2_2C_8b_C2v_L	1.977777778	0.9008706509	0.9064400417	0.9999999996707756	0.0001262798881	-0.002073820978	-0.0001061756031	-3.473205387e-05	0.07360241602	-0.008358101005	-0.1307194442	0.8903280679	0.1939416021	-1.034572813	0.07356741622	-0.008333122154	-6.481415758e-05	0.0001029936451	-0.0001293675902	0.0002699119141	run_optim.py	R0:S0:1	1	-0.4621037533	-0.7788878929	-0.0999594012	0.2298134051	0.1629774783	-1.55365415	-0.3675511513	1.133990092	0.1939993779	-1.034712126	-0.1307491002	0.8899527907	0.3675415679	-1.133218466	-0.528360168	0.5992338811	-0.2549938186	0.9315409059	2024-07-07@19:19	-0.6955555556	0.02388485711	0.2874382603	v2.6.0	
2	Broyden	0	0.005175775336	-11.14841963	-0.9791356179	Y	10.02037037	0.02197809689	self-energy/D	sharp_wc_2_b_35	-0.1521434987	1.985622724	0.3148219455	0.2135477767	0.6361583885	0.1330678655	-0.2315914425	1.679297984	0.2315967471	0.320590885	0.6362531065	0.1329566125	0.6313015684	0.07191860193	-0.215502955	1.881310035	c61843e	2x2_2C_8b_C2v_L	1.962962963	0.8996456978	0.9052367268	0.999999999648717	6.662046108e-05	-0.001093144613	-5.617501868e-05	-3.461799975e-05	0.07324764645	-0.006734494993	-0.1305593219	0.8942546453	0.1931972819	-1.038530612	0.07323736301	-0.006763825257	-5.629513114e-05	0.0001102376986	-8.920679223e-05	0.0001797347514	run_optim.py	R0:S0:1	1	-0.4622498405	-0.7806055263	-0.1007026274	0.2306298371	0.1641060063	-1.562799133	-0.3687557059	1.139060192	0.193242306	-1.038614336	-0.130587004	0.894004794	0.3687304449	-1.138455582	-0.5294659035	0.60041616	-0.2538923428	0.9326658505	2024-07-07@19:22	-0.6925925926	0.02385969139	0.2866477259	v2.6.0	
2	Broyden	0	0.005270599083	-11.06701057	-0.9790148464	Y	10.02555556	0.02181944914	self-energy/D	sharp_wc_2_b_35	-0.1503542833	1.985785078	0.3181955527	0.2148910696	0.6361349081	0.1350353189	-0.2291624062	1.676634501	0.2291708465	0.3232606898	0.6362334505	0.1349252123	0.6314891088	0.0724671136	-0.2127235172	1.880865972	c61843e	2x2_2C_8b_C2v_L	1.944444444	0.8981466835	0.9036454608	0.9999999996373097	6.518092655e-05	-0.001074652546	-5.627357881e-05	-2.585553289e-05	0.07210433098	-0.002887108117	-0.1292588831	0.895448954	0.1921171264	-1.043267721	0.07209428862	-0.002916872314	-5.543430298e-05	0.0001115018785	-8.792807943e-05	0.0001759996311	run_optim.py	R0:S0:1	1	-0.4623648486	-0.7823156892	-0.09990494105	0.2299807533	0.165356003	-1.570832751	-0.3700534015	1.147339825	0.1921562411	-1.04333553	-0.1292865671	0.8952073749	0.370030854	-1.146751381	-0.5299770705	0.6017454524	-0.2521032959	0.9333621223	2024-07-07@19:25	-0.6888888889	0.02372670677	0.2855310347	v2.6.0	
