CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
11	Broyden	0	0.005015082076	-11.29966723	-0.9799598541	Y	10	0.02228138195	self-energy/D	sharp_wc_2_b_35	-0.1599624381	1.984919895	0.3012443193	0.2136664144	0.6256877775	0.1322995755	-0.2320518837	1.683698161	0.2308345028	0.3163385438	0.6282690687	0.132918833	0.6274870608	0.07168832541	-0.2163854997	1.881146386	c61843e	2x2_2C_8b_C2v_L	2	0.902482328	0.9083902825	0.9999999996611224	0.001330844323	-0.01862007375	-0.001092965227	0.001361146585	0.07313569433	-0.008071363836	-0.1290721863	0.8767327761	0.193694702	-1.027636486	0.07309309686	-0.008025599759	-0.0004515238004	0.0009932868909	-0.0009061528778	0.00160384158	run_optim.py	R0:S0:1	1	-0.4615538204	-0.7771472033	-0.10276309	0.2346638871	0.1601973441	-1.547798878	-0.366967796	1.131958877	0.1951677546	-1.03364101	-0.1298799694	0.8852010317	0.3667100652	-1.136040458	-0.5285055326	0.6000507989	-0.2553269876	0.9308903209	2024-07-04@14:24	-0.7	0.02473161055	0.2897323582	v2.6.0	
2	Broyden	0	0.005096962756	-11.37932869	-0.9801335431	Y	10.01	0.02230893601	self-energy/D	sharp_wc_2_b_35	-0.1806951385	1.985127059	0.3042040704	0.2140471116	0.6407786144	0.1278317883	-0.2393584542	1.68301798	0.2400192681	0.3157483339	0.6421019978	0.1275349448	0.6329854623	0.07099131844	-0.2247090308	1.88209544	c61843e	2x2_2C_8b_C2v_L	2	0.9023159635	0.9083911749	0.9999999997197859	0.000594382131	-0.008221907351	-0.0006826300591	0.0005810772083	0.0777396861	-0.02089689893	-0.1361456333	0.9026959526	0.1954221096	-1.028981251	0.07759278894	-0.01987579387	0.0003468956085	-0.001048546523	0.0003643367515	-0.0004094400766	run_optim.py	R0:S0:1	1	-0.4616369589	-0.7776944066	-0.1061599293	0.2354532593	0.1616688928	-1.555458804	-0.3658943893	1.11850805	0.1957027677	-1.029692633	-0.135744422	0.8993790203	0.3663013573	-1.116723222	-0.5298944468	0.5987257112	-0.2584466975	0.9338188027	2024-07-04@14:28	-0.7	0.02447592884	0.2891987664	v2.6.0	
12	Broyden	0	0.004906120479	-11.40811998	-0.9791982792	Y	10	0.02242653994	self-energy/D	sharp_wc_2_b_35	-0.1804380188	1.984842817	0.3081581412	0.2102004403	0.6402754099	0.1271054425	-0.2373255352	1.688184545	0.2378318558	0.3162387801	0.6369998024	0.1280131022	0.6330252014	0.07023238255	-0.2243850639	1.882890053	c61843e	2x2_2C_8b_C2v_L	2.01	0.9033619383	0.9093599247	0.9999999997086418	-0.003586570267	0.05065190235	0.002312482043	0.001053109057	0.07571496727	-0.01514639147	-0.134212174	0.8911284047	0.1966920385	-1.030694132	0.0769074958	-0.01881860248	0.0004250472529	0.0003969429328	0.001016091086	-0.003020830703	run_optim.py	R0:S0:1	1	-0.4623399557	-0.7774095095	-0.1070094906	0.2348464897	0.1620637869	-1.545863395	-0.3654145155	1.113333447	0.1946295769	-1.022680687	-0.134214802	0.8948993639	0.3653641417	-1.119294605	-0.5281559968	0.5957919009	-0.2589141123	0.9313938762	2024-07-04@14:39	-0.7	0.02405825137	0.288269671	v2.6.0	
3	Broyden	0	0.005130221286	-11.31820808	-0.9768355314	Y	10	0.02231428233	self-energy/D	sharp_wc_2_b_35	-0.156560405	1.984658072	0.2905281273	0.2174188175	0.6422390473	0.1278452856	-0.2361098501	1.680821875	0.237143814	0.3160936113	0.6374025089	0.1268019117	0.6324384234	0.06971545641	-0.2245406319	1.882268409	c61843e	2x2_2C_8b_C2v_L	2	0.9023901142	0.9087995711	0.9999999997429558	-0.00176613544	0.02220464319	0.001546764077	-0.004128653954	0.07696578482	-0.01720628131	-0.1372118231	0.9167073082	0.1943566219	-1.031870475	0.07555303814	-0.01274565285	0.0006006183657	-0.001901268515	0.00116176003	-0.001474097805	run_optim.py	R0:S0:1	1	-0.4626174811	-0.7810767569	-0.1020837066	0.2350434955	0.1604155097	-1.55930034	-0.3645531407	1.120999896	0.1935155553	-1.026753372	-0.1350676023	0.8975468871	0.3647680987	-1.112021315	-0.527024143	0.5935785392	-0.2575631851	0.9342373607	2024-07-04@14:44	-0.69	0.02378325336	0.2837083689	v2.6.0	
2	Broyden	0	0.005247387296	-11.32597404	-0.9787629597	Y	10.00666667	0.02226114578	self-energy/D	sharp_wc_2_b_35	-0.1665173098	1.984843346	0.3010757747	0.2153665515	0.6448886524	0.1259801929	-0.2407167211	1.67799177	0.2378111422	0.3190716892	0.6484669891	0.1259479883	0.6336147783	0.07013665601	-0.2296341083	1.882666068	c61843e	2x2_2C_8b_C2v_L	1.99	0.9015603725	0.9077460258	0.9999999997271244	0.003420062975	-0.04699540437	-0.002988214587	0.003523144414	0.08037618537	-0.0278248362	-0.1400690433	0.9237563113	0.1935077042	-1.031961007	0.07767339931	-0.0201417369	-0.0002240263357	6.614247025e-05	-0.0004029693933	0.00120979969	run_optim.py	R0:S0:1	1	-0.4624467525	-0.7805171573	-0.1035750552	0.2342462282	0.1618167232	-1.560645569	-0.3642210325	1.112795936	0.1947094342	-1.032734138	-0.1373873974	0.9106445814	0.3659550803	-1.111798876	-0.5287164217	0.5955253881	-0.2592733067	0.9362497795	2024-07-04@14:47	-0.6933333333	0.02390488322	0.2859314458	v2.6.0	
2	Broyden	0	0.00531042945	-11.2573	-0.9775648007	Y	10.01	0.0221712063	self-energy/D	sharp_wc_2_b_35	-0.1591354088	1.984162923	0.3008528303	0.2149601616	0.6436842927	0.129443725	-0.2376668638	1.67883001	0.238709303	0.3173956483	0.6461496426	0.1276856252	0.6295384466	0.07078462585	-0.224200461	1.882645487	c61843e	2x2_2C_8b_C2v_L	1.98	0.9008392795	0.9067596462	0.999999999661104	0.005946650043	-0.0843643639	-0.005372556228	0.005899836851	0.07722033032	-0.01712277895	-0.1368943806	0.915913619	0.1936876107	-1.032067897	0.07636332486	-0.01488316087	-0.0004334995934	0.0001464458093	-0.001151610386	0.002899106391	run_optim.py	R0:S0:1	1	-0.462771678	-0.7814856664	-0.1021622855	0.2341725366	0.1614963516	-1.559244281	-0.3671877048	1.128113697	0.1941411048	-1.034087312	-0.1368756461	0.9072146033	0.3674704425	-1.117956929	-0.5284278143	0.5968932242	-0.2562545438	0.9323705104	2024-07-04@14:50	-0.69	0.02353220701	0.2841726584	v2.6.0	
4	Broyden	0	0.004971532904	-11.22563571	-0.9751458079	Y	10.01333333	0.0221602531	self-energy/D	sharp_wc_2_b_35	-0.1422610959	1.985043747	0.3021757425	0.2130566955	0.6337871706	0.1300156508	-0.2310110391	1.679836673	0.2310389654	0.3163512566	0.6371508875	0.1287857282	0.6314722704	0.06945203235	-0.2247359614	1.883245344	c61843e	2x2_2C_8b_C2v_L	1.986666667	0.9016813553	0.9076321419	0.999999999671046	0.001583464276	-0.02688857475	-0.0009698371618	-0.002284589803	0.07429596747	-0.01078769725	-0.1330549833	0.9031199294	0.1918945136	-1.028647939	0.07356620265	-0.008121918201	7.453993006e-05	-0.001306595982	-0.0001395330132	0.001284882386	run_optim.py	R0:S0:1	1	-0.4631877613	-0.7816990007	-0.1000308648	0.231149716	0.1624170381	-1.554876725	-0.364660463	1.127648545	0.1932961006	-1.032516773	-0.1322971687	0.8948211729	0.3652439802	-1.120189806	-0.5257554248	0.5924398482	-0.2570869121	0.9317645062	2024-07-04@14:56	-0.6866666667	0.02301613925	0.2817186512	v2.6.0	
4	Broyden	0	0.005131151916	-11.337326	-0.9793656633	Y	10.00333333	0.02229788355	self-energy/D	sharp_wc_2_b_35	-0.1713250287	1.984994536	0.3030734366	0.2143350472	0.6379929646	0.12950422	-0.2364693809	1.679595523	0.2360440637	0.3158117938	0.6404251663	0.1278776194	0.6328668881	0.07071912139	-0.2231214615	1.881993777	c61843e	2x2_2C_8b_C2v_L	1.996666667	0.9021021682	0.9082021845	0.9999999996765678	0.001452679939	-0.02378250256	-0.000559818067	-0.003756759982	0.07699276201	-0.01777904939	-0.1350132629	0.9067644599	0.1941669078	-1.030849534	0.07515249289	-0.01278478301	-0.0003335999501	-0.0005533765288	-0.0009056786833	0.002740643001	run_optim.py	R0:S0:1	1	-0.4620594584	-0.7789488709	-0.1047431331	0.2350457701	0.1617060451	-1.555714852	-0.3659458621	1.126711865	0.1952053284	-1.033243131	-0.1338988064	0.8935434675	0.3665102355	-1.116457106	-0.5288620677	0.5972347032	-0.2576440199	0.9340267698	2024-07-04@15:01	-0.6966666667	0.02427359596	0.2876796063	v2.6.0	
2	Broyden	0	0.005048930432	-11.24381647	-0.9749203809	Y	9.998888889	0.02223282998	self-energy/D	sharp_wc_2_b_35	-0.1451987415	1.984970199	0.2985919054	0.2136621992	0.6451211252	0.1252114365	-0.2364544761	1.682472821	0.2351124701	0.3178315864	0.6452801033	0.1271104031	0.6349884241	0.06884545076	-0.2282398735	1.884294051	c61843e	2x2_2C_8b_C2v_L	1.984444444	0.9017260878	0.9077653192	0.9999999997125311	-0.001276034428	0.01870801384	0.00138867718	-0.001768566211	0.07717953325	-0.01940844243	-0.1377751364	0.912316386	0.1923431903	-1.02661476	0.07646140952	-0.01609993234	0.0005809694168	-0.001365023508	0.0008286915986	-0.001503533701	run_optim.py	R0:S0:1	1	-0.4640235617	-0.7831991119	-0.1006897967	0.2319965882	0.1620131164	-1.557560937	-0.3638157857	1.10835933	0.1927183518	-1.028403406	-0.1366008381	0.9141194223	0.3647002202	-1.118470007	-0.5261716218	0.5905024417	-0.2575766103	0.9307645488	2024-07-04@15:04	-0.6844444444	0.02260398968	0.2801122437	v2.6.0	
2	Broyden	0	0.00509384497	-11.32769889	-0.9788947238	Y	10.00722222	0.02228234708	self-energy/D	sharp_wc_2_b_35	-0.1681104856	1.985191116	0.3040944983	0.213586548	0.6397509166	0.1282350578	-0.236390935	1.681525341	0.2368083076	0.3175519216	0.6412098364	0.127894343	0.6325737752	0.0705140547	-0.2231441239	1.882227425	c61843e	2x2_2C_8b_C2v_L	1.996111111	0.9021263616	0.9081772983	0.9999999997324089	0.001071292917	-0.01500780486	-0.0009681031834	0.0008454843127	0.07657318761	-0.01706498717	-0.1350049768	0.9026300399	0.1945802567	-1.031045515	0.07643842702	-0.01648380849	-3.978949549e-05	-0.0001404953154	-0.0003086982232	0.000726271256	run_optim.py	R0:S0:1	1	-0.4622111937	-0.7790141326	-0.1039869614	0.2334983085	0.1619362095	-1.554895252	-0.3657638945	1.120174951	0.1947245748	-1.031722115	-0.1349313472	0.9007969799	0.3660584967	-1.118437542	-0.5283645459	0.5965226337	-0.2576324566	0.9333053693	2024-07-04@15:08	-0.6961111111	0.02407184108	0.2871389179	v2.6.0	
