CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
2	Broyden	0	-0.01326305602	-11.14886517	-1.103934085	Y	6.5	0.05348380628	self-energy/D	sharp_wc_2_b_35	-0.2036381375	1.970358138	0.3095970369	0.1627988301	1.008087389	0.1142054697	0.2597704186	0.3321863678	1.008066675	0.1142116454	-0.2598221187	1.667829583	0.2600182625	0.0813877904	0.9322731104	0.04226515283	c61843e	2x2_2C_8b_C2v_L	1.9	0.9304842605	0.939767809	0.9999999998476669	-0.0004155216123	0.004012990199	-0.0004816211036	0.000707680711	0.05124405871	0.1244148311	0.1923265571	-1.31200679	-0.05124302585	-0.1244552194	0.1484985537	-1.175225361	-0.2304022744	0.997826884	8.230804673e-06	-1.631170059e-05	run_optim.py	R0:S0:1	1	-0.6271836056	-1.04462512	0.1757819836	-0.3008682096	0.1879861993	-1.560202717	0.4000438515	-1.161948831	-0.1485185623	1.175386855	0.4000660372	-1.161967981	-0.1923529023	1.312092015	-1.908721474e-05	2.316083321e-05	-0.5440955596	0.3971985437	2024-07-07@10:40	-0.4	-0.006859845608	0.1482724125	v2.6.0	
2	Broyden	0	-0.01309871328	-11.1451996	-1.102939454	Y	6.51	0.05328984881	self-energy/D	sharp_wc_2_b_35	-0.2037356399	1.970301778	0.3089893145	0.1627691137	1.005267984	0.1142052276	0.2596162472	0.3310926018	1.005220159	0.1142125042	-0.2596634923	1.668921291	0.2596946334	0.08132263507	0.9324355518	0.04219672	c61843e	2x2_2C_8b_C2v_L	1.9	0.9303500533	0.9396460881	0.9999999998488522	-0.0004372374828	0.004230279923	-0.0005041205555	0.0007341367577	0.05095114557	0.125076748	0.1925048531	-1.310065367	-0.0509487674	-0.1251193979	0.1479795119	-1.171396683	-0.2304824598	0.9969385461	-4.1599689e-05	0.0001384372287	run_optim.py	R0:S0:1	1	-0.6267251756	-1.043680277	0.1759011793	-0.3010099713	0.1877674448	-1.559120518	0.3995371017	-1.161484	-0.1480011626	1.171566404	0.3995557447	-1.161504468	-0.1925316047	1.310158151	4.70168945e-05	-5.476123235e-05	-0.5436106738	0.397216694	2024-07-07@10:48	-0.4	-0.006951578999	0.1481479438	v2.6.0	
2	Broyden	0	-0.01285777458	-11.19194789	-1.103045595	Y	6.5	0.05363296851	self-energy/D	sharp_wc_2_b_35	-0.2051394308	1.970783447	0.3125173275	0.1596845604	1.010140163	0.1130999163	0.2617642265	0.3283806052	1.011505684	0.1130059695	-0.2622880141	1.671893662	0.262654518	0.08086250676	0.9375642106	0.04184438534	c61843e	2x2_2C_8b_C2v_L	1.91	0.9315093235	0.9407778345	0.9999999998938394	0.001207888204	-0.01163361558	0.00148763715	-0.002138955202	0.05131835868	0.1234913747	0.1933586238	-1.307341417	-0.05101344859	-0.124539074	0.1479636601	-1.166070821	-0.2314939068	0.9974245714	-0.0002067227326	0.000563442758	run_optim.py	R0:S0:1	1	-0.6277198231	-1.043632017	0.1767428052	-0.2979667618	0.1873122429	-1.547482622	0.3993359264	-1.157145447	-0.1482600029	1.168427556	0.3996462551	-1.156494976	-0.1935650911	1.308666004	0.000296612835	-0.0003801899306	-0.5438342119	0.3959229087	2024-07-07@10:57	-0.4	-0.007083099094	0.1485339457	v2.6.0	
2	Broyden	0	-0.01255958509	-11.16880145	-1.101991211	Y	6.5	0.05339336538	self-energy/D	sharp_wc_2_b_35	-0.2122495017	1.969498903	0.3077833129	0.1618413808	1.001455117	0.1129386689	0.2636505033	0.3292558156	1.001398294	0.1129457055	-0.2636930768	1.670760889	0.263273429	0.08091437305	0.9330552174	0.04153453184	c61843e	2x2_2C_8b_C2v_L	1.9	0.9303602385	0.9395692731	0.9999999998767892	-0.0005144797575	0.004871883422	-0.0005975091252	0.0008729342637	0.05172977933	0.122840009	0.1946049407	-1.313629581	-0.05172486978	-0.1228894993	0.1477323281	-1.168732036	-0.2310303858	0.9986625897	1.110351252e-05	-2.473344111e-05	run_optim.py	R0:S0:1	1	-0.6282053482	-1.046306879	0.1808603645	-0.3043664763	0.1878373873	-1.554120747	0.3964500302	-1.155279077	-0.1477555549	1.168911134	0.3964665483	-1.155294392	-0.1946300826	1.313720789	-2.319612892e-05	2.759109245e-05	-0.5398508436	0.3935711667	2024-07-07@11:05	-0.39	-0.007974203528	0.1427803392	v2.6.0	
2	Broyden	0	-0.01347825251	-11.15670472	-1.104761139	Y	6.506666667	0.05356703277	self-energy/D	sharp_wc_2_b_35	-0.1953823645	1.971696067	0.3158472955	0.1608508849	1.016973746	0.1142528114	0.2585762191	0.3313088166	1.017595522	0.1142414228	-0.2586439699	1.668702736	0.2594249019	0.0813461185	0.9358231081	0.04256689566	c61843e	2x2_2C_8b_C2v_L	1.906666667	0.9312556217	0.9406105015	0.999999999835447	0.0004924992415	-0.004907207362	0.0005596444999	-0.0007696131056	0.05081058099	0.1252422929	0.1914616797	-1.306903143	-0.05081050395	-0.1252809865	0.1488029028	-1.17344355	-0.2309984994	0.996438809	5.943773037e-05	-0.0001977283225	run_optim.py	R0:S0:1	1	-0.6264014059	-1.041664286	0.1715008686	-0.2943199128	0.1878038075	-1.555413599	0.4028704748	-1.162916523	-0.1488533795	1.173708384	0.4030129136	-1.16293667	-0.1915010844	1.307110121	-7.216451407e-05	8.354016327e-05	-0.547616191	0.3995746621	2024-07-07@11:14	-0.41	-0.00608392547	0.1538947629	v2.6.0	
1	Broyden	0	-0.01391464644	-11.15150988	-1.106494572	Y	6.51	0.05365579796	self-energy/D	sharp_wc_2_b_35	-0.1881842532	1.972528084	0.3174061169	0.1609640149	1.015895002	0.116031897	0.2557314501	0.3316977655	1.015821977	0.1159736749	-0.2557498814	1.668243706	0.2581727646	0.08172958233	0.9379295259	0.04311073574	c61843e	2x2_2C_8b_C2v_L	1.91	0.9316610894	0.9411770596	0.9999999998469333	-0.0008684593992	0.008825872927	-0.0009778738492	0.001339402904	0.04947160065	0.1304637267	0.1900185344	-1.30374753	-0.04950820079	-0.1302845556	0.1483755574	-1.172343853	-0.2312455203	0.9964629244	-2.536268914e-05	9.474285975e-05	run_optim.py	R0:S0:1	1	-0.6253800736	-1.039429747	0.1671688709	-0.2903746679	0.1873143157	-1.556858203	0.4055212552	-1.171277053	-0.1483578304	1.172489643	0.4054803474	-1.170910481	-0.1900603304	1.304079711	1.748376691e-05	-2.605345494e-05	-0.5516838008	0.4027842834	2024-07-07@11:20	-0.42	-0.005100463366	0.1596781547	v2.6.0	
2	Broyden	0	-0.01384160118	-11.10640253	-1.10563363	Y	6.513333333	0.05332190827	self-energy/D	sharp_wc_2_b_35	-0.1914121312	1.971688816	0.3151699807	0.1634471775	1.014055909	0.1158441688	0.2555101514	0.3344357229	1.013278017	0.1159039832	-0.2556401517	1.665628149	0.2567200093	0.08185492361	0.9321710786	0.04306569031	c61843e	2x2_2C_8b_C2v_L	1.896666667	0.9302622526	0.9396881014	0.9999999998453993	-0.001216803298	0.0121884435	-0.0013973907	0.002006379634	0.05026751451	0.1276309973	0.1901829669	-1.309003784	-0.05023285667	-0.1278454211	0.1485374205	-1.177706568	-0.2302601452	0.9962977253	-0.0001330828707	0.0004451232915	run_optim.py	R0:S0:1	1	-0.6253601068	-1.041362722	0.1692606087	-0.2951716454	0.1883643481	-1.567026395	0.4041712786	-1.169939637	-0.1485566159	1.177987885	0.4041094541	-1.170131634	-0.1902418183	1.309015721	0.000148730042	-0.0001728977849	-0.5488237369	0.401680542	2024-07-07@11:28	-0.4133333333	-0.005674707122	0.1554941317	v2.6.0	
2	Broyden	0	-0.01427142575	-11.12678102	-1.107950383	Y	6.505555556	0.05368621067	self-energy/D	sharp_wc_2_b_35	-0.1863341104	1.97261631	0.3176604247	0.1625929668	1.015801016	0.1171950515	0.2537108492	0.3344430289	1.015772189	0.1171845932	-0.2537735118	1.665547157	0.2561912271	0.08212707561	0.9358377507	0.04349459074	c61843e	2x2_2C_8b_C2v_L	1.904444444	0.9312174199	0.9407776302	0.999999999868066	-0.0001717651678	0.00175223647	-0.0001953360021	0.0002757166139	0.04910255786	0.1324613369	0.1891007698	-1.306789412	-0.04912412027	-0.1324062597	0.1483593212	-1.177413082	-0.2306266663	0.997081238	-0.0001223548531	0.0003861918868	run_optim.py	R0:S0:1	1	-0.6251020071	-1.039990844	0.1658269562	-0.290701675	0.1878618386	-1.564992499	0.4068257473	-1.17672585	-0.1483522508	1.177472503	0.4068266186	-1.176659187	-0.189128807	1.306887069	0.0001538944697	-0.0001791407435	-0.5528910442	0.4041216236	2024-07-07@11:36	-0.4222222222	-0.004716681016	0.1609568042	v2.6.0	
1	Broyden	0	-0.01491238816	-11.11710469	-1.110773994	Y	6.503333333	0.05390686537	self-energy/D	sharp_wc_2_b_35	-0.1776227158	1.9739284	0.324089162	0.1623503141	1.018873472	0.1190237702	0.2503391172	0.3367547663	1.018871749	0.1190299865	-0.2504198313	1.663270459	0.2540412647	0.0825351778	0.9366614479	0.0442041168	c61843e	2x2_2C_8b_C2v_L	1.906666667	0.9316156497	0.9412882434	0.9999999999027008	-0.0002669250851	0.002758001317	-0.0003145447534	0.0004653206532	0.04807725621	0.136736973	0.1872757052	-1.305938792	-0.04808596013	-0.1367672576	0.1484229163	-1.181230998	-0.2305141022	0.9970040743	0.0001197202005	-0.0003639370189	run_optim.py	R0:S0:1	1	-0.6242972321	-1.038220751	0.1607861738	-0.2847935988	0.1883082712	-1.568455503	0.41033893	-1.185569184	-0.1484361325	1.181354987	0.4103612209	-1.185594109	-0.1872998005	1.305981891	-0.0001633268132	0.0001921646841	-0.5575328149	0.4076916957	2024-07-07@11:43	-0.4333333333	-0.003569561335	0.1674305605	v2.6.0	
1	Broyden	0	-0.01526241262	-11.10465099	-1.112201995	Y	6.517777778	0.0538124818	self-energy/D	sharp_wc_2_b_35	-0.1695269183	1.974809507	0.3258405279	0.1627865075	1.020898601	0.1201085752	0.2477815943	0.3384871372	1.020580307	0.1201361626	-0.2477861769	1.661536637	0.2528623638	0.08302299782	0.9370463018	0.04481186821	c61843e	2x2_2C_8b_C2v_L	1.908888889	0.9317532442	0.9415938764	0.9999999998628464	-0.000538727451	0.00578556398	-0.0006146976826	0.0008543732568	0.04757928794	0.1383813627	0.1859999514	-1.303456343	-0.04757083455	-0.1384596379	0.1485508022	-1.182852942	-0.2310068771	0.9967902832	-3.34268836e-05	0.0001153075597	run_optim.py	R0:S0:1	1	-0.6225932507	-1.03493205	0.1560831023	-0.2805133391	0.1876598362	-1.570691926	0.4128551934	-1.19046822	-0.1485780085	1.182980318	0.4128260244	-1.190553107	-0.1860004257	1.303446814	4.01387353e-05	-5.144769398e-05	-0.5611947665	0.4114512293	2024-07-07@11:49	-0.4444444444	-0.002517778173	0.1738573767	v2.6.0	
