CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
2	Broyden	0	-0.0138328099	-9.385929016	-1.078017981	Y	7	0.04281957655	self-energy/D	sharp_wc_2_b_35	0.2858409299	0.2107216786	0.1800364994	0.03486430123	0.2279459125	0.364532875	0.9018399941	0.1299992438	0.9019554713	0.1299629693	0.2280650555	0.3645492367	0.2327078728	0.0868094388	0.8517985772	0.04681461904	c61843e	2x2_2C_8b_C2v_L	1.7	0.9037492173	0.9134474014	0.9999999998177539	-0.0004355982265	0.0007402684677	-0.1634612297	0.340936002	0.1821379118	-1.316201272	0.04949794778	0.1254781736	-0.04954389295	-0.1253383342	-0.1821751926	1.316293082	-0.2215258347	0.9778526013	0.0001100166745	-0.0003472916149	run_optim.py	R0:S0:1	1	-0.5978264268	-1.023080049	0.1967657601	-1.730990583	-0.0004192112741	0.004408472564	-0.1403782167	1.182810628	0.3932102002	-1.21025917	0.3932176788	-1.210105631	-0.140414947	1.182847236	0.0001520450785	-0.000198434082	0.5307560101	-0.4215517379	2024-07-06@20:02	-0.4	-0.007681838783	0.1373448305	v2.6.0	
2	Broyden	0	-0.01382343325	-9.383788678	-1.077319985	Y	7.01	0.04269017448	self-energy/D	sharp_wc_2_b_35	0.2860800498	0.2108562926	0.1807259328	0.03480864494	0.227839187	0.3648636104	0.9001112487	0.1298211846	0.9002271781	0.1297820628	0.2279275855	0.3648887341	0.2319696154	0.08687097571	0.8505911804	0.0468757853	c61843e	2x2_2C_8b_C2v_L	1.7	0.9035837315	0.9132719437	0.9999999998143587	-0.000450704235	0.0007685122048	-0.1635608687	0.3408697627	0.1820100187	-1.315207056	0.04984455012	0.1237870859	-0.04989578348	-0.1236186021	-0.1820340709	1.315264193	-0.2213634085	0.9773147411	-7.050503712e-05	0.0002188989893	run_optim.py	R0:S0:1	1	-0.5973696853	-1.022421106	0.1969059548	-1.731339884	-0.0004346106787	0.004556291031	-0.1406680073	1.183484821	0.3926937526	-1.209113736	0.3926922175	-1.208947824	-0.140710133	1.183586363	-9.213988109e-05	0.0001110425594	0.530463624	-0.4219564991	2024-07-06@20:04	-0.4	-0.007680431993	0.1372471981	v2.6.0	
1	Broyden	0	-0.01359848435	-9.419656186	-1.077104129	Y	7	0.04294270959	self-energy/D	sharp_wc_2_b_35	0.2852572077	0.2085914224	0.1805281333	0.03479181662	0.2290757962	0.3617410002	0.9018970308	0.1288589065	0.9020196349	0.1288108748	0.2291635232	0.361767161	0.2332208439	0.08642966094	0.8517506738	0.04655222093	c61843e	2x2_2C_8b_C2v_L	1.71	0.9047954531	0.9144210614	0.9999999998568911	-0.0004730319406	0.0008064043648	-0.1638986516	0.3394753969	0.1825400872	-1.311373205	0.04977306251	0.1237380078	-0.04982445933	-0.1235600041	-0.1825700601	1.311473854	-0.2217309123	0.976123846	-0.0001834765578	0.000572616211	run_optim.py	R0:S0:1	1	-0.5981528579	-1.022068141	0.1960634347	-1.721748315	-0.0004533722007	0.004734673828	-0.1406955132	1.179141138	0.3922894899	-1.205555782	0.3922864412	-1.205337478	-0.1407375104	1.179202699	-0.0002435728339	0.0003016740983	0.5300064098	-0.420753711	2024-07-06@20:06	-0.4	-0.007728829452	0.1375899703	v2.6.0	
6	Broyden	0	-0.01369504397	-9.38293549	-1.077004455	Y	7	0.04278812828	self-energy/D	sharp_wc_2_b_35	0.280125999	0.2123700631	0.1880067535	0.03649127205	0.2292171139	0.3663078242	0.8956552564	0.1291962171	0.8957415839	0.1291636198	0.2293202641	0.3663098398	0.2313629113	0.08686453523	0.8474909822	0.0464716803	c61843e	2x2_2C_8b_C2v_L	1.7	0.9032834603	0.9129126349	0.9999999998191909	-0.0005696022015	0.0009929956571	-0.1678465938	0.3481895483	0.1831027479	-1.3223879	0.05048991866	0.1221229943	-0.05053788642	-0.1219971768	-0.1831247608	1.322470773	-0.2205424215	0.9785095002	1.547967431e-05	-4.383033498e-05	run_optim.py	R0:S0:1	1	-0.5985915005	-1.025656696	0.1968397423	-1.732048072	-0.000549330915	0.005623370453	-0.1406720811	1.186531906	0.3902150053	-1.205946641	0.3902201694	-1.205791221	-0.1406898125	1.186504741	4.382415574e-05	-6.733131675e-05	0.5268638577	-0.4188977383	2024-07-06@20:11	-0.39	-0.008518044751	0.1316609207	v2.6.0	
1	Broyden	0	-0.01397727706	-9.347272932	-1.077463907	Y	7.006666667	0.04256874476	self-energy/D	sharp_wc_2_b_35	0.2842716481	0.2132706389	0.1844327388	0.03573319068	0.2270378608	0.3673917684	0.8927026299	0.1310499658	0.8928023901	0.1310054311	0.2271164103	0.3674326846	0.2293978759	0.08698536723	0.8460858531	0.04691826969	c61843e	2x2_2C_8b_C2v_L	1.69	0.9023432162	0.9119670174	0.9999999998198794	-0.0005334519303	0.000901919362	-0.165734764	0.3459559255	0.1819448435	-1.321638964	0.0497076506	0.1251966114	-0.04976363397	-0.1249945051	-0.1819708734	1.321711761	-0.2198287297	0.9772561712	-6.411208308e-05	0.0002000832042	run_optim.py	R0:S0:1	1	-0.5978704052	-1.025155586	0.1978927711	-1.739707678	-0.0005238806792	0.005452668185	-0.1400105244	1.186327951	0.3915451934	-1.213392473	0.3915358006	-1.213202399	-0.1400601977	1.186462739	-8.720085869e-05	0.0001038551582	0.5283903002	-0.4207366278	2024-07-06@20:13	-0.3933333333	-0.008253714473	0.1329872578	v2.6.0	
1	Broyden	0	-0.0141076146	-9.31126874	-1.077724207	Y	7.01	0.04238473617	self-energy/D	sharp_wc_2_b_35	0.2828100821	0.2158142734	0.1864116186	0.03636312971	0.2263806682	0.3702999066	0.8908865904	0.1318088102	0.8909570885	0.1317764834	0.2264793694	0.370309771	0.2277777832	0.08729783743	0.8440898916	0.04704996496	c61843e	2x2_2C_8b_C2v_L	1.68	0.9011203418	0.9107795365	0.9999999998224518	-0.0005211542052	0.0009184769172	-0.1667439451	0.3497941998	0.1819025028	-1.327693067	0.04975663728	0.1256181852	-0.04979989649	-0.1254918032	-0.1819334379	1.327764555	-0.2190639891	0.9782360746	-0.0001498254991	0.0004720813531	run_optim.py	R0:S0:1	1	-0.5977210805	-1.02672793	0.1985031229	-1.748387101	-0.0005050213874	0.005204542252	-0.1396658551	1.18993526	0.391432468	-1.216126098	0.3914337766	-1.215982031	-0.1396982718	1.18996553	-0.0001983039261	0.0002478486026	0.5275177383	-0.4205745043	2024-07-06@20:15	-0.39	-0.008521427155	0.1307596854	v2.6.0	
3	Broyden	0	-0.01423677845	-9.337678039	-1.078467014	Y	7.013333333	0.04247120383	self-energy/D	sharp_wc_2_b_35	0.2885168121	0.2131844852	0.1764288702	0.03432055929	0.2246197415	0.3691963382	0.9012613774	0.1315788407	0.9013472015	0.1315392199	0.2247068418	0.3692247825	0.2280062975	0.08740012293	0.8483294819	0.04753890188	c61843e	2x2_2C_8b_C2v_L	1.686666667	0.9022792516	0.9120223695	0.9999999998191815	-0.0003316190574	0.0005585712591	-0.1611063222	0.3400679611	0.1805680242	-1.318793632	0.04945637874	0.1250311877	-0.0495065589	-0.1248621233	-0.1805973396	1.318880167	-0.2201757516	0.9771040255	-2.847760854e-06	9.154773515e-06	run_optim.py	R0:S0:1	1	-0.5965215617	-1.022525386	0.197770374	-1.742689928	-0.0003220935393	0.003438348822	-0.1403347727	1.1888206	0.3946965716	-1.216507886	0.3946926378	-1.216334046	-0.1403742714	1.18889169	2.751350764e-06	-9.865725566e-06	0.5320966841	-0.4243500313	2024-07-06@20:19	-0.4033333333	-0.00727584389	0.138698251	v2.6.0	
2	Broyden	0	-0.01451221305	-9.314633154	-1.079292161	Y	7.02	0.04231312791	self-energy/D	sharp_wc_2_b_35	0.2931185694	0.2135414511	0.170775718	0.03320124182	0.221807332	0.3700990237	0.8985865153	0.133680303	0.8987087169	0.1336392193	0.2219037355	0.3701274473	0.2267055895	0.08769641883	0.8483256719	0.04810125876	c61843e	2x2_2C_8b_C2v_L	1.68	0.9017543527	0.9115647332	0.9999999998329923	-0.000361529645	0.0006049725652	-0.1577694547	0.335726811	0.1792556394	-1.316744861	0.04830703519	0.1292680691	-0.04835784079	-0.1290990628	-0.1792876363	1.31682369	-0.2200970751	0.9767190743	-7.584073476e-05	0.0002377416734	run_optim.py	R0:S0:1	1	-0.5954874724	-1.020968071	0.1982919578	-1.748018901	-0.0003508513703	0.003818861973	-0.1394618591	1.187147187	0.3965897279	-1.22499655	0.3965919754	-1.224829183	-0.1395059992	1.187241761	-9.931992655e-05	0.0001204790395	0.5347234427	-0.4271688504	2024-07-06@20:21	-0.41	-0.006668153807	0.1422538799	v2.6.0	
2	Broyden	0	-0.01449269629	-9.290742282	-1.079259251	Y	7.01	0.042322192	self-energy/D	sharp_wc_2_b_35	0.2902040962	0.2152978792	0.1776842751	0.03456601326	0.2231205896	0.3717945406	0.8940852705	0.133592519	0.8941942988	0.133551322	0.2232096947	0.3718152634	0.2259056769	0.08757133232	0.8456541615	0.04775773471	c61843e	2x2_2C_8b_C2v_L	1.673333333	0.9008498933	0.910594258	0.9999999998137283	-0.0004235285908	0.0007305289703	-0.1618417298	0.3425602543	0.1801287274	-1.324726731	0.04881133057	0.1285602238	-0.04886080798	-0.1283992285	-0.1801535383	1.324788345	-0.2190180779	0.977475455	-0.0001649755162	0.0005184900349	run_optim.py	R0:S0:1	1	-0.5967408407	-1.024759837	0.1991706998	-1.753172261	-0.0004094495537	0.004346518328	-0.1393505785	1.190822471	0.3945229829	-1.22404938	0.3945206953	-1.223872054	-0.1393915005	1.190908727	-0.0002208669754	0.0002782376573	0.5315427295	-0.4241582747	2024-07-06@20:24	-0.4	-0.007624445826	0.1362485346	v2.6.0	
1	Broyden	0	-0.01486039056	-9.224421275	-1.079500354	Y	7.026666667	0.04185749052	self-energy/D	sharp_wc_2_b_35	0.2909123373	0.2191613402	0.1758475456	0.03463837941	0.21855923	0.3767427728	0.8832815412	0.1369434489	0.8833865145	0.1369069462	0.2186419883	0.3767675652	0.2221989997	0.08824913443	0.840576394	0.04842636567	c61843e	2x2_2C_8b_C2v_L	1.655555556	0.8987157127	0.9085555935	0.9999999998375582	-0.0004590814638	0.0007831472177	-0.1606730869	0.3447823736	0.1786402759	-1.330197594	0.04771441853	0.1328206335	-0.04775904221	-0.1326729037	-0.1786666192	1.330269554	-0.2176511135	0.9778030134	-3.830208584e-05	0.00011998138	run_optim.py	R0:S0:1	1	-0.5954608263	-1.025270959	0.2002960471	-1.76822228	-0.0004502350322	0.004841299975	-0.1376260756	1.192260532	0.3949663874	-1.236218567	0.3949687173	-1.236071093	-0.1376616406	1.192334739	-4.865121521e-05	5.534705466e-05	0.5317526802	-0.426316541	2024-07-06@20:26	-0.4	-0.007543914775	0.1355734865	v2.6.0	
