CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
5	Broyden	0	0.0009735799327	-10.52971565	-0.9594099451	Y	8.5	0.03152480906	self-energy/D	sharp_wc_2_b_35	0.1908498477	0.04743900955	-0.2018391496	1.823135436	0.7856642649	0.08737657735	0.2562049063	0.2821493772	0.785568564	0.0873702374	0.2561093729	0.2821236787	0.2778607054	0.08062566466	0.755649433	0.03746348509	c61843e	2x2_2C_8b_C2v_L	2	0.9186237889	0.9260353823	0.9999999998043921	-0.1736599055	0.3260122957	-0.1576432057	1.434017898	-0.0684184121	-0.02271727827	0.2014486974	-1.080619672	-0.0683842282	-0.02278453431	0.2014257952	-1.080640819	-0.2470938357	0.893805297	-0.0001531274014	0.0004485696917	run_optim.py	R0:S0:1	1	-0.544095181	-0.9042327339	0.02861901195	-0.2657426951	0.03232466701	-0.05903209791	-0.3275889075	0.9800257097	-0.1417271961	0.9998434563	0.3275724515	-0.9799427742	0.1416971007	-0.9996945305	-0.0001819249977	0.0002593786545	0.4601209572	-0.4182945606	2024-07-07@18:42	-0.4	-0.00835267682	0.137943028	v2.6.0	
1	Broyden	0	0.00102327759	-10.52811859	-0.9587519009	Y	8.51	0.03144899598	self-energy/D	sharp_wc_2_b_35	0.1905680184	0.04720658333	-0.2020911465	1.823225859	0.7836204984	0.08740360764	0.2564259602	0.2813945154	0.7835696755	0.08740485617	0.256352224	0.281360931	0.2777739934	0.08047101178	0.7538433051	0.03746183514	c61843e	2x2_2C_8b_C2v_L	2	0.9186064537	0.9259727976	0.9999999998128956	-0.1736627681	0.325824326	-0.1577507674	1.434072898	-0.06847127484	-0.02238301026	0.2013994019	-1.07850364	-0.0684382825	-0.02246914719	0.20137356	-1.078489156	-0.2468885554	0.8924089652	-0.0001490009685	0.0004379259873	run_optim.py	R0:S0:1	1	-0.5438058371	-0.9036228903	0.02810819833	-0.2610996729	0.03176388323	-0.05789134175	-0.3272320873	0.9798825571	-0.1417541649	0.998704029	0.3272305603	-0.9798557786	0.1417235173	-0.9985781095	-0.0001783403086	0.000256182415	0.459717673	-0.4183816429	2024-07-07@18:44	-0.4	-0.008367195395	0.1378225265	v2.6.0	
5	Broyden	0	0.001317969286	-10.56046223	-0.9581266611	Y	8.5	0.03161562679	self-energy/D	sharp_wc_2_b_35	0.1921057174	0.04706050241	-0.2003748188	1.825070357	0.7883200529	0.08616957877	0.2572984405	0.2797540201	0.7883579667	0.08617303377	0.2572576535	0.2797050802	0.2788619129	0.08012761051	0.7572185003	0.0370923411	c61843e	2x2_2C_8b_C2v_L	2.01	0.9196652964	0.9270511495	0.999999999860428	-0.1744965351	0.3244872431	-0.1564703981	1.424083062	-0.06873401669	-0.02115870776	0.202128451	-1.075990298	-0.06868757714	-0.02129250009	0.2021155164	-1.076010873	-0.2477080444	0.8915907097	-0.0001092238767	0.0003215294137	run_optim.py	R0:S0:1	1	-0.5442999905	-0.9029337185	0.02805136475	-0.2592875198	0.03187369591	-0.05804372313	-0.3265941828	0.9740086823	-0.1416850611	0.9960192427	0.3266175832	-0.9740056919	0.1416384791	-0.9957904814	-0.0001239393177	0.0001770519166	0.4589848111	-0.4167586561	2024-07-07@18:49	-0.4	-0.008436827837	0.1379823564	v2.6.0	
5	Broyden	0	0.00123285609	-10.51820552	-0.9579964566	Y	8.5	0.03153145881	self-energy/D	sharp_wc_2_b_35	0.1971383309	0.04817580278	-0.1983190858	1.822430389	0.7821014089	0.08647472121	0.2572618896	0.2830058465	0.7819782273	0.08650859241	0.2572283925	0.282946636	0.2770859524	0.08018643564	0.7531748779	0.0370175691	c61843e	2x2_2C_8b_C2v_L	2	0.9185367059	0.9258291235	0.9999999998573956	-0.1776187902	0.3299465482	-0.1573910247	1.431876518	-0.06935811532	-0.01988600983	0.2020869636	-1.083786154	-0.06928123178	-0.02013485025	0.2020860986	-1.083796869	-0.2458600941	0.8920255879	-4.543412972e-05	0.0001276893973	run_optim.py	R0:S0:1	1	-0.5449193688	-0.9059589647	0.02849440086	-0.2598129825	0.03223779534	-0.05969271096	-0.3248326439	0.9748595825	-0.1419254757	1.003550527	0.3248588509	-0.9750217329	0.1418559533	-1.003250128	-5.410749408e-05	7.161529177e-05	0.4565731535	-0.4150496228	2024-07-07@18:54	-0.39	-0.009094104339	0.1334294664	v2.6.0	
2	Broyden	0	0.001326907379	-10.54098434	-0.9573002667	Y	8.506666667	0.03153401946	self-energy/D	sharp_wc_2_b_35	0.1959003517	0.04712673679	-0.1982071321	1.822909534	0.7787848574	0.08670323529	0.2569523916	0.2807773427	0.7786336802	0.08671395186	0.2568845249	0.2807521579	0.2778296122	0.08013379857	0.7529286522	0.03700800851	c61843e	2x2_2C_8b_C2v_L	2.006666667	0.9191449446	0.9264725616	0.9999999997629943	-0.1771125422	0.3286349177	-0.1572119127	1.430528129	-0.06857042514	-0.02196888733	0.2021590825	-1.078976428	-0.06853645888	-0.02206477206	0.202137434	-1.07896539	-0.2466059506	0.8913029164	-9.175486038e-05	0.0002588264543	run_optim.py	R0:S0:1	1	-0.5444777841	-0.9042285572	0.02620026932	-0.2394345491	0.02966843042	-0.0547244528	-0.3248635504	0.9756941974	-0.1413212939	0.9975190341	0.3248490407	-0.9757141544	0.1412852265	-0.9973835329	-0.0001020875743	0.000132173097	0.4569060366	-0.4155528186	2024-07-07@18:57	-0.3933333333	-0.00885419085	0.1349280749	v2.6.0	
1	Broyden	0	0.001596066515	-10.54655287	-0.9564365879	Y	8.51	0.03155317712	self-energy/D	sharp_wc_2_b_35	0.198565878	0.04688587924	-0.1963098445	1.822551556	0.7798102621	0.08585945209	0.2580509847	0.2805528709	0.7795538061	0.08588809183	0.2579713433	0.2805131326	0.2790308222	0.07993279243	0.7547340526	0.03665182734	c61843e	2x2_2C_8b_C2v_L	2.01	0.9194351504	0.9267547415	0.9999999998409208	-0.1793033343	0.3305779435	-0.1568916353	1.429608972	-0.06893700861	-0.02105105853	0.2029731163	-1.079844275	-0.06886696196	-0.02125569615	0.2029586734	-1.079844614	-0.2469962757	0.8911766207	-5.487895094e-05	0.0001437578845	run_optim.py	R0:S0:1	1	-0.5446723734	-0.9043325165	0.02390314529	-0.2169147949	0.0271774433	-0.05038093414	-0.3235925254	0.971278658	-0.1411172093	0.9973835334	0.3235796984	-0.9713874243	0.1410558499	-0.9971394442	-6.638758173e-05	7.848156708e-05	0.4553089776	-0.4137393631	2024-07-07@18:59	-0.39	-0.009122131767	0.1336001832	v2.6.0	
3	Broyden	0	0.001787849098	-10.5574595	-0.9560119511	Y	8.496666667	0.03168216481	self-energy/D	sharp_wc_2_b_35	0.2012627723	0.04723841146	-0.195958753	1.824471361	0.7811517347	0.08507931536	0.2591851624	0.2793922305	0.7809345135	0.08511836544	0.2591474642	0.2793330347	0.2788763664	0.07934551846	0.754585176	0.03637794627	c61843e	2x2_2C_8b_C2v_L	2.013333333	0.9199227696	0.927162533	0.999999999822824	-0.1805896084	0.3296013798	-0.1562651769	1.421281825	-0.06941458002	-0.01932569021	0.2033378487	-1.078466773	-0.06933513797	-0.01958366164	0.2033341482	-1.078465552	-0.2464823397	0.8888512621	-1.525091667e-05	2.619301234e-05	run_optim.py	R0:S0:1	1	-0.5455963572	-0.9049679978	0.02555066001	-0.2301768508	0.02916979505	-0.05392346382	-0.322591408	0.9674809118	-0.1414198586	0.9975138384	0.3226027531	-0.9676605631	0.141345434	-0.9971997071	-1.495430349e-05	8.266859856e-06	0.4540103892	-0.4118764216	2024-07-07@19:03	-0.3866666667	-0.009457967229	0.132010224	v2.6.0	
4	Broyden	0	0.002216572505	-10.57630153	-0.9545826855	Y	8.49	0.0318045964	self-energy/D	sharp_wc_2_b_35	0.2061486293	0.04700122573	-0.1950018134	1.826130774	0.7794867196	0.08390189272	0.2612348112	0.2776537972	0.7791066567	0.08395888213	0.2611995086	0.2775646176	0.2795458962	0.07856808452	0.7555056364	0.03580022627	c61843e	2x2_2C_8b_C2v_L	2.02	0.9206389372	0.9277810232	0.999999999828018	-0.1840241298	0.3301456325	-0.155835098	1.413572016	-0.06979939828	-0.01823280769	0.2044500646	-1.077439292	-0.06968138659	-0.01861341641	0.2044566713	-1.077462273	-0.2462451265	0.8862593769	2.97435109e-05	-0.0001145612677	run_optim.py	R0:S0:1	1	-0.5466032821	-0.9055456875	0.02412150964	-0.2144818636	0.02777778474	-0.05119493017	-0.3201330902	0.9611107923	-0.1412814962	0.9962777319	0.320143268	-0.9613644661	0.1411715361	-0.9957737685	3.096764864e-05	-5.708597926e-05	0.4511853986	-0.4084300656	2024-07-07@19:07	-0.38	-0.01005786019	0.1290447315	v2.6.0	
2	Broyden	0	0.002210146262	-10.60393141	-0.9544136443	Y	8.5	0.03177081501	self-energy/D	sharp_wc_2_b_35	0.1991539054	0.0457259837	-0.1968978533	1.827555534	0.7808059687	0.08418086897	0.259817088	0.2751160673	0.7805020288	0.08420104788	0.2597671795	0.275050412	0.280052957	0.0786792756	0.758096261	0.03598840147	c61843e	2x2_2C_8b_C2v_L	2.026666667	0.9213922337	0.9286117285	0.9999999998057987	-0.1804535978	0.3258059886	-0.1553287061	1.410178371	-0.06899716929	-0.0196530776	0.203942784	-1.069662083	-0.06893043266	-0.01985519893	0.2039298202	-1.069697643	-0.2476490528	0.8857064979	-3.620460893e-05	9.355882264e-05	run_optim.py	R0:S0:1	1	-0.545562427	-0.9023464666	0.02235751546	-0.2021522897	0.02583958539	-0.04690206111	-0.3216176237	0.962699671	-0.1407123946	0.9884855518	0.3216000327	-0.9627326825	0.1406348194	-0.9880964755	-2.855624433e-05	3.154083351e-05	0.4535486028	-0.4107356453	2024-07-07@19:10	-0.39	-0.00937666012	0.1335055839	v2.6.0	
7	Broyden	0	0.002691334541	-10.59649672	-0.9522191687	Y	8.5	0.03181553837	self-energy/D	sharp_wc_2_b_35	0.2109467881	0.04587624635	-0.1939392072	1.826896779	0.7787974569	0.08223823792	0.263340575	0.2763676285	0.7780546512	0.08231398334	0.2632515346	0.2762717828	0.2804881706	0.07783303171	0.7553240631	0.03520845425	c61843e	2x2_2C_8b_C2v_L	2.027777778	0.9213153113	0.9283426046	0.9999999997956253	-0.1882018428	0.3319404039	-0.1559403611	1.410649571	-0.0709528606	-0.01438321149	0.2055069283	-1.075457466	-0.0708212413	-0.0148104797	0.2054800669	-1.075367603	-0.246172501	0.8832229773	-5.932921355e-06	-2.350583653e-05	run_optim.py	R0:S0:1	1	-0.5469801998	-0.9051491449	0.0174228407	-0.1529526544	0.02023399316	-0.03715926127	-0.3172341529	0.9519394199	-0.1415950569	0.9962971932	0.3171857697	-0.9522566607	0.1414840301	-0.9958658028	-4.804870326e-06	-1.12100113e-05	0.4478659869	-0.4051894315	2024-07-07@19:16	-0.3733333333	-0.01062325516	0.1260804209	v2.6.0	
