model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.093782	0	12.707713	0.63262108	-0.054358874	0.59019324	0.084454607	0.59025317	0.084459581	0.32603584	0.20676799	2.4	-0.51945281	0.20069518	-0.39252982	0.075721512	-0.3925522	0.075710357	-0.19270786	0.00035561823	1	-6.2937741e-07	-4.2027835e-06	-0.022400396	-0.17157772	0.022388517	0.1715856	0.00036055795	0.15884759	0.39591635	-0.015807469	0.8132031	-0.95850239	-0.34168726	0.017881818	0.15693309	1.6719843	0.33352471	0.7524477	0.33352127	0.75247376	0.11448418	0.015340901	0.81872175	0.63049386	-1.5748179	1.9247284	-1.2060422	1.9247276	-1.205974	1.1920169	-0.0025356506	-0.51842217	1.0289666e-05	2.3715625e-05	-0.1552853	1.3479447	0.1553464	-1.3479997	-0.00044051786	-0.21851661	-0.10362458	-11.676188	R0:S0:1	0.81872175	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@10:43
2x2_2C_8b_C2v_L	-1.0937528	0	12.708713	0.63254458	-0.054360533	0.59016811	0.084439128	0.59019075	0.084443147	0.20683469	0.32601035	2.4	-0.51943686	0.20069868	-0.39253166	0.075702742	-0.39254286	0.075693602	0.00024061535	0.19270972	1	8.391584e-07	-4.500847e-06	-0.022398157	-0.17157386	0.022383149	0.17157897	0.15886838	-0.000245267	0.39591635	-0.015806633	0.81319934	-0.95847635	-0.34167928	0.017878996	0.15695897	1.6719426	0.33354202	0.75256085	0.33354718	0.75255557	0.015343399	0.11449711	0.81871742	0.63053869	-1.5748415	1.9247529	-1.2058896	1.9247681	-1.2058303	-0.0017134592	-1.1920559	-0.51840101	7.8149623e-08	2.3744293e-05	-0.1552674	1.3479844	0.15533944	-1.3480066	-0.21854473	0.00030173044	-0.10362254	-11.676118	R0:S0:1	0.81871742	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@11:54
2x2_2C_8b_C2v_L	-1.0934614	0	12.707713	0.63278719	-0.054321634	0.59051533	0.084407509	0.5904854	0.084414656	0.32613386	0.20685168	2.401	-0.51945029	0.20063313	-0.39254172	0.075793122	-0.39253799	0.075768056	-0.19270083	-0.00028631063	1	1.5356023e-06	9.7252491e-06	-0.022398765	-0.17149388	0.022385907	0.17149829	-0.0002915307	0.15883258	0.39591635	-0.015795612	0.8133582	-0.95826358	-0.34148087	0.017884948	0.1567212	1.6723707	0.33332975	0.7523878	0.33335491	0.75237364	0.11445876	0.015328262	0.81886705	0.62992777	-1.5739919	1.9237569	-1.2065042	1.9238196	-1.20636	1.19168	0.002044524	-0.51833178	-2.7862406e-05	-5.9355416e-05	-0.15521282	1.3480303	0.15528455	-1.3480119	0.00035244495	-0.21850117	-0.10357022	-11.679057	R0:S0:1	0.81886705	b8cfe21	v2.4.3	Y	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@13:04
2x2_2C_8b_C2v_L	-1.0947117	0	12.707713	0.63269028	-0.054309481	0.59018743	0.084313268	0.59019712	0.084328167	0.32628029	0.20625827	2.4	-0.51987249	0.20080014	-0.39284286	0.075515155	-0.39284334	0.075520403	-0.19272576	-0.00013127342	1	3.2378753e-06	-3.0332738e-07	-0.022291286	-0.1716496	0.022306358	0.17165726	-0.00013463034	0.15854562	0.39691635	-0.015801481	0.81297959	-0.9588098	-0.34239436	0.017888246	0.1573521	1.6713889	0.33401857	0.75373441	0.33401247	0.75369872	0.11449143	0.015300574	0.81852698	0.63146163	-1.5757218	1.9270084	-1.2043077	1.9269899	-1.2043709	1.1926872	0.00093693473	-0.51857801	-2.1232194e-05	-1.9941386e-06	-0.15545148	1.3483451	0.15541195	-1.3483243	0.00016477185	-0.21811619	-0.10378723	-11.678009	R0:S0:1	0.81852698	b8cfe21	v2.4.3	Y	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@14:19
2x2_2C_8b_C2v_L	-1.0946917	0	12.70838	0.63246596	-0.054348093	0.58974924	0.08435769	0.58976372	0.084382642	0.20644703	0.32600499	2.399	-0.51973054	0.20082133	-0.39272699	0.075459639	-0.39272347	0.075477848	2.745801e-05	0.19271901	1	7.6726966e-06	-4.2711638e-06	-0.022300377	-0.17169525	0.022321676	0.17170444	0.15868923	-3.3871368e-05	0.39658302	-0.015812822	0.81289747	-0.95891913	-0.34235611	0.01788078	0.15744753	1.6711613	0.33412276	0.75364872	0.33410774	0.753528	0.015331836	0.11453575	0.81844733	0.63174975	-1.5762576	1.9273774	-1.2039768	1.9273342	-1.2041389	-0.0001918591	-1.1928572	-0.51859439	-3.9882748e-05	1.7125692e-05	-0.15551769	1.3482587	0.15547	-1.3481724	-0.21831167	4.5203091e-05	-0.1037835	-11.67441	R0:S0:1	0.81844733	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@15:22
2x2_2C_8b_C2v_L	-1.0953083	0	12.708713	0.63227197	-0.054344627	0.58946056	0.084358153	0.58939621	0.084332291	0.20620005	0.32591436	2.398	-0.51986066	0.20090368	-0.39283273	0.075319768	-0.3928203	0.075302583	7.1750564e-05	0.19272761	1	1.5793939e-06	-7.0321171e-07	-0.022285775	-0.17180612	0.022267912	0.17179234	0.15860779	-7.1354949e-05	0.39691635	-0.015822424	0.81267229	-0.95924869	-0.34279159	0.017878705	0.15782495	1.670544	0.33447582	0.75421315	0.3345012	0.75429025	0.015335376	0.11458119	0.81823636	0.6326756	-1.5773674	1.9290871	-1.2029453	1.9291511	-1.2027903	-0.00051648699	-1.1934726	-0.51872666	-7.1529274e-06	2.8912838e-06	-0.15555062	1.3483338	0.15559338	-1.3483618	-0.21821987	8.3116627e-05	-0.10389275	-11.672042	R0:S0:1	0.81823636	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@16:15
2x2_2C_8b_C2v_L	-1.0938591	0	12.709046	0.63228595	-0.054407014	0.58969907	0.084533708	0.58975991	0.084524665	0.20702182	0.32576373	2.3986667	-0.5193028	0.20073907	-0.39243046	0.075636208	-0.39244285	0.075642093	0.00012715241	0.19271664	1	1.4755056e-06	-1.2433102e-05	-0.022395956	-0.17166147	0.022389198	0.17165739	0.15901399	-0.00012443651	0.39558302	-0.015824157	0.81306519	-0.95868266	-0.3417145	0.017871642	0.15712354	1.6715919	0.33369859	0.752266	0.33367555	0.75230568	0.015374639	0.1145436	0.818587	0.63101485	-1.5756578	1.9254381	-1.205538	1.9253903	-1.2055618	-0.00091030608	-1.1923462	-0.51845892	4.4323606e-06	6.8612057e-05	-0.15548987	1.3477774	0.15549244	-1.3478172	-0.21872199	0.00014807379	-0.10364033	-11.671613	R0:S0:1	0.818587	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@16:53
2x2_2C_8b_C2v_L	-1.0934255	0	12.709713	0.63206473	-0.054443664	0.58948408	0.084565877	0.58951186	0.084602641	0.20732318	0.32534626	2.398	-0.51901384	0.20069598	-0.39223117	0.075663432	-0.3922411	0.075673878	2.8978251e-05	0.19267765	1	-8.7195653e-06	-1.8200113e-06	-0.022436397	-0.17163153	0.022437395	0.17165744	0.15922948	-2.2556934e-05	0.39491635	-0.01583297	0.81311394	-0.95861364	-0.34136809	0.017863086	0.15701522	1.6716904	0.33353089	0.75197242	0.33352446	0.75189352	0.015417662	0.11457713	0.81861955	0.6307895	-1.5755878	1.924654	-1.2058488	1.9246191	-1.2059627	-0.00020352839	-1.1921535	-0.51839719	4.7686126e-05	1.5823867e-05	-0.15540497	1.3477349	0.15544703	-1.3477754	-0.21904306	3.0808041e-05	-0.10356637	-11.668313	R0:S0:1	0.81861955	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@17:16
2x2_2C_8b_C2v_L	-1.094592	0	12.708713	0.63207899	-0.054418479	0.58920962	0.084487117	0.58919491	0.084461936	0.20680335	0.32555581	2.3973333	-0.51944913	0.20084371	-0.39252317	0.075443999	-0.39252483	0.07541393	1.1307976e-05	0.19270589	1	-5.6366429e-06	9.8934696e-06	-0.022359546	-0.17177311	0.022335673	0.17176422	0.15895024	-1.3125988e-05	0.39591635	-0.015833594	0.81279098	-0.9591014	-0.34222029	0.017870005	0.15756203	1.6708554	0.33416328	0.75315588	0.33417976	0.75329739	0.015385474	0.11459858	0.81833343	0.63212356	-1.5770466	1.927594	-1.2040749	1.9276428	-1.2038459	-7.9503228e-05	-1.1930555	-0.51862679	2.3486935e-05	-5.0497171e-05	-0.15552489	1.347979	0.15559238	-1.3480836	-0.21865505	1.7288713e-05	-0.10376474	-11.668293	R0:S0:1	0.81833343	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@17:40
2x2_2C_8b_C2v_L	-1.0950211	0	12.708713	0.63175275	-0.05445323	0.58873784	0.084466952	0.58871257	0.084486908	0.20682648	0.32532035	2.396	-0.51943608	0.20092425	-0.39252995	0.075280941	-0.39252826	0.075273716	-6.5145333e-05	0.19271465	1	-3.1036005e-06	-8.1777575e-06	-0.022319356	-0.17185416	0.022303306	0.17186864	0.15900471	6.9231889e-05	0.39591635	-0.015846573	0.81258246	-0.95942177	-0.34249501	0.0178656	0.15789651	1.6702641	0.33449099	0.7536743	0.33450904	0.75361562	0.015409129	0.11466501	0.81813706	0.63298002	-1.5781954	1.9290954	-1.2028923	1.9291253	-1.2028673	0.00047043671	-1.1936394	-0.51873829	1.9156786e-05	4.6209271e-05	-0.15568116	1.3480943	0.15577562	-1.3481085	-0.21872841	-7.8501915e-05	-0.10383771	-11.664438	R0:S0:1	0.81813706	b8cfe21	v2.4.3	Y	Broyden	9	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@18:15
