model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.1006941	0	12.707713	0.79689094	-0.063801551	0.8736017	0.11338591	0.87375492	0.11340716	0.57192974	0.17443571	2.9152119	-0.60845849	-0.20629588	-0.45009817	0.12566641	-0.45011091	0.12569325	-0.19313733	-3.1815623e-05	1	-4.6275233e-06	-1.1917255e-06	-0.029408827	-0.16729141	0.029425775	0.16729365	-3.5364769e-05	0.10810321	0.6	-0.006801988	0.85381539	-0.87786353	-0.37138427	0.020825608	0.097410582	1.7938738	0.2472804	0.59807366	0.24723241	0.59806088	0.079867171	0.0049415903	0.85779531	0.49107354	1.3040507	1.6102592	-1.4884471	1.6101321	-1.4886066	1.0013787	0.00026073738	-0.50223449	1.9401702e-05	1.7095046e-06	-0.16197325	1.2748266	0.1619098	-1.2747886	3.5736227e-05	-0.1377356	-0.1005584	-13.633702	R0:S0:1	0.85779531	b8cfe21	v2.4.3	Y	Broyden	13	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@10:35
2x2_2C_8b_C2v_L	-1.1006494	0	12.708713	0.79692945	-0.063809478	0.87374466	0.11340855	0.87377222	0.11342077	0.57195962	0.1744721	2.9152119	-0.60846638	-0.20630294	-0.45010731	0.12568969	-0.45010836	0.12569731	-0.19313189	-3.1692801e-05	1	1.5349686e-06	4.1703874e-06	-0.029423155	-0.16729701	0.029427121	0.16730058	-3.7913591e-05	0.1081097	0.6	-0.0068011161	0.85381522	-0.87782922	-0.37136694	0.020822519	0.097403063	1.7938794	0.24722402	0.59804928	0.2472138	0.5980403	0.079857026	0.0049415802	0.85779409	0.4910587	1.3040515	1.6100687	-1.4885524	1.6100395	-1.4885955	1.0012944	0.00025845604	-0.50221538	-7.5122707e-06	-1.3973647e-05	-0.16193186	1.2748134	0.16192135	-1.2748015	3.9593918e-05	-0.13774021	-0.10055433	-13.633639	R0:S0:1	0.85779409	b8cfe21	v2.4.3	Y	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@11:22
2x2_2C_8b_C2v_L	-1.0995064	0	12.707713	0.79757069	-0.064091999	0.87535549	0.11375589	0.87531242	0.11373993	0.57282161	0.17478904	2.9162119	-0.6085324	0.20638605	-0.45016917	0.125956	-0.45017673	0.12594673	-0.19313425	4.0612813e-05	1	-5.9228106e-07	-1.2699294e-05	-0.029470058	-0.16731946	0.029428859	0.16730679	3.9980788e-05	0.10814606	0.6	-0.0067505118	0.8540006	-0.87750345	-0.37000498	0.020829347	0.097105965	1.7943614	0.24650072	0.5972105	0.24653409	0.59712772	0.079694996	0.0049360791	0.85797142	0.49046865	-1.30322	1.6074137	-1.4896089	1.6075232	-1.4895157	1.0001138	-0.0003300421	-0.502133	1.0840354e-05	4.8183417e-05	-0.16216716	1.2747152	0.16228663	-1.2745898	-4.3517999e-05	-0.13772248	-0.10044198	-13.637506	R0:S0:1	0.85797142	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@12:05
2x2_2C_8b_C2v_L	-1.1022067	0	12.707713	0.7965486	-0.063526627	0.87207805	0.11314174	0.8721583	0.11316255	0.57208886	0.17424753	2.9152119	-0.60878487	-0.20631251	-0.45021389	0.12544487	-0.45021983	0.12546507	-0.19314042	6.6245099e-06	1	2.0176025e-06	4.170715e-06	-0.029414825	-0.16737369	0.029428134	0.16737889	3.5451093e-06	0.10803701	0.601	-0.0068377989	0.8535991	-0.87820071	-0.3727222	0.020830512	0.097779956	1.7933303	0.24815227	0.59897573	0.24812407	0.59896421	0.079975211	0.0049390499	0.85758904	0.49191121	1.3049594	1.6136406	-1.4875442	1.6135613	-1.4876587	1.0024672	-5.5243594e-05	-0.50237223	-7.4909078e-06	-1.4079944e-05	-0.16167013	1.2749468	0.16163015	-1.2749261	-2.6744114e-06	-0.13765174	-0.10074385	-13.63478	R0:S0:1	0.85758904	b8cfe21	v2.4.3	Y	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@12:50
2x2_2C_8b_C2v_L	-1.1023065	0	12.70838	0.79597742	-0.063356241	0.87104668	0.11291001	0.87102337	0.11289795	0.57141803	0.17406443	2.9142119	-0.60859806	-0.20623587	-0.45010857	0.12527635	-0.45010824	0.12526875	-0.1931522	1.4292966e-05	1	-2.6127258e-06	1.0985517e-07	-0.029391825	-0.1673332	0.029377459	0.1673274	1.2039725e-05	0.1080519	0.60066667	-0.0068746071	0.85348912	-0.87842496	-0.37272176	0.020823056	0.097957913	1.7930276	0.24855043	0.59951929	0.24856266	0.59950717	0.080079642	0.0049459801	0.85748136	0.49223071	1.3055034	1.6150617	-1.4869358	1.6151003	-1.4868862	1.0031871	-0.00011843242	-0.5024191	1.1855198e-05	-1.7143356e-06	-0.16147945	1.2750358	0.16151703	-1.2750154	-1.1452462e-05	-0.13771063	-0.10079067	-13.630624	R0:S0:1	0.85748136	b8cfe21	v2.4.3	Y	Broyden	9	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@13:25
2x2_2C_8b_C2v_L	-1.1032035	0	12.708713	0.79521999	-0.062962656	0.86875053	0.11244581	0.86873464	0.11246486	0.57070414	0.17369555	2.9132119	-0.60864232	-0.20614685	-0.45005601	0.12491731	-0.45005122	0.12492449	-0.19315403	2.4458277e-05	1	3.8165546e-06	3.8907468e-06	-0.029352439	-0.16732206	0.029357417	0.16732752	2.9769671e-05	0.10800405	0.601	-0.0069352539	0.8532359	-0.87887863	-0.37325275	0.020819553	0.098385953	1.7923602	0.24961695	0.60075815	0.24961709	0.60072677	0.080269227	0.0049510491	0.85723891	0.49311504	1.3066177	1.6189803	-1.4854901	1.6189762	-1.4855243	1.0046967	-0.00019721948	-0.50255815	-1.4064973e-05	-1.2713802e-05	-0.16108141	1.2751919	0.16108417	-1.2751575	-3.3939277e-05	-0.13770657	-0.10096339	-13.627083	R0:S0:1	0.85723891	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@14:05
2x2_2C_8b_C2v_L	-1.1033039	0	12.70738	0.79556931	-0.063098112	0.8694132	0.11264932	0.86947777	0.11265769	0.57132293	0.17386264	2.9138786	-0.60880352	-0.20623125	-0.45015094	0.12504302	-0.45015304	0.1250564	-0.19315843	1.6966113e-05	1	-7.9036891e-07	-7.4530377e-06	-0.029374463	-0.16738591	0.029387792	0.16738798	1.9515462e-05	0.1080017	0.60133333	-0.0069142011	0.85328672	-0.87879647	-0.37334938	0.020828253	0.098301216	1.7925083	0.2493934	0.6003585	0.24936729	0.60037104	0.080197052	0.0049457195	0.85728995	0.49299863	1.3064161	1.6182756	-1.4859724	1.6182006	-1.4860582	1.0042915	-0.00014006876	-0.50256379	4.4861512e-08	2.7974546e-05	-0.16124889	1.2751278	0.16120432	-1.2751428	-1.9113442e-05	-0.13765533	-0.10094952	-13.630229	R0:S0:1	0.85728995	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@14:45
2x2_2C_8b_C2v_L	-1.1047238	0	12.708157	0.79465832	-0.062627336	0.86666439	0.11214865	0.86666273	0.11215487	0.57076723	0.17345505	2.9129897	-0.60901236	-0.20618785	-0.45018685	0.12462148	-0.45018477	0.12462604	-0.19315668	-2.4732925e-05	1	-5.4057577e-06	-9.9357633e-06	-0.029354638	-0.16744823	0.029362236	0.16744805	-9.7964816e-06	0.10792125	0.60222222	-0.0069868753	0.85293288	-0.87938231	-0.37418328	0.020826759	0.098896362	1.7915937	0.25078668	0.60193695	0.25078465	0.60192038	0.080424431	0.0049483126	0.85695273	0.49426838	1.3079739	1.6235306	-1.4842419	1.6235251	-1.4842676	1.0062332	0.00021251329	-0.50276108	2.2952152e-05	3.2307172e-05	-0.16073192	1.2753814	0.16071543	-1.2753521	1.5825936e-06	-0.13759795	-0.1012087	-13.627805	R0:S0:1	0.85695273	b8cfe21	v2.4.3	Y	Broyden	13	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@15:42
2x2_2C_8b_C2v_L	-1.1065271	0	12.70838	0.7934982	-0.062017353	0.86301404	0.11147496	0.863048	0.11147513	0.57018529	0.17282078	2.9118786	-0.60928823	-0.20612264	-0.45021173	-0.12407591	-0.45022369	-0.12406383	-0.19316773	9.5919546e-06	1	4.2340062e-06	-4.4539282e-06	0.029329855	-0.16751087	-0.029322784	0.16750753	1.1971348e-05	0.10781717	0.60333333	0.0070786381	0.85248988	-0.88014384	-0.37522093	0.020827221	0.099667823	1.7904143	0.25261027	0.60403281	0.25261675	0.60399409	0.080706186	0.0049520547	0.85652972	0.49591832	1.3099606	1.6303433	1.4819685	1.6303822	1.4818991	1.0086816	-8.041041e-05	-0.50302236	-2.1450632e-05	1.9657905e-05	0.16001802	1.2757037	-0.16004271	-1.2756303	-1.0719683e-05	-0.13752696	-0.10153364	-13.624822	R0:S0:1	0.85652972	b8cfe21	v2.4.3	Y	Broyden	33	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@17:45
2x2_2C_8b_C2v_L	-1.1064308	0	12.708602	0.793099	-0.061898569	0.8622722	0.11126508	0.86220794	0.11127867	0.56939526	0.17266149	2.9107675	-0.60906196	-0.20604393	-0.45009385	0.1239125	-0.45007576	0.12391614	-0.193175	1.0118566e-05	1	2.0401826e-06	1.5963918e-05	-0.029283914	-0.16744462	0.029281837	0.16744558	7.3434601e-06	0.10784275	0.60277778	-0.0071097458	0.85241519	-0.88033463	-0.37509041	0.020819645	0.099770993	1.7902129	0.25287478	0.6044138	0.25288312	0.60437412	0.080799877	0.0049599409	0.85645457	0.49608695	1.3103836	1.6312602	-1.481337	1.6312753	-1.481356	1.0092619	-8.1601913e-05	-0.5030554	1.9321572e-07	-6.0475283e-05	-0.15995087	1.2757822	0.15996966	-1.2757305	-9.6019222e-06	-0.13760508	-0.10154857	-13.62006	R0:S0:1	0.85645457	b8cfe21	v2.4.3	Y	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-15@18:30
